Currency units per SDR for March 1995
Currency	March 01, 1995	March 02, 1995	March 03, 1995	March 06, 1995	March 07, 1995	March 08, 1995	March 09, 1995	March 10, 1995	March 13, 1995	March 14, 1995	March 15, 1995
Chinese Yuan	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Euro	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Japanese Yen	144.103000	144.469000	143.726000	143.177000	142.539000	138.372000	140.074000	139.359000	138.381000	138.848000	138.706000
U.K. Pound Sterling	0.944529	0.941964	0.936333	0.929505	0.946163	0.946132	0.953124	0.957657	0.969760	0.964509	0.967514
U.S. Dollar	1.493300	1.496310	1.506560	1.532940	1.535150	1.552130	1.537580	1.528900	1.534160	1.530000	1.533510
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	2.027840	2.035520	2.043350	2.089330	2.078180	2.101450	2.075010	2.062460	2.057890	2.051210	2.054270
Bahrain Dinar	0.561481	0.562613	0.566467	0.576385	0.577216	0.583601	0.578130	0.574866	0.576844	0.575280	0.576600
Botswana Pula	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brazilian Real	1.268560	1.268870	1.282080	1.312200	1.329440	1.372080	1.359220	1.354610	1.346990	1.345640	1.349490
Brunei Dollar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Canadian Dollar	2.085240	2.100220	2.111140	2.173100	2.181450	2.186180	2.171830	2.153760	2.165930	2.167860	2.170840
Chilean Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Colombian Peso	1,281.030000	1,285.140000	1,297.650000	1,317.790000	1,318.620000	1,336.590000	1,326.020000	1,319.530000	1,327.600000	1,324.860000	1,329.490000
Czech Koruna	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Danish Krone	8.684290	8.698050	8.687580	8.615120	8.685110	8.621310	8.651190	8.645170	8.701760	8.677400	8.677370
Hungarian Forint	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Icelandic Krona	98.124700	98.337500	98.408500	97.740300	98.157500	97.815200	98.482000	98.308300	98.907300	98.730900	98.880700
Indian Rupee	46.979200	47.088900	48.104500	48.548200	49.063400	49.373300	48.833500	48.542600	48.817000	48.730500	48.734900
Indonesian Rupiah	3,303.180000	3,309.840000	3,332.510000	3,390.860000	3,395.750000	3,433.310000	3,401.130000	3,383.460000	3,395.100000	3,387.420000	3,395.190000
Iranian Rial	2,613.710000	2,613.710000	2,613.710000	2,634.970000	2,681.110000	2,684.980000	2,714.680000	2,714.680000	2,674.050000	2,683.250000	2,675.970000
Israeli New Sheqel	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Kazakhstani Tenge	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Korean Won	NA	1,178.940000	1,189.430000	1,212.250000	1,209.240000	1,219.510000	1,207.150000	1,198.500000	1,201.710000	1,193.250000	1,197.210000
Kuwaiti Dinar	0.443764	NA	NA	0.453152	0.453115	0.456388	0.454432	NA	0.453528	0.452299	0.453336
Libyan Dinar	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000
Malaysian Ringgit	3.810150	3.821280	NA	3.898270	3.906960	3.941630	3.917450	3.898390	3.912110	3.904560	3.912750
Mauritian Rupee	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mexican Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Nepalese Rupee	74.903900	75.054900	75.569000	76.892300	77.003100	77.885900	77.478700	77.041300	77.306300	77.096700	77.273600
New Zealand Dollar	2.354990	2.364590	2.365830	2.388500	2.385250	2.392680	2.386430	2.372230	2.370090	2.352040	2.366530
Norwegian Krone	9.650450	9.666160	9.661570	9.527990	9.571660	9.523090	9.585270	9.586970	9.670580	9.642830	9.649610
Rial Omani	0.574174	0.575331	0.579272	0.589415	0.590265	0.596794	0.591200	0.587862	0.589885	0.588285	0.589635
Pakistani Rupee	46.258400	46.321600	46.638900	47.455500	47.523900	48.049600	47.599200	47.330500	47.493300	47.364500	47.473200
Nuevo Sol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Philippine Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Polish Zloty	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Qatar Riyal	5.435610	5.446570	5.483880	5.579900	5.587950	5.649750	5.596790	5.565200	5.584340	5.569200	5.581980
Russian Ruble	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Saudi Arabian Riyal	5.592410	5.603680	5.642070	5.740860	5.749140	5.812730	5.758240	5.725730	5.745430	5.729850	5.742990
Singapore Dollar	2.163790	2.169200	NA	2.208970	2.197260	2.187110	2.179520	2.166450	2.168230	2.168010	2.168080
South African Rand	5.373640	5.391950	5.385200	5.442700	5.479720	5.534120	5.551430	5.576660	5.548290	5.550080	5.519870
Sri Lanka Rupee	74.829300	74.995100	NA	76.677700	76.803600	77.466800	76.786700	76.383800	76.700300	76.492400	76.652500
Swedish Krona	10.960800	10.966500	11.028800	11.114600	11.080700	11.062700	11.016000	10.938500	11.190900	11.117700	11.120200
Swiss Franc	1.854980	1.855420	1.853070	1.801200	1.796890	1.779520	1.791280	1.805940	1.798800	1.796990	1.797270
Thai Baht	37.213000	37.303000	37.483200	38.016900	38.071700	38.368700	38.055100	37.870900	37.985800	37.898100	37.985000
Trinidad And Tobago Dollar	8.850940	8.832570	NA	9.082980	9.078570	9.174490	9.091250	8.997120	9.082380	9.039850	9.085130
Tunisian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
U.A.E. Dirham	5.481900	5.492950	5.530580	5.627420	5.635540	5.697870	5.644460	5.612590	5.631900	5.616630	5.629520
Peso Uruguayo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bolivar Fuerte	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA

Currency units per SDR for March 1995 Continued

Currency	March 16, 1995	March 17, 1995	March 20, 1995	March 21, 1995	March 22, 1995	March 23, 1995	March 24, 1995	March 27, 1995	March 28, 1995	March 29, 1995	March 30, 1995	March 31, 1995
Chinese Yuan	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13.149400
Euro	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Japanese Yen	138.369000	138.752000	137.612000	NA	137.025000	137.117000	136.771000	136.282000	138.423000	137.690000	137.374000	139.431000
U.K. Pound Sterling	0.966172	0.970349	0.970918	0.975212	0.970851	0.972539	0.967163	0.965361	0.964663	0.964969	0.964945	0.967452
U.S. Dollar	1.541720	1.541690	1.538420	1.543760	1.539090	1.545850	1.544560	1.537820	1.544040	1.555820	1.556650	1.560500
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	2.064990	2.078310	2.109450	2.127860	2.113840	2.139290	2.126030	2.113840	2.124440	2.139760	2.143260	2.143540
Bahrain Dinar	0.579687	0.579675	0.578446	0.580454	0.578698	0.581240	0.580755	0.578220	0.580559	0.584988	0.585300	0.586748
Botswana Pula	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brazilian Real	1.359800	1.376730	1.366120	1.389380	1.383640	1.391270	1.408640	1.394800	1.401990	1.414240	1.408770	1.406010
Brunei Dollar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Canadian Dollar	2.179680	2.185650	2.166400	2.162650	2.158570	2.173470	2.164550	2.155250	2.166290	2.183130	2.176660	2.183140
Chilean Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	629.116000
Colombian Peso	1,335.750000	1,334.530000	NA	1,333.450000	1,332.680000	1,341.500000	1,342.150000	1,336.700000	1,343.530000	1,357.560000	1,363.950000	1,373.600000
Czech Koruna	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Danish Krone	8.660610	8.621130	8.665150	8.643510	8.689700	8.672220	8.652630	8.644090	8.601070	8.572570	8.574810	8.551540
Hungarian Forint	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Icelandic Krona	98.639200	98.452300	98.981900	98.970500	99.271300	99.166300	99.191600	99.097100	98.756800	98.530100	98.535900	98.810900
Indian Rupee	48.579600	48.578700	48.460200	48.674800	48.542900	48.941600	48.885300	48.656600	48.807100	49.101700	48.987800	49.155800
Indonesian Rupiah	3,413.370000	3,414.840000	3,407.600000	3,420.970000	3,410.620000	3,427.150000	3,424.290000	3,410.880000	3,424.680000	3,450.810000	3,454.210000	3,462.750000
Iranian Rial	2,682.110000	2,682.110000	2,682.110000	2,682.110000	2,682.110000	2,682.110000	2,682.110000	2,701.440000	2,689.650000	2,700.530000	2,721.130000	2,721.130000
Israeli New Sheqel	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Kazakhstani Tenge	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Korean Won	1,201.310000	1,200.510000	1,193.350000	1,195.640000	1,189.560000	1,187.830000	1,183.910000	1,185.510000	1,188.450000	1,199.850000	1,201.110000	1,203.930000
Kuwaiti Dinar	0.455008	NA	NA	0.456320	0.455232	0.456830	NA	0.454949	0.456418	0.458049	0.457780	NA
Libyan Dinar	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000
Malaysian Ringgit	3.925220	NA	3.920360	3.936430	3.925450	3.941610	3.940170	3.910060	3.916460	3.941200	3.944550	3.956340
Mauritian Rupee	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mexican Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10.588000
Nepalese Rupee	77.687300	77.685800	77.521000	77.790100	77.554700	77.895400	77.830400	77.490700	77.804200	78.397800	78.439600	78.633600
New Zealand Dollar	2.369330	2.374750	2.385520	2.388610	2.373310	2.389260	2.378810	2.366970	2.383880	2.395410	2.391170	2.405580
Norwegian Krone	9.625730	9.595480	9.653590	9.641550	9.686260	9.673930	9.678990	9.676730	9.637900	9.588520	9.618540	9.647790
Rial Omani	0.592791	0.592780	0.591522	0.593576	0.591780	0.594379	0.593883	0.591292	0.593683	0.598213	0.598532	0.600012
Pakistani Rupee	47.727300	47.726400	47.625200	47.790500	47.645900	47.855200	47.815300	47.606600	47.799200	48.163800	48.189500	48.308700
Nuevo Sol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Philippine Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	40.417000
Polish Zloty	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.667180
Qatar Riyal	5.611860	5.611750	5.599850	5.619290	5.602290	5.626890	5.622200	5.597660	5.620310	5.663180	5.666210	5.680220
Russian Ruble	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Saudi Arabian Riyal	5.773740	5.773630	5.761380	5.781380	5.763890	5.789210	5.784380	5.759140	5.782430	5.826550	5.829650	5.844070
Singapore Dollar	2.175830	2.176560	2.171170	2.182410	2.177810	2.186140	2.189410	2.179710	2.193460	2.204910	2.209980	2.214350
South African Rand	5.503170	5.546230	5.582160	NA	5.555350	5.565830	5.572000	5.547690	5.557770	5.581500	5.603160	5.602980
Sri Lanka Rupee	NA	76.976600	76.782500	77.110800	76.846800	77.168800	77.058100	76.783400	77.140200	77.619900	77.599000	77.915800
Swedish Krona	11.117300	11.084800	11.191200	11.152900	11.180700	11.267700	11.284600	11.239200	11.284600	11.381800	11.513100	11.504800
Swiss Franc	1.780690	1.784510	1.792260	1.791220	1.807200	1.793340	1.799410	1.797250	1.783210	1.766170	1.769600	1.777570
Thai Baht	38.111300	38.126000	37.999000	38.161700	38.046300	38.198000	38.150600	38.014900	38.199500	38.428800	38.402600	38.606800
Trinidad And Tobago Dollar	9.109410	9.120950	9.094520	9.159440	9.136040	9.155610	9.163100	9.119730	9.152450	9.225390	9.194350	9.234260
Tunisian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
U.A.E. Dirham	5.659650	5.659540	5.647540	5.667140	5.650000	5.674820	5.670080	5.645340	5.668170	5.711420	5.714460	5.728600
Peso Uruguayo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
