Currency units per SDR for May 1995
Currency	May 01, 1995	May 02, 1995	May 03, 1995	May 04, 1995	May 05, 1995	May 08, 1995	May 09, 1995	May 10, 1995	May 11, 1995	May 12, 1995	May 15, 1995
Chinese Yuan	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Euro	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Japanese Yen	131.928000	131.968000	NA	NA	NA	131.569000	131.508000	131.502000	130.793000	132.019000	134.250000
U.K. Pound Sterling	0.973092	0.974944	0.977933	0.974547	0.978505	NA	0.989924	0.991050	0.990773	0.980733	0.980427
U.S. Dollar	1.570570	1.576680	1.577700	1.575550	1.574610	1.583260	1.578730	1.576760	1.557990	1.537790	1.537800
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	2.156780	2.164280	2.162710	2.144190	2.120400	2.136360	2.138620	2.164100	2.135700	2.092230	2.087130
Bahrain Dinar	0.590534	0.592832	0.593215	0.592407	0.592053	0.595306	0.593602	0.592862	0.585804	0.578209	0.578213
Botswana Pula	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brazilian Real	NA	1.436360	1.438860	1.424300	1.421870	1.424930	1.416120	1.411200	1.389730	1.374780	1.376330
Brunei Dollar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Canadian Dollar	2.128750	2.140190	2.152140	2.149210	2.132020	2.150070	2.143920	2.139190	2.105000	2.081090	2.089560
Chilean Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Colombian Peso	NA	1,384.170000	1,389.370000	1,391.160000	1,389.180000	1,394.960000	1,391.380000	1,385.770000	1,371.420000	1,354.900000	1,352.260000
Czech Koruna	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Danish Krone	8.588980	8.579500	8.512480	8.518210	8.502890	8.483900	8.487250	8.516080	8.545580	NA	8.657050
Hungarian Forint	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Icelandic Krona	NA	99.362400	99.284700	99.212400	98.964200	99.048700	99.065300	99.115100	99.430900	99.987100	99.741700
Indian Rupee	49.300200	49.523500	49.587100	49.503800	49.474200	49.746000	49.556300	49.494500	48.905300	48.363500	48.348400
Indonesian Rupiah	3,497.660000	3,512.840000	3,515.120000	3,511.900000	3,509.810000	3,530.670000	3,520.570000	3,516.170000	3,475.880000	3,432.350000	3,432.370000
Iranian Rial	2,748.870000	2,744.570000	2,755.250000	2,757.030000	2,757.030000	2,751.630000	2,766.750000	2,766.750000	2,755.390000	2,755.390000	2,687.290000
Israeli New Sheqel	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Kazakhstani Tenge	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Korean Won	NA	1,201.110000	1,202.370000	1,201.040000	NA	1,207.240000	1,200.780000	1,198.180000	1,184.540000	1,170.410000	1,173.800000
Kuwaiti Dinar	0.460444	0.462283	0.462077	0.461447	NA	0.463816	NA	NA	NA	NA	0.458034
Libyan Dinar	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000
Malaysian Ringgit	NA	3.891250	3.879250	3.879000	3.879050	3.900360	3.889990	NA	3.846830	3.835250	NA
Mauritian Rupee	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mexican Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Nepalese Rupee	79.141000	79.448900	79.500300	79.392000	79.344600	79.780500	79.552200	79.452900	78.507100	77.489200	77.489700
New Zealand Dollar	2.332650	2.338250	2.328710	2.328970	2.323120	NA	2.332640	2.338020	2.320860	NA	2.325770
Norwegian Krone	NA	9.814040	9.758070	9.762900	9.745260	9.738630	9.743130	9.768820	9.788070	9.913360	9.864220
Rial Omani	0.603884	0.606233	0.606626	0.605799	0.605438	0.608763	0.607022	0.606264	0.599047	0.591280	0.591284
Pakistani Rupee	48.589000	48.778100	48.809600	48.743100	48.714000	48.981600	48.841500	48.780500	48.199800	47.574900	47.575200
Nuevo Sol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Philippine Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Polish Zloty	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Qatar Riyal	5.716870	5.739120	5.742830	5.735000	5.731580	5.763070	5.746580	5.739410	5.671080	5.597560	5.597590
Russian Ruble	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Saudi Arabian Riyal	5.881780	5.904670	5.908490	5.900430	5.896910	5.929310	5.912340	5.904970	5.834670	5.759020	5.759060
Singapore Dollar	NA	2.191900	2.192850	2.189700	2.188550	2.200410	2.198700	NA	2.172620	2.167820	NA
South African Rand	NA	5.716250	5.729420	5.724760	5.708750	5.735360	5.725260	5.732310	5.668750	5.633690	5.622970
Sri Lanka Rupee	NA	78.518700	78.522100	78.446600	78.415600	78.830500	78.636500	78.601500	NA	76.874100	NA
Swedish Krona	NA	11.488000	11.536900	11.418000	11.386800	11.373300	11.347900	11.257300	11.224500	11.308900	11.281300
Swiss Franc	NA	1.791900	1.788320	1.787460	1.783250	1.782750	1.786330	1.799080	1.824410	1.853040	1.853820
Thai Baht	NA	38.770600	38.764100	38.711300	NA	38.884900	38.757800	38.756800	38.326600	37.983400	NA
Trinidad And Tobago Dollar	9.272020	9.328900	9.333670	9.302050	9.288940	9.340600	9.306140	9.330630	9.232650	9.089880	9.054870
Tunisian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
U.A.E. Dirham	5.765560	5.787990	5.791740	5.783840	5.780390	5.812150	5.795520	5.788290	5.719380	5.645230	5.645260
Peso Uruguayo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bolivar Fuerte	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA

Currency units per SDR for May 1995 Continued

Currency	May 16, 1995	May 17, 1995	May 18, 1995	May 19, 1995	May 22, 1995	May 23, 1995	May 24, 1995	May 25, 1995	May 26, 1995	May 29, 1995	May 30, 1995	May 31, 1995
Chinese Yuan	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13.782900
Euro	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Japanese Yen	132.391000	132.937000	133.676000	133.537000	133.417000	134.183000	133.761000	133.235000	132.807000	129.480000	130.931000	131.116000
U.K. Pound Sterling	0.981929	0.980341	0.975243	0.977352	0.977793	0.975953	0.976572	0.977052	0.980921	NA	0.985353	0.982488
U.S. Dollar	1.532300	1.540410	1.534740	1.539330	1.533180	1.536150	1.532730	1.542960	1.576340	1.574230	1.575580	1.575910
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	2.092450	2.106110	2.101520	2.139150	2.130900	2.137400	2.129380	2.148370	2.180580	2.187340	2.184660	2.207780
Bahrain Dinar	0.576145	0.579194	0.577062	0.578788	0.576476	0.577592	0.576306	0.580153	0.592704	0.591910	0.592418	0.592542
Botswana Pula	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brazilian Real	1.362210	1.369420	1.364380	1.366930	1.363000	1.364100	1.361060	1.370150	1.404520	1.408940	1.424320	1.424620
Brunei Dollar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Canadian Dollar	2.078110	2.089570	2.082340	2.088410	NA	2.096380	2.092330	2.113080	2.164000	2.154960	2.159810	2.158370
Chilean Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	594.906000
Colombian Peso	1,344.520000	1,348.120000	1,342.500000	1,348.070000	1,339.260000	1,338.160000	1,333.400000	1,343.220000	1,376.080000	NA	1,374.950000	1,381.060000
Czech Koruna	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Danish Krone	8.650600	8.653250	8.661310	8.670280	8.661700	8.634700	8.657630	NA	8.539820	8.533110	8.549100	8.550100
Hungarian Forint	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Icelandic Krona	99.829300	99.649100	99.834800	99.902500	99.948000	99.742200	99.980000	NA	99.088700	99.333900	99.466400	99.282300
Indian Rupee	48.175500	48.445900	48.282900	48.396500	48.172500	48.235100	48.127700	48.433500	49.497100	49.415100	49.489000	49.515100
Indonesian Rupiah	3,420.090000	3,438.200000	3,425.540000	3,437.320000	3,425.120000	3,431.760000	3,425.650000	NA	3,523.120000	3,518.400000	3,521.420000	NA
Iranian Rial	2,687.310000	2,677.690000	2,677.690000	2,677.690000	2,689.980000	2,679.230000	2,684.420000	2,678.450000	2,678.450000	2,754.650000	2,754.650000	2,753.330000
Israeli New Sheqel	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Kazakhstani Tenge	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Korean Won	1,169.450000	1,173.640000	1,169.320000	1,172.200000	1,166.290000	1,169.470000	1,167.630000	1,173.110000	1,198.180000	1,197.360000	1,197.600000	1,197.850000
Kuwaiti Dinar	0.455660	0.458734	0.457736	NA	0.457363	0.458249	0.457229	0.459447	NA	0.467090	NA	0.468565
Libyan Dinar	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000
Malaysian Ringgit	3.807000	3.814060	3.802780	3.805990	3.776990	3.781230	3.781240	3.797220	3.882530	3.871820	3.889000	NA
Mauritian Rupee	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mexican Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.731240
Nepalese Rupee	77.212600	77.621300	77.335500	77.566800	77.256900	77.406600	77.234300	77.749800	79.431800	79.325400	79.393500	79.410100
New Zealand Dollar	2.307330	2.320940	NA	2.327030	2.332190	2.333870	2.325140	2.335340	2.367590	2.355930	2.361480	2.363750
Norwegian Krone	9.193800	NA	9.914420	9.863260	9.860650	9.845190	9.866180	NA	9.744930	9.735830	9.755990	9.738340
Rial Omani	0.589169	0.592288	0.590108	0.591872	0.589508	0.590650	0.589335	0.593268	0.606103	0.605291	0.605811	0.605937
Pakistani Rupee	47.497200	47.748600	47.572800	47.622600	47.524400	47.693600	47.587400	47.905100	48.941400	48.875900	48.917800	48.928100
Nuevo Sol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Philippine Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	40.658500
Polish Zloty	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.813700
Qatar Riyal	5.577570	5.607090	5.586450	5.603160	5.580780	5.591590	5.579140	5.616370	5.737880	5.730200	5.735110	5.736310
Russian Ruble	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Saudi Arabian Riyal	5.738460	5.768840	5.747600	5.764790	5.741760	5.752880	5.740070	5.778390	5.903390	5.895490	5.900550	5.901780
Singapore Dollar	2.145220	2.155190	2.151250	2.145210	2.136030	2.137550	2.137550	2.146870	2.191270	2.188650	2.194000	2.190830
South African Rand	5.605920	5.638670	5.659350	5.683980	5.664330	5.672230	5.667270	5.692750	5.779650	5.749880	5.767410	5.800140
Sri Lanka Rupee	76.630300	77.097500	76.875100	77.058900	NA	76.976500	76.820400	77.286900	78.832800	78.664300	78.810500	78.874300
Swedish Krona	11.296900	11.304300	11.328700	11.369500	11.305700	11.348300	11.365500	NA	11.328700	11.432800	11.455300	11.392600
Swiss Franc	1.860520	1.847720	1.852120	1.841810	1.846720	1.839540	1.845410	NA	1.800180	1.803280	1.800890	1.804570
Thai Baht	37.878500	38.109700	38.015500	38.098400	37.976900	38.050400	37.965700	38.188300	38.872500	38.678800	38.759300	38.814700
Trinidad And Tobago Dollar	9.028460	9.112450	9.029640	9.057880	9.033340	9.073730	9.043570	9.078780	9.297730	9.253800	NA	9.263040
Tunisian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
U.A.E. Dirham	5.625070	5.654850	5.634030	5.650880	5.628300	5.639210	5.626650	5.664210	5.786740	5.779000	5.783950	5.785170
Peso Uruguayo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
