Currency units per SDR for August 1995
Currency	August 01, 1995	August 02, 1995	August 03, 1995	August 04, 1995	August 07, 1995	August 08, 1995	August 09, 1995	August 10, 1995	August 11, 1995	August 14, 1995	August 15, 1995
Chinese Yuan	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Euro	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Japanese Yen	136.977000	137.775000	140.153000	140.038000	140.415000	140.008000	140.666000	141.155000	141.874000	142.967000	141.272000
U.K. Pound Sterling	0.974364	0.965408	0.963257	0.961995	0.959912	0.958657	0.959967	0.958613	0.958662	0.962580	0.959063
U.S. Dollar	1.555670	1.549770	1.544390	1.542270	1.541330	1.534330	1.535660	1.532630	1.517370	1.517700	1.508510
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	2.100550	2.096270	2.088140	2.094050	2.079510	2.063660	2.063780	2.068880	2.038650	2.047900	2.034680
Bahrain Dinar	0.584932	0.582714	0.580691	0.579894	0.579540	0.576908	0.577408	0.576269	0.570531	0.570655	0.567200
Botswana Pula	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brazilian Real	1.453000	1.447490	1.442460	1.440480	1.439600	1.433060	1.434310	1.431480	1.417220	1.419050	1.416490
Brunei Dollar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Canadian Dollar	2.126450	2.102880	2.098210	2.091320	NA	2.080700	2.088960	2.081310	2.061500	2.068630	2.052180
Chilean Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Colombian Peso	1,397.540000	1,396.000000	NA	1,415.080000	1,412.070000	1,405.660000	1,412.960000	1,408.980000	NA	1,394.960000	1,391.160000
Czech Koruna	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Danish Krone	8.370280	8.337760	8.341250	8.342910	8.343220	8.388180	8.389310	8.380420	8.397880	8.450550	8.460480
Hungarian Forint	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Icelandic Krona	97.929400	97.604500	NA	97.641100	NA	97.782900	97.836900	97.659200	97.749000	98.043400	98.173800
Indian Rupee	48.863600	48.678300	48.509300	48.442700	48.428600	48.224000	48.465400	48.369800	47.736500	47.777200	47.487900
Indonesian Rupiah	3,509.590000	3,497.830000	3,487.230000	3,482.450000	3,480.320000	3,464.520000	NA	3,462.210000	3,429.260000	NA	3,410.740000
Iranian Rial	2,725.300000	2,718.530000	2,708.220000	NA	2,695.120000	2,693.470000	2,681.240000	2,683.570000	2,683.570000	2,651.600000	2,651.600000
Israeli New Sheqel	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Kazakhstani Tenge	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Korean Won	1,177.800000	1,173.490000	1,169.880000	1,170.270000	1,169.870000	1,163.940000	1,164.340000	1,161.730000	1,150.620000	1,153.600000	NA
Kuwaiti Dinar	0.466779	0.465241	0.463966	NA	0.463216	0.461404	NA	NA	NA	0.458634	0.455419
Libyan Dinar	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000
Malaysian Ringgit	3.817610	3.803140	3.802440	3.796450	3.797840	3.790260	NA	3.782680	3.751700	3.755550	3.720740
Mauritian Rupee	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mexican Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Nepalese Rupee	79.354700	79.053800	78.779300	78.671200	78.623200	78.266200	78.334000	78.179500	77.401000	77.417900	77.084900
New Zealand Dollar	2.310520	2.299360	2.303000	2.302930	2.303240	2.295870	2.311000	2.314450	2.293140	2.295370	2.277000
Norwegian Krone	9.543260	9.500090	9.493370	9.499610	9.489200	9.537400	9.536450	9.519160	9.519220	9.588830	9.596390
Rial Omani	0.598155	0.595887	0.593818	0.593003	0.592641	0.589950	0.590461	0.589296	0.583429	0.583556	0.580022
Pakistani Rupee	48.642700	48.458200	48.290000	48.223700	48.194300	48.067800	48.109500	48.014500	47.536500	47.546800	47.364600
Nuevo Sol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Philippine Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Polish Zloty	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Qatar Riyal	5.662640	5.641160	5.621580	5.613860	5.610440	5.584960	5.589800	5.578770	5.523230	5.524430	5.490980
Russian Ruble	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Saudi Arabian Riyal	5.825980	5.803890	5.783740	5.775800	5.772280	5.746070	5.751050	5.739700	5.682550	5.683790	5.649370
Singapore Dollar	2.167520	2.161930	2.160450	2.157170	2.156320	2.145760	NA	2.137250	2.121590	2.123260	2.107990
South African Rand	5.622970	5.610940	5.586830	5.574530	5.560350	5.539700	NA	5.539690	5.513360	5.514560	5.521900
Sri Lanka Rupee	79.288600	78.987900	78.837200	78.713600	78.727300	78.446500	78.560500	NA	77.852500	78.021200	77.511000
Swedish Krona	11.030800	10.951600	10.917300	10.925400	10.875300	10.964200	10.996900	10.923400	10.786200	10.864500	10.931400
Swiss Franc	NA	1.778360	1.783000	1.779780	1.782550	1.791330	1.791350	1.786280	1.807640	1.812890	1.818360
Thai Baht	38.502800	38.356800	38.331800	38.263700	38.271200	38.112800	38.145800	38.085900	37.782500	NA	37.592100
Trinidad And Tobago Dollar	NA	9.099010	9.043790	9.059760	9.059170	9.031070	9.049030	9.055390	8.912880	8.937280	8.854500
Tunisian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
U.A.E. Dirham	5.710860	5.689210	5.669460	5.661670	5.658220	5.632530	5.637410	5.626280	5.570270	5.571480	5.537740
Peso Uruguayo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bolivar Fuerte	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA

Currency units per SDR for August 1995 Continued

Currency	August 16, 1995	August 17, 1995	August 18, 1995	August 21, 1995	August 22, 1995	August 23, 1995	August 24, 1995	August 25, 1995	August 28, 1995	August 29, 1995	August 30, 1995	August 31, 1995
Chinese Yuan	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12.417200
Euro	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Japanese Yen	146.526000	145.565000	145.409000	144.657000	143.917000	144.653000	143.383000	144.113000	144.319000	144.168000	145.858000	147.906000
U.K. Pound Sterling	0.958662	0.962240	0.964851	0.966688	0.968179	0.968502	0.964453	0.966853	NA	0.962790	0.960202	0.961346
U.S. Dollar	1.489090	1.482330	1.491370	1.491310	1.487510	1.488200	1.487380	1.491080	1.495530	1.490880	1.483800	1.492490
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	2.031500	2.021450	2.027970	2.024040	2.016140	2.012440	2.011600	2.007920	2.013910	1.988370	1.972350	1.983640
Bahrain Dinar	0.559898	0.557356	0.560755	0.560733	0.559304	0.559563	0.559255	0.560646	0.562319	0.560571	0.557909	0.561176
Botswana Pula	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brazilian Real	1.399740	1.393390	1.401890	1.403320	1.398260	1.401880	1.405570	1.409070	1.414770	1.411860	1.408130	1.416370
Brunei Dollar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Canadian Dollar	2.022780	2.014190	2.026920	2.026390	2.019150	2.020980	2.017480	2.006700	2.004460	1.997180	1.985320	2.004410
Chilean Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	587.668000
Colombian Peso	1,382.250000	1,400.130000	1,412.660000	1,412.020000	1,408.420000	NA	1,420.630000	1,435.310000	1,451.640000	1,449.180000	1,430.280000	1,433.070000
Czech Koruna	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Danish Krone	8.502700	8.524140	8.534360	8.521350	8.558390	8.566820	8.533840	8.539420	8.523770	8.490560	8.500690	8.504950
Hungarian Forint	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Icelandic Krona	98.205500	98.382200	98.191800	98.366800	98.547500	98.489100	98.375300	98.351600	98.450700	98.204300	97.960500	97.967000
Indian Rupee	47.070100	46.826800	47.127300	47.110500	47.079700	47.101500	47.090500	47.446200	47.542900	47.395100	47.407400	47.520900
Indonesian Rupiah	3,368.320000	3,353.030000	3,374.970000	3,374.830000	3,366.240000	3,367.800000	3,367.430000	3,375.810000	3,387.380000	3,376.840000	3,362.290000	3,381.980000
Iranian Rial	2,636.120000	2,602.180000	2,602.180000	2,606.170000	2,606.060000	2,599.420000	2,600.630000	2,600.630000	2,605.660000	2,613.440000	2,605.310000	2,592.940000
Israeli New Sheqel	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Kazakhstani Tenge	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Korean Won	1,134.690000	1,141.690000	1,160.880000	1,167.400000	1,161.750000	1,153.950000	1,153.910000	1,158.720000	1,161.430000	1,155.130000	1,149.050000	1,159.810000
Kuwaiti Dinar	0.452520	0.450021	NA	0.452180	0.451236	0.451654	0.450661	NA	0.452099	0.450693	0.448924	0.450896
Libyan Dinar	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000
Malaysian Ringgit	3.711260	3.692480	3.719480	3.717090	3.715060	3.716040	3.712500	3.715920	3.720130	3.709910	3.704460	NA
Mauritian Rupee	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mexican Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.342990
Nepalese Rupee	76.092500	75.747100	76.209000	76.205900	76.011800	76.047000	76.153900	76.343300	76.571100	76.333100	76.786700	77.236400
New Zealand Dollar	2.287040	2.288250	2.302210	2.293260	2.286020	2.301930	2.299950	2.297500	2.293760	2.276150	2.277510	2.295430
Norwegian Krone	9.610590	9.626250	9.618590	9.613730	9.647250	9.648000	9.607730	9.615970	9.616260	9.585610	9.574960	9.575820
Rial Omani	0.572555	0.569956	0.573432	0.573409	0.571948	0.572213	0.571898	0.573320	0.575031	0.573243	0.570521	0.573862
Pakistani Rupee	46.754900	46.542600	46.826500	46.824600	46.705300	46.727000	46.701200	46.817400	46.957100	46.811100	46.588800	46.861600
Nuevo Sol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Philippine Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	38.685300
Polish Zloty	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.544660
Qatar Riyal	5.420290	5.395680	5.428590	5.428370	5.414540	5.417050	5.414060	5.427530	5.443730	5.426800	5.401030	5.432660
Russian Ruble	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Saudi Arabian Riyal	5.576640	5.551330	5.585180	5.584960	5.570720	5.573310	5.570240	5.584090	5.600760	5.583350	5.556830	5.589380
Singapore Dollar	2.108550	2.104170	2.128630	2.125420	2.118660	2.124110	2.117290	2.124490	2.118420	2.113020	2.110850	2.123510
South African Rand	5.443370	5.417170	5.454690	5.451480	5.448010	5.455000	5.444550	5.456610	5.468410	5.455880	5.431450	5.457290
Sri Lanka Rupee	76.885400	76.536400	76.995700	77.022400	76.826200	76.969000	76.923600	77.189500	77.404900	77.238800	77.079700	77.575900
Swedish Krona	10.883000	10.868700	10.937700	10.988000	10.932500	10.925600	10.856400	10.891600	10.933100	10.903600	10.884400	10.906400
Swiss Franc	1.827710	1.834680	1.820660	1.821640	1.834100	1.827210	1.829480	1.815390	1.808540	1.803670	1.802820	1.796210
Thai Baht	37.331500	37.162000	37.343900	37.372200	37.247300	37.294300	37.229100	37.321700	37.403200	37.286900	37.184000	37.446600
Trinidad And Tobago Dollar	8.700160	8.668520	8.733160	8.735200	8.732280	8.750760	8.733600	8.759650	8.786840	8.807970	8.745960	NA
Tunisian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
U.A.E. Dirham	5.466450	5.441630	5.474820	5.474600	5.460650	5.463180	5.460170	5.473750	5.490090	5.473020	5.447030	5.478930
