Currency units per SDR for July 1996
Currency	July 01, 1996	July 02, 1996	July 03, 1996	July 04, 1996	July 05, 1996	July 08, 1996	July 09, 1996	July 10, 1996	July 11, 1996	July 12, 1996	July 15, 1996
Chinese Yuan	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Euro	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Japanese Yen	158.529000	158.360000	158.834000	158.858000	159.576000	159.844000	159.371000	159.032000	159.265000	159.068000	159.326000
U.K. Pound Sterling	0.929146	0.927200	0.925167	0.924734	0.925949	0.926605	0.928819	0.930260	0.927544	0.929603	0.929573
U.S. Dollar	1.443800	1.442260	1.440670	1.443510	1.440870	1.438740	1.440970	1.441810	1.441310	1.443580	1.440560
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	1.833630	1.834240	NA	1.844510	1.834100	1.812240	1.814370	1.810410	1.803670	1.817420	1.809980
Bahrain Dinar	0.542869	0.542290	0.541692	0.542760	0.541767	0.540966	0.541805	0.542121	0.541933	0.542786	0.541651
Botswana Pula	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brazilian Real	1.449000	1.447600	1.447010	1.449720	1.446780	1.444490	1.446880	1.448590	1.448370	1.450510	1.447470
Brunei Dollar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Canadian Dollar	NA	1.966230	1.960460	1.962020	1.970970	1.972220	1.973120	1.973690	1.960610	1.976690	1.972850
Chilean Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Colombian Peso	NA	1,541.930000	1,542.310000	1,541.840000	1,539.280000	1,535.640000	1,539.200000	1,539.810000	1,535.930000	1,532.780000	1,529.860000
Czech Koruna	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Danish Krone	8.472220	8.482650	8.481940	8.460410	8.478080	8.484970	8.462100	8.469190	8.469860	8.450000	8.461130
Hungarian Forint	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Icelandic Krona	96.951200	96.948700	96.913900	96.816200	96.884100	96.971100	96.919600	96.990600	96.956900	96.864200	96.906500
Indian Rupee	50.590800	50.551200	50.654000	50.710500	50.617800	NA	51.068000	51.040100	51.267400	51.290400	51.298300
Indonesian Rupiah	3,379.940000	3,376.330000	3,372.610000	3,379.260000	3,373.080000	3,368.090000	3,373.310000	3,375.280000	3,374.110000	3,379.420000	3,372.350000
Iranian Rial	2,529.450000	2,530.260000	2,527.560000	2,524.770000	2,524.770000	2,525.120000	2,521.390000	2,525.300000	2,526.770000	2,526.770000	2,529.870000
Israeli New Sheqel	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Kazakhstani Tenge	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Korean Won	1,170.340000	1,168.090000	1,168.670000	1,171.120000	1,166.100000	1,169.410000	1,172.660000	1,171.330000	1,168.470000	1,172.190000	1,171.030000
Kuwaiti Dinar	0.432866	0.432317	0.431942	0.432649	NA	0.431780	0.432205	0.432456	0.432307	NA	0.432082
Libyan Dinar	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000
Malaysian Ringgit	3.599390	3.596130	3.591880	3.596510	3.590650	3.585770	3.591330	3.595150	3.592470	3.594800	3.590600
Mauritian Rupee	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mexican Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Nepalese Rupee	80.896100	80.809800	80.720700	80.879900	80.731900	80.612600	80.737500	80.784600	81.477300	81.605600	81.434900
New Zealand Dollar	2.108970	2.109490	2.111180	2.107930	2.099480	2.092100	2.097480	2.098090	2.090370	2.097920	2.102390
Norwegian Krone	9.381090	9.383340	9.392450	9.359720	9.375020	9.394970	9.388640	9.409970	9.395900	9.376770	9.374440
Rial Omani	0.555141	0.554549	0.553938	0.555030	0.554015	0.553196	0.554053	0.554376	0.554184	0.555057	0.553895
Pakistani Rupee	NA	50.750000	50.694000	50.793900	50.701000	50.626100	50.805700	50.835300	50.817700	50.897700	50.791300
Nuevo Sol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Philippine Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Polish Zloty	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Qatar Riyal	5.255430	5.249830	5.244040	5.254380	5.244770	5.237010	5.245130	5.248190	5.246370	5.254630	5.243640
Russian Ruble	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Saudi Arabian Riyal	5.407030	5.401260	5.395310	5.405940	5.396060	5.388080	5.396430	5.399580	5.397710	5.406210	5.394900
Singapore Dollar	2.039800	2.036180	2.036390	2.040260	2.036670	2.035240	2.037100	2.037570	2.038300	2.045260	2.044300
South African Rand	6.258150	6.248590	6.240260	6.261220	6.249770	6.247730	6.250210	6.243760	6.261770	6.358970	6.399690
Sri Lanka Rupee	79.824100	79.738900	79.730300	79.887500	79.835000	79.842900	79.963000	80.009600	80.003500	80.125900	80.059100
Swedish Krona	9.584090	9.590450	9.673380	9.561810	9.594320	9.626610	9.651470	9.637060	9.612820	9.673430	9.686330
Swiss Franc	1.805180	1.806140	1.804730	1.810880	1.814340	1.818570	1.817930	1.822020	1.818210	1.810970	1.814390
Thai Baht	NA	36.590100	36.578600	36.636300	36.598100	36.572800	36.615000	36.622000	36.609300	36.638100	36.575800
Trinidad And Tobago Dollar	8.569530	8.550440	8.546630	8.562040	8.563090	8.561220	8.567860	8.568390	8.563690	8.587710	8.560380
Tunisian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
U.A.E. Dirham	5.300190	5.294540	5.288700	5.299130	5.289430	5.281610	5.289800	5.292880	5.291050	5.299380	5.288300
Peso Uruguayo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bolivar Fuerte	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA

Currency units per SDR for July 1996 Continued

Currency	July 16, 1996	July 17, 1996	July 18, 1996	July 19, 1996	July 22, 1996	July 23, 1996	July 24, 1996	July 25, 1996	July 26, 1996	July 29, 1996	July 30, 1996	July 31, 1996
Chinese Yuan	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12.179700
Euro	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Japanese Yen	159.852000	158.747000	158.041000	157.932000	157.132000	156.763000	157.441000	157.978000	157.844000	158.172000	157.742000	158.161000
U.K. Pound Sterling	0.931757	0.936199	0.941658	0.941825	0.941061	0.940323	0.937630	0.937986	0.937538	0.936380	0.939107	0.940655
U.S. Dollar	1.450560	1.453730	1.453920	1.455590	1.456950	1.460980	1.459140	1.457630	1.459090	1.458880	1.461250	1.465540
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	1.827360	1.846010	1.854960	1.840190	1.838890	1.854270	1.843750	1.843230	1.852340	1.850670	1.855080	1.895670
Bahrain Dinar	0.545411	0.546602	0.546674	0.547302	0.547813	0.549328	0.548637	0.548069	0.548618	0.548539	0.549430	0.551043
Botswana Pula	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brazilian Real	1.458390	1.462020	1.462350	1.464760	1.466710	1.471060	1.469350	1.469000	1.470620	1.471130	1.474550	1.480050
Brunei Dollar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Canadian Dollar	1.989300	1.995240	1.987510	1.990230	1.992230	2.003730	2.001500	2.000600	2.005370	2.001880	2.007170	2.014820
Chilean Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	603.729000
Colombian Peso	1,545.690000	1,547.960000	1,545.310000	1,541.350000	1,545.850000	1,553.800000	1,553.340000	1,547.220000	1,548.140000	1,548.570000	1,547.730000	1,548.690000
Czech Koruna	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Danish Krone	8.442260	8.345860	8.352770	8.374010	8.384750	8.361920	8.367440	8.363880	8.313890	8.348440	8.341550	8.319870
Hungarian Forint	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Icelandic Krona	96.810400	96.498600	96.714800	96.767600	96.726900	96.658400	96.624300	96.699200	96.489600	96.665400	96.676300	96.579100
Indian Rupee	52.017100	52.130800	52.137600	51.964600	51.969400	51.923200	51.799500	52.022800	52.235400	52.038200	52.122800	52.290500
Indonesian Rupiah	3,395.760000	3,403.180000	3,403.630000	3,407.540000	3,410.720000	3,420.150000	3,415.850000	3,412.310000	3,415.730000	3,415.240000	3,420.790000	3,430.830000
Iranian Rial	2,524.580000	2,542.110000	2,547.660000	NA	2,550.920000	2,553.300000	2,560.370000	2,557.140000	2,557.140000	2,557.060000	2,556.690000	2,560.840000
Israeli New Sheqel	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Kazakhstani Tenge	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Korean Won	1,181.050000	NA	1,183.200000	1,183.540000	1,185.960000	1,188.800000	1,186.570000	1,186.370000	1,187.990000	1,187.240000	1,189.600000	1,191.920000
Kuwaiti Dinar	0.434675	0.434534	0.435086	NA	0.435890	0.436453	0.436706	0.436342	NA	0.436482	0.437089	0.438006
Libyan Dinar	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000
Malaysian Ringgit	3.610150	3.614410	3.616190	3.622670	3.627220	3.635210	3.630340	3.628190	3.632400	NA	3.645090	3.654320
Mauritian Rupee	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mexican Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11.123400
Nepalese Rupee	82.000200	82.906200	82.917100	83.012300	83.089900	83.319700	83.214800	83.128600	83.211900	83.199900	83.335100	83.579700
New Zealand Dollar	2.116370	2.115750	2.113870	2.109550	2.098140	2.104550	2.094660	2.099420	2.094590	2.097000	2.102220	2.124890
Norwegian Krone	9.393100	9.292240	9.305810	9.333970	9.352160	9.326900	9.326820	9.324460	9.269600	9.311300	9.318390	9.326700
Rial Omani	0.557740	0.558959	0.559032	0.559674	0.560197	0.561747	0.561039	0.560459	0.561020	0.560939	0.561851	0.563500
Pakistani Rupee	51.260200	51.372200	51.378900	51.437900	51.486000	51.628400	51.665700	51.612200	51.663900	51.656500	51.740400	51.892300
Nuevo Sol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Philippine Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	38.404500
Polish Zloty	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.956230
Qatar Riyal	5.280040	5.291580	5.292270	5.298350	5.303300	5.317970	5.311270	5.305770	5.311090	5.310320	5.318950	5.334570
Russian Ruble	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Saudi Arabian Riyal	5.432350	5.444220	5.444930	5.451180	5.456280	5.471370	5.464480	5.458820	5.464290	5.463510	5.472380	5.488450
Singapore Dollar	2.059210	2.059060	2.062390	2.064900	2.068580	2.069920	2.067310	2.063860	2.066070	2.064170	2.066940	2.071540
South African Rand	6.433230	6.392780	6.376170	6.389310	6.399650	6.465570	6.453050	6.457300	6.499520	6.495660	6.523750	6.598590
Sri Lanka Rupee	80.607600	80.769200	80.834300	80.930800	80.999100	81.212200	81.124500	NA	81.136300	NA	NA	81.502300
Swedish Krona	9.733260	9.674570	9.648940	9.649110	9.652290	NA	9.544960	9.564970	9.570900	9.579740	9.633290	9.678720
Swiss Franc	1.788830	1.777910	1.773780	1.773930	1.770490	1.758580	1.766290	1.767810	1.761850	1.764520	1.758910	1.744730
Thai Baht	36.800700	36.808400	36.798700	36.841000	36.846300	36.904400	36.887100	36.878000	36.885800	36.895100	NA	37.034200
Trinidad And Tobago Dollar	8.621400	8.644750	8.641960	8.655370	8.666380	8.691370	8.682900	8.667070	8.675900	8.682520	8.683330	8.705160
Tunisian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
U.A.E. Dirham	5.325010	5.336640	5.337340	5.343470	5.348460	5.363260	5.356500	5.350960	5.356320	5.355550	5.364250	5.380000
Peso Uruguayo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
