Currency units per SDR for October 1996
Currency	October 01, 1996	October 02, 1996	October 03, 1996	October 04, 1996	October 07, 1996	October 08, 1996	October 09, 1996	October 10, 1996	October 11, 1996	October 14, 1996	October 15, 1996
Chinese Yuan	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Euro	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Japanese Yen	160.455000	160.729000	160.676000	160.460000	160.972000	160.226000	160.514000	NA	160.176000	160.748000	160.587000
U.K. Pound Sterling	0.921355	0.919331	0.918674	0.919026	0.919894	0.922517	0.919744	0.919185	0.913905	0.911580	0.907987
U.S. Dollar	1.441000	1.439580	1.438460	1.438460	1.438530	1.440880	1.438940	1.438800	1.440040	1.439750	1.436890
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	1.821280	1.813760	1.812120	1.822220	1.821850	1.830620	1.822130	1.826580	1.824450	1.821550	1.813570
Bahrain Dinar	0.541816	0.541282	0.540861	0.540861	0.540887	0.541771	0.541041	0.540989	0.541455	0.541346	0.540271
Botswana Pula	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brazilian Real	NA	1.469380	NA	1.468240	1.469030	1.472150	1.470160	1.471170	1.474460	1.475170	1.471230
Brunei Dollar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Canadian Dollar	1.962640	1.960280	1.957460	1.949540	1.947050	1.951960	1.949040	1.944110	1.947800	NA	1.945410
Chilean Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Colombian Peso	1,480.020000	1,483.540000	1,466.040000	1,460.380000	1,460.090000	1,458.980000	1,453.790000	1,456.450000	1,458.930000	NA	1,458.540000
Czech Koruna	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Danish Krone	8.432730	8.422260	8.448790	8.444480	8.439140	8.420500	8.428590	8.441440	8.445830	8.449170	8.461850
Hungarian Forint	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Icelandic Krona	NA	NA	NA	96.693300	96.683600	96.625400	96.653600	96.716100	96.655500	96.650400	96.688300
Indian Rupee	51.400500	NA	51.237900	51.237900	51.254800	51.338600	51.269400	NA	51.337400	51.341500	51.239500
Indonesian Rupiah	3,373.380000	3,368.620000	3,366.000000	3,366.000000	3,366.160000	3,371.660000	3,367.120000	3,371.110000	3,374.010000	3,373.330000	3,366.630000
Iranian Rial	2,522.500000	2,525.350000	2,522.860000	2,522.860000	2,520.900000	2,521.020000	2,525.140000	2,521.740000	2,521.740000	2,523.670000	2,523.670000
Israeli New Sheqel	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Kazakhstani Tenge	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Korean Won	1,188.540000	1,183.050000	NA	1,180.690000	1,185.490000	1,192.620000	1,191.730000	1,193.050000	1,192.350000	1,193.120000	1,191.900000
Kuwaiti Dinar	0.432199	0.431917	0.431682	NA	0.431703	0.432062	0.431481	0.431439	NA	0.431594	0.430737
Libyan Dinar	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000
Malaysian Ringgit	3.605090	3.602550	3.600180	3.599750	3.598050	3.603640	3.601090	3.605060	3.608450	3.605130	3.597250
Mauritian Rupee	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mexican Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Nepalese Rupee	82.180200	82.099200	82.035400	82.035400	82.039400	82.173400	82.062700	82.054800	82.125500	82.108900	81.945800
New Zealand Dollar	2.057690	2.055960	2.053480	NA	NA	2.085810	2.083610	2.081000	NA	2.063270	2.057990
Norwegian Krone	9.354250	9.360150	9.378040	9.365090	9.358360	9.348430	9.350230	9.350760	9.371060	9.355500	9.336190
Rial Omani	0.554065	0.553519	0.553088	0.553088	0.553115	0.554018	0.553272	0.553219	0.553695	0.553584	0.552484
Pakistani Rupee	53.407100	53.354400	53.312900	53.312900	53.315500	53.402600	53.330700	53.325500	53.371500	53.360700	53.254700
Nuevo Sol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Philippine Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Polish Zloty	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Qatar Riyal	5.245240	5.240070	5.235990	5.235990	5.236250	5.244800	5.237740	5.237230	5.241750	5.240690	5.230280
Russian Ruble	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Saudi Arabian Riyal	5.396550	5.391230	5.387030	5.387030	5.387290	5.396100	5.388830	5.388310	5.392950	5.391860	5.381150
Singapore Dollar	2.028640	2.028510	2.028950	2.027800	2.030050	2.033230	2.029340	2.027410	2.028150	2.029330	2.026590
South African Rand	6.539980	6.496100	6.512630	6.525570	6.520140	6.537990	6.530630	6.554450	6.545700	6.538620	6.525640
Sri Lanka Rupee	81.276000	81.228300	81.219000	81.215500	81.251800	81.377300	81.285700	81.274200	81.344300	81.342300	81.195100
Swedish Krona	9.545180	9.512170	9.533390	9.513260	9.502640	9.514130	NA	9.475650	9.504260	9.480030	9.469110
Swiss Franc	1.807730	1.801200	1.806990	1.809010	1.807510	1.797640	1.807160	1.803820	1.803940	1.805450	1.817230
Thai Baht	36.644600	36.608500	36.608800	36.594400	36.610600	36.641600	36.606600	36.588700	36.620200	36.627200	36.554500
Trinidad And Tobago Dollar	8.678710	8.696210	8.689020	8.687440	8.681670	8.697150	8.685440	8.686900	8.693810	8.690190	8.677090
Tunisian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
U.A.E. Dirham	5.289910	5.284700	5.280590	5.280590	5.280840	5.289470	5.282350	5.281830	5.286390	5.285320	5.274820
Peso Uruguayo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bolivar Fuerte	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA

Currency units per SDR for October 1996 Continued

Currency	October 16, 1996	October 17, 1996	October 18, 1996	October 21, 1996	October 22, 1996	October 23, 1996	October 24, 1996	October 25, 1996	October 28, 1996	October 29, 1996	October 30, 1996	October 31, 1996
Chinese Yuan	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Euro	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Japanese Yen	161.292000	161.005000	161.072000	162.007000	161.931000	162.205000	162.825000	162.718000	163.686000	165.323000	164.766000	164.581000
U.K. Pound Sterling	0.905986	0.905305	0.904143	0.901758	0.901467	0.901916	0.904416	0.902356	0.892751	0.898600	0.890949	0.888239
U.S. Dollar	1.436260	1.436900	1.435960	1.436230	1.438110	1.440540	1.441820	1.439980	1.440900	1.444500	1.444050	1.446230
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	1.815750	1.814500	1.808970	1.801140	1.806440	1.812460	1.820940	1.815860	1.818170	1.824320	1.823300	1.826280
Bahrain Dinar	0.540034	0.540274	0.539921	0.540022	0.540729	0.541643	0.542124	0.541432	0.541778	0.543132	0.542963	0.543782
Botswana Pula	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brazilian Real	1.471160	1.472100	1.470710	NA	1.473490	1.477270	1.479600	1.476840	1.478940	1.483650	1.484050	1.484840
Brunei Dollar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Canadian Dollar	1.946710	1.942980	1.937250	1.934750	1.933680	1.935800	1.940110	1.935620	1.937720	1.943000	1.936620	1.939110
Chilean Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Colombian Peso	1,463.860000	1,463.480000	1,457.840000	1,460.460000	1,464.470000	1,466.530000	1,467.080000	1,462.290000	1,457.740000	1,462.460000	1,454.980000	1,454.660000
Czech Koruna	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Danish Krone	8.476810	8.474840	8.480060	8.475190	8.441710	8.417080	8.397160	8.415240	8.416300	8.386040	8.384150	8.391750
Hungarian Forint	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Icelandic Krona	96.732100	96.732100	96.726300	96.744500	96.497200	96.357700	96.299200	96.377900	96.252100	96.160400	96.000400	95.971800
Indian Rupee	51.217000	51.239900	51.206300	NA	51.268600	51.283200	51.343200	51.277700	51.324900	51.510900	51.509300	51.601500
Indonesian Rupiah	3,365.160000	3,366.660000	3,368.760000	3,369.400000	3,373.810000	3,382.390000	3,385.390000	3,381.070000	3,383.230000	3,391.690000	3,390.630000	3,395.750000
Iranian Rial	2,518.150000	2,517.050000	2,517.050000	2,516.520000	2,516.990000	2,520.290000	2,524.550000	2,524.550000	2,523.560000	2,528.180000	2,531.490000	2,530.700000
Israeli New Sheqel	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Kazakhstani Tenge	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Korean Won	1,190.090000	1,189.900000	1,186.820000	1,188.190000	1,190.470000	1,192.620000	NA	1,192.160000	1,194.510000	1,200.520000	1,203.760000	1,202.250000
Kuwaiti Dinar	0.430907	0.431099	NA	0.430898	0.431131	0.431543	0.431926	NA	0.431650	0.432729	0.432276	0.432669
Libyan Dinar	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000
Malaysian Ringgit	3.602280	3.599870	3.600380	3.601350	3.603900	3.606820	3.614640	3.606430	3.613060	3.628580	3.632510	3.656070
Mauritian Rupee	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mexican Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11.606000
Nepalese Rupee	81.909900	81.946400	81.892800	81.908200	82.015400	82.154000	82.227000	82.122100	82.174500	82.379800	82.354200	82.478500
New Zealand Dollar	2.065970	2.059780	2.044940	2.025140	2.020380	2.030650	2.063580	2.048040	NA	2.037950	2.049460	2.050230
Norwegian Krone	9.386680	9.380800	9.388310	9.378580	9.336210	9.327500	9.304790	9.292190	9.280120	9.234690	9.242640	9.233460
Rial Omani	0.552242	0.552488	0.552127	0.552230	0.552953	0.553888	0.554380	0.553672	0.554026	0.555410	0.555237	0.556075
Pakistani Rupee	53.231400	53.255100	53.220300	53.230300	57.841200	57.939000	57.990400	57.916400	57.953400	58.098200	58.080100	58.167800
Nuevo Sol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Philippine Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Polish Zloty	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.067520
Qatar Riyal	5.227990	5.230320	5.226890	5.227880	5.234720	5.243570	5.248220	5.241530	5.244880	5.257980	5.256340	5.264280
Russian Ruble	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Saudi Arabian Riyal	5.378790	5.381190	5.377670	5.378680	5.385720	5.394820	5.399620	5.392730	5.396170	5.409650	5.407970	5.416130
Singapore Dollar	2.029580	2.030340	2.031170	2.031550	2.034640	2.037070	2.042770	2.039300	2.041610	2.046280	2.042610	2.038170
South African Rand	6.538570	6.545080	6.538640	6.554240	6.575760	6.585430	6.614350	6.641910	6.703790	6.773980	6.848410	6.800900
Sri Lanka Rupee	81.209700	81.260300	81.221500	81.283400	81.389800	81.520200	81.592600	NA	81.544100	81.751500	81.686300	81.773500
Swedish Krona	9.518810	9.528080	9.541670	9.533690	9.493830	9.487400	9.471320	9.491630	9.496970	9.482420	9.477300	9.482210
Swiss Franc	1.822470	1.822710	1.822090	1.822580	1.817770	1.806440	1.811650	1.817250	1.819140	1.808800	1.812570	1.816320
Thai Baht	36.581500	36.597800	36.573900	36.595100	36.628700	NA	36.723200	36.676300	36.728500	36.878100	36.823300	36.864400
Trinidad And Tobago Dollar	8.664380	8.676000	8.730780	8.853930	8.849120	8.783840	8.792360	8.756370	8.730270	8.764360	8.711230	8.731180
Tunisian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
U.A.E. Dirham	5.272510	5.274860	5.271410	5.272400	5.279300	5.288220	5.292920	5.286170	5.289540	5.302760	5.301110	5.309110
Peso Uruguayo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
