Currency units per SDR for July 1997
Currency	July 01, 1997	July 02, 1997	July 03, 1997	July 04, 1997	July 07, 1997	July 08, 1997	July 09, 1997	July 10, 1997	July 11, 1997	July 14, 1997	July 15, 1997
Chinese Yuan	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Euro	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Japanese Yen	159.159000	158.608000	158.873000	158.225000	158.019000	157.826000	156.567000	156.781000	158.027000	157.092000	157.369000
U.K. Pound Sterling	0.833690	0.836085	0.828844	0.825268	0.829209	0.822260	0.824080	0.823277	0.819353	0.818582	0.818334
U.S. Dollar	1.387010	1.387650	1.387900	1.390990	1.395310	1.392990	1.390470	1.391750	1.388640	1.381030	1.379220
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	1.841730	1.837950	1.842670	1.848980	1.870390	1.877090	1.865650	1.873400	1.865200	1.871570	1.874960
Bahrain Dinar	0.521516	0.521756	0.521850	0.523012	0.524637	0.523764	0.522817	0.523298	0.522129	0.519267	0.518587
Botswana Pula	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brazilian Real	1.492560	1.493530	1.494070	1.498100	1.502890	1.500670	1.499200	1.501420	1.498200	1.490820	1.489280
Brunei Dollar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Canadian Dollar	NA	1.911210	1.905860	1.911500	1.920090	1.914390	1.908840	1.911430	1.902990	1.889940	1.890080
Chilean Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Colombian Peso	1,510.470000	1,517.050000	1,524.910000	1,534.040000	1,537.030000	1,535.700000	1,531.160000	1,529.030000	1,524.560000	1,517.010000	1,516.540000
Czech Koruna	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Danish Krone	9.217370	9.223710	9.275340	9.270250	9.262770	9.314920	9.333530	9.337950	9.292080	9.435890	9.431800
Hungarian Forint	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Icelandic Krona	97.895200	97.940300	98.041300	97.939600	97.922900	98.010800	98.000300	97.826100	97.885200	98.246500	98.131500
Indian Rupee	49.682700	49.705600	49.672900	49.783500	49.924200	49.855100	49.751000	49.769000	49.602200	49.330400	49.265700
Indonesian Rupiah	3,399.560000	3,401.130000	3,401.740000	3,409.320000	3,421.300000	3,417.000000	3,410.820000	3,415.350000	3,375.780000	3,393.190000	3,372.190000
Iranian Rial	2,432.720000	2,430.740000	2,431.760000	NA	2,432.290000	2,445.280000	2,441.210000	2,436.800000	2,436.800000	2,433.590000	2,420.260000
Israeli New Sheqel	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Kazakhstani Tenge	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Korean Won	1,231.390000	1,232.370000	1,231.620000	1,234.090000	1,237.780000	1,235.860000	NA	1,235.870000	1,234.500000	1,229.120000	1,229.440000
Kuwaiti Dinar	0.419751	0.419945	0.420020	NA	0.421523	0.421017	0.420256	0.420643	NA	0.418024	0.417724
Libyan Dinar	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000
Malaysian Ringgit	3.501510	3.501040	3.503340	3.510580	3.522460	3.516600	3.482430	NA	3.468820	3.505740	3.525290
Mauritian Rupee	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mexican Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Nepalese Rupee	79.101200	79.137700	79.151900	79.328200	79.574500	79.442200	79.298500	79.371500	79.194100	78.760100	78.656900
New Zealand Dollar	2.036730	2.044270	2.051590	2.053420	2.061630	2.063690	2.058430	2.070440	2.073840	2.068960	2.070280
Norwegian Krone	10.165400	10.141600	10.180200	10.132000	10.156300	10.192500	10.211600	10.232100	10.194000	10.230000	10.288300
Rial Omani	0.533305	0.533551	0.533648	0.534836	0.536497	0.535605	0.534636	0.535128	0.533932	0.531006	0.530310
Pakistani Rupee	56.258800	56.284700	56.294900	56.420200	56.595400	56.501300	56.399100	56.451100	56.408400	56.099200	56.025700
Nuevo Sol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Philippine Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Polish Zloty	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Qatar Riyal	5.048720	5.051050	5.051960	5.063200	5.078930	5.070480	5.061310	5.065970	5.054650	5.026950	5.020360
Russian Ruble	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Saudi Arabian Riyal	5.194350	5.196750	5.197690	5.209260	5.225440	5.216750	5.207310	5.212100	5.200460	5.171960	5.165180
Singapore Dollar	1.983840	1.983920	1.987890	1.993010	2.004080	2.002980	1.997830	1.999670	1.990060	1.990620	1.987870
South African Rand	6.281070	6.288140	6.282330	6.297710	6.329820	6.336020	6.342630	6.334550	6.326640	6.291970	6.283730
Sri Lanka Rupee	81.927200	81.975400	81.990200	82.162300	82.414000	82.277000	82.128100	82.207200	82.037400	81.643000	81.574000
Swedish Krona	10.736200	10.755700	10.784700	10.725900	10.739000	10.810300	10.779600	10.772100	10.711300	10.711300	10.748300
Swiss Franc	2.028090	2.037900	2.040210	2.039890	2.033660	2.038780	2.036760	2.024300	2.023250	2.035640	2.032560
Thai Baht	NA	37.998000	39.123500	39.751700	40.355200	40.530400	NA	40.576500	41.582800	41.911500	41.331100
Trinidad And Tobago Dollar	8.698490	8.716940	8.708380	8.717200	8.743290	8.713570	8.701010	8.723070	8.705660	8.648840	8.638190
Tunisian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
U.A.E. Dirham	5.091710	5.094060	5.094980	5.106320	5.122180	5.113670	5.104420	5.109110	5.097700	5.069760	5.063120
Peso Uruguayo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bolivar Fuerte	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA

Currency units per SDR for July 1997 Continued

Currency	July 16, 1997	July 17, 1997	July 18, 1997	July 21, 1997	July 22, 1997	July 23, 1997	July 24, 1997	July 25, 1997	July 28, 1997	July 29, 1997	July 30, 1997	July 31, 1997
Chinese Yuan	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11.263400
Euro	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Japanese Yen	159.062000	159.513000	159.627000	NA	159.242000	158.158000	158.354000	158.614000	159.474000	159.727000	160.211000	160.657000
U.K. Pound Sterling	0.820104	0.823839	0.822503	0.820549	0.818752	0.814804	0.817306	0.819235	0.823415	0.832290	0.833557	0.830249
U.S. Dollar	1.375970	1.373340	1.374320	1.375240	1.371000	1.369930	1.368660	1.365010	1.359540	1.359380	1.354280	1.358620
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	1.875640	1.861900	1.860710	1.856170	1.850950	1.856530	1.862380	1.843360	1.843940	1.843730	1.816360	1.823160
Bahrain Dinar	0.517365	0.516376	0.516744	0.517090	0.515496	0.515094	0.514616	0.513244	0.511187	0.511127	0.509209	0.510841
Botswana Pula	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brazilian Real	1.486050	1.483620	1.484820	1.486360	1.481640	1.480760	1.480210	1.476120	1.470480	1.470710	1.466010	1.470840
Brunei Dollar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Canadian Dollar	1.889890	1.892600	1.888730	1.890270	1.894310	1.892010	1.893130	1.890400	1.885000	1.883150	1.870530	1.876800
Chilean Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	566.205000
Colombian Peso	1,512.540000	1,511.810000	1,515.160000	1,520.090000	1,521.070000	1,521.060000	1,514.700000	1,510.570000	1,503.730000	1,506.410000	1,498.740000	1,507.590000
Czech Koruna	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Danish Krone	9.397880	9.402570	9.386610	9.394260	9.427000	9.540880	9.523140	9.532550	9.545330	9.506140	9.479960	9.490640
Hungarian Forint	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Icelandic Krona	97.955300	97.823000	97.796600	97.655800	97.766000	97.950000	97.886600	98.007700	97.982000	97.821000	97.819600	97.820600
Indian Rupee	49.135900	49.042000	49.077000	49.096100	48.944700	48.906500	48.861200	48.730900	48.535600	48.529900	48.347800	48.516300
Indonesian Rupiah	3,364.250000	3,357.820000	NA	NA	NA	3,524.830000	3,544.830000	3,570.870000	3,528.010000	3,511.280000	3,494.040000	NA
Iranian Rial	2,417.080000	2,411.390000	2,411.390000	2,408.500000	2,410.110000	2,410.110000	2,400.800000	2,400.800000	2,392.180000	2,382.590000	2,382.310000	2,373.380000
Israeli New Sheqel	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Kazakhstani Tenge	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Korean Won	1,225.710000	NA	1,226.990000	1,230.290000	1,224.850000	1,224.030000	1,223.170000	1,219.230000	1,211.890000	1,212.430000	1,207.610000	1,211.890000
Kuwaiti Dinar	0.417153	NA	NA	0.416890	0.415865	0.415746	0.415621	NA	0.413735	0.414026	0.412636	0.413958
Libyan Dinar	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000
Malaysian Ringgit	3.527990	NA	3.571170	3.620040	3.589960	3.604290	3.620790	3.616590	3.603320	3.560900	3.546180	3.581320
Mauritian Rupee	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mexican Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10.628500
Nepalese Rupee	78.471600	78.321600	78.377500	78.429900	78.188100	78.127100	78.054700	77.846500	77.534600	77.525400	77.234600	77.482100
New Zealand Dollar	2.089550	2.080820	2.082300	2.106030	2.112480	2.115720	2.101430	2.087170	2.094820	2.102680	2.075520	2.090180
Norwegian Krone	10.277100	10.258800	10.187800	10.185700	10.199600	10.249100	10.269100	10.337200	10.324200	10.340800	10.300700	10.334300
Rial Omani	0.529060	0.528049	0.528426	0.528780	0.527150	0.526738	0.526250	0.524846	0.522743	0.522682	0.520721	0.522389
Pakistani Rupee	55.893700	55.786900	55.826700	55.864000	55.691800	55.648300	55.596700	55.448500	55.226300	55.219800	55.012600	55.188900
Nuevo Sol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Philippine Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	39.264100
Polish Zloty	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.708300
Qatar Riyal	5.008530	4.998960	5.002520	5.005870	4.990440	4.986550	4.981920	4.968640	4.948730	4.948140	4.929580	4.945380
Russian Ruble	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Saudi Arabian Riyal	5.153010	5.143160	5.146830	5.150270	5.134400	5.130390	5.125630	5.111960	5.091480	5.090880	5.071780	5.088030
Singapore Dollar	1.986490	1.994780	2.008160	2.014450	1.999880	2.003250	2.018770	2.011340	2.002600	1.985100	1.976300	1.998940
South African Rand	6.266860	6.256250	6.266210	6.291720	6.270270	6.253050	6.243140	6.234680	6.215140	6.242950	6.218180	6.261200
Sri Lanka Rupee	81.436800	81.325800	NA	81.428000	81.231800	81.195800	81.154700	80.989500	80.719300	80.747200	80.478100	80.732600
Swedish Krona	10.778000	10.745700	10.704600	10.688400	10.678700	10.718300	10.723500	10.790400	10.752600	10.790100	10.776000	10.796300
Swiss Franc	2.032720	2.035840	2.038120	2.032330	2.037030	2.032290	2.033830	2.070720	2.066640	2.059050	2.064870	2.057900
Thai Baht	41.364400	41.374600	41.404100	NA	42.284400	43.985700	44.120100	43.808600	43.580100	42.535000	43.079600	43.565500
Trinidad And Tobago Dollar	8.640130	8.598340	8.611350	8.615470	8.587400	8.572200	8.573970	8.562980	8.523910	8.512850	8.481040	8.516510
Tunisian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
U.A.E. Dirham	5.051190	5.041530	5.045130	5.048510	5.032940	5.029010	5.024350	5.010950	4.990870	4.990280	4.971560	4.987490
Peso Uruguayo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bolivar Fuerte	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA

