Currency units per SDR for October 1997
Currency	October 01, 1997	October 02, 1997	October 03, 1997	October 06, 1997	October 07, 1997	October 08, 1997	October 09, 1997	October 10, 1997	October 13, 1997	October 14, 1997	October 15, 1997
Chinese Yuan	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Euro	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Japanese Yen	165.400000	164.946000	165.810000	166.437000	166.774000	166.983000	165.963000	NA	164.810000	166.148000	166.014000
U.K. Pound Sterling	0.846665	0.844957	0.848170	0.844549	0.843321	0.843827	0.844379	0.846763	0.843862	0.845617	0.846185
U.S. Dollar	1.366940	1.365450	1.360210	1.366480	1.368120	1.367590	1.369330	1.374550	1.369420	1.369730	1.368620
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	1.879990	1.875360	1.867140	NA	1.892280	1.886070	1.856970	1.869370	1.852820	1.855000	1.863340
Bahrain Dinar	0.513969	0.513409	0.511439	0.513796	0.514413	0.514214	0.514868	0.516831	0.514902	0.515018	0.514601
Botswana Pula	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brazilian Real	1.497620	1.496400	1.491060	1.498070	1.500280	1.500110	1.502290	1.508430	1.503210	1.503550	1.502740
Brunei Dollar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Canadian Dollar	1.884740	1.876540	1.865530	1.873990	1.878020	1.876880	1.882550	1.895780	NA	1.892970	1.897180
Chilean Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Colombian Peso	1,701.330000	1,697.620000	1,689.600000	1,701.050000	1,711.450000	1,706.080000	1,715.410000	1,729.240000	1,732.840000	1,733.230000	1,741.940000
Czech Koruna	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Danish Krone	9.163280	9.205180	9.203860	9.128090	9.148620	9.166960	9.130010	9.111890	9.161420	9.118980	9.136220
Hungarian Forint	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Icelandic Krona	97.298800	97.342900	97.268600	97.074700	97.204900	97.509200	97.523700	97.524300	97.667000	97.607000	97.774200
Indian Rupee	49.442200	NA	49.198800	49.425600	49.525900	49.493100	49.583400	49.841200	49.600400	49.611600	49.612500
Indonesian Rupiah	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Iranian Rial	2,392.540000	2,395.560000	2,395.560000	2,383.770000	NA	2,397.630000	2,396.700000	2,396.700000	2,408.900000	2,408.900000	2,400.450000
Israeli New Sheqel	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Kazakhstani Tenge	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Korean Won	1,249.930000	1,246.660000	NA	1,247.460000	1,250.740000	1,250.520000	1,252.660000	1,257.300000	1,252.060000	1,252.340000	1,250.510000
Kuwaiti Dinar	0.415618	0.415438	NA	0.415560	0.416059	0.415898	0.416085	NA	0.415907	0.416275	0.415937
Libyan Dinar	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000
Malaysian Ringgit	4.603170	4.553090	4.549900	4.615290	4.475800	4.387230	4.247660	4.181380	4.299980	4.246160	4.273520
Mauritian Rupee	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mexican Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Nepalese Rupee	80.348700	80.261200	79.953100	80.321700	80.418100	80.386900	80.489200	80.796000	80.494500	80.512700	80.447500
New Zealand Dollar	2.132510	2.125880	2.120360	2.150240	2.146070	2.136860	2.127940	2.132740	2.117220	2.111500	2.121890
Norwegian Krone	9.645130	9.726100	9.693540	9.605670	9.621990	9.668860	9.674320	9.645900	9.611270	9.586740	9.655610
Rial Omani	0.525588	0.525016	0.523001	0.525412	0.526042	0.525838	0.526507	0.528514	0.526542	0.526661	0.526234
Pakistani Rupee	55.526900	55.466400	55.253500	55.508200	55.574800	55.553300	55.624000	55.836000	55.627600	55.640200	60.438500
Nuevo Sol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Philippine Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Polish Zloty	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Qatar Riyal	4.975660	4.970240	4.951160	4.973990	4.979960	4.978030	4.984360	5.003360	4.984690	4.985820	4.981780
Russian Ruble	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Saudi Arabian Riyal	5.119190	5.113610	5.093990	5.117470	5.123610	5.121620	5.128140	5.147690	5.128480	5.129640	5.125480
Singapore Dollar	2.104400	2.090230	2.089690	2.114630	2.108960	2.130710	2.114930	2.102370	2.110960	2.105280	2.109450
South African Rand	6.380190	6.371870	6.358300	6.380780	6.381600	6.388700	6.391350	6.421210	6.391770	6.398690	6.396250
Sri Lanka Rupee	81.719100	81.677800	81.418800	81.787200	81.892200	81.905000	81.998900	82.308100	82.011100	82.091300	NA
Swedish Krona	10.301900	10.357600	10.389300	10.277300	10.283500	10.336200	10.343200	10.387500	10.374700	10.325700	10.367300
Swiss Franc	1.981380	1.985360	1.988080	1.979620	1.977340	1.981360	1.981150	1.997220	2.007570	2.003910	2.003520
Thai Baht	49.887800	49.613600	49.506200	50.354800	50.062200	49.960800	50.058600	49.967600	50.056400	49.980100	50.173600
Trinidad And Tobago Dollar	8.589170	8.569430	8.548240	8.581630	8.587830	8.584090	8.605420	8.636850	8.603930	8.592180	8.587270
Tunisian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
U.A.E. Dirham	5.018040	5.012570	4.993330	5.016350	5.022370	5.020420	5.026810	5.045970	5.027140	5.028280	5.024200
Peso Uruguayo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bolivar Fuerte	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA

Currency units per SDR for October 1997 Continued

Currency	October 16, 1997	October 17, 1997	October 20, 1997	October 21, 1997	October 22, 1997	October 23, 1997	October 24, 1997	October 27, 1997	October 28, 1997	October 29, 1997	October 30, 1997	October 31, 1997
Chinese Yuan	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11.461100
Euro	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Japanese Yen	165.524000	164.554000	165.628000	165.429000	164.393000	164.961000	166.510000	167.251000	165.899000	165.959000	166.472000	165.965000
U.K. Pound Sterling	0.848322	0.845451	0.837877	0.834970	0.836687	0.838057	0.834743	0.830806	0.826803	0.827172	0.831017	0.826881
U.S. Dollar	1.372500	1.369800	1.364650	1.367180	1.363130	1.364440	1.363720	1.368670	1.381340	1.378400	1.383810	1.383620
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	1.859500	1.864940	1.867850	1.875680	1.913700	1.927990	1.932710	1.993690	1.990120	1.959070	1.980830	1.966490
Bahrain Dinar	0.516060	0.515045	0.513108	0.514060	0.512537	0.513029	0.512759	0.514620	0.519384	0.518278	0.520313	0.520241
Botswana Pula	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brazilian Real	1.507830	1.505140	1.500020	1.503210	1.498900	1.500880	1.500230	1.506080	1.522100	1.523960	1.524410	1.529590
Brunei Dollar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Canadian Dollar	1.903110	1.898410	1.889770	1.898740	1.896250	1.895890	1.897750	1.913130	1.946030	1.933210	1.947020	1.949800
Chilean Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	583.818000
Colombian Peso	1,734.550000	1,738.100000	1,725.870000	1,728.940000	1,723.430000	1,729.930000	1,727.970000	1,740.980000	1,759.900000	1,777.920000	1,775.180000	1,772.690000
Czech Koruna	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Danish Krone	9.127130	9.185880	9.213430	9.238720	9.287690	9.267960	9.217380	9.203620	9.094050	9.120180	9.057040	9.097300
Hungarian Forint	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Icelandic Krona	98.037700	98.255800	98.391300	98.737700	99.154100	99.044700	98.747000	98.147300	98.075100	98.183400	98.250500	98.375400
Indian Rupee	49.712000	49.586800	49.414000	49.519300	49.345300	49.420000	49.448500	49.586900	50.128800	49.994600	50.190800	50.363800
Indonesian Rupiah	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Iranian Rial	2,398.510000	2,398.510000	2,400.570000	2,391.550000	2,395.980000	2,388.890000	2,388.890000	2,391.180000	2,398.590000	2,420.800000	2,415.650000	2,415.650000
Israeli New Sheqel	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Kazakhstani Tenge	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Korean Won	1,254.880000	1,252.960000	1,248.380000	1,251.650000	1,257.760000	1,256.790000	1,253.260000	1,269.990000	1,293.760000	1,299.560000	1,332.750000	1,335.330000
Kuwaiti Dinar	0.416856	NA	0.414949	0.415718	0.414732	0.415131	NA	0.416199	0.418353	0.417779	0.418865	NA
Libyan Dinar	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000
Malaysian Ringgit	4.382390	4.401850	4.551110	4.567750	4.624420	4.618630	4.636650	4.632950	4.700700	4.668640	NA	4.755500
Mauritian Rupee	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mexican Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11.594700
Nepalese Rupee	80.675600	80.516800	80.214100	80.362800	80.124800	80.201800	80.159500	80.450400	81.195200	81.022400	81.340400	81.329200
New Zealand Dollar	2.131210	2.125040	2.127940	2.136220	NA	2.174750	2.194240	NA	2.231210	2.200160	2.233030	2.219120
Norwegian Krone	9.674750	9.643390	9.689700	9.777390	9.847250	9.866950	9.735600	9.746300	9.663850	9.706000	9.726110	9.709550
Rial Omani	0.527726	0.526688	0.524708	0.525681	0.524123	0.524627	0.524350	0.526254	0.531125	0.529995	0.532075	0.532002
Pakistani Rupee	60.609900	60.490600	60.263200	60.374900	60.196100	60.253900	60.222100	60.440700	61.000300	60.870400	61.109300	61.100900
Nuevo Sol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Philippine Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	48.288300
Polish Zloty	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.821920
Qatar Riyal	4.995900	4.986070	4.967330	4.976540	4.961790	4.966560	4.963940	4.981960	5.028080	5.017380	5.037070	5.036380
Russian Ruble	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Saudi Arabian Riyal	5.140010	5.129900	5.110610	5.120090	5.104920	5.109830	5.107130	5.125670	5.173120	5.162110	5.182370	5.181660
Singapore Dollar	2.125320	2.126070	2.129260	2.150570	2.158520	2.166730	2.157130	2.172760	2.181830	2.178290	NA	2.197880
South African Rand	6.429480	6.436010	6.409080	6.420960	6.425790	6.451750	6.448350	6.519660	6.682920	6.628040	6.695560	6.662820
Sri Lanka Rupee	NA	82.116100	81.848300	82.000000	81.791200	81.866400	81.870900	82.181800	82.932200	82.797000	NA	83.103700
Swedish Krona	NA	10.404700	10.402700	10.447300	10.495400	10.476900	10.363600	10.395000	10.301300	10.369000	10.381300	10.392400
Swiss Franc	2.000010	2.007440	2.015860	2.015910	2.019480	2.010640	2.015710	1.996480	1.952520	1.967940	1.939130	1.936100
Thai Baht	50.321300	50.579900	51.331300	52.244000	53.065300	NA	52.621900	52.739000	53.876400	54.161500	54.964900	56.609400
Trinidad And Tobago Dollar	8.618200	8.605770	8.576010	8.591770	8.562090	6.283100	8.564430	8.597030	8.683380	8.640500	NA	8.691620
Tunisian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
U.A.E. Dirham	5.038450	5.028540	5.009630	5.018920	5.004050	5.008860	5.006220	5.024390	5.070900	5.060110	5.079970	5.079270
Peso Uruguayo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
