Currency units per SDR for March 1998
Currency	March 02, 1998	March 03, 1998	March 04, 1998	March 05, 1998	March 06, 1998	March 09, 1998	March 10, 1998	March 11, 1998	March 12, 1998	March 13, 1998	March 16, 1998
Chinese Yuan	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Euro	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Japanese Yen	169.596000	169.312000	169.472000	171.080000	171.662000	172.038000	171.441000	170.606000	173.261000	173.027000	172.289000
U.K. Pound Sterling	0.819520	0.819255	0.819028	0.817951	0.820782	0.820781	0.820874	0.816691	0.811123	0.808722	0.805269
U.S. Dollar	1.353520	1.349640	1.349840	1.349210	1.343210	1.342470	1.342950	1.340190	1.341030	1.344420	1.344960
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	1.989590	1.975180	1.989740	2.000900	2.013810	2.014810	2.008300	2.002080	2.011440	1.998840	2.000830
Bahrain Dinar	0.508924	0.507465	0.507540	0.507303	0.505047	0.504769	0.504949	0.503911	0.504227	0.505502	0.505705
Botswana Pula	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brazilian Real	1.528940	1.524690	1.525050	1.525420	1.518630	1.517930	1.519550	1.516560	1.517640	1.521880	1.523300
Brunei Dollar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Canadian Dollar	1.924160	1.914330	1.919340	1.916420	1.904940	1.898660	1.898930	1.886320	1.892190	1.895090	1.901100
Chilean Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Colombian Peso	1,818.930000	1,820.720000	1,825.270000	1,821.160000	1,817.620000	1,817.320000	1,819.560000	1,817.140000	1,819.280000	1,823.970000	1,823.630000
Czech Koruna	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Danish Krone	9.308830	9.346260	9.343590	9.314950	9.380310	9.372450	9.363720	9.361230	9.355700	9.368590	9.338060
Hungarian Forint	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Icelandic Krona	97.236900	97.403500	97.579900	97.615300	98.242400	98.148000	97.874200	97.686400	97.667200	97.658700	97.549900
Indian Rupee	53.261000	53.391800	53.170200	53.293800	53.029900	53.041000	53.033100	52.977700	52.984100	53.118000	53.125900
Indonesian Rupiah	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Iranian Rial	2,366.280000	2,372.040000	2,365.240000	2,377.470000	2,366.890000	2,353.980000	NA	2,353.520000	2,348.680000	2,348.680000	2,356.100000
Israeli New Sheqel	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Kazakhstani Tenge	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
