Currency units per SDR for June 1998
Currency	June 01, 1998	June 02, 1998	June 03, 1998	June 04, 1998	June 05, 1998	June 08, 1998	June 09, 1998	June 10, 1998	June 11, 1998	June 12, 1998	June 15, 1998
Chinese Yuan	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Euro	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Japanese Yen	185.680000	186.403000	185.802000	185.046000	185.761000	186.955000	187.870000	187.338000	188.056000	190.306000	191.419000
U.K. Pound Sterling	0.818122	0.816305	0.818677	0.818345	0.816924	0.817502	0.816729	0.815473	0.815423	0.809986	0.807081
U.S. Dollar	1.335830	1.336700	1.339110	1.340040	1.338530	1.335390	1.334780	1.332890	1.328080	1.322950	1.318770
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	2.157000	2.183080	2.181320	2.190680	2.206970	NA	2.236560	2.280390	2.255190	2.243430	2.248540
Bahrain Dinar	0.502272	0.502599	0.503505	0.503855	0.503287	0.502107	0.501877	0.501167	0.499358	0.497429	0.495858
Botswana Pula	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brazilian Real	1.535800	1.538810	1.541180	1.542390	1.540510	1.537840	1.537800	1.536560	NA	1.526420	1.522520
Brunei Dollar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Canadian Dollar	1.945640	1.943560	1.945730	1.950430	1.952110	1.948070	1.949050	1.954820	1.952140	1.942620	1.943340
Chilean Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Colombian Peso	1,866.250000	1,869.420000	1,874.160000	1,874.740000	1,870.770000	1,852.350000	1,850.710000	1,834.390000	1,837.040000	1,837.260000	1,820.580000
Czech Koruna	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Danish Krone	NA	9.063230	9.062960	9.014720	NA	9.036320	9.028990	9.054460	9.091500	9.111020	9.113100
Hungarian Forint	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Icelandic Krona	NA	95.346800	95.157200	94.968600	94.915200	94.839400	94.756000	94.901800	94.904600	94.299900	94.845900
Indian Rupee	55.824300	55.874100	55.974800	56.013700	55.950600	55.819300	56.261000	56.421200	56.284000	55.511000	55.744400
Indonesian Rupiah	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Iranian Rial	2,340.220000	2,341.040000	2,342.570000	2,342.570000	NA	2,345.770000	2,340.270000	2,339.200000	2,335.890000	2,335.890000	2,318.470000
Israeli New Sheqel	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Kazakhstani Tenge	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
