Currency units per SDR for July 1998
Currency	July 01, 1998	July 02, 1998	July 03, 1998	July 06, 1998	July 07, 1998	July 08, 1998	July 09, 1998	July 10, 1998	July 13, 1998	July 14, 1998	July 15, 1998
Chinese Yuan	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11.012400
Euro	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Japanese Yen	184.916000	183.644000	187.107000	186.617000	185.707000	183.875000	184.839000	186.726000	189.246000	187.750000	187.074000
U.K. Pound Sterling	0.801546	0.800984	0.806495	0.808611	0.812454	0.810562	0.811560	0.811148	0.810105	0.812000	0.811860
U.S. Dollar	1.332250	1.327390	1.329830	1.328710	1.328850	1.327620	1.324060	1.323550	1.325250	1.328920	1.330070
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	2.147750	2.151010	2.157060	2.159450	2.157570	2.138910	2.156100	2.154570	2.183640	2.150700	2.139410
Bahrain Dinar	0.500926	0.499099	0.500016	0.499595	0.499648	0.499185	0.497847	0.497655	0.498294	0.499674	0.500106
Botswana Pula	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brazilian Real	1.540210	1.534990	1.537820	1.536920	1.538140	1.537520	1.534450	1.535850	1.537820	1.543010	1.546340
Brunei Dollar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Canadian Dollar	NA	1.948210	1.951260	1.957460	1.957130	1.957580	1.954310	1.958190	1.959380	1.965340	1.974890
Chilean Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Colombian Peso	1,825.020000	1,802.660000	1,789.490000	1,791.180000	1,804.290000	1,816.400000	1,812.800000	1,813.860000	1,821.200000	1,834.270000	1,837.120000
Czech Koruna	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Danish Krone	9.210510	9.207180	9.191120	9.171690	9.194450	9.183680	9.219830	9.196690	9.136540	9.106690	9.113770
Hungarian Forint	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Icelandic Krona	95.455700	95.333100	95.588200	95.560800	NA	95.601900	95.663300	95.428000	95.404700	95.323400	95.179800
Indian Rupee	56.340900	56.228200	56.504500	56.417000	56.423000	56.569900	56.391700	56.211200	56.442400	56.625300	56.661000
Indonesian Rupiah	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Iranian Rial	2,333.520000	2,334.770000	2,334.770000	NA	2,328.560000	2,328.810000	2,326.650000	2,326.650000	2,319.520000	2,322.500000	2,328.930000
Israeli New Sheqel	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Kazakhstani Tenge	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Korean Won	1,831.440000	1,812.420000	1,818.680000	1,807.710000	1,788.630000	1,789.230000	1,765.500000	1,744.310000	1,738.600000	1,744.470000	1,721.910000
Kuwaiti Dinar	0.408215	0.407057	NA	NA	0.407758	0.407380	0.406672	NA	0.407037	0.407779	0.408318
Libyan Dinar	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000
Malaysian Ringgit	5.482210	5.475480	5.518790	NA	5.538650	5.526880	5.547810	5.625090	5.652190	5.561530	5.559690
Mauritian Rupee	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mexican Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Nepalese Rupee	91.026000	90.693900	90.860600	90.252600	90.262100	90.178600	89.936800	89.902100	90.017600	90.266900	90.345000
New Zealand Dollar	2.549760	2.555130	2.589740	2.585040	2.578290	2.553120	2.563520	2.575000	2.598530	NA	2.545590
Norwegian Krone	10.215700	10.278000	10.317500	10.274300	10.234800	10.226700	10.246900	10.259500	10.177900	10.168200	10.189700
Rial Omani	0.512250	0.510381	0.511320	0.510889	0.510943	0.510470	0.509101	0.508905	0.509559	0.510970	0.511412
Pakistani Rupee	61.589900	61.365200	61.478000	61.426300	61.432700	61.375900	61.211300	61.187700	61.266300	61.436000	61.489100
Nuevo Sol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Philippine Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Polish Zloty	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Qatar Riyal	4.849390	4.831700	4.840580	4.836500	4.837010	4.832540	4.819580	4.817720	4.823910	4.837270	4.841450
Russian Ruble	8.299920	8.273620	NA	8.279190	8.290700	8.283020	8.259490	8.247040	8.262930	8.226010	8.243770
Saudi Arabian Riyal	4.989280	4.971080	4.980210	4.976020	4.976540	4.971940	4.958600	4.956690	4.963060	4.976810	4.981110
Singapore Dollar	2.250170	2.235320	2.256060	2.279400	2.263700	2.256290	2.263480	2.284840	2.297980	2.271520	2.260190
South African Rand	8.031470	8.364550	8.506260	8.572170	8.259470	8.127030	8.211160	8.479320	8.120470	8.061890	8.111430
Sri Lanka Rupee	86.318200	86.096200	86.374200	86.391100	NA	NA	NA	86.201200	86.361600	86.600800	86.725600
Swedish Krona	10.622700	10.704700	10.727100	10.736000	10.740400	10.692700	10.696400	10.734000	10.677500	10.669900	10.685800
Swiss Franc	2.034210	2.033160	2.031320	2.023890	2.023570	2.027410	2.039050	2.039060	2.029090	2.017570	2.016520
Thai Baht	NA	55.625600	55.351500	54.958100	55.018400	54.810800	NA	55.468700	55.476300	54.929600	54.983800
Trinidad And Tobago Dollar	8.374920	8.340260	8.351600	8.348950	8.358200	8.349400	8.321980	8.315340	8.324690	8.344290	8.358160
Tunisian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
U.A.E. Dirham	4.892690	4.874840	4.883800	4.879690	4.880200	4.875680	4.862610	4.860740	4.866980	4.880460	4.884680
Peso Uruguayo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bolivar Fuerte	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA

Currency units per SDR for July 1998 Continued

Currency	July 16, 1998	July 17, 1998	July 20, 1998	July 21, 1998	July 22, 1998	July 23, 1998	July 24, 1998	July 27, 1998	July 28, 1998	July 29, 1998	July 30, 1998	July 31, 1998
Chinese Yuan	NA	NA	11.074200	NA	NA	NA	NA	NA	NA	NA	NA	11.008000
Euro	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Japanese Yen	187.607000	186.001000	NA	185.942000	187.493000	188.676000	187.998000	189.364000	189.387000	188.531000	190.251000	191.048000
U.K. Pound Sterling	0.815467	0.812512	0.812286	0.809970	0.811796	0.810005	0.807554	0.804361	0.807152	0.811896	0.813423	0.811754
U.S. Dollar	1.333860	1.333820	1.337510	1.334830	1.333050	1.330110	1.335210	1.333550	1.332770	1.334920	1.335560	1.329490
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	2.132470	2.114490	2.136600	2.122820	2.136300	2.147760	2.147330	2.173320	2.179870	2.180890	2.179440	2.174860
Bahrain Dinar	0.501531	0.501516	0.502904	0.501896	0.501227	0.500121	0.502039	0.501415	0.501122	0.501930	0.502171	0.499888
Botswana Pula	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brazilian Real	1.548210	1.548970	1.552720	1.548270	1.546600	1.544520	1.554050	1.553190	1.553080	1.552110	1.552450	1.544340
Brunei Dollar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Canadian Dollar	1.985850	1.985120	1.989950	1.991570	1.993440	1.989180	2.000140	2.004990	2.002490	2.006920	2.014430	2.008990
Chilean Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	620.407000
Colombian Peso	1,838.070000	NA	1,847.820000	1,844.120000	1,840.770000	1,831.390000	1,841.090000	1,839.780000	1,837.000000	1,837.010000	1,834.380000	1,822.270000
Czech Koruna	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Danish Krone	9.125340	9.075180	9.070320	9.076580	9.072870	9.078130	9.070750	9.060410	9.070170	9.007110	9.016770	9.028030
Hungarian Forint	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Icelandic Krona	95.037500	94.847900	95.030100	95.160000	95.113100	95.235900	95.133700	94.962100	95.013200	94.672500	94.798000	95.031900
Indian Rupee	56.715700	56.767400	56.857600	56.690200	56.508000	56.516400	56.786500	56.755900	56.722700	56.774100	56.801400	56.583100
Indonesian Rupiah	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Iranian Rial	2,330.950000	2,330.950000	2,337.520000	2,343.990000	2,339.290000	2,336.170000	2,336.170000	2,339.960000	2,337.050000	2,335.680000	NA	NA
Israeli New Sheqel	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Kazakhstani Tenge	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Korean Won	1,704.140000	NA	1,714.420000	1,717.530000	1,719.230000	1,717.970000	1,710.800000	1,668.800000	1,624.110000	1,631.940000	1,662.640000	1,643.250000
Kuwaiti Dinar	0.409015	NA	0.409719	0.408898	0.408646	0.407985	NA	0.408520	0.408467	0.408859	0.409055	NA
Libyan Dinar	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000
Malaysian Ringgit	5.528850	5.455320	5.523920	5.496830	5.532160	5.539910	5.541120	5.524230	5.511000	5.510550	5.502510	5.507410
Mauritian Rupee	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mexican Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11.849700
Nepalese Rupee	90.602400	90.599700	90.850400	90.668300	90.547400	90.347700	90.694100	90.581400	90.528400	90.674400	90.717900	90.305600
New Zealand Dollar	NA	2.519020	2.537970	2.532880	2.548850	2.565300	2.567710	2.591930	2.603070	2.587050	2.589800	2.579030
Norwegian Krone	10.140700	10.075700	10.045400	10.072000	10.059200	10.073600	10.096200	10.041000	10.047800	10.011900	10.049400	10.036300
Rial Omani	0.512869	0.512854	0.514273	0.513242	0.512558	0.511427	0.513388	0.512750	0.512450	0.513277	0.513523	0.511189
Pakistani Rupee	61.664300	61.662500	61.833100	61.709200	61.626900	61.491000	61.726800	61.650000	61.614000	61.713400	61.742900	58.803300
Nuevo Sol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Philippine Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	55.705600
Polish Zloty	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.564800
Qatar Riyal	4.855250	4.855100	4.868540	4.858780	4.852300	4.841600	4.860160	4.854120	4.851280	4.859110	4.861440	4.839340
Russian Ruble	8.293940	8.281690	8.292560	8.259930	8.299570	8.319840	8.371770	8.364030	8.360470	8.377290	8.384650	8.338560
Saudi Arabian Riyal	4.995310	4.995160	5.008970	4.998940	4.992270	4.981260	5.000360	4.994140	4.991220	4.999280	5.001670	4.978940
Singapore Dollar	2.258220	2.246820	2.285140	2.265210	2.282180	2.280070	2.282680	2.291040	2.289430	2.291390	2.290490	2.293370
South African Rand	8.247920	8.405070	8.521940	8.391410	8.381550	8.315180	8.226900	8.323350	8.331810	8.242460	8.150250	8.158420
Sri Lanka Rupee	86.972700	86.970100	87.237500	87.126100	87.116600	86.990900	87.324500	87.282600	87.321500	87.462400	87.614500	87.352500
Swedish Krona	10.646200	10.579200	10.566300	10.579200	10.579800	10.581000	10.598900	10.493000	10.516900	10.493800	10.560300	10.564100
Swiss Franc	2.007990	2.011270	2.008000	2.015460	2.013170	2.014450	2.004020	1.995920	1.998890	1.986490	1.976230	1.985730
Thai Baht	54.634900	54.070400	54.952900	54.406300	54.699000	54.626300	54.842400	54.742200	54.654200	54.491400	54.414700	54.279100
Trinidad And Tobago Dollar	8.374910	8.373190	8.398630	8.379260	8.371290	8.350700	8.384180	8.372830	8.364860	8.379030	8.387180	8.345470
Tunisian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
U.A.E. Dirham	4.898600	4.898450	4.912010	4.902160	4.895630	4.884830	4.903560	4.897460	4.894600	4.902490	4.904840	4.882550
Peso Uruguayo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
