Currency units per SDR for October 1998
Currency	October 01, 1998	October 02, 1998	October 05, 1998	October 06, 1998	October 07, 1998	October 08, 1998	October 09, 1998	October 12, 1998	October 13, 1998	October 14, 1998	October 15, 1998
Chinese Yuan	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Euro	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Japanese Yen	188.685000	187.798000	186.578000	185.143000	183.324000	173.120000	164.163000	162.539000	167.191000	168.251000	167.263000
U.K. Pound Sterling	0.808070	0.811690	0.815699	0.822425	0.830518	0.832389	0.828814	0.832846	0.827555	0.828613	0.828717
U.S. Dollar	1.379780	1.385960	1.381550	1.383730	1.405320	1.428380	1.415200	1.407260	1.407920	1.409140	1.410310
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	2.321690	2.341150	NA	2.370210	2.345720	2.324460	2.290710	2.246580	2.259900	2.241710	2.219910
Bahrain Dinar	0.518797	0.521121	0.519463	0.520282	0.528400	0.537071	0.532115	0.529130	0.529378	0.529837	0.530277
Botswana Pula	0.302103	NA	0.302145	0.303175	0.315143	0.326385	0.319128	NA	NA	0.318607	0.324230
Brazilian Real	1.634760	1.635290	1.634240	1.640000	1.664040	1.688770	1.675310	NA	1.669650	1.672510	1.675450
Brunei Dollar	2.316790	2.331180	2.318930	2.308750	2.341260	2.338260	2.311020	2.293130	NA	2.277870	2.260730
Canadian Dollar	2.119340	2.149350	2.152180	2.147130	2.148450	2.203700	2.188610	NA	2.179460	2.177830	2.180340
Chilean Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Colombian Peso	2,147.660000	2,180.420000	2,181.410000	2,194.100000	2,232.550000	2,266.170000	2,246.570000	2,238.440000	2,239.490000	2,243.510000	2,243.820000
Czech Koruna	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Danish Krone	8.675500	8.612220	8.627780	8.615930	8.662390	8.665550	8.775230	8.815500	8.761630	8.775140	8.776500
Hungarian Forint	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Icelandic Krona	94.928900	94.938300	95.078300	95.186800	95.575800	95.958600	96.332700	96.552100	96.217300	96.596500	96.648500
Indian Rupee	58.626900	58.889400	58.633000	58.670200	59.655800	60.520500	59.947900	59.611500	59.625400	59.663000	59.642000
Indonesian Rupiah	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Iranian Rial	2,403.240000	2,403.240000	2,428.890000	2,421.170000	2,424.990000	2,462.820000	2,462.820000	2,480.140000	NA	NA	2,469.520000
Israeli New Sheqel	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
