Currency units per SDR for March 1999
Currency	March 01, 1999	March 02, 1999	March 03, 1999	March 04, 1999	March 05, 1999	March 08, 1999	March 09, 1999	March 10, 1999	March 11, 1999	March 12, 1999	March 15, 1999
Chinese Yuan	11.307700	11.252800	11.258600	11.206300	11.203100	11.248900	11.232400	11.291500	11.275300	11.309400	11.332200
Euro	1.243220	1.248480	1.247750	1.245810	1.249110	1.245680	1.248940	1.245230	1.250510	1.249590	1.250160
Japanese Yen	162.667000	163.242000	164.482000	165.625000	166.928000	167.294000	164.502000	165.032000	162.791000	163.407000	163.093000
U.K. Pound Sterling	0.849960	0.844866	0.842421	0.841016	0.841494	0.844179	0.844151	0.840099	0.838937	0.836835	0.842598
U.S. Dollar	1.365800	1.359220	1.359920	1.353700	1.353290	1.358790	1.356720	1.363900	1.361930	1.366050	1.368800
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	2.207180	2.190170	2.175180	2.180570	2.156640	2.164370	2.148070	2.150240	2.138370	2.151600	2.160350
Bahrain Dinar	0.513541	0.511067	0.511330	0.508991	0.508837	0.510905	0.510127	0.512826	0.512086	0.513635	0.514669
Botswana Pula	0.294466	0.290329	6.360710	0.288880	0.289875	0.291596	0.291966	0.293920	0.293768	0.294794	0.293608
Brazilian Real	2.819010	2.755950	2.896630	2.929270	2.843800	2.707520	2.672740	2.597960	2.536320	2.564900	2.606610
Brunei Dollar	2.338250	2.337180	2.343280	NA	2.333750	2.337800	2.329220	2.343860	NA	2.354800	2.353380
Canadian Dollar	2.079980	2.066010	2.076600	2.064930	2.052670	2.059250	2.058010	2.078450	2.073540	2.081590	2.090840
Chilean Peso	654.505000	652.738000	653.074000	650.967000	650.946000	652.899000	652.365000	654.699000	654.421000	656.100000	656.914000
Colombian Peso	2,141.980000	2,120.930000	2,118.670000	2,109.960000	2,105.500000	2,109.340000	NA	2,114.500000	2,104.300000	2,120.490000	2,139.310000
Czech Koruna	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Danish Krone	9.231850	9.288770	9.259420	9.262690	9.279920	9.249830	9.274270	9.255020	9.285230	9.286130	9.296890
Hungarian Forint	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Icelandic Krona	98.446900	98.638600	98.335800	98.319200	98.330100	98.240500	98.185800	98.105300	98.113400	98.164400	98.375700
Indian Rupee	58.060200	NA	NA	57.572900	57.555400	57.748600	57.619900	57.883900	57.813900	57.961500	58.064500
Indonesian Rupiah	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Iranian Rial	NA	2,393.140000	2,382.030000	2,383.260000	2,383.260000	2,371.640000	2,381.280000	2,377.650000	2,390.230000	2,390.230000	2,394.000000
Israeli New Sheqel	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Kazakhstani Tenge	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Korean Won	NA	1,661.510000	1,664.810000	1,664.640000	1,675.780000	1,688.570000	1,685.860000	1,686.190000	1,678.710000	1,680.650000	1,688.550000
Kuwaiti Dinar	0.415790	0.414277	0.414490	0.413109	NA	0.414879	0.413691	0.415689	0.414585	NA	0.416676
Libyan Dinar	0.634115	0.634115	0.634115	0.634115	0.634115	0.634115	0.634115	0.634115	0.634115	0.634115	0.634115
Malaysian Ringgit	5.190040	5.165040	5.167700	5.144060	5.142500	5.163400	5.155540	5.182820	5.175330	5.190990	5.201440
Mauritian Rupee	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mexican Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Nepalese Rupee	92.430500	91.985200	92.032600	91.611600	91.583900	91.956100	91.816000	92.301900	92.168600	92.447400	92.633500
New Zealand Dollar	2.621500	2.584070	2.564440	2.566260	2.550970	2.563750	2.557440	2.556510	2.531470	2.558150	2.563300
Norwegian Krone	10.750800	10.801900	10.789900	10.733400	10.717400	10.686100	10.691500	10.638600	10.630500	10.657100	10.660800
Rial Omani	0.525150	0.522620	0.522889	0.520498	0.520340	0.522455	0.521659	0.524420	0.523662	0.525246	0.526304
Pakistani Rupee	62.983900	62.680400	62.712700	62.425900	62.407000	62.660600	62.565100	62.896200	62.805400	62.995400	63.122200
Nuevo Sol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Philippine Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Polish Zloty	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Qatar Riyal	4.971510	4.947560	4.950110	4.927470	4.925980	4.946000	4.938460	4.964600	4.957430	4.972420	4.982430
Russian Ruble	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Saudi Arabian Riyal	5.114920	5.090280	5.092900	5.069610	5.068070	5.088670	5.080920	5.107810	5.100430	5.115860	5.126160
Singapore Dollar	2.354640	2.352540	2.359460	2.348670	2.343220	2.350030	2.341700	2.359550	2.362270	2.373510	2.365830
South African Rand	8.415380	8.460460	8.475700	8.428810	8.385660	8.421100	8.352650	8.403670	8.371100	8.440140	8.513250
Sri Lanka Rupee	NA	93.636700	93.739300	93.432400	93.539400	93.946700	93.735800	94.218200	94.027600	94.284800	94.543000
Swedish Krona	11.172200	11.257700	11.226100	11.188300	11.188300	11.152300	11.152200	11.101700	11.082700	11.071800	11.121500
Swiss Franc	1.980000	1.989900	1.982360	1.981820	1.987310	1.983150	1.990040	1.993200	1.996730	2.000440	2.001600
Thai Baht	NA	50.905500	51.188700	51.099500	50.916200	50.901600	50.470000	50.990800	51.162300	51.235100	51.142500
Trinidad And Tobago Dollar	8.575180	8.522310	8.538120	8.504760	8.497040	8.525050	8.516670	8.558610	8.543250	8.585210	8.594420
Tunisian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
U.A.E. Dirham	5.015900	4.991740	4.994310	4.971460	4.969960	4.990160	4.982550	5.008920	5.001690	5.016820	5.026920
Peso Uruguayo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bolivar Fuerte	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA

Currency units per SDR for March 1999 Continued

Currency	March 16, 1999	March 17, 1999	March 18, 1999	March 19, 1999	March 22, 1999	March 23, 1999	March 24, 1999	March 25, 1999	March 26, 1999	March 29, 1999	March 30, 1999	March 31, 1999
Chinese Yuan	11.296900	11.319300	11.344700	11.339500	11.312100	11.310000	11.342600	11.324400	11.273600	11.233300	11.220500	11.242900
Euro	1.251760	1.246820	1.244400	1.254810	1.257670	1.253700	1.253610	1.255010	1.258940	1.268920	1.265180	1.264050
Japanese Yen	160.606000	161.952000	162.617000	160.862000	NA	162.148000	161.106000	161.527000	161.002000	162.808000	162.954000	163.484000
U.K. Pound Sterling	0.841478	0.841702	0.841985	0.841807	0.839991	0.841100	0.836457	0.835141	0.838800	0.837694	0.838415	0.842594
U.S. Dollar	1.364540	1.367260	1.370330	1.369620	1.366330	1.366030	1.369950	1.367710	1.361540	1.356730	1.355130	1.357840
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	2.177340	2.186920	2.181360	2.182660	2.167400	2.145480	2.144900	2.148800	2.134740	2.142320	2.156130	2.157700
Bahrain Dinar	0.513067	0.514090	0.515244	0.514977	0.513740	0.513627	0.515101	0.514259	0.511939	0.510130	0.509529	0.510548
Botswana Pula	0.292421	0.292867	6.391460	0.293920	6.893690	6.368440	6.374830	6.364400	6.347510	6.360670	6.344240	6.330260
Brazilian Real	2.567650	2.531210	NA	2.545850	2.527570	2.541770	2.535500	2.519320	2.463300	2.407110	2.391400	2.396180
Brunei Dollar	2.329000	2.336920	2.348330	2.348210	2.343260	2.350250	2.359740	2.347670	2.338440	NA	2.335300	2.339690
Canadian Dollar	2.085700	2.080560	2.082490	2.075390	2.059060	2.057650	2.060270	2.065520	2.060550	2.052190	2.049630	2.049250
Chilean Peso	655.648000	656.490000	657.443000	NA	NA	656.637000	658.261000	657.568000	655.677000	654.948000	653.972000	654.818000
Colombian Peso	2,134.100000	2,135.300000	2,130.660000	2,122.950000	NA	2,112.930000	2,116.020000	2,108.650000	2,088.980000	2,069.810000	2,072.790000	2,082.260000
Czech Koruna	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Danish Krone	9.324860	9.256760	9.250140	9.304240	9.338050	9.319600	9.304970	9.320810	9.345610	9.366590	9.396060	9.408880
Hungarian Forint	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Icelandic Krona	98.478900	98.128300	98.129300	98.325000	98.389400	98.463400	98.376100	98.598200	98.453000	98.498600	98.558600	98.796400
Indian Rupee	57.870100	57.999200	58.129400	58.071900	57.918700	57.906000	58.085900	57.990900	57.729300	57.525400	57.498200	57.613200
Indonesian Rupiah	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Iranian Rial	2,398.820000	NA	NA	NA	NA	NA	NA	2,400.840000	NA	2,386.100000	2,377.670000	2,374.860000
Israeli New Sheqel	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Kazakhstani Tenge	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Korean Won	1,681.930000	1,679.950000	1,683.040000	1,679.570000	NA	1,669.560000	1,679.150000	1,672.980000	1,665.160000	1,659.150000	1,663.150000	1,662.950000
Kuwaiti Dinar	0.415612	0.415948	0.416676	NA	0.415651	0.415820	0.416602	0.416153	NA	NA	NA	NA
Libyan Dinar	0.634115	0.634115	0.634115	0.634115	0.634115	0.634115	0.634115	0.634115	0.634115	0.634115	0.634115	0.634115
Malaysian Ringgit	5.185250	5.195590	5.207250	5.204560	5.192050	5.190910	5.205810	5.197300	5.173850	5.155570	5.149490	5.159790
Mauritian Rupee	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mexican Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Nepalese Rupee	92.345200	92.529300	92.737100	92.689000	92.466400	92.446100	92.711400	92.559800	92.142200	91.816700	91.708400	91.891800
New Zealand Dollar	2.579470	2.604800	2.591890	2.574470	2.570710	2.550940	2.548740	2.544580	2.530740	2.538320	2.549630	2.557140
Norwegian Krone	10.704400	10.647800	10.551300	10.605000	10.620300	10.585600	10.590500	10.621800	10.544900	10.612600	10.575000	10.568200
Rial Omani	0.524666	0.525711	0.526892	0.526619	0.525354	0.525239	0.526746	0.525884	0.523512	0.521663	0.521047	0.522089
Pakistani Rupee	62.925800	63.051200	63.192800	63.160000	63.008300	62.994500	63.175200	63.071900	62.787400	62.565600	62.491800	62.616800
Nuevo Sol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Philippine Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Polish Zloty	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Qatar Riyal	4.966930	4.976830	4.988000	4.985420	4.973440	4.972350	4.986620	4.978460	4.956010	4.938500	4.932670	4.942540
Russian Ruble	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Saudi Arabian Riyal	5.110200	5.120390	5.131890	5.129230	5.116910	5.115780	5.130460	5.122070	5.098970	5.080950	5.074960	5.085110
Singapore Dollar	2.346330	2.360570	2.365870	2.358490	2.359650	2.367740	2.369740	2.358620	2.354100	NA	2.349800	2.352050
South African Rand	8.503130	8.544690	8.547430	8.521090	NA	8.494660	8.503960	8.488690	8.455840	NA	8.435010	8.404350
Sri Lanka Rupee	94.242000	94.388800	94.655500	94.579100	94.447600	94.536100	94.766300	94.693400	94.375100	94.150300	94.120600	NA
Swedish Krona	11.240400	11.191000	11.140800	11.159000	11.238100	11.184400	11.267800	11.314400	11.246300	NA	11.264500	11.270100
Swiss Franc	2.006970	1.995110	1.989310	2.003620	2.008230	1.998910	1.994650	2.001230	2.008000	2.014610	2.017380	2.019380
Thai Baht	50.909600	50.941400	51.261300	51.429200	51.222300	51.286200	51.344400	51.415000	51.215700	51.079500	51.042300	51.107700
Trinidad And Tobago Dollar	8.575040	8.589400	8.578270	8.602040	8.566340	8.573750	8.598080	8.586890	8.558780	8.503580	NA	8.532530
Tunisian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
U.A.E. Dirham	5.011270	5.021260	5.032540	5.029930	5.017850	5.016750	5.031140	5.022910	5.000260	4.982590	4.976710	4.986670
Peso Uruguayo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bolivar Fuerte	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA

Notes:


