Currency units per SDR for July 1999
Currency	July 01, 1999	July 02, 1999	July 05, 1999	July 06, 1999	July 07, 1999	July 08, 1999	July 09, 1999	July 12, 1999	July 13, 1999	July 14, 1999	July 15, 1999
Chinese Yuan	11.068800	11.025700	NA	10.999500	10.997100	10.979900	10.977400	10.956000	10.983800	10.999200	11.016600
Euro	1.302650	1.300510	1.300120	1.300000	1.299570	1.302670	1.299630	1.307360	1.303100	1.306810	1.304690
Japanese Yen	161.581000	161.087000	163.159000	162.451000	162.227000	162.283000	162.625000	161.634000	162.021000	161.152000	160.548000
U.K. Pound Sterling	0.845907	0.845458	0.843337	0.847134	0.851879	0.851171	0.854307	0.852706	0.853015	0.853082	0.850042
U.S. Dollar	1.337040	1.331850	1.330280	1.328730	1.328420	1.326380	1.326140	1.323570	1.326950	1.328760	1.330910
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	1.999760	1.996780	1.996820	1.981110	2.005160	1.983520	1.998700	1.987640	1.999620	2.011750	2.020510
Bahrain Dinar	0.502727	0.500776	0.500185	0.499602	0.499486	0.498719	0.498629	0.497662	0.498933	0.499614	0.500422
Botswana Pula	6.184270	6.151730	NA	6.151530	6.155790	6.169210	6.173840	6.190690	6.229810	6.217880	6.227940
Brazilian Real	2.364820	2.339660	2.354330	2.345870	2.357410	2.361880	2.374190	2.387190	2.412660	2.442790	2.409080
Brunei Dollar	2.269630	2.262810	2.260810	2.248210	2.253660	2.254180	2.255100	2.248750	2.253820	2.256900	2.261880
Canadian Dollar	NA	1.950490	1.951920	1.950840	1.952780	1.949380	1.953540	1.960600	1.967200	1.967490	1.972940
Chilean Peso	656.527000	653.965000	653.846000	653.257000	653.211000	652.804000	652.262000	651.938000	652.793000	653.816000	654.395000
Colombian Peso	2,321.140000	2,332.420000	2,335.050000	2,332.330000	2,354.880000	2,381.330000	2,428.290000	2,435.870000	2,504.180000	2,559.920000	2,504.000000
Czech Koruna	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Danish Krone	9.601020	9.666830	9.669140	9.671690	9.640610	9.678460	9.681090	9.704150	9.740740	9.722940	9.687830
Hungarian Forint	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	324.982000
Icelandic Krona	99.462400	99.622400	99.558200	99.721200	99.551800	99.889700	100.124000	100.128000	100.185000	100.122000	100.098000
Indian Rupee	58.000800	57.775700	57.574500	57.507400	57.507300	57.511800	57.541200	57.231200	57.364000	57.455600	57.588500
Indonesian Rupiah	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Iranian Rial	2,343.720000	2,343.720000	2,334.070000	2,334.070000	2,324.680000	2,328.060000	NA	2,324.060000	2,319.560000	2,325.480000	2,328.650000
Israeli New Sheqel	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Kazakhstani Tenge	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Korean Won	1,549.090000	1,545.880000	1,552.170000	1,545.710000	1,549.200000	1,553.320000	1,562.720000	1,571.740000	1,574.560000	1,563.680000	1,571.410000
Kuwaiti Dinar	0.409977	NA	0.408635	0.408159	0.408064	0.407782	NA	0.406852	0.407958	0.408514	0.408683
Libyan Dinar	0.634115	0.634115	0.634115	0.634115	0.634115	0.634115	0.634115	0.634115	0.634115	0.634115	0.634115
Malaysian Ringgit	5.080750	5.061030	5.055060	5.049170	5.048000	5.040240	5.039330	5.029570	5.042410	5.049290	5.057460
Mauritian Rupee	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mexican Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Nepalese Rupee	91.553800	91.198400	91.090900	90.984800	90.963600	90.823900	90.807400	90.631500	90.862900	90.986800	91.134100
New Zealand Dollar	2.493780	2.495740	2.509250	2.501140	2.533460	2.518040	2.524300	2.510800	2.527520	2.552120	2.551590
Norwegian Krone	10.532500	10.509400	10.491900	10.483800	10.509000	10.545100	10.545900	10.599400	10.575400	10.640000	10.657300
Rial Omani	0.514092	0.512096	0.511493	0.510897	0.510777	0.509993	0.509901	0.508913	0.510212	0.510908	0.511735
Pakistani Rupee	68.994900	68.727100	68.633200	68.553200	68.537200	68.432000	68.419600	68.470700	68.645600	68.739200	68.850400
Nuevo Sol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Philippine Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Polish Zloty	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Qatar Riyal	4.866830	4.847930	4.842220	4.836580	4.835450	4.828020	4.827150	4.817790	4.830100	4.836690	4.844510
Russian Ruble	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Saudi Arabian Riyal	5.007210	4.987780	4.981900	4.976090	4.974930	4.967290	4.966390	4.956770	4.969430	4.976210	4.984260
Singapore Dollar	2.269630	2.262810	2.260810	2.248210	2.253660	2.254180	2.255100	2.248750	2.253820	2.256900	2.261880
South African Rand	8.034940	8.027730	7.999640	8.020880	8.042920	8.039850	8.067570	8.096940	8.205200	8.160580	8.191090
Sri Lanka Rupee	94.816200	NA	94.443200	94.359800	94.377600	94.312200	94.335000	94.191900	94.432400	94.514700	94.641000
Swedish Krona	11.271200	11.320700	11.330700	11.334100	11.301500	11.300800	11.315300	11.359500	11.428400	11.447300	11.429200
Swiss Franc	2.074020	2.089670	2.087080	2.087300	2.083230	2.086400	2.090660	2.102490	2.092600	2.095590	2.094990
Thai Baht	NA	49.086700	49.090000	48.890600	48.984200	49.099900	49.243600	49.113700	49.340000	49.312900	49.383400
Trinidad And Tobago Dollar	8.387250	8.359490	8.329680	8.329540	8.322950	8.304070	NA	8.301430	8.315330	8.342490	8.346400
Tunisian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
U.A.E. Dirham	4.910280	4.891220	4.885450	4.879760	4.878620	4.871130	4.870250	4.860810	4.873220	4.879870	4.887770
Peso Uruguayo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bolivar Fuerte	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA

Currency units per SDR for July 1999 Continued

Currency	July 16, 1999	July 19, 1999	July 20, 1999	July 21, 1999	July 22, 1999	July 23, 1999	July 26, 1999	July 27, 1999	July 28, 1999	July 29, 1999	July 30, 1999
Chinese Yuan	11.012800	11.006200	11.114200	11.123200	11.165700	11.189500	11.256000	11.224400	11.223500	11.274200	11.292100
Euro	1.304140	1.310560	1.289790	1.284480	1.284850	1.287960	1.271180	1.276080	1.278870	1.275340	1.275680
Japanese Yen	160.868000	160.427000	NA	160.116000	159.676000	158.503000	158.769000	158.188000	157.837000	157.590000	157.157000
