Currency units per SDR for December 1999
Currency	December 01, 1999	December 02, 1999	December 03, 1999	December 06, 1999	December 07, 1999	December 08, 1999	December 09, 1999	December 10, 1999	December 13, 1999	December 14, 1999	December 15, 1999
Chinese Yuan	11.354100	11.340500	11.333400	11.374700	11.400900	11.407600	11.387300	11.389900	11.380100	11.332000	11.310200
Euro	1.359080	1.362060	1.366930	1.349360	1.344950	1.346040	1.351710	1.356540	1.357120	1.363520	1.363210
Japanese Yen	140.094000	140.407000	140.252000	140.483000	141.840000	141.226000	141.731000	140.937000	140.748000	140.976000	141.388000
U.K. Pound Sterling	0.857156	0.857263	0.855185	0.854322	0.847440	0.848666	0.847732	0.846931	0.846621	0.845451	0.851505
U.S. Dollar	1.371450	1.369820	1.368980	1.373920	1.377090	1.377810	1.375360	1.375670	1.374490	1.368700	1.366070
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	2.154670	2.156180	2.165080	2.169460	2.170350	2.164670	2.154050	2.164020	2.162170	2.152720	2.150280
Bahrain Dinar	0.515665	0.515052	0.514736	0.516594	0.517786	0.518057	0.517135	0.517252	0.516808	0.514631	0.513642
Botswana Pula	6.340500	6.341760	6.343740	6.354860	6.357760	6.361080	6.349770	6.342420	6.331140	6.327790	6.312710
Brazilian Real	2.633870	2.631840	2.593120	2.578300	2.569790	2.560800	2.560780	2.567000	2.564660	2.539760	2.521080
Brunei Dollar	2.304720	2.300340	2.308780	2.314370	2.314890	2.311970	2.311020	2.309060	2.305020	2.297360	2.296360
Canadian Dollar	2.021790	2.027200	2.024860	2.025430	2.031070	2.038190	2.027280	2.033650	2.033700	2.028410	2.026160
Chilean Peso	680.390000	679.924000	678.658000	681.492000	682.844000	NA	682.385000	682.731000	682.750000	680.778000	679.920000
Colombian Peso	2,636.570000	2,628.180000	2,616.600000	NA	2,597.830000	2,602.670000	2,598.040000	2,623.280000	2,611.830000	2,608.060000	2,584.150000
Czech Koruna	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Danish Krone	10.109500	10.111200	10.148900	10.157500	9.968200	9.997530	10.005600	10.091100	10.101300	10.108100	10.124500
Hungarian Forint	344.906000	345.304000	345.681000	346.860000	342.179000	342.634000	342.850000	344.825000	345.121000	344.844000	345.110000
Icelandic Krona	99.882700	99.942100	100.182000	100.379000	99.398400	99.243700	99.301000	99.708600	99.733000	99.572900	99.613800
Indian Rupee	59.534600	59.463900	59.413700	59.655600	59.820800	59.907200	59.773100	59.814100	59.762800	59.593200	59.478700
Indonesian Rupiah	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Iranian Rial	2,400.280000	2,403.470000	2,403.470000	2,399.140000	2,407.790000	2,413.350000	2,414.610000	2,414.610000	2,410.860000	2,408.790000	2,398.650000
Israeli New Sheqel	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Kazakhstani Tenge	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Korean Won	1,590.200000	1,587.620000	NA	1,581.520000	1,585.030000	1,572.910000	1,555.940000	1,555.060000	1,557.160000	1,544.710000	1,547.210000
Kuwaiti Dinar	0.417483	0.416987	NA	0.418235	0.418539	0.418441	0.417697	NA	0.417872	0.416112	0.416037
Libyan Dinar	0.634115	0.634115	0.634115	0.634115	0.634115	0.634115	0.634115	0.634115	0.634115	0.634115	0.634115
Malaysian Ringgit	5.211510	5.205320	5.202120	5.220900	5.232940	5.235680	5.226370	5.227550	5.223060	5.201060	5.191070
Mauritian Rupee	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mexican Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Nepalese Rupee	94.252900	94.140900	94.083200	94.422700	94.640500	94.690000	94.521600	94.542900	94.461800	94.063900	93.883200
New Zealand Dollar	2.691490	2.676210	2.703090	2.722520	2.712680	2.704500	2.706340	2.730860	2.787730	2.761420	2.777410
Norwegian Krone	11.058100	11.076200	11.079000	10.971700	10.912200	10.923100	10.957600	10.996800	10.985900	11.032300	11.048800
Rial Omani	0.527323	0.526696	0.526373	0.528272	0.529491	0.529768	0.528826	0.528945	0.528491	0.526265	0.525254
Pakistani Rupee	71.022500	70.938000	70.894500	71.153300	71.317400	71.354700	71.227800	71.243900	71.176500	70.876600	70.740400
Nuevo Sol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Philippine Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Polish Zloty	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Qatar Riyal	4.992080	4.986140	4.983090	5.001070	5.012610	5.015230	5.006310	5.007440	5.003140	4.982070	4.972490
Russian Ruble	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Saudi Arabian Riyal	5.136080	5.129980	5.126830	5.145330	5.157200	5.159900	5.150720	5.151880	5.147470	5.125780	5.115930
Singapore Dollar	2.304720	2.300340	2.308780	2.314370	2.314890	2.311970	2.311020	2.309060	2.305020	2.297360	2.296360
South African Rand	8.429620	8.429190	8.433600	8.465410	8.475300	8.478350	NA	8.434920	8.413940	8.392180	8.376060
Sri Lanka Rupee	98.717000	98.661300	98.669200	98.970300	99.129800	99.126500	98.991500	99.013800	99.038900	98.621700	98.541500
Swedish Krona	11.647000	11.739400	11.773200	11.753900	11.612300	11.546000	11.494600	11.562500	11.631600	11.589500	11.697000
Swiss Franc	2.174160	2.176920	2.182700	2.163100	2.153770	2.156690	2.158350	2.166680	2.172660	2.180750	2.180660
Thai Baht	53.301400	53.295600	53.346400	NA	NA	53.165600	53.120500	NA	53.078700	52.733300	52.611500
Trinidad And Tobago Dollar	8.601190	8.581650	8.576520	8.611590	8.626920	8.629220	8.611540	8.617610	8.615300	8.574360	8.555420
Tunisian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
U.A.E. Dirham	5.036650	5.030660	5.027580	5.045720	5.057360	5.060010	5.051010	5.052150	5.047810	5.026550	5.016890
Peso Uruguayo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bolivar Fuerte	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA

Currency units per SDR for December 1999 Continued

Currency	December 16, 1999	December 17, 1999	December 20, 1999	December 21, 1999	December 22, 1999	December 23, 1999	December 24, 1999	December 27, 1999	December 28, 1999	December 29, 1999	December 30, 1999	December 31, 1999
Chinese Yuan	11.374300	11.369500	11.338600	11.361800	11.369800	11.378200	NA	NA	11.362600	11.370600	11.350800	NA
Euro	1.354040	1.355870	1.356470	1.360830	1.363140	1.362140	1.355460	1.356930	1.360240	1.363560	1.364670	NA
Japanese Yen	142.189000	141.580000	141.057000	140.657000	140.481000	NA	141.595000	141.224000	140.501000	140.565000	140.111000	NA
U.K. Pound Sterling	0.849394	0.852303	0.852468	0.853980	0.852091	0.853154	0.847122	NA	NA	0.848551	0.848150	NA
U.S. Dollar	1.373810	1.373230	1.369490	1.372260	1.373230	1.374260	1.374710	1.375110	1.372350	1.373380	1.370950	1.372510
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	2.156350	2.135330	2.135160	2.135150	2.122460	2.131630	2.135640	NA	NA	2.124990	2.098500	2.099280
Bahrain Dinar	0.516553	0.516334	0.514928	0.515970	0.516334	0.516722	0.516891	0.517041	0.516004	0.516391	0.515477	0.516064
Botswana Pula	6.348480	6.339940	6.325590	6.338380	6.339940	6.347620	NA	NA	6.344660	6.349420	6.344050	NA
Brazilian Real	2.540590	2.526610	2.488360	2.475560	2.502850	2.500600	2.512690	2.513980	2.505770	2.510680	2.489920	2.454320
Brunei Dollar	2.302510	2.299470	2.291840	2.293730	2.289860	2.290200	2.295350	2.293960	2.289770	2.283930	2.284690	2.286600
Canadian Dollar	2.031180	2.029080	2.026430	2.029020	2.027570	2.024970	2.018350	NA	NA	1.992360	1.991990	1.980940
Chilean Peso	682.495000	NA	681.239000	682.301000	682.839000	683.255000	683.671000	684.021000	682.799000	683.614000	682.898000	NA
Colombian Peso	2,574.710000	2,581.050000	2,556.870000	2,564.030000	2,588.040000	2,592.230000	2,577.270000	2,577.750000	NA	2,565.230000	2,568.840000	2,571.770000
Czech Koruna	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Danish Krone	10.066600	10.003200	10.108900	10.121400	10.134400	10.132100	NA	10.098100	10.089400	10.130600	10.162200	10.154900
Hungarian Forint	344.332000	NA	345.221000	345.727000	346.356000	346.437000	NA	345.620000	345.969000	346.806000	NA	NA
Icelandic Krona	99.573700	99.133500	99.698900	99.200700	99.119700	99.262800	NA	99.076700	98.493600	99.020700	99.462400	NA
Indian Rupee	59.788200	59.749200	59.559100	59.693300	59.735500	59.807800	59.813600	59.817300	59.697200	59.783200	59.663700	59.690500
Indonesian Rupiah	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Iranian Rial	2,394.040000	2,394.040000	2,406.590000	2,400.030000	2,404.890000	2,406.590000	2,406.590000	2,408.390000	2,409.710000	2,405.040000	2,405.040000	2,405.040000
Israeli New Sheqel	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Kazakhstani Tenge	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Korean Won	1,560.650000	1,556.690000	1,547.250000	1,554.080000	1,556.010000	1,556.210000	1,553.970000	1,556.490000	1,555.150000	1,562.220000	1,570.290000	NA
Kuwaiti Dinar	0.418394	NA	0.416818	0.417414	0.417709	0.418022	NA	0.418281	0.417441	0.417755	0.417016	NA
Libyan Dinar	0.634115	0.634115	0.634115	0.634115	0.634115	0.634115	0.634115	0.634115	0.634115	0.634115	0.634115	0.634115
Malaysian Ringgit	5.220480	5.218270	5.204060	5.214590	5.218270	5.222190	5.223900	5.225420	5.214930	5.218840	5.209610	5.215540
Mauritian Rupee	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mexican Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Nepalese Rupee	94.415100	94.375200	94.118200	94.308600	94.375200	94.446000	NA	NA	NA	NA	NA	NA
New Zealand Dollar	2.760590	2.706940	2.709180	2.690440	2.659490	2.658910	NA	NA	NA	2.637560	2.633400	2.634380
Norwegian Krone	10.988700	10.969800	10.945400	10.996900	10.964400	10.979500	10.992900	11.000600	11.001700	11.005300	11.021800	NA
Rial Omani	0.528230	0.528007	0.526569	0.527634	0.528007	0.528403	0.528576	0.528730	0.527669	0.528065	0.527130	0.527730
Pakistani Rupee	71.141200	71.111200	70.917500	71.061000	71.111200	71.164500	71.188800	NA	NA	NA	NA	NA
Nuevo Sol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Philippine Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Polish Zloty	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Qatar Riyal	5.000670	4.998560	4.984940	4.995030	4.998560	5.002310	5.003940	5.005400	4.995350	4.999100	4.990260	4.995940
Russian Ruble	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Saudi Arabian Riyal	5.144920	5.142750	5.128740	5.139110	5.142750	5.146600	5.148290	5.149790	5.139450	5.143310	5.134210	5.140050
Singapore Dollar	2.302510	2.299470	2.291840	2.293730	2.289860	2.290200	2.295350	2.293960	2.289770	2.283930	2.284690	2.286600
South African Rand	NA	8.428200	8.397030	8.434600	8.437810	8.438640	8.460650	NA	8.444760	8.455210	8.437510	NA
Sri Lanka Rupee	99.099800	98.961800	98.760800	98.919400	NA	99.036000	99.054700	99.152300	98.953300	99.055000	98.866100	NA
Swedish Krona	11.677400	11.572900	11.633800	11.667600	11.675900	11.677800	NA	11.609400	11.630700	11.663400	11.687300	NA
Swiss Franc	2.165810	2.163110	2.176800	2.175310	2.178350	2.178340	2.176580	2.179000	2.177370	2.186150	2.192970	NA
Thai Baht	52.402600	52.215700	52.006400	52.045700	51.720000	51.479800	51.658900	51.866400	51.700500	51.411100	51.438000	NA
Trinidad And Tobago Dollar	8.622720	8.612210	8.594100	8.609970	8.623060	8.616470	8.617370	NA	8.591730	8.613560	8.596680	NA
Tunisian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
U.A.E. Dirham	5.045320	5.043190	5.029450	5.039620	5.043190	5.046970	5.048620	5.050090	5.039960	5.043740	5.034810	5.040540
Peso Uruguayo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bolivar Fuerte	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA

Notes:


The value of the U.S. dollar in terms of the SDR is the reciprocal of the sum of the dollar values, based on market exchange rates, of specified quantities of the SDR basket currencies. See SDR Valuation.

