Currency units per SDR for March 2000
Currency	March 01, 2000	March 02, 2000	March 03, 2000	March 06, 2000	March 07, 2000	March 08, 2000	March 09, 2000	March 10, 2000	March 13, 2000	March 14, 2000	March 15, 2000
Chinese Yuan	11.086400	11.128900	11.094100	11.098200	11.075700	11.077500	11.111100	11.108300	11.156800	11.132000	11.129800
Euro	1.385290	1.382290	1.387350	1.390670	1.394660	1.402170	1.395730	1.395840	1.387140	1.397890	1.393730
Japanese Yen	146.236000	144.443000	144.188000	144.049000	144.359000	143.443000	143.407000	142.770000	142.727000	141.604000	142.520000
U.K. Pound Sterling	0.845109	0.848769	0.848825	0.849994	0.849946	0.847805	0.849557	0.849737	0.853438	0.855615	0.855027
U.S. Dollar	1.339160	1.344280	1.340040	1.340610	1.337900	1.338090	1.342130	1.341820	1.347750	1.344770	1.344530
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	2.204740	2.213170	2.199670	2.216620	2.223160	2.217220	2.189450	2.178990	2.200770	2.179880	2.195510
Bahrain Dinar	0.503524	0.505449	0.503855	0.504069	0.503050	0.503122	0.504641	0.504524	0.506754	0.505634	0.505543
Botswana Pula	6.373920	6.395240	6.439400	6.457660	6.466410	6.461080	6.440160	6.404870	6.448560	6.428150	6.457880
Brazilian Real	2.367230	2.375340	2.357400	NA	NA	2.342060	2.347390	2.326040	2.342120	2.352540	2.334640
Brunei Dollar	2.302020	2.307460	2.305540	2.311880	2.301860	2.298840	2.297060	2.293840	2.298320	2.295520	2.297130
Canadian Dollar	1.938170	1.954180	1.944000	1.950590	1.943570	1.952140	1.955620	1.955570	1.969200	1.967260	1.973640
Chilean Peso	676.570000	678.270000	676.921000	677.504000	676.563000	676.659000	678.192000	678.263000	681.261000	677.952000	679.162000
Colombian Peso	2,608.750000	2,622.530000	2,622.190000	2,629.150000	2,629.820000	2,628.360000	2,631.210000	2,629.660000	2,639.540000	2,632.390000	2,629.560000
Czech Koruna	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Danish Krone	10.293200	10.303600	10.357300	10.338900	10.383200	10.401800	10.391300	10.334000	10.348400	10.400600	10.372800
Hungarian Forint	354.904000	355.065000	356.183000	356.924000	357.688000	357.845000	358.443000	356.616000	356.884000	359.887000	NA
Icelandic Krona	98.053300	98.455100	98.399100	98.628700	98.964500	99.393300	99.089500	98.677400	98.951800	99.190200	99.132200
Indian Rupee	58.400800	58.583700	58.398900	58.410400	58.292300	58.300600	58.490000	58.489900	58.734900	58.605100	58.608100
Indonesian Rupiah	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Iranian Rial	2,347.090000	2,346.880000	2,346.880000	2,348.420000	NA	2,344.670000	2,345.000000	2,345.000000	2,351.540000	2,361.930000	NA
Israeli New Sheqel	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Kazakhstani Tenge	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Korean Won	NA	1,522.260000	1,504.460000	1,502.690000	1,498.580000	1,495.180000	1,503.320000	1,503.240000	1,508.940000	1,507.220000	1,506.010000
Kuwaiti Dinar	0.410653	0.411619	NA	0.411192	0.410361	0.410419	0.411282	NA	0.413005	0.411795	NA
Libyan Dinar	0.634115	0.634115	0.634115	0.634115	0.634115	0.634115	0.634115	0.634115	0.634115	0.634115	0.634115
Malaysian Ringgit	5.088810	5.108260	5.092150	5.094320	5.084020	5.084740	5.100090	5.098920	5.121450	5.110130	5.109210
Mauritian Rupee	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mexican Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Nepalese Rupee	92.428800	92.782200	92.489600	92.528900	92.341900	92.355000	92.633800	92.612400	93.021700	92.816000	92.799500
New Zealand Dollar	2.770010	2.754670	2.731710	2.711590	2.767970	2.770660	2.735970	2.730330	2.729620	2.732990	2.755470
Norwegian Krone	11.196600	11.155100	11.215300	11.231800	11.274500	11.336600	11.329900	11.305600	11.264400	11.352300	11.345000
Rial Omani	0.514907	0.516876	0.515245	0.515465	0.514423	0.514496	0.516049	0.515930	0.518210	0.517064	0.516972
Pakistani Rupee	69.468900	69.734500	69.514600	69.424600	69.284300	69.294100	69.503300	69.487300	69.802500	69.648100	69.635700
Nuevo Sol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Philippine Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Polish Zloty	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Qatar Riyal	4.874540	4.893180	4.877750	4.879820	4.869960	4.870650	4.885350	4.884220	4.905810	4.894960	4.894090
Russian Ruble	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Saudi Arabian Riyal	5.015150	5.034330	5.018450	5.020580	5.010440	5.011150	5.026280	5.025120	5.047320	5.036160	5.035260
Singapore Dollar	2.302020	2.307460	2.305540	2.311880	2.301860	2.298840	2.297060	2.293840	2.298320	2.295520	2.297130
South African Rand	8.513710	8.538190	8.638570	8.689160	8.705050	8.694240	8.605070	8.569530	8.677490	8.635440	8.705160
Sri Lanka Rupee	97.839000	98.145900	97.889900	97.958400	97.813900	97.787600	98.042600	97.993100	98.426200	98.181700	98.144000
Swedish Krona	11.667400	11.628000	11.752200	11.780600	11.780200	11.735000	11.783900	11.704000	11.722100	11.736500	11.697400
Swiss Franc	2.221400	2.225860	2.231300	2.237880	2.242590	2.251600	2.240820	2.241780	2.237530	2.252760	2.245100
Thai Baht	NA	51.075900	50.854500	51.014200	50.915100	50.851400	50.952600	50.802600	50.993500	50.923800	50.879700
Trinidad And Tobago Dollar	8.394120	8.432130	8.413580	NA	NA	8.396920	8.417840	8.428370	8.448240	8.433460	8.432490
Tunisian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
U.A.E. Dirham	4.918070	4.936870	4.921300	4.923390	4.913440	4.914140	4.928970	4.927830	4.949610	4.938670	4.937790
Peso Uruguayo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bolivar Fuerte	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA

Currency units per SDR for March 2000 Continued

Currency	March 16, 2000	March 17, 2000	March 20, 2000	March 21, 2000	March 22, 2000	March 23, 2000	March 24, 2000	March 27, 2000	March 28, 2000	March 29, 2000	March 30, 2000	March 31, 2000
Chinese Yuan	11.143900	11.133000	11.113500	11.125400	11.081300	11.087400	11.129200	11.150500	11.128100	11.120700	11.128900	11.150300
Euro	1.393200	1.390420	1.381820	1.385340	1.393940	1.386980	1.383730	1.386750	1.393230	1.403910	1.406870	1.409890
Japanese Yen	142.029000	142.550000	NA	143.060000	142.896000	143.838000	144.377000	143.839000	143.209000	142.318000	142.021000	142.566000
U.K. Pound Sterling	0.855794	0.853848	0.856858	0.855782	0.854135	0.848606	0.846317	0.842283	0.847446	0.847002	0.845234	0.844380
U.S. Dollar	1.346250	1.344810	1.342440	1.343920	1.338600	1.339270	1.344290	1.346810	1.344050	1.343260	1.344260	1.346870
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	2.190450	2.202080	2.215250	2.204590	2.198750	2.217330	2.213550	2.198510	2.187940	2.196300	2.198300	2.224390
Bahrain Dinar	0.506190	0.505649	0.504757	0.505314	0.503314	0.503566	0.505453	0.506401	0.505363	0.505066	0.505442	0.506423
Botswana Pula	6.456830	6.453020	6.466470	6.464260	6.429390	6.448100	6.462930	6.462620	6.461780	6.473540	6.531880	6.525530
Brazilian Real	2.345570	2.333110	2.335710	2.335730	2.325550	2.316540	2.316750	2.320010	NA	2.343720	2.335110	2.358910
Brunei Dollar	NA	2.300300	2.306310	2.310870	2.303730	2.293500	2.302100	2.309110	2.303030	2.306380	2.309440	2.315270
Canadian Dollar	1.981810	1.981170	1.973520	1.970190	1.970150	1.972340	1.969250	1.966750	1.954250	1.954850	1.955630	1.957680
Chilean Peso	680.072000	679.465000	678.483000	679.284000	677.747000	678.086000	679.861000	680.974000	NA	680.254000	681.150000	681.260000
Colombian Peso	2,630.920000	2,622.390000	2,621.760000	2,624.650000	2,619.610000	2,624.750000	2,627.510000	2,632.780000	2,632.900000	2,626.260000	2,620.970000	2,628.500000
Czech Koruna	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Danish Krone	10.349600	10.354800	10.295700	10.292400	10.368300	10.357600	10.317200	10.276000	10.364400	10.448700	10.465300	10.491400
Hungarian Forint	356.958000	357.316000	355.022000	354.902000	358.049000	357.773000	356.949000	355.315000	358.606000	361.498000	363.878000	363.574000
Icelandic Krona	98.976300	NA	98.736500	98.724400	99.056400	99.012200	98.536500	98.586500	98.828000	99.401200	99.031600	99.250900
Indian Rupee	58.669600	58.606800	NA	58.554600	NA	58.392200	58.611000	58.720900	58.614000	58.552700	58.623200	58.750500
Indonesian Rupiah	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Iranian Rial	2,356.290000	2,356.290000	NA	NA	NA	NA	2,356.780000	2,355.870000	2,360.280000	2,355.450000	2,354.060000	2,354.060000
Israeli New Sheqel	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Kazakhstani Tenge	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Korean Won	1,505.110000	1,502.960000	1,500.580000	1,502.500000	1,496.290000	1,492.750000	NA	1,493.210000	1,492.160000	1,492.630000	1,494.010000	NA
Kuwaiti Dinar	NA	NA	0.411082	0.411535	0.410482	0.410687	NA	0.412030	0.411521	0.411279	0.411586	NA
Libyan Dinar	0.634115	0.634115	0.634115	0.634115	0.634115	0.634115	0.634115	0.634115	0.634115	0.634115	0.634115	0.634115
Malaysian Ringgit	5.115750	5.110280	5.101270	5.106900	5.086680	5.089230	5.108300	5.117880	5.107390	5.104390	5.108190	5.118110
Mauritian Rupee	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mexican Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Nepalese Rupee	92.918200	92.818800	92.655200	92.757400	92.390200	92.436400	92.782900	92.956800	92.766300	92.711800	92.780800	92.961000
New Zealand Dollar	2.755600	2.751530	2.771630	2.752520	2.740510	2.749760	2.753560	NA	2.671800	2.670230	2.693100	2.713000
Norwegian Krone	11.366400	11.337400	11.290200	11.312700	11.357100	11.242900	11.249700	11.270100	11.258700	11.319000	11.369600	11.403900
Rial Omani	0.517633	0.517079	0.516168	0.516737	0.514692	0.514949	0.516880	0.517848	0.516787	0.516483	0.516868	0.517872
Pakistani Rupee	69.724800	69.650200	69.527300	69.604000	69.328400	69.363100	69.623100	69.754600	69.611600	69.570700	69.622500	69.757700
Nuevo Sol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Philippine Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Polish Zloty	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Qatar Riyal	4.900350	4.895110	4.886480	4.891870	4.872500	4.874940	4.893220	4.902390	4.892340	4.889470	4.893110	4.902610
Russian Ruble	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Saudi Arabian Riyal	5.041710	5.036310	5.027440	5.032980	5.013060	5.015570	5.034370	5.043800	5.033470	5.030510	5.034250	5.044030
Singapore Dollar	NA	2.300300	2.306310	2.310870	2.303730	2.293500	2.302100	2.309110	2.303030	2.306380	2.309440	2.315270
South African Rand	8.702830	8.712350	NA	NA	8.639990	8.677800	8.722430	8.705110	8.687270	8.746640	8.870100	8.837490
Sri Lanka Rupee	98.309900	NA	98.085400	98.220400	97.898500	97.987700	98.328100	98.485500	98.337400	98.279600	98.352800	98.516800
Swedish Krona	11.722500	11.669600	11.618800	11.631600	11.665900	11.651600	11.607900	11.491700	11.605900	11.552000	11.654700	11.677400
Swiss Franc	2.239890	2.241800	2.230870	2.229290	2.245900	2.239390	2.208670	2.200690	2.210690	2.232360	2.239270	2.247660
Thai Baht	51.144000	51.020700	50.996600	50.918400	50.678100	50.548100	50.756400	NA	50.779600	50.772500	50.904400	51.010000
Trinidad And Tobago Dollar	8.446780	8.431150	8.425960	8.448960	8.406940	8.415970	8.444020	8.441000	8.424770	8.427080	NA	8.451880
Tunisian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
U.A.E. Dirham	4.944100	4.938810	4.930110	4.935550	4.916010	4.918470	4.936910	4.946160	4.936020	4.933120	4.936790	4.946380
Peso Uruguayo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bolivar Fuerte	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA

Notes:


