Currency units per SDR for May 2000
Currency	May 01, 2000	May 02, 2000	May 03, 2000	May 04, 2000	May 05, 2000	May 08, 2000	May 09, 2000	May 10, 2000	May 11, 2000	May 12, 2000	May 15, 2000
Chinese Yuan	10.898500	10.903600	10.858300	10.840500	10.846200	10.824500	10.822900	10.865400	10.844300	10.846600	10.857700
Euro	NA	1.444580	1.471350	1.463340	1.458080	1.460390	1.456080	1.441180	1.442870	1.451230	1.434000
Japanese Yen	141.827000	143.079000	NA	NA	NA	142.435000	142.166000	143.493000	144.032000	141.750000	142.580000
U.K. Pound Sterling	NA	0.841833	0.838766	0.843209	0.851938	0.854974	0.851864	0.860756	0.873262	0.865640	0.866539
U.S. Dollar	1.316260	1.316880	1.311410	1.309250	1.309940	1.307340	1.307270	1.312480	1.309980	1.310320	1.311680
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	2.266290	2.253000	2.222730	2.224720	2.206770	2.226780	2.248100	2.253570	2.266400	2.259170	2.271700
Bahrain Dinar	NA	0.495147	0.493090	0.492278	0.492537	0.491560	0.491534	0.493492	0.492552	0.492680	0.493192
Botswana Pula	NA	6.634160	6.663670	6.666240	6.731450	6.728460	6.791010	6.955380	6.794500	6.874710	6.842360
Brazilian Real	NA	2.378150	2.360540	2.376810	2.375710	2.367590	2.359620	2.371780	2.379050	2.378750	2.394870
Brunei Dollar	NA	2.256470	2.251690	2.250600	2.252440	2.254510	2.255040	2.269280	2.270850	2.264230	2.267890
Canadian Dollar	1.945830	1.956090	1.956620	1.960730	1.961770	1.951200	1.953720	1.963080	1.951080	1.948450	1.953090
Chilean Peso	NA	674.058000	672.976000	671.645000	671.711000	670.966000	671.165000	672.344000	671.601000	671.932000	672.341000
Colombian Peso	NA	2,639.650000	2,624.940000	2,639.340000	2,640.730000	2,658.040000	2,672.830000	2,666.780000	2,648.360000	2,662.520000	2,674.900000
Czech Koruna	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Danish Krone	10.751200	10.772600	10.867900	10.950600	10.884300	10.819200	10.829300	10.755100	10.766100	10.829000	10.692900
Hungarian Forint	NA	372.980000	376.204000	379.250000	377.760000	374.867000	375.932000	372.692000	373.619000	NA	371.350000
Icelandic Krona	NA	99.806300	99.693400	99.882700	99.896000	100.521000	100.751000	100.168000	100.200000	100.213000	99.648300
Indian Rupee	57.467900	57.495000	57.243000	57.148800	57.165800	57.052300	57.075400	57.407900	57.560500	57.549300	57.753300
Indonesian Rupiah	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Iranian Rial	2,311.920000	NA	2,307.830000	2,298.280000	2,298.280000	2,295.670000	2,291.110000	NA	2,300.120000	2,300.120000	2,296.340000
Israeli New Sheqel	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Kazakhstani Tenge	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Korean Won	1,461.440000	1,462.130000	1,456.060000	1,452.740000	1,453.510000	1,452.450000	1,450.810000	1,456.330000	1,453.550000	1,453.670000	1,458.460000
Kuwaiti Dinar	0.404961	0.405151	0.403468	0.403092	NA	0.402504	0.402482	0.404086	0.403579	NA	0.403302
Libyan Dinar	0.634115	0.634115	0.634115	0.634115	0.634115	0.661999	0.661999	0.661999	0.661999	0.661999	0.661999
Malaysian Ringgit	5.001790	5.004140	4.983360	4.975150	4.977770	4.967890	4.967630	4.987420	4.977920	4.979220	4.984380
Mauritian Rupee	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mexican Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Nepalese Rupee	90.789000	90.831800	90.454500	90.305500	90.353100	90.173800	90.168900	90.528300	90.355900	90.870700	90.965000
New Zealand Dollar	2.713100	2.713820	2.668450	2.681520	2.664380	2.669950	2.715280	2.739180	2.743130	2.733530	2.743240
Norwegian Krone	NA	11.756700	11.859100	11.861200	11.847000	11.883900	11.866400	11.808300	11.866200	11.858800	11.757400
Rial Omani	0.506102	0.506340	0.504237	0.503407	0.503672	0.502672	0.502645	0.504649	0.503687	0.503818	0.504341
Pakistani Rupee	68.167400	68.199500	67.916200	67.804400	67.840100	67.709200	67.705500	67.975400	67.845900	67.863500	67.933900
Nuevo Sol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Philippine Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Polish Zloty	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Qatar Riyal	4.791190	4.793440	4.773530	4.765670	4.768180	4.758720	4.758460	4.777430	4.768330	4.769560	4.774520
Russian Ruble	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Saudi Arabian Riyal	4.929390	4.931720	4.911230	4.903140	4.905730	4.895990	4.895730	4.915240	4.905880	4.907150	4.912240
Singapore Dollar	NA	2.256470	2.251690	2.250600	2.252440	2.254510	2.255040	2.269280	2.270850	2.264230	2.267890
South African Rand	NA	8.918570	8.951030	9.001750	9.121770	9.141570	9.210370	9.348140	9.122050	9.273790	9.209960
Sri Lanka Rupee	NA	96.843400	96.467300	96.373900	96.385400	96.259400	NA	96.664200	96.565200	96.629500	96.795400
Swedish Krona	NA	11.766300	11.783000	11.907600	11.907400	11.870600	11.840600	11.825400	11.930600	11.992700	11.844500
Swiss Franc	NA	2.257790	2.265460	2.269320	2.262000	2.268370	2.259350	2.246700	2.239410	2.252050	2.228810
Thai Baht	NA	50.395700	50.324000	50.339400	NA	50.275100	50.318100	50.961000	50.956900	51.050100	51.301100
Trinidad And Tobago Dollar	8.261510	8.259080	8.227390	8.215150	8.204810	8.209700	8.210830	8.237520	8.211870	8.223830	8.236560
Tunisian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
U.A.E. Dirham	4.833960	4.836240	4.816150	4.808220	4.810750	4.801210	4.800950	4.820080	4.810900	4.812150	4.817140
Peso Uruguayo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bolivar Fuerte	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA

Currency units per SDR for May 2000 Continued

Currency	May 16, 2000	May 17, 2000	May 18, 2000	May 19, 2000	May 22, 2000	May 23, 2000	May 24, 2000	May 25, 2000	May 26, 2000	May 29, 2000	May 30, 2000	May 31, 2000
Chinese Yuan	10.829600	10.770200	10.764400	10.774900	10.832900	10.861400	10.849000	10.824600	10.861500	NA	10.964900	10.926200
Euro	1.443320	1.458470	1.454340	1.466840	1.454210	1.440310	1.440710	1.456130	1.435240	1.422980	1.415440	1.418920
Japanese Yen	142.481000	142.292000	141.556000	141.313000	140.041000	140.675000	139.661000	140.779000	141.066000	140.758000	141.611000	140.780000
U.K. Pound Sterling	0.871259	0.872971	0.877096	0.877888	0.880214	0.886669	0.888350	0.885110	0.890137	NA	0.882493	0.883075
U.S. Dollar	1.308370	1.301250	1.300470	1.301820	1.308790	1.312270	1.310760	1.307750	1.312240	1.317960	1.324710	1.320020
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	2.269510	2.282890	2.279530	2.266010	2.284900	2.275090	2.295550	2.281490	2.300160	2.294900	2.295860	2.301690
Bahrain Dinar	0.491947	0.489270	0.488977	0.489484	0.492105	0.493414	0.492846	0.491714	0.493402	0.495553	0.498091	0.496328
Botswana Pula	6.850100	6.852290	6.891730	6.887940	6.863080	6.892170	6.902370	6.937670	6.957790	NA	6.942920	6.864380
Brazilian Real	2.404000	2.366970	2.377780	2.381940	2.414190	2.422450	2.428710	2.423130	2.412420	2.431240	2.434820	2.415240
Brunei Dollar	2.262830	2.252460	NA	2.252800	2.259230	2.275480	2.273780	2.269600	2.273460	2.286000	2.297050	2.284290
Canadian Dollar	1.943980	1.950180	1.951360	1.946610	NA	1.973000	1.976760	1.969080	1.973610	1.974830	1.991700	1.977130
Chilean Peso	671.364000	668.582000	668.116000	668.719000	671.776000	672.420000	671.922000	671.464000	672.523000	674.743000	676.861000	675.335000
Colombian Peso	2,663.240000	2,650.780000	2,663.090000	2,675.700000	2,718.160000	2,748.850000	2,768.250000	2,801.380000	2,773.130000	2,763.130000	2,751.790000	2,752.140000
Czech Koruna	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Danish Krone	10.748800	10.825000	10.854100	10.793000	10.850800	10.705500	10.735600	10.811600	10.689200	10.598000	10.520800	10.560400
Hungarian Forint	373.199000	375.749000	376.746000	377.762000	377.468000	373.196000	374.890000	376.789000	372.676000	368.726000	366.918000	367.692000
Icelandic Krona	99.907100	100.391000	100.474000	100.826000	100.685000	100.441000	100.483000	100.814000	100.531000	100.257000	100.095000	100.018000
Indian Rupee	57.529000	57.216000	NA	57.254000	57.547500	57.713600	57.778300	57.920200	58.145400	58.583300	59.055600	58.846500
Indonesian Rupiah	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Iranian Rial	2,298.720000	2,292.920000	2,280.440000	NA	2,281.440000	2,293.650000	2,299.750000	2,299.750000	2,299.750000	2,299.700000	2,299.700000	2,321.550000
Israeli New Sheqel	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Kazakhstani Tenge	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Korean Won	1,457.660000	1,451.410000	1,450.020000	1,454.000000	1,469.770000	1,477.220000	1,484.830000	1,487.170000	1,482.310000	1,496.150000	1,508.180000	1,496.640000
Kuwaiti Dinar	0.402873	0.400915	0.400675	0.400765	0.402911	0.403982	0.403517	0.402800	NA	0.404680	0.406752	0.405088
Libyan Dinar	0.661999	0.661999	0.661999	0.661999	0.661999	0.661999	0.661999	0.661999	0.661999	0.661999	0.661999	0.661999
Malaysian Ringgit	4.971810	4.944750	4.941790	4.946920	4.973400	4.986630	4.980890	4.969450	4.986510	5.008250	5.033900	5.016080
Mauritian Rupee	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mexican Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Nepalese Rupee	90.735500	90.241700	90.187600	90.281200	90.764600	91.005900	90.901200	91.084800	91.397500	92.257200	92.729700	92.863400
New Zealand Dollar	2.764060	2.784910	2.838520	2.889720	2.879940	2.849420	2.896710	2.876390	2.893900	2.868560	2.878870	2.852560
Norwegian Krone	11.799100	NA	11.862400	11.955500	11.947000	11.906400	11.921200	12.011600	11.892400	11.821300	11.808300	11.784100
Rial Omani	0.503068	0.500331	0.500031	0.500550	0.503230	0.504568	0.503987	0.502830	0.504556	0.506756	0.509351	0.507548
Pakistani Rupee	67.762500	67.393800	67.353400	67.423300	67.784300	67.964500	67.886300	67.730400	67.962900	68.259200	68.608800	68.365900
Nuevo Sol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Philippine Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Polish Zloty	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Qatar Riyal	4.762470	4.736550	4.733710	4.738620	4.764000	4.776660	4.771170	4.760210	4.776550	4.797370	4.821940	4.804870
Russian Ruble	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Saudi Arabian Riyal	4.899850	4.873180	4.870260	4.875320	4.901420	4.914450	4.908800	4.897520	4.914340	4.935760	4.961040	4.943470
Singapore Dollar	2.262830	2.252460	NA	2.252800	2.259230	2.275480	2.273780	2.269600	2.273460	2.286000	2.297050	2.284290
South African Rand	9.232510	9.234320	9.287310	9.293040	9.248560	9.270530	9.301810	9.361530	9.406660	9.395080	9.337220	9.185360
Sri Lanka Rupee	96.642800	NA	NA	96.263100	96.739200	96.970200	96.911000	96.819300	97.099200	97.469700	98.088200	97.701300
Swedish Krona	11.834200	11.877200	11.922100	11.895400	11.968900	12.046600	12.052400	12.037800	11.947900	11.980300	11.965400	11.873600
Swiss Franc	2.239140	2.256110	2.263730	2.275840	2.259360	2.253040	2.251620	2.258750	2.245510	2.230520	2.225780	2.228190
Thai Baht	51.383600	NA	51.085100	50.955800	51.006200	51.473800	51.522000	51.262500	51.303300	51.639000	52.063800	51.693300
Trinidad And Tobago Dollar	8.220100	8.170290	8.160450	8.167100	8.223390	8.235020	8.219780	8.210970	8.246770	8.271390	NA	8.281410
Tunisian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
U.A.E. Dirham	4.804990	4.778840	4.775980	4.780930	4.806530	4.819310	4.813770	4.802710	4.819200	4.840210	4.865000	4.847770
Peso Uruguayo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
