Currency units per SDR for August 2000
Currency	August 01, 2000	August 02, 2000	August 03, 2000	August 04, 2000	August 07, 2000	August 08, 2000	August 09, 2000	August 10, 2000	August 11, 2000	August 14, 2000	August 15, 2000
Chinese Yuan	10.872100	10.841900	10.820800	10.836900	10.846500	10.838700	10.823500	10.838200	10.860800	10.821100	10.848500
Euro	1.417570	1.432450	1.447630	1.449270	1.442070	1.446930	1.456840	1.449430	1.436430	1.450420	1.437150
Japanese Yen	143.603000	142.414000	142.520000	141.944000	142.395000	142.096000	141.964000	140.912000	142.587000	142.068000	143.357000
U.K. Pound Sterling	0.875902	0.879778	0.879844	0.871572	0.869610	0.868236	0.871190	0.872537	0.871421	0.869112	0.870633
U.S. Dollar	1.313240	1.309550	1.306920	1.308840	1.309980	1.309040	1.307220	1.308980	1.311750	1.306970	1.310390
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	2.261870	2.245840	2.228340	2.238480	2.230510	2.229290	2.243000	2.251040	2.252700	2.254560	2.246510
Bahrain Dinar	0.493778	0.492391	0.491402	0.492124	0.492552	0.492199	0.491515	0.492176	0.493218	0.491421	0.492707
Botswana Pula	6.800830	6.827690	6.806880	6.802700	6.780430	6.782590	6.783710	6.778770	6.751160	6.719640	6.744160
Brazilian Real	2.329690	2.340430	2.340430	2.365200	2.346310	2.350120	2.350900	2.348570	2.355120	2.346140	2.360410
Brunei Dollar	2.275190	2.266830	2.258230	2.255790	2.258140	2.258090	2.237310	2.240320	2.249000	2.238190	2.249940
Canadian Dollar	1.955150	1.944030	1.939600	1.948600	1.833970	1.948900	1.941220	1.940300	1.946370	1.940590	1.948680
Chilean Peso	676.870000	676.134000	675.259000	676.238000	676.998000	676.996000	676.303000	676.769000	677.939000	676.645000	NA
Colombian Peso	2,855.710000	2,848.300000	2,840.750000	2,850.220000	2,821.580000	2,854.540000	NA	2,848.560000	2,859.090000	2,850.360000	2,857.950000
Czech Koruna	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Danish Krone	10.569300	10.637500	10.714900	10.785800	10.765900	10.798000	10.867700	10.804300	10.744700	10.790300	10.735400
Hungarian Forint	369.467000	371.873000	374.184000	377.011000	376.135000	377.148000	380.100000	377.405000	375.659000	377.270000	375.466000
Icelandic Krona	102.879000	103.323000	104.723000	105.610000	102.676000	104.815000	105.009000	104.758000	104.153000	104.597000	104.320000
Indian Rupee	59.266500	59.375000	59.386400	59.408200	59.695800	59.849300	59.661500	59.794200	60.248700	59.820000	59.976600
Indonesian Rupiah	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Iranian Rial	2,308.140000	2,301.450000	2,249.990000	2,294.990000	2,293.740000	2,295.750000	2,287.820000	2,290.900000	2,290.900000	2,298.840000	2,290.460000
Israeli New Sheqel	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Kazakhstani Tenge	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Korean Won	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Kuwaiti Dinar	0.403834	0.402896	0.402087	0.402678	0.403028	0.402739	0.402506	0.402826	NA	0.402429	0.403482
Libyan Dinar	0.661999	0.661999	0.661999	0.661999	0.661999	0.661999	0.661999	0.661999	0.661999	0.661999	0.661999
Malaysian Ringgit	4.990310	4.976290	4.966300	4.973590	4.977920	4.974350	4.967440	4.974120	4.984650	4.966490	4.979480
Mauritian Rupee	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mexican Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Nepalese Rupee	92.911700	92.650700	93.118100	93.254900	93.336100	94.250900	94.577400	94.704700	94.905100	94.559300	95.068800
New Zealand Dollar	2.884660	2.886700	2.868250	2.892460	2.877500	2.876690	2.881560	2.896290	NA	2.911820	2.911010
Norwegian Krone	11.621900	11.717500	11.810500	11.770300	11.672800	11.744100	11.752300	11.721500	11.663200	11.704800	11.661000
Rial Omani	0.504941	0.503522	0.502511	0.503249	0.503687	0.503326	0.502626	0.503303	0.504368	0.502530	0.503845
Pakistani Rupee	68.014700	67.823600	67.687400	67.786900	67.845900	67.797200	67.702900	67.794100	67.937600	67.690000	67.867100
Nuevo Sol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Philippine Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Polish Zloty	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Qatar Riyal	4.780190	4.766760	4.757190	4.764180	4.768330	4.764910	4.758280	4.764690	4.774770	4.757370	4.769820
Russian Ruble	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Saudi Arabian Riyal	4.918080	4.904260	4.894420	4.901610	4.905880	4.902350	4.895540	4.902130	4.912500	4.894600	4.907410
Singapore Dollar	2.275190	2.266830	2.258230	2.255790	2.258140	2.258090	2.237310	2.240320	2.249000	2.238190	2.249940
South African Rand	9.142120	9.195010	9.139950	9.131120	9.123360	9.126050	NA	NA	9.075340	9.022670	9.079040
Sri Lanka Rupee	101.829000	101.543000	101.339000	101.487000	101.576000	101.503000	101.362000	101.498000	101.713000	NA	101.608000
Swedish Krona	12.049000	12.093700	12.089000	12.165700	12.137000	12.082400	12.091800	12.055700	12.055000	12.076400	12.003200
Swiss Franc	2.216220	2.210000	2.234700	2.234320	2.230900	2.234270	2.252080	2.240580	2.231940	2.250210	2.239330
Thai Baht	54.133100	53.665400	53.288400	53.212200	53.714400	53.778000	53.563300	NA	NA	NA	NA
Trinidad And Tobago Dollar	8.238090	8.214940	8.205110	8.205250	8.226020	8.207420	8.209210	8.226420	8.222440	8.198490	8.226760
Tunisian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
U.A.E. Dirham	4.822870	4.809320	4.799660	4.806710	4.810900	4.807450	4.800770	4.807230	4.817400	4.799850	4.812410
Peso Uruguayo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bolivar Fuerte	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA

Currency units per SDR for August 2000 Continued

Currency	August 16, 2000	August 17, 2000	August 18, 2000	August 21, 2000	August 22, 2000	August 23, 2000	August 24, 2000	August 25, 2000	August 28, 2000	August 29, 2000	August 30, 2000	August 31, 2000
Chinese Yuan	10.843800	10.858600	10.848300	10.827500	10.805800	10.808900	10.829100	10.832800	10.838300	10.828100	10.780300	10.801900
Euro	1.443650	1.434840	1.435550	1.449290	1.454600	1.463930	1.451260	1.450300	1.453300	1.458740	1.461620	1.465080
Japanese Yen	142.794000	142.160000	142.750000	141.427000	141.535000	140.279000	140.009000	139.859000	139.146000	139.342000	138.224000	138.831000
U.K. Pound Sterling	0.872074	0.874993	0.875822	0.877056	0.878658	0.881222	0.884121	0.886997	NA	0.893706	0.900277	0.896647
U.S. Dollar	1.309680	1.311440	1.310230	1.307690	1.305070	1.305530	1.307880	1.308320	1.308990	1.307760	1.302160	1.304800
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	2.229240	2.219770	2.208380	2.216800	2.211980	2.288400	2.283310	2.289270	2.282860	2.276740	2.279290	2.270010
Bahrain Dinar	0.492440	0.493101	0.492646	0.491691	0.490706	0.490879	0.491763	0.491928	0.492180	0.491718	0.489612	0.490605
Botswana Pula	6.761380	6.739160	6.739870	6.737200	6.755020	6.750410	6.734710	6.702460	6.723110	6.713350	6.701800	6.715390
Brazilian Real	2.363710	2.368720	2.369940	2.375550	2.374050	2.370970	2.377460	2.380620	2.383020	2.389150	2.388290	2.381390
Brunei Dollar	2.250030	2.251350	2.253600	2.243340	2.239630	2.240290	2.248900	2.252270	2.248840	2.248690	2.241670	2.244910
Canadian Dollar	1.934400	1.935290	1.931800	1.931330	1.925500	1.941980	1.944690	1.939720	1.942930	1.944640	1.926550	1.920930
Chilean Peso	677.183000	NA	NA	676.900000	676.300000	676.317000	676.658000	677.121000	677.664000	677.485000	674.936000	676.369000
Colombian Peso	2,862.240000	2,866.100000	2,863.840000	2,854.700000	2,848.980000	2,856.280000	2,873.050000	2,885.630000	2,891.320000	2,887.760000	2,870.250000	2,881.270000
Czech Koruna	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Danish Krone	10.760200	10.707100	10.680100	10.790700	10.825000	10.900900	10.826000	10.819500	10.818700	10.832600	10.924600	10.870400
Hungarian Forint	375.695000	374.416000	373.442000	377.478000	379.110000	381.032000	378.788000	378.222000	378.586000	379.198000	382.692000	381.602000
Icelandic Krona	104.565000	104.509000	104.530000	105.099000	104.510000	105.056000	105.193000	104.914000	105.138000	105.039000	105.488000	105.350000
Indian Rupee	59.800000	60.037700	60.074000	NA	59.667800	59.741100	60.057800	60.038800	60.004100	59.882300	59.678000	59.759800
Indonesian Rupiah	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Iranian Rial	2,296.460000	2,295.220000	2,295.210000	2,296.180000	2,291.730000	2,287.140000	NA	NA	2,292.830000	2,294.010000	2,290.930000	2,282.040000
Israeli New Sheqel	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Kazakhstani Tenge	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Korean Won	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Kuwaiti Dinar	0.402910	0.403451	NA	0.402690	0.401883	0.402208	0.402265	NA	0.402606	0.402398	0.401052	0.401865
Libyan Dinar	0.661999	0.661999	0.661999	0.661999	0.661999	0.661999	0.661999	0.661999	0.661999	0.661999	0.661999	0.661999
Malaysian Ringgit	4.976780	4.983470	4.978870	4.969220	4.959270	4.961010	4.969940	4.971620	4.974160	4.969490	4.948210	4.958240
Mauritian Rupee	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mexican Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Nepalese Rupee	95.017300	95.145000	95.057200	94.872900	94.682800	94.455100	94.886700	94.918600	94.967200	94.878000	94.471700	94.663200
New Zealand Dollar	2.910720	2.903660	2.890740	2.890880	2.900480	3.008480	3.050450	3.009360	3.002610	3.015010	3.039230	3.031950
Norwegian Krone	11.692200	11.607800	11.572000	11.657300	11.700100	11.788300	11.757400	11.741000	11.734700	11.774200	11.797400	11.829800
Rial Omani	0.503572	0.504249	0.503783	0.502807	0.501799	0.501976	0.502880	0.503049	0.503307	0.502834	0.500681	0.501696
Pakistani Rupee	67.830400	67.921500	67.858800	67.727300	67.591600	67.615400	67.737100	67.759900	67.794600	67.730900	67.440900	67.577600
Nuevo Sol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Philippine Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Polish Zloty	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Qatar Riyal	4.767240	4.773640	4.769240	4.759990	4.750450	4.752130	4.760680	4.762280	4.764720	4.760250	4.739860	4.749470
Russian Ruble	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Saudi Arabian Riyal	4.904750	4.911340	4.906810	4.897300	4.887490	4.889210	4.898010	4.899660	4.902170	4.897560	4.876590	4.886480
Singapore Dollar	2.250030	2.251350	2.253600	2.243340	2.239630	2.240290	2.248900	2.252270	2.248840	2.248690	2.241670	2.244910
South African Rand	9.104240	9.078440	9.075310	9.083870	9.120480	9.110640	9.085190	9.046380	9.092900	9.077820	9.062380	9.100330
Sri Lanka Rupee	101.553000	101.689000	101.595000	101.398000	101.195000	101.231000	101.413000	101.447000	101.499000	101.404000	100.969000	101.174000
Swedish Krona	12.101400	12.075100	12.041000	12.151700	12.156700	12.242600	12.153500	12.141200	12.199800	12.260300	12.315200	12.317300
Swiss Franc	2.250290	2.246500	2.244420	2.245830	2.267820	2.268750	2.250080	2.239190	2.244920	2.245290	2.272010	2.262520
Thai Baht	53.458500	NA	53.796700	53.438800	53.218100	53.005800	NA	NA	NA	NA	53.335200	NA
Trinidad And Tobago Dollar	8.230680	8.227580	8.216710	8.188100	8.193750	8.201600	8.212440	8.206440	8.209460	8.203450	8.181730	NA
Tunisian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
U.A.E. Dirham	4.809800	4.816260	4.811820	4.802490	4.792870	4.794560	4.803190	4.804810	4.807270	4.802750	4.782180	4.791880
Peso Uruguayo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bolivar Fuerte	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA

