Currency units per SDR for May 2001
Currency	May 01, 2001	May 02, 2001	May 03, 2001	May 04, 2001	May 07, 2001	May 08, 2001	May 09, 2001	May 10, 2001	May 11, 2001	May 14, 2001	May 15, 2001
Chinese Yuan	10.477700	10.504700	10.506000	10.519800	10.525900	10.499600	10.473700	10.484500	10.440800	10.428700	10.431500
Euro	NA	1.424820	1.425630	1.421760	1.425770	1.430520	1.433470	1.431280	1.437830	1.440770	1.437400
Japanese Yen	155.950000	154.955000	NA	NA	154.733000	154.289000	153.927000	154.725000	154.523000	154.571000	155.333000
U.K. Pound Sterling	0.886863	0.887288	0.887390	0.886517	NA	0.884510	0.887950	0.889838	0.890258	0.888036	0.888920
U.S. Dollar	1.265820	1.269090	1.269240	1.270910	1.271640	1.268300	1.265320	1.266680	1.261410	1.259950	1.260310
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	2.468940	2.439610	2.441310	2.455870	2.453010	2.446570	2.434250	2.421500	2.405440	2.429050	2.429280
Bahrain Dinar	0.475950	0.477177	0.477234	0.477863	0.478137	0.476881	0.475762	0.476272	0.474291	0.473741	0.473875
Botswana Pula	7.103380	7.137710	7.134550	7.139950	7.140050	7.129310	7.064890	7.064590	7.066740	7.074390	7.064490
Brazilian Real	NA	2.771560	2.821650	2.839850	NA	2.783790	2.823060	2.859920	2.861760	2.879620	2.905520
Brunei Dollar	NA	2.307200	2.307480	2.314460	NA	2.313380	2.309220	2.306630	2.288320	2.287690	2.291620
Canadian Dollar	1.941520	1.942840	1.945620	1.950720	1.958710	1.958760	1.949100	1.949430	1.955560	1.957960	1.952340
Chilean Peso	NA	677.424000	676.874000	677.397000	678.638000	677.833000	676.251000	677.309000	674.828000	674.805000	674.818000
Colombian Peso	2,963.410000	2,971.040000	2,977.580000	2,986.580000	2,994.040000	NA	2,985.180000	2,989.350000	2,976.660000	2,982.680000	NA
Czech Koruna	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	49.505000
Danish Krone	10.656300	10.638100	10.606100	10.630500	10.643000	10.673300	10.693600	10.657900	NA	10.751800	10.740700
Hungarian Forint	NA	381.538000	380.111000	372.732000	370.454000	371.903000	369.665000	369.581000	369.064000	370.085000	371.111000
Icelandic Krona	NA	127.150000	129.957000	130.573000	129.161000	127.819000	123.926000	123.514000	124.438000	123.652000	NA
Indian Rupee	59.316600	59.406100	59.464000	59.516700	NA	59.369000	59.255000	59.344000	59.122300	59.091500	59.234700
Indonesian Rupiah	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Iranian Rial	NA	2,218.350000	2,224.080000	2,224.080000	2,227.270000	2,228.550000	2,222.700000	NA	2,217.470000	2,210.620000	2,208.060000
Israeli New Sheqel	5.241780	5.259090	5.262270	5.273010	5.276040	5.258370	5.244770	5.249150	5.232310	5.228790	5.232810
Kazakhstani Tenge	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Korean Won	NA	1,676.590000	1,655.720000	1,646.210000	1,644.360000	1,651.580000	1,642.520000	1,651.250000	1,647.650000	1,640.080000	1,635.130000
Kuwaiti Dinar	0.389140	0.389724	0.389771	NA	0.390509	0.389482	0.388961	0.389379	NA	0.387762	0.388099
Libyan Dinar	NA	0.704027	0.704027	0.704027	0.704027	0.704027	0.704027	0.704027	0.704027	0.704027	0.704027
Malaysian Ringgit	NA	4.822530	4.823110	4.829470	4.832250	4.819560	4.808220	4.813410	4.793360	4.787800	4.789180
Mauritian Rupee	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mexican Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Nepalese Rupee	94.620800	94.864100	94.875800	95.001000	NA	94.805600	94.583200	94.684400	94.290700	94.181500	94.208100
New Zealand Dollar	3.057180	3.019110	3.002340	3.011280	3.016580	3.014380	3.003020	2.975180	2.969760	2.989560	3.027770
Norwegian Krone	NA	11.545300	11.546100	11.505600	11.518800	11.521400	11.525100	11.551900	11.529300	11.511700	11.526500
Rial Omani	0.486710	0.487964	0.488022	0.488665	0.488947	0.487662	0.486516	0.487040	0.485013	0.484452	0.484590
Pakistani Rupee	NA	77.695900	77.704900	78.064600	78.109700	77.904100	77.721200	77.804700	77.346100	77.257100	77.278600
Nuevo Sol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Philippine Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Polish Zloty	NA	5.012510	NA	5.026720	5.015720	5.006610	5.001580	5.033930	5.005030	5.078360	5.063160
Qatar Riyal	4.607590	4.619470	4.620030	4.626120	4.628770	4.616610	4.605790	4.610740	4.591540	4.586210	4.587530
Russian Ruble	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Saudi Arabian Riyal	4.746850	4.759070	4.759640	4.765920	4.768650	4.756130	4.744960	4.750070	4.730280	4.724800	4.726170
Singapore Dollar	NA	2.307200	2.307480	2.314460	NA	2.313380	2.309220	2.306630	2.288320	2.287690	2.291620
South African Rand	NA	10.205400	10.259900	10.248000	10.219500	10.173700	10.038500	NA	10.037700	10.065100	NA
Sri Lanka Rupee	NA	114.413000	117.451000	117.517000	NA	NA	115.146000	113.759000	113.196000	113.135000	113.265000
Swedish Krona	NA	12.973200	12.936700	13.011000	12.983500	13.038100	13.055000	12.948700	12.907400	12.923900	12.971700
Swiss Franc	NA	2.196150	2.199210	2.198300	2.198800	2.204940	2.207610	2.200230	2.208860	2.208440	2.200250
Thai Baht	NA	57.739700	57.618300	57.844300	NA	NA	57.650800	NA	57.354900	57.324000	NA
Trinidad And Tobago Dollar	7.885320	7.902580	7.898210	7.911830	7.926630	7.901270	7.867390	7.875630	7.846090	7.823130	7.847570
Tunisian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
U.A.E. Dirham	4.648740	4.660720	4.661290	4.667420	4.670100	4.657840	4.646900	4.651900	4.632520	4.627170	4.628490
Peso Uruguayo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bolivar Fuerte	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA

Currency units per SDR for May 2001 Continued

Currency	May 16, 2001	May 17, 2001	May 18, 2001	May 21, 2001	May 22, 2001	May 23, 2001	May 24, 2001	May 25, 2001	May 28, 2001	May 29, 2001	May 30, 2001	May 31, 2001
Chinese Yuan	10.456500	10.464900	10.441200	10.440400	10.425600	10.397200	10.412500	10.395200	NA	10.393000	10.395400	10.381200
Euro	1.430090	1.434350	1.437290	1.440780	1.450240	1.463180	1.462120	1.461880	1.462840	1.468290	1.467440	1.479040
Japanese Yen	156.528000	155.835000	154.724000	155.702000	154.733000	152.747000	150.961000	150.960000	151.940000	152.402000	150.951000	149.504000
U.K. Pound Sterling	0.884940	0.883135	0.883158	0.878372	0.877840	0.882924	0.889047	0.885128	NA	0.885089	0.883580	0.884940
U.S. Dollar	1.263340	1.264380	1.261510	1.261260	1.259530	1.256140	1.258010	1.255900	1.255700	1.255680	1.255830	1.254230
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	2.426700	2.409260	2.393290	2.382430	2.391360	2.418910	2.452730	2.407790	2.413420	2.428310	2.415060	2.459260
Bahrain Dinar	0.475014	0.475407	0.474327	0.474233	0.473584	0.472309	0.473010	0.472219	0.472146	0.472135	0.472193	0.471589
Botswana Pula	7.085460	7.099250	7.047510	7.022620	7.036460	7.021440	7.039770	7.026020	NA	7.022820	7.043390	7.062100
Brazilian Real	2.953180	2.934750	2.905000	2.892450	2.930930	2.895910	2.946120	2.949620	2.937720	2.920330	NA	2.958470
Brunei Dollar	2.292710	2.286250	2.278910	2.283890	2.278240	2.272610	2.270070	2.266280	2.272950	2.276170	2.273940	2.267010
Canadian Dollar	1.945420	1.941830	1.933890	NA	1.940560	1.941740	1.946510	1.940620	1.940440	1.930360	1.941520	1.938660
Chilean Peso	675.749000	676.732000	675.762000	NA	675.411000	673.932000	674.832000	674.004000	NA	674.313000	674.118000	673.795000
Colombian Peso	3,002.870000	3,006.960000	3,000.380000	2,962.540000	2,915.490000	2,910.120000	2,887.410000	2,901.940000	2,938.320000	2,938.260000	2,928.490000	2,916.050000
Czech Koruna	49.123600	49.078100	49.237800	49.431300	49.567500	50.138900	50.222000	50.322800	NA	50.264900	50.158000	50.426100
Danish Krone	10.676200	10.679200	10.713000	10.738700	10.793000	10.926200	NA	10.959000	10.896700	10.943400	10.956100	11.021400
Hungarian Forint	369.387000	368.806000	370.126000	372.311000	372.871000	376.690000	376.672000	374.813000	NA	373.402000	372.367000	375.026000
Icelandic Krona	125.930000	126.198000	126.706000	NA	NA	127.247000	NA	127.135000	127.266000	129.222000	130.155000	131.669000
Indian Rupee	59.288400	59.350000	59.215000	59.228700	59.223100	59.026000	59.101000	58.964700	58.942800	58.979300	58.974100	58.936200
Indonesian Rupiah	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Iranian Rial	2,208.690000	2,214.000000	2,214.000000	2,210.800000	2,210.800000	2,210.800000	2,210.800000	2,210.800000	2,200.960000	2,200.960000	2,200.580000	2,200.840000
Israeli New Sheqel	5.239060	5.230730	5.220110	5.224140	5.211940	5.191620	5.191780	5.184380	NA	5.175900	5.176550	5.183710
Kazakhstani Tenge	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Korean Won	1,647.390000	1,652.800000	1,643.110000	1,638.630000	1,641.040000	1,626.450000	1,618.550000	1,608.560000	1,617.970000	1,626.480000	1,625.170000	1,621.590000
Kuwaiti Dinar	0.389032	0.388809	NA	0.387849	0.387318	0.386716	0.387441	NA	0.386732	0.386725	0.386771	0.386276
Libyan Dinar	0.704027	0.704027	0.704027	0.704027	0.704027	0.704027	0.704027	0.704027	0.704027	0.704027	0.704027	0.704027
Malaysian Ringgit	4.800680	4.804640	4.793730	4.792780	4.786220	4.773340	4.780410	4.772430	4.771680	4.771580	4.772180	4.766060
Mauritian Rupee	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mexican Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Nepalese Rupee	94.434100	94.512600	94.297800	NA	94.149500	NA	94.036200	93.879100	93.864100	93.862300	93.873800	93.753200
New Zealand Dollar	3.016210	2.991550	2.959540	2.939650	2.954910	2.967840	3.004910	2.967980	2.949390	2.968160	2.988300	3.018230
Norwegian Krone	11.488500	NA	11.441500	11.426900	11.502500	11.623400	NA	11.550300	11.573300	11.579600	11.604500	11.728800
Rial Omani	0.485753	0.486154	0.485048	0.484954	0.484290	0.482984	0.483704	0.482896	0.482819	0.482810	0.482868	0.482248
Pakistani Rupee	77.464700	77.528400	77.709100	77.693400	77.587300	77.378400	77.492900	77.364100	77.351500	77.349700	77.359300	77.260000
Nuevo Sol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Philippine Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Polish Zloty	5.031500	5.014010	5.007290	5.018540	5.014570	5.023560	5.028990	5.018970	5.042150	5.070430	5.052470	5.027300
Qatar Riyal	4.598550	4.602340	4.591870	4.590990	4.584700	4.572350	4.579130	4.571490	4.570760	4.570680	4.571240	4.565380
Russian Ruble	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Saudi Arabian Riyal	4.737520	4.741430	4.730660	4.729720	4.723240	4.710520	4.717520	4.709650	4.708900	4.708790	4.709380	4.703340
Singapore Dollar	2.292710	2.286250	2.278910	2.283890	2.278240	2.272610	2.270070	2.266280	2.272950	2.276170	2.273940	2.267010
South African Rand	10.089600	10.075200	10.022000	9.933050	9.967310	9.963040	10.011800	9.946090	9.930780	9.950640	10.004600	10.063300
Sri Lanka Rupee	114.133000	114.194000	114.123000	114.088000	113.979000	113.841000	113.994000	113.944000	113.953000	114.086000	114.391000	114.796000
Swedish Krona	12.939700	12.928300	12.898900	12.918400	12.894400	13.104700	NA	13.158700	13.238300	13.316500	13.283600	13.454700
Swiss Franc	2.193790	2.194710	2.206880	2.208210	2.216900	2.234420	NA	2.235260	2.233770	2.239250	2.238770	2.249450
Thai Baht	57.384500	57.242300	57.281300	57.533400	57.403000	57.161800	57.129800	57.127200	57.244900	57.203700	56.991100	56.854000
Trinidad And Tobago Dollar	7.873270	7.886810	7.864850	7.873270	7.858610	7.836440	7.858730	7.835330	7.852930	7.823620	NA	7.821970
Tunisian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
U.A.E. Dirham	4.639620	4.643430	4.632890	4.631970	4.625630	4.613160	4.620030	4.612310	4.611570	4.611480	4.612060	4.606150
