Currency units per SDR for August 2001
Currency	August 01, 2001	August 02, 2001	August 03, 2001	August 06, 2001	August 07, 2001	August 08, 2001	August 09, 2001	August 10, 2001	August 13, 2001	August 14, 2001	August 15, 2001
Chinese Yuan	10.440500	10.450800	10.448300	10.443500	10.418400	10.423000	10.467500	10.509200	10.534300	10.507100	10.597800
Euro	1.430650	1.436800	1.433530	1.432990	1.435550	1.436980	1.428440	1.420900	1.415530	1.415470	1.404850
Japanese Yen	157.424000	157.075000	156.470000	156.406000	155.952000	155.514000	156.178000	155.095000	155.334000	156.135000	155.502000
U.K. Pound Sterling	0.881298	0.880328	0.883143	0.885999	0.888968	0.889783	0.890123	0.890964	0.894134	0.893687	0.891258
U.S. Dollar	1.261410	1.262660	1.262360	1.261750	1.258690	1.259230	1.264600	1.269710	1.272710	1.269390	1.280380
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	2.468510	2.433810	2.437940	NA	2.439320	2.439410	2.448410	2.462590	2.462670	2.457680	2.444870
Bahrain Dinar	0.474289	0.474759	0.474649	0.474417	0.473267	0.473469	0.475491	0.477411	0.478538	0.477291	0.481422
Botswana Pula	7.239090	7.221360	7.238300	7.257680	7.242180	7.236940	7.255310	7.263800	7.278870	7.274470	7.291450
Brazilian Real	3.065850	3.147440	3.139370	3.138720	3.106700	3.079430	3.123070	3.131110	3.160640	3.161040	3.217840
Brunei Dollar	2.274950	2.267110	2.244730	2.246790	2.245380	2.237140	NA	2.236850	2.240600	2.229050	2.247450
Canadian Dollar	1.937270	1.946010	1.937470	NA	1.930830	1.930900	1.946100	1.955610	1.958180	1.956130	1.957700
Chilean Peso	679.847000	680.499000	680.073000	680.082000	678.712000	678.887000	680.999000	683.093000	684.027000	682.729000	NA
Colombian Peso	2,892.720000	2,898.050000	2,902.060000	2,896.610000	NA	2,885.460000	2,902.330000	NA	NA	2,900.430000	2,925.640000
Czech Koruna	48.675100	48.644000	48.595800	48.564700	48.710200	48.669100	48.382300	48.129700	48.123700	48.080900	47.784900
Danish Krone	10.674600	10.660100	10.669800	10.669400	10.695100	10.711900	10.636200	10.565000	10.552500	10.560500	10.498600
Hungarian Forint	356.095000	355.716000	356.227000	354.689000	354.699000	355.417000	352.976000	350.505000	349.994000	350.695000	352.603000
Icelandic Krona	124.274000	124.120000	124.052000	NA	124.233000	124.298000	124.133000	124.711000	124.891000	126.279000	125.938000
Indian Rupee	59.450200	59.496500	59.457300	59.453400	59.296900	NA	59.613200	59.829000	59.970000	59.813600	NA
Indonesian Rupiah	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Iranian Rial	2,205.940000	2,210.620000	2,210.620000	2,212.290000	2,211.220000	2,205.850000	2,206.800000	2,206.800000	NA	2,230.420000	2,224.610000
Israeli New Sheqel	5.311770	5.324640	5.322120	5.324560	5.330550	5.329040	5.354320	5.383580	5.386100	5.375880	5.428790
Kazakhstani Tenge	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Korean Won	1,642.980000	1,638.550000	1,630.090000	1,619.830000	1,620.560000	1,622.640000	1,625.900000	NA	NA	NA	NA
Kuwaiti Dinar	0.386986	0.387106	NA	0.386826	0.386078	0.386242	0.387892	NA	0.389551	0.388535	0.391425
Libyan Dinar	0.816990	0.816990	0.816990	0.816990	0.816990	0.816990	0.816990	0.816990	0.816990	0.816990	0.816990
Malaysian Ringgit	4.793340	4.798100	4.796990	4.794620	4.783020	4.785060	4.805500	4.824900	4.836290	4.823690	4.865450
Mauritian Rupee	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mexican Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Nepalese Rupee	94.636900	94.731100	94.708600	94.662000	94.433200	94.473300	94.876700	95.259900	95.484500	95.236300	96.060600
New Zealand Dollar	3.050190	3.018190	2.995990	3.023230	2.997950	3.002080	2.980090	2.985100	2.991430	2.973160	2.975900
Norwegian Krone	11.462400	11.488700	11.423000	11.431700	11.439900	11.435500	11.406100	11.388400	11.412700	11.420000	11.412300
Rial Omani	0.485011	0.485493	0.485378	0.485140	0.483966	0.484172	0.486239	0.488205	0.489356	0.488081	0.492305
Pakistani Rupee	80.748000	80.828300	81.041200	81.001200	80.805500	80.839400	81.184600	81.512900	81.705400	81.492300	82.197600
Nuevo Sol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Philippine Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Polish Zloty	5.363370	5.376030	5.388770	5.340200	5.332450	5.308500	5.331680	5.347140	5.377560	5.408240	NA
Qatar Riyal	4.591520	4.596070	4.595000	4.592760	4.581630	4.583580	4.603160	4.621760	4.632650	4.620580	4.660570
Russian Ruble	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Saudi Arabian Riyal	4.730280	4.734980	4.733860	4.731560	4.720100	4.722100	4.742260	4.761430	4.772650	4.760230	4.801410
Singapore Dollar	2.274950	2.267110	2.244730	2.246790	2.245380	2.237140	NA	2.236850	2.240600	2.229050	2.247450
South African Rand	10.424900	10.383500	10.406300	10.455400	10.436400	NA	NA	10.480800	10.529700	10.508700	10.556100
Sri Lanka Rupee	113.500000	113.628000	NA	113.557000	113.246000	113.271000	113.751000	114.196000	114.351000	114.057000	114.829000
Swedish Krona	13.307800	13.207400	13.317900	13.128500	13.181600	13.158900	13.139200	13.046300	13.073900	13.024000	13.050300
Swiss Franc	NA	2.163570	2.160410	2.160740	2.163190	2.166250	2.148810	2.146450	2.142980	2.147180	2.135540
Thai Baht	57.714400	57.666800	57.446500	57.216400	57.264300	57.265900	57.454800	57.490100	NA	57.081900	57.385200
Trinidad And Tobago Dollar	NA	7.738560	7.741560	7.713790	7.695030	7.701020	7.709270	7.761990	7.767050	7.769160	7.810180
Tunisian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
U.A.E. Dirham	4.632520	4.637120	4.636030	4.633770	4.622550	4.624510	4.644250	4.663030	4.674010	4.661830	4.702190
Peso Uruguayo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bolivar Fuerte	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA

Currency units per SDR for August 2001 Continued

Currency	August 16, 2001	August 17, 2001	August 20, 2001	August 21, 2001	August 22, 2001	August 23, 2001	August 24, 2001	August 27, 2001	August 28, 2001	August 29, 2001	August 30, 2001	August 31, 2001
Chinese Yuan	10.638900	10.621500	10.619100	10.624700	10.666000	10.605800	10.607700	10.606400	10.578600	10.632200	10.615400	10.662500
Euro	1.405680	1.404340	1.402330	1.406310	1.398270	1.406270	1.407050	1.409720	1.413520	1.408210	1.410190	1.406670
Japanese Yen	154.050000	154.315000	154.537000	155.107000	154.380000	154.344000	153.400000	154.067000	153.692000	154.020000	153.459000	153.235000
U.K. Pound Sterling	0.887611	0.888336	0.888257	0.885724	0.884635	0.886957	0.889094	NA	0.888494	0.881834	0.882402	0.882348
U.S. Dollar	1.285350	1.283290	1.283000	1.283680	1.288650	1.281390	1.281540	1.281430	1.278100	1.284570	1.282570	1.288230
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	2.429320	2.447150	2.396780	2.402540	2.398830	2.392440	2.397640	2.413240	2.427540	2.419150	2.418570	2.411500
Bahrain Dinar	0.483293	0.482516	0.482407	0.482663	0.484531	0.481805	0.481858	0.481819	0.480566	0.482998	0.482246	0.484374
Botswana Pula	7.311440	7.308020	7.352400	7.339500	7.429530	7.362200	7.367300	7.377300	7.366590	7.371970	7.362630	7.422800
Brazilian Real	3.213000	3.191400	3.236610	3.247450	3.266080	3.232050	3.238960	3.266630	3.269000	3.282840	3.266190	3.271450
Brunei Dollar	2.248090	2.244850	2.255640	2.251180	2.258740	2.252050	2.245380	2.238660	2.232970	2.249410	2.245910	2.240610
Canadian Dollar	1.968000	1.978700	1.983130	1.988160	1.989160	1.976290	1.974850	1.976230	1.968410	1.985940	1.983110	1.993790
Chilean Peso	689.375000	688.137000	688.122000	688.591000	690.641000	687.635000	687.559000	688.179000	687.120000	689.669000	688.715000	691.200000
Colombian Peso	NA	2,936.380000	NA	2,933.280000	2,943.100000	2,920.610000	2,915.600000	2,913.340000	2,917.350000	2,942.390000	2,946.370000	2,964.510000
Czech Koruna	47.578700	47.831800	47.727500	47.892700	47.837300	48.355900	48.029600	48.069100	48.339100	48.122500	48.315700	48.222300
Danish Krone	10.417900	10.453300	10.437300	10.464100	10.391400	10.478000	10.444300	10.464200	10.517000	10.481700	10.504400	10.468300
Hungarian Forint	360.118000	360.744000	NA	361.072000	359.791000	356.650000	352.770000	356.495000	358.073000	357.328000	356.502000	356.118000
Icelandic Krona	125.759000	NA	125.156000	125.993000	126.236000	NA	127.001000	126.990000	127.261000	126.979000	127.154000	126.787000
Indian Rupee	60.565700	60.481100	60.467500	NA	NA	60.379200	60.386100	60.394100	60.262400	60.541800	60.460200	60.740100
Indonesian Rupiah	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Iranian Rial	2,243.870000	NA	2,248.970000	2,248.460000	2,249.650000	2,249.650000	2,249.650000	2,245.900000	2,245.710000	2,239.870000	2,251.210000	2,251.210000
Israeli New Sheqel	5.443480	5.425730	5.433480	5.436380	5.453570	5.420290	5.423460	5.420470	5.416590	5.464540	5.443210	5.490430
Kazakhstani Tenge	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Korean Won	1,655.540000	1,640.680000	1,646.600000	1,651.960000	1,657.330000	1,643.260000	NA	1,642.800000	1,636.860000	1,643.480000	1,644.000000	1,653.820000
Kuwaiti Dinar	0.392085	NA	0.391365	0.391817	0.392909	0.390978	NA	0.390992	0.389975	0.391948	0.391337	NA
Libyan Dinar	0.816990	0.816990	0.816990	0.816990	0.816990	0.816990	0.816990	0.816990	0.816990	0.816990	0.816990	0.816990
Malaysian Ringgit	4.884340	4.876480	4.875390	4.877980	4.896870	4.869280	4.869850	4.869450	4.856800	4.881360	4.873770	4.895270
Mauritian Rupee	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mexican Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Nepalese Rupee	96.433900	96.278800	96.256600	96.307600	96.680900	96.136300	96.147400	96.140000	95.889200	96.374400	96.225100	96.649200
New Zealand Dollar	2.953820	2.966790	2.913580	2.936470	2.911880	2.910600	2.902370	2.918980	2.925720	2.910540	2.913280	2.908950
Norwegian Krone	11.390900	11.420700	11.377900	11.421300	11.340800	11.407600	11.405600	11.394800	11.404300	11.361500	11.350000	11.348200
Rial Omani	0.494218	0.493423	0.493311	0.493574	0.495486	0.492696	0.492752	0.492710	0.491429	0.493917	0.493148	0.495324
Pakistani Rupee	82.517100	82.384500	82.365500	82.409700	82.728700	82.262500	82.272000	82.265300	82.051300	82.466700	82.338400	82.701400
Nuevo Sol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Philippine Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Polish Zloty	5.482940	5.488350	5.525590	5.474890	5.501520	5.433370	5.412980	5.429820	5.432950	5.422670	5.430390	5.453840
Qatar Riyal	4.678690	4.671150	4.670100	4.672590	4.690700	4.664270	4.664810	4.664420	4.652290	4.675830	4.668560	4.689130
Russian Ruble	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Saudi Arabian Riyal	4.820070	4.812320	4.811230	4.813780	4.832440	4.805220	4.805770	4.805380	4.792880	4.817120	4.809630	4.830850
Singapore Dollar	2.248090	2.244850	2.255640	2.251180	2.258740	2.252050	2.245380	2.238660	2.232970	2.249410	2.245910	2.240610
South African Rand	10.589400	10.614700	10.682900	10.689800	10.830500	10.727200	10.728400	10.766000	10.729000	10.733200	10.728000	10.825600
Sri Lanka Rupee	115.493000	115.310000	115.340000	115.386000	115.836000	115.194000	115.215000	115.250000	114.950000	115.541000	115.382000	116.017000
Swedish Krona	12.940300	13.057400	13.176400	13.231500	13.344000	13.236800	13.212700	13.169900	13.193200	13.302500	13.370800	13.429800
Swiss Franc	2.133430	2.130900	2.131180	2.132450	2.125240	2.140440	2.137090	2.140250	2.146190	2.136880	2.141510	2.130730
Thai Baht	57.459000	57.364100	57.662800	57.486800	57.511300	57.250200	56.909400	56.771400	56.509900	56.852400	56.861500	56.815900
Trinidad And Tobago Dollar	7.858110	7.846150	7.831770	7.852870	7.874570	7.827790	7.841600	7.844680	7.824420	7.861450	7.850340	NA
Tunisian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
U.A.E. Dirham	4.720450	4.712870	4.711800	4.714310	4.732560	4.705900	4.706460	4.706060	4.693820	4.717580	4.710230	4.731020
Peso Uruguayo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
