Currency units per SDR for October 2001
Currency	October 01, 2001	October 02, 2001	October 03, 2001	October 04, 2001	October 05, 2001	October 08, 2001	October 09, 2001	October 10, 2001	October 11, 2001	October 12, 2001	October 15, 2001
Chinese Yuan	10.644000	10.646500	10.650000	10.640100	10.656600	NA	10.667200	10.619300	10.588900	10.572900	10.608200
Euro	1.409310	1.399830	1.397250	1.410040	1.403450	1.399780	1.401930	1.404360	1.411800	1.413130	1.408940
Japanese Yen	153.998000	154.679000	155.566000	154.714000	155.147000	NA	154.655000	154.604000	153.844000	154.995000	155.151000
U.K. Pound Sterling	0.869921	0.870246	0.875442	0.872913	0.870830	0.875365	0.876970	0.884603	0.881904	0.883143	0.883572
U.S. Dollar	1.286000	1.286310	1.286730	1.285540	1.287530	1.289760	1.288790	1.283020	1.279370	1.277470	1.281710
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	NA	2.601750	2.583280	2.576220	2.566330	2.548930	2.542500	2.557860	2.570050	2.547800	2.482010
Bahrain Dinar	0.483536	0.483653	0.483809	0.483360	0.484109	0.484950	0.484588	0.482416	0.481044	0.480328	0.481923
Botswana Pula	7.709800	7.711710	7.869930	7.881900	7.865160	NA	7.863300	7.828100	7.782100	7.775200	NA
Brazilian Real	3.434270	3.454770	3.478030	3.506820	3.517260	3.550970	3.585420	3.565390	3.553580	NA	3.562000
Brunei Dollar	2.272100	2.284350	2.288450	2.283240	2.294370	2.314220	2.312740	2.313670	2.325650	2.322820	2.332840
Canadian Dollar	2.030470	2.017960	2.017720	2.013530	2.010600	NA	2.015290	2.011650	2.006570	2.000130	1.996780
Chilean Peso	691.907000	692.315000	692.271000	692.094000	692.933000	693.828000	693.630000	690.932000	690.617000	689.346000	NA
Colombian Peso	2,999.190000	3,007.960000	3,003.540000	3,003.250000	3,008.030000	3,006.470000	3,004.220000	2,988.040000	2,968.670000	2,953.920000	NA
Czech Koruna	47.839100	47.264100	46.965600	47.321800	47.288300	47.160200	47.021600	47.201200	47.263900	47.415600	47.096500
Danish Krone	10.503300	10.452500	10.389800	10.437700	10.439400	10.399300	10.397500	10.450000	10.455400	10.514900	10.471800
Hungarian Forint	363.128000	362.945000	359.641000	361.184000	360.070000	362.746000	360.141000	360.158000	358.110000	360.590000	359.314000
Icelandic Krona	129.320000	129.518000	129.895000	130.340000	132.345000	131.543000	132.037000	131.523000	128.884000	NA	128.530000
Indian Rupee	61.637800	NA	61.711600	61.654200	61.788300	62.128000	62.068200	61.662200	61.448500	61.369300	61.535100
Indonesian Rupiah	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Iranian Rial	NA	2,253.720000	2,253.720000	2,254.990000	2,254.990000	NA	2,256.400000	2,258.600000	2,248.490000	2,248.490000	NA
Israeli New Sheqel	5.604380	NA	5.623000	5.603650	5.594310	5.583380	NA	5.554200	5.516660	NA	5.522880
Kazakhstani Tenge	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Korean Won	NA	NA	NA	1,682.900000	1,691.680000	1,693.330000	1,690.640000	1,679.090000	1,672.650000	1,664.280000	1,666.090000
Kuwaiti Dinar	0.392102	0.391963	0.392092	0.391728	NA	0.392798	0.392502	0.391272	0.390209	NA	0.391100
Libyan Dinar	0.816990	0.816990	0.816990	0.816990	0.816990	0.816990	0.816990	0.816990	0.816990	0.816990	0.816990
Malaysian Ringgit	4.886800	4.887970	4.889570	4.885030	4.892610	4.901100	4.897420	4.875480	4.861610	4.854370	4.870490
Mauritian Rupee	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mexican Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Nepalese Rupee	98.025800	98.048800	98.080600	97.990200	98.142200	98.312000	98.561000	98.119100	97.839700	97.694400	98.019000
New Zealand Dollar	3.184350	3.164350	3.162670	3.156630	3.132280	3.105990	NA	3.118300	3.107920	3.077120	3.041910
Norwegian Krone	11.395000	11.323200	11.294700	11.365700	11.325900	11.282300	11.248300	11.229300	11.254900	11.242100	11.234200
Rial Omani	0.494467	0.494584	0.494748	0.494288	0.495054	0.495914	0.495543	0.493323	0.491918	0.491186	0.492817
Pakistani Rupee	82.558700	82.578400	82.605000	82.528700	80.824400	80.965100	80.904200	80.541900	80.312900	79.391500	79.655300
Nuevo Sol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Philippine Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Polish Zloty	5.437320	5.443390	5.397960	5.406690	5.343880	5.377410	5.371690	5.335700	5.272430	5.288320	5.277320
Qatar Riyal	4.681030	4.682150	4.683690	4.679350	4.686610	4.694730	4.691200	4.670210	4.656920	4.649970	4.665420
Russian Ruble	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Saudi Arabian Riyal	4.822510	4.823650	4.825230	4.820760	4.828240	4.836600	4.832970	4.811350	4.797660	4.790490	4.806420
Singapore Dollar	2.272100	2.284350	2.288450	2.283240	2.294370	2.314220	2.312740	2.313670	2.325650	2.322820	2.332840
South African Rand	11.591400	11.819200	11.964700	12.008800	11.928300	11.970900	11.968400	11.882700	11.737600	NA	NA
Sri Lanka Rupee	115.971000	NA	116.115000	116.078000	116.341000	116.531000	116.364000	115.832000	115.506000	115.436000	115.956000
Swedish Krona	13.695900	13.692700	13.629700	13.607400	13.683200	13.626300	13.593600	13.545500	13.484600	13.454300	13.397100
Swiss Franc	2.087690	2.082270	2.080390	2.093110	2.086440	2.066840	2.071610	2.086710	2.096890	2.095300	2.079960
Thai Baht	57.232100	57.460700	57.555300	57.349000	57.555000	57.737400	57.738100	57.396100	57.304300	57.139600	NA
Trinidad And Tobago Dollar	7.876990	7.874390	7.855340	7.852680	7.871910	7.875690	7.878920	7.848370	7.818360	7.817080	7.867020
Tunisian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
U.A.E. Dirham	4.722840	4.723960	4.725520	4.721120	4.728450	4.736640	4.733100	4.711910	4.698500	4.691490	4.707080
Peso Uruguayo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bolivar Fuerte	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA

Currency units per SDR for October 2001 Continued

Currency	October 16, 2001	October 17, 2001	October 18, 2001	October 19, 2001	October 22, 2001	October 23, 2001	October 24, 2001	October 25, 2001	October 26, 2001	October 29, 2001	October 30, 2001	October 31, 2001
Chinese Yuan	10.567500	10.566500	10.565800	10.557700	10.535800	10.480300	10.501000	10.489100	10.505700	10.546000	10.585100	10.578400
Euro	1.410500	1.415020	1.414280	1.415890	1.419220	1.424810	1.422840	1.425660	1.424380	1.414920	1.410950	1.413490
Japanese Yen	154.171000	155.238000	154.460000	154.599000	154.594000	155.302000	155.523000	156.001000	155.713000	156.120000	155.960000	155.695000
U.K. Pound Sterling	0.884259	0.882807	0.884877	0.884956	0.889150	0.891146	0.889719	0.888873	0.886973	0.879685	0.879562	0.878040
U.S. Dollar	1.276780	1.276630	1.276530	1.275570	1.272900	1.266230	1.268740	1.267270	1.269260	1.274140	1.278880	1.278080
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	2.487400	2.475050	2.508410	2.518900	2.498340	2.483280	2.504430	2.491680	2.521380	2.541150	2.522950	2.529340
Bahrain Dinar	0.480070	0.480012	0.479975	0.479616	0.478611	0.476100	0.477047	0.476492	0.477243	0.479074	0.480859	0.480557
Botswana Pula	7.804270	7.812930	7.809940	7.811220	7.896400	7.889240	7.856010	7.851700	7.849480	7.840860	7.874880	7.928520
Brazilian Real	3.547160	3.513020	3.472550	3.497240	3.508760	3.440080	3.445910	3.476120	3.480320	3.476100	3.483420	3.479300
Brunei Dollar	2.311230	2.326660	2.314480	2.318990	2.325590	2.312760	2.315330	2.319730	2.317290	2.329120	2.337160	2.330570
Canadian Dollar	1.994200	2.002390	2.011810	2.010050	2.009020	1.990510	1.997640	1.998230	1.999340	2.006250	2.018460	2.027920
Chilean Peso	NA	689.432000	689.223000	688.976000	688.283000	685.697000	686.912000	686.507000	687.243000	689.384000	691.147000	690.904000
Colombian Peso	2,955.410000	2,940.460000	2,936.030000	2,950.710000	2,947.100000	2,935.700000	2,938.590000	2,939.460000	2,940.480000	2,948.980000	2,956.030000	NA
Czech Koruna	47.147800	47.285100	47.340200	47.522900	47.306200	47.488600	47.281100	47.445300	47.857700	47.563600	47.421000	47.467800
Danish Krone	10.489400	10.507900	10.516600	10.539700	10.544200	10.601200	10.578100	10.580000	10.568600	10.550600	10.503200	10.514600
Hungarian Forint	358.775000	359.065000	360.045000	359.291000	NA	NA	358.522000	358.472000	360.953000	360.148000	361.579000	360.698000
Icelandic Krona	129.542000	130.459000	131.214000	131.269000	131.185000	132.574000	132.711000	132.708000	132.600000	133.147000	132.812000	132.524000
Indian Rupee	61.336500	61.265500	61.286200	61.278600	61.137400	60.791400	60.925100	60.892100	NA	61.132900	61.361000	61.309400
Indonesian Rupiah	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Iranian Rial	2,246.200000	2,237.560000	2,237.290000	NA	NA	2,230.760000	2,219.070000	2,223.470000	2,223.470000	2,248.490000	2,232.930000	2,241.240000
Israeli New Sheqel	NA	5.494600	5.490340	5.505360	5.464570	5.428290	5.469560	5.459380	5.452740	5.472410	5.494080	5.471450
Kazakhstani Tenge	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Korean Won	1,655.220000	1,655.530000	1,662.810000	1,656.970000	1,656.300000	1,649.890000	1,654.820000	1,647.950000	1,645.220000	1,651.280000	1,654.880000	1,656.510000
Kuwaiti Dinar	0.389598	0.389806	NA	NA	0.389126	0.387693	0.388464	0.388012	NA	NA	0.390508	0.390261
Libyan Dinar	0.816990	0.816990	0.816990	0.816990	0.816990	0.816990	0.816990	0.816990	0.816990	0.816990	0.816990	0.816990
Malaysian Ringgit	4.851780	4.851190	4.850810	4.847170	4.837040	4.811650	4.821230	4.815610	4.823210	4.841720	4.859750	4.856680
Mauritian Rupee	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mexican Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Nepalese Rupee	97.641900	97.630500	97.622900	97.549600	97.345400	NA	NA	NA	NA	NA	97.802400	97.741200
New Zealand Dollar	3.048310	3.032010	3.056460	3.068120	NA	3.023820	3.032730	3.025590	3.078120	3.108020	3.079790	3.090500
Norwegian Krone	11.242300	11.248600	11.254100	11.283200	11.325400	11.325700	11.304400	11.332500	11.327400	11.274100	11.251600	11.305700
Rial Omani	0.490923	0.490865	0.490826	0.490458	0.489431	0.486864	0.487831	0.487265	0.488031	0.489905	0.491732	0.491420
Pakistani Rupee	79.349300	79.339900	79.333600	79.274500	79.108300	78.693100	78.850100	78.758100	78.881800	79.184700	79.479900	79.430000
Nuevo Sol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Philippine Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Polish Zloty	5.222800	5.224220	5.221140	5.232290	5.239660	5.216840	5.222530	5.232670	5.206380	5.202290	5.262350	5.238450
Qatar Riyal	4.647490	4.646930	4.646560	4.643090	4.633360	4.609060	4.618230	4.612870	4.620110	4.637850	4.655150	4.652200
Russian Ruble	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Saudi Arabian Riyal	4.787940	4.787370	4.786980	4.783410	4.773380	4.748340	4.757780	4.752260	4.759730	4.778010	4.795820	4.792780
Singapore Dollar	2.311230	2.326660	2.314480	2.318990	2.325590	2.312760	2.315330	2.319730	2.317290	2.329120	2.337160	2.330570
South African Rand	11.828700	11.789000	11.790700	11.807400	12.100900	12.005700	NA	11.853400	11.913900	11.889600	11.985100	12.105300
Sri Lanka Rupee	115.732000	115.845000	116.062000	116.140000	116.080000	115.854000	116.395000	116.230000	116.413000	116.876000	117.378000	NA
Swedish Krona	13.342400	13.337600	13.454600	13.352100	13.435500	13.494800	13.528000	13.433000	13.371700	13.458100	13.530600	13.531600
Swiss Franc	2.091880	2.098010	2.092870	2.094110	2.093040	2.111180	2.102560	2.103030	2.095940	2.086520	2.075760	2.075600
Thai Baht	56.961200	57.138000	57.081200	57.070500	56.966100	NA	56.784000	56.838200	56.887000	57.106600	57.173900	57.156900
Trinidad And Tobago Dollar	NA	7.796360	7.816350	7.789310	7.815980	7.768140	7.787560	7.765660	7.800370	7.824480	7.861140	7.849660
Tunisian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
U.A.E. Dirham	4.688980	4.688430	4.688060	4.684540	4.674730	4.650210	4.659460	4.654040	4.661370	4.679260	4.696710	4.693730
Peso Uruguayo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
