Currency units per SDR for January 2002
Currency	January 01, 2002	January 02, 2002	January 03, 2002	January 04, 2002	January 07, 2002	January 08, 2002	January 09, 2002	January 10, 2002	January 11, 2002	January 14, 2002	January 15, 2002
Chinese Yuan	NA	10.452500	10.458500	10.433200	10.397900	10.394800	10.410000	10.410300	10.412000	10.424500	10.424400
Euro	NA	1.397320	1.398430	1.407790	1.410760	1.409720	1.409880	1.411830	1.410450	1.410880	1.411650
Japanese Yen	NA	NA	NA	165.256000	164.322000	165.631000	167.256000	166.218000	166.494000	NA	165.872000
U.K. Pound Sterling	NA	0.870360	0.874477	0.876409	0.875580	0.872227	0.872654	0.870875	0.872022	0.868855	0.870883
U.S. Dollar	1.256730	1.262900	1.263620	1.260540	1.256280	1.255920	1.257750	1.257800	1.257980	1.259490	1.259470
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	NA	2.471420	2.447460	2.442430	2.421060	2.422220	2.403500	2.401760	2.411770	2.430050	2.430470
Bahrain Dinar	NA	0.474850	0.475123	0.473963	0.472362	0.472226	0.472914	0.472934	0.473001	0.473570	0.473561
Botswana Pula	NA	8.868630	8.965070	8.852060	8.721130	8.599270	8.446940	8.481480	8.586860	8.492860	8.591210
Brazilian Real	NA	NA	2.913660	2.889660	2.901140	2.941380	2.948930	2.991810	3.005060	NA	3.030790
Brunei Dollar	NA	2.335600	2.335810	2.327830	2.313070	2.321320	2.325330	2.321530	2.320090	2.315200	2.305710
Canadian Dollar	NA	2.017980	2.017750	2.013710	2.007420	2.003200	2.007620	2.013870	2.009250	2.011540	2.002180
Chilean Peso	NA	689.037000	689.294000	688.151000	686.549000	686.903000	687.611000	687.767000	687.777000	688.653000	688.615000
Colombian Peso	NA	2,893.520000	2,892.970000	2,886.520000	2,883.910000	2,883.080000	2,900.770000	2,900.930000	2,907.910000	2,902.560000	2,893.390000
Czech Koruna	NA	44.246800	44.573000	44.943200	45.182200	45.431800	45.578400	45.369000	45.515000	45.555800	45.672100
Danish Krone	NA	10.394400	10.401500	10.474700	10.494500	10.487100	10.487100	10.495500	10.484600	10.486500	10.493800
Hungarian Forint	NA	343.356000	343.441000	343.749000	341.295000	344.299000	343.970000	343.242000	346.335000	343.816000	344.666000
Icelandic Krona	NA	NA	NA	NA	127.224000	128.644000	128.115000	128.157000	128.641000	128.342000	129.171000
Indian Rupee	NA	61.010600	60.969700	60.883900	60.615600	60.648700	60.736700	60.839800	60.898700	60.947000	60.819900
Indonesian Rupiah	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Iranian Rial	NA	2,200.470000	2,213.230000	2,213.230000	2,209.100000	2,201.630000	2,201.630000	2,204.210000	2,204.210000	2,204.210000	2,207.260000
Israeli New Sheqel	NA	5.603470	5.652180	5.661070	5.669610	5.637840	5.612080	5.621100	5.658380	5.651350	5.676430
Kazakhstani Tenge	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Korean Won	NA	1,660.200000	1,668.490000	1,660.380000	1,642.840000	1,636.340000	1,647.030000	1,653.130000	1,653.240000	1,651.700000	1,651.920000
Kuwaiti Dinar	NA	0.387633	NA	NA	0.385605	0.385844	0.386406	0.386421	NA	NA	NA
Libyan Dinar	NA	1.644740	1.644740	1.644740	1.644740	1.644740	1.644740	1.644740	1.644740	1.644740	1.644740
Malaysian Ringgit	NA	4.798990	4.801760	4.790050	4.773880	4.772520	4.779450	4.779630	4.780320	4.786090	4.785990
Mauritian Rupee	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mexican Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Nepalese Rupee	NA	NA	96.888000	NA	96.325200	96.298300	96.438500	96.442200	NA	96.571700	96.569800
New Zealand Dollar	NA	NA	2.994010	2.967020	2.925340	2.938860	2.915510	2.945330	2.951270	2.975770	2.980640
Norwegian Krone	NA	11.194600	11.202100	11.243400	11.250800	11.219300	11.205100	11.225500	11.215900	11.208000	11.221900
Rial Omani	NA	0.485583	0.485864	0.484677	0.483040	0.482903	NA	0.483624	0.483692	0.484276	0.484266
Pakistani Rupee	NA	76.864500	76.908900	76.721200	76.462500	76.440300	NA	76.554400	76.565600	76.657700	76.656000
Nuevo Sol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Philippine Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Polish Zloty	NA	4.985910	5.000680	4.964380	4.909450	4.938540	4.989120	4.985540	5.100740	5.052570	5.082080
Qatar Riyal	NA	4.596940	4.599580	4.588360	4.572870	4.571550	4.578210	4.578400	4.579050	4.584550	4.584460
Russian Ruble	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Saudi Arabian Riyal	NA	4.735860	4.738600	4.727010	4.711070	4.709720	4.716580	4.716760	4.717430	4.723110	4.723020
Singapore Dollar	NA	2.335600	2.335810	2.327830	2.313070	2.321320	2.325330	2.321530	2.320090	2.315200	2.305710
South African Rand	NA	15.554400	15.481300	15.204000	14.826000	14.586900	14.292500	14.236400	14.547900	14.362600	14.548800
Sri Lanka Rupee	NA	117.576000	117.680000	117.414000	117.033000	117.016000	117.254000	117.374000	117.634000	NA	117.878000
Swedish Krona	NA	13.011000	12.971100	12.983500	12.836100	13.017600	13.036600	13.024500	12.916300	12.992300	13.089000
Swiss Franc	NA	NA	2.077950	2.081910	2.082290	2.077550	2.085860	2.089840	2.087620	2.086220	2.089340
Thai Baht	NA	55.836300	55.722100	55.448700	55.073100	55.263300	NA	NA	55.386300	55.320700	55.315900
Trinidad And Tobago Dollar	NA	7.885130	7.909140	7.863860	7.859840	7.853050	7.850400	7.837970	7.844370	7.878610	7.892850
Tunisian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
U.A.E. Dirham	NA	4.637980	4.640650	4.629330	4.613700	4.612380	4.619090	4.619280	4.619940	4.625500	4.625410
Peso Uruguayo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bolivar Fuerte	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA

Currency units per SDR for January 2002 Continued

Currency	January 16, 2002	January 17, 2002	January 18, 2002	January 21, 2002	January 22, 2002	January 23, 2002	January 24, 2002	January 25, 2002	January 28, 2002	January 29, 2002	January 30, 2002	January 31, 2002
Chinese Yuan	10.375800	10.367200	10.360300	10.371300	10.348600	10.360100	10.315600	10.271500	10.251300	10.266200	10.295500	10.279800
Euro	1.421810	1.420300	1.420830	1.417490	1.416000	1.413450	1.421630	1.432580	1.443900	1.438300	1.439420	1.438050
Japanese Yen	164.662000	165.463000	166.357000	165.780000	166.482000	167.672000	167.571000	167.293000	165.746000	165.220000	165.134000	165.067000
U.K. Pound Sterling	0.872989	0.873233	0.871809	0.872852	0.875764	0.875964	0.876040	0.878619	0.881174	0.879399	0.878302	0.878951
U.S. Dollar	1.253610	1.252560	1.251750	1.253060	1.250330	1.251750	1.246340	1.241040	1.238570	1.240390	1.243950	1.242040
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	2.428070	2.444500	2.430580	2.430290	2.408650	2.401660	2.406530	2.389380	NA	2.411810	2.442460	2.445930
Bahrain Dinar	0.471358	0.470963	0.470657	0.471151	0.470124	0.470657	0.468626	0.466633	0.465703	0.466387	0.467722	0.467008
Botswana Pula	8.681540	8.564500	8.429290	8.518400	8.491200	8.412270	8.415520	8.331940	8.465970	8.429430	8.436400	8.449300
Brazilian Real	2.970690	2.988480	2.958260	2.975270	2.967540	2.961510	2.965790	2.986450	2.977280	3.004230	3.013580	3.027610
Brunei Dollar	2.290600	2.292820	2.299080	NA	2.295860	2.302590	2.293890	2.279800	2.273400	2.273020	2.278660	2.275420
Canadian Dollar	1.999140	2.017500	2.019320	2.020940	2.010910	2.007680	1.996640	1.995470	1.997200	1.972720	1.979370	1.977700
Chilean Peso	686.516000	686.191000	685.993000	686.502000	685.580000	686.083000	684.154000	682.128000	681.412000	682.268000	683.761000	682.715000
Colombian Peso	2,859.150000	2,837.880000	2,835.220000	2,844.150000	2,824.790000	2,813.040000	2,791.710000	2,769.980000	2,777.710000	2,793.830000	2,814.360000	2,813.000000
Czech Koruna	45.793200	45.990300	45.254400	45.775600	45.720800	45.369600	45.601100	45.614600	46.029100	45.817500	45.984800	45.920900
Danish Krone	10.565000	10.553000	10.557700	10.535000	10.520900	NA	10.562500	10.643000	10.724900	10.684000	10.692600	10.682100
Hungarian Forint	346.725000	346.070000	346.359000	345.343000	344.266000	343.529000	345.673000	NA	349.884000	349.878000	349.971000	350.517000
Icelandic Krona	129.348000	129.214000	129.093000	127.699000	127.209000	127.841000	127.775000	128.039000	128.217000	128.641000	128.462000	128.104000
Indian Rupee	60.562000	60.498600	60.447100	60.447800	60.366100	60.421900	NA	60.016800	59.872700	59.997700	60.405800	60.338400
Indonesian Rupiah	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Iranian Rial	2,207.220000	2,196.950000	2,196.950000	2,193.690000	2,193.690000	2,191.200000	2,193.690000	2,184.360000	2,174.920000	2,170.590000	2,173.780000	2,180.020000
Israeli New Sheqel	5.685150	5.680370	5.651630	5.705190	5.730260	5.761800	5.733190	5.703860	5.712290	5.751690	5.745770	5.715890
Kazakhstani Tenge	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Korean Won	1,650.510000	1,650.630000	1,652.180000	1,654.040000	1,651.440000	1,660.570000	1,660.500000	1,652.950000	1,645.570000	1,640.170000	1,635.290000	1,633.040000
Kuwaiti Dinar	NA	0.385063	NA	0.385215	0.384678	0.385113	0.383886	NA	0.381790	0.382351	0.382973	0.382387
Libyan Dinar	1.644740	1.644740	1.644740	1.644740	1.644740	1.644740	1.644740	1.644740	1.644740	1.644740	1.644740	1.644740
Malaysian Ringgit	4.763740	4.759730	4.756650	4.761630	4.751250	4.756650	4.736100	4.715960	4.706570	4.713490	4.726990	4.719760
Mauritian Rupee	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mexican Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Nepalese Rupee	96.120600	96.040300	95.977600	96.078100	95.869000	95.977600	95.563000	95.157400	94.967700	95.106800	95.379800	95.233600
New Zealand Dollar	2.970650	2.982290	2.966580	NA	NA	2.917480	2.925690	2.906090	2.925640	2.929950	2.973460	2.999010
Norwegian Krone	11.249400	11.221800	11.239400	11.218000	11.190700	11.198000	11.196800	11.255800	11.319400	11.277000	11.304500	11.275800
Rial Omani	0.482014	0.481610	0.481297	0.481802	0.480753	0.481297	0.479219	0.477181	0.476231	0.476931	0.478297	0.477566
Pakistani Rupee	76.299800	76.235800	76.186400	76.266000	76.100000	76.186400	75.857000	74.743400	74.594600	74.703800	74.918200	74.803300
Nuevo Sol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Philippine Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Polish Zloty	5.121140	5.167560	5.242330	5.189790	5.151370	5.144690	5.146280	5.166090	5.142790	5.093930	5.148320	5.171490
Qatar Riyal	4.563150	4.559320	4.556370	4.561150	4.551210	4.556370	4.536690	4.517410	4.508400	4.515040	4.527960	4.521040
Russian Ruble	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Saudi Arabian Riyal	4.701060	4.697110	4.694060	4.698980	4.688740	4.694060	4.673790	4.653910	4.644640	4.651470	4.664790	4.657660
Singapore Dollar	2.290600	2.292820	2.299080	NA	2.295860	2.302590	2.293890	2.279800	2.273400	2.273020	2.278660	2.275420
South African Rand	14.838400	14.324900	14.190400	14.412100	14.405700	14.214200	14.201400	13.994600	14.325900	14.237900	14.266200	14.300300
Sri Lanka Rupee	117.227000	117.134000	117.036000	117.159000	116.914000	117.040000	116.512000	NA	NA	NA	116.347000	116.137000
Swedish Krona	13.065800	13.177200	13.068500	13.172800	13.062800	13.105800	13.108400	13.071300	13.218700	13.144300	13.344400	13.206000
Swiss Franc	2.091400	2.085510	2.088040	2.082210	2.077930	2.082030	NA	2.107050	2.124150	NA	2.112470	NA
Thai Baht	54.992200	54.972500	54.980400	55.049400	55.117100	NA	55.104600	54.759700	54.608700	54.603300	54.744700	54.601500
Trinidad And Tobago Dollar	7.840000	7.822400	7.827300	7.828340	7.801470	7.800620	7.783430	7.766330	7.724450	7.740660	7.770310	7.757050
Tunisian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
