Currency units per SDR for May 2002
Currency	May 01, 2002	May 02, 2002	May 03, 2002	May 06, 2002	May 07, 2002	May 08, 2002	May 09, 2002	May 10, 2002	May 13, 2002	May 14, 2002	May 15, 2002
Chinese Yuan	10.493400	10.511700	10.527500	10.569700	10.551900	10.524300	10.509600	10.545300	10.558600	10.508800	10.493200
Euro	NA	1.406050	1.400250	1.396490	1.397040	1.399060	1.401290	1.397270	1.399040	1.401050	1.403950
Japanese Yen	162.967000	161.410000	NA	NA	161.797000	162.976000	163.323000	163.840000	162.389000	162.831000	162.782000
U.K. Pound Sterling	0.869618	0.868576	0.869286	NA	0.869694	0.869913	0.871156	0.871308	0.871999	0.874829	0.874806
U.S. Dollar	1.267730	1.269950	1.271850	1.276950	1.274800	1.271460	1.269710	1.274030	1.275640	1.269630	1.267770
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	2.352440	2.354810	2.374630	2.367360	2.349430	2.342420	2.347840	2.347150	2.331640	2.321940	2.317260
Bahrain Dinar	0.476667	0.477500	0.478215	0.480134	0.479324	0.478071	0.477411	0.479035	0.479642	0.477382	0.476681
Botswana Pula	8.157870	8.078520	8.090610	8.066660	7.952600	7.966540	7.955580	8.007750	7.943000	7.905580	7.943440
Brazilian Real	NA	2.999240	3.022170	3.082690	3.100180	3.072620	3.089590	3.122780	3.167420	3.166980	3.187930
Brunei Dollar	NA	2.292250	2.301030	2.304010	2.296550	2.298170	2.294110	2.304080	2.300240	2.292070	2.292250
Canadian Dollar	1.975000	1.983400	1.990190	2.002650	2.001430	1.996830	1.991540	1.984430	1.987830	1.978850	1.972520
Chilean Peso	NA	820.944000	827.212000	834.286000	835.652000	832.757000	829.793000	836.617000	840.831000	832.016000	831.172000
Colombian Peso	NA	2,889.680000	2,899.260000	2,919.610000	2,913.730000	2,907.330000	2,901.200000	2,916.470000	2,923.770000	2,910.010000	2,906.990000
Czech Koruna	NA	43.095600	42.885500	42.640100	42.503100	NA	42.701600	42.779500	42.852600	42.890800	42.567900
Danish Krone	10.460300	10.449500	10.408700	10.382500	10.385300	10.401000	NA	10.390100	10.404100	10.417000	10.438600
Hungarian Forint	NA	341.197000	342.941000	340.538000	340.091000	340.574000	341.527000	340.268000	340.482000	342.446000	342.641000
Icelandic Krona	NA	118.143000	NA	NA	115.573000	NA	NA	116.778000	116.122000	116.476000	116.292000
Indian Rupee	NA	62.176700	62.295200	62.545300	62.414200	62.263400	62.165100	62.402100	62.532000	62.237400	62.146200
Indonesian Rupiah	11,838.100000	11,810.500000	NA	11,860.300000	11,836.500000	11,822.100000	NA	11,831.900000	11,841.800000	11,772.100000	11,742.100000
Iranian Rial	10,063.900000	10,045.500000	10,045.500000	10,078.100000	10,118.500000	10,101.500000	NA	NA	NA	10,109.500000	10,061.800000
Israeli New Sheqel	6.183990	6.168120	6.141750	6.185550	6.205710	6.235270	6.244420	6.283540	6.274900	6.219950	6.199400
Kazakhstani Tenge	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Korean Won	NA	1,642.930000	1,638.020000	1,644.970000	1,631.870000	1,626.580000	1,629.800000	1,636.880000	1,632.950000	1,618.400000	1,620.720000
Kuwaiti Dinar	0.387595	0.387842	NA	0.389548	0.388890	0.389652	0.388138	NA	0.389416	0.387899	0.387824
Libyan Dinar	1.644740	1.644740	1.644740	1.644740	1.644740	1.644740	1.644740	1.644740	1.644740	1.644740	1.644740
Malaysian Ringgit	4.817370	4.825810	4.833020	4.852410	4.844230	4.831570	4.824900	4.841330	4.847450	4.824600	4.817510
Mauritian Rupee	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mexican Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Nepalese Rupee	98.946200	99.119800	99.267400	99.666100	99.497500	99.237900	99.101200	99.438200	99.563900	99.095300	98.949200
New Zealand Dollar	2.839260	2.830280	2.855520	2.847800	2.841720	2.812970	2.832280	2.818030	2.817850	2.783980	2.773200
Norwegian Krone	NA	10.625500	10.592200	10.595100	10.649700	10.606900	NA	10.569600	10.559900	10.574400	10.580200
Rial Omani	0.487443	0.488296	0.489026	0.490988	0.490160	0.488878	0.488203	0.489865	0.490485	0.488174	0.487458
Pakistani Rupee	76.239300	76.372600	76.457900	76.764800	76.635400	76.434500	76.329500	76.589000	76.685900	NA	76.212500
Nuevo Sol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Philippine Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Polish Zloty	NA	5.051350	NA	5.082410	5.051400	5.066650	5.098530	5.095880	5.121320	5.213870	5.151820
Qatar Riyal	4.614550	4.622610	4.629520	4.648110	4.640260	4.628130	4.621760	4.637470	4.643340	4.621480	4.614670
Russian Ruble	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Saudi Arabian Riyal	4.753980	4.762310	4.769420	4.788580	4.780500	4.767990	4.761410	4.777630	4.783660	4.761130	4.754140
Singapore Dollar	NA	2.292250	2.301030	2.304010	2.296550	2.298170	2.294110	2.304080	2.300240	2.292070	2.292250
South African Rand	NA	13.377000	13.300400	13.307800	13.036700	13.047100	13.181500	13.073500	12.977800	12.869600	12.964800
Sri Lanka Rupee	NA	122.061000	122.311000	122.766000	122.564000	122.233000	122.052000	122.456000	122.679000	122.210000	122.027000
Swedish Krona	NA	12.994700	13.004600	12.967500	12.999800	13.057900	NA	13.007900	13.017900	13.032800	12.924900
Swiss Franc	NA	2.047030	2.043730	2.033550	2.029990	2.036500	NA	2.030420	2.028020	2.037890	2.046050
Thai Baht	NA	54.770200	54.829400	NA	54.641500	54.567300	54.501000	54.686600	54.642100	54.429200	54.382100
Trinidad And Tobago Dollar	7.874880	7.901770	7.886870	7.905890	7.903510	7.902640	7.895590	7.886000	7.900580	7.871850	7.867020
Tunisian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
U.A.E. Dirham	4.655730	4.663870	4.670870	4.689620	4.681690	4.669450	4.663000	4.678890	4.684810	4.662740	4.655880
Peso Uruguayo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bolivar Fuerte	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA

Currency units per SDR for May 2002 Continued

Currency	May 16, 2002	May 17, 2002	May 20, 2002	May 21, 2002	May 22, 2002	May 23, 2002	May 24, 2002	May 27, 2002	May 28, 2002	May 29, 2002	May 30, 2002	May 31, 2002
Chinese Yuan	10.532400	10.560000	10.594000	10.593500	10.630700	10.613100	10.590000	NA	10.625200	10.644800	10.675600	10.682100
Euro	1.394690	1.394070	1.390960	1.389220	1.387010	1.391780	1.392500	1.391680	1.387100	1.379970	1.375850	1.374940
Japanese Yen	162.501000	162.862000	161.020000	161.138000	160.546000	159.383000	159.993000	159.753000	160.150000	160.304000	160.265000	160.558000
U.K. Pound Sterling	0.873805	0.876155	0.876685	0.877963	0.879105	0.878850	0.880662	0.879716	0.879291	0.880251	0.880444	0.879972
U.S. Dollar	1.272520	1.275850	1.279970	1.279890	1.284370	1.282240	1.279430	1.280070	1.283770	1.286130	1.289860	1.290660
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	2.321270	2.328620	2.320040	2.306520	2.302560	2.302470	2.309850	2.296500	2.302310	2.285240	NA	2.274690
Bahrain Dinar	0.478467	0.479720	0.481267	0.481239	0.482921	0.482123	0.481065	0.481306	0.482695	0.483587	0.484987	0.485288
Botswana Pula	7.908760	7.841720	7.901020	7.915210	7.947800	7.959310	7.863740	NA	7.871040	7.823200	7.742220	7.815060
Brazilian Real	3.195160	3.162970	3.168560	3.165040	3.182530	3.206640	3.235420	3.229870	3.237660	3.246210	NA	3.251560
Brunei Dollar	2.295120	2.290790	2.290500	2.296120	2.299020	2.306110	2.302330	NA	2.303590	2.307330	2.308840	2.304470
Canadian Dollar	1.978260	1.967870	NA	1.968730	1.972790	1.966320	1.963670	1.964270	1.964420	1.973700	1.978510	1.971480
Chilean Peso	830.392000	829.696000	834.126000	NA	837.177000	839.215000	838.792000	NA	841.765000	844.202000	843.825000	844.659000
Colombian Peso	2,926.820000	2,952.590000	2,985.750000	3,008.000000	3,035.330000	3,013.020000	2,992.010000	2,983.930000	2,965.310000	2,976.500000	2,988.750000	2,995.820000
Czech Koruna	42.343100	42.445000	42.524200	42.679200	42.863300	42.609000	42.620300	NA	42.286000	42.240400	41.879000	41.832800
Danish Krone	10.371500	10.367800	NA	10.332800	10.318100	10.352100	10.355700	10.357600	10.314900	10.262200	10.228000	10.219100
Hungarian Forint	341.468000	341.609000	NA	341.450000	337.159000	335.871000	337.922000	337.234000	336.809000	337.250000	335.737000	334.875000
Icelandic Krona	116.474000	117.123000	NA	117.238000	118.791000	119.261000	118.155000	118.035000	118.594000	118.466000	118.409000	117.876000
Indian Rupee	62.429800	62.529300	62.769500	62.740400	62.908500	62.868600	62.705000	62.697900	62.891900	63.007600	63.215900	63.281100
Indonesian Rupiah	11,732.600000	11,578.400000	11,602.900000	11,595.800000	11,525.900000	11,514.500000	NA	NA	11,367.700000	11,355.300000	11,394.600000	11,338.400000
Iranian Rial	NA	NA	10,111.100000	10,143.800000	NA	10,178.600000	10,178.600000	10,144.500000	10,173.900000	10,192.600000	NA	NA
Israeli New Sheqel	6.199700	NA	6.212960	6.236900	6.248440	6.290690	6.285830	NA	6.346950	6.389530	6.369310	6.344900
Kazakhstani Tenge	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Korean Won	1,627.420000	1,623.270000	1,620.310000	1,604.090000	1,613.680000	1,596.780000	1,596.340000	1,597.140000	1,588.660000	1,582.720000	1,594.130000	1,591.770000
Kuwaiti Dinar	0.388615	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.392452	NA
Libyan Dinar	1.644740	1.644740	1.644740	1.644740	1.644740	1.644740	1.644740	1.644740	1.644740	1.644740	1.644740	1.644740
Malaysian Ringgit	4.835570	4.848230	4.863860	4.863580	4.880600	4.872530	4.861830	4.864260	4.878310	4.887300	4.901460	4.904510
Mauritian Rupee	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mexican Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Nepalese Rupee	99.319700	99.579800	100.221000	100.215000	100.566000	100.400000	100.179000	100.230000	100.519000	100.704000	100.996000	101.059000
New Zealand Dollar	2.778730	2.772690	2.755580	2.743600	2.728630	2.707440	2.742610	2.719500	2.712370	2.698560	2.708070	2.695610
Norwegian Krone	NA	NA	NA	10.469100	10.409500	10.414600	10.365000	10.363200	10.270100	10.220100	10.228000	10.281800
Rial Omani	0.489285	0.490564	0.492148	0.492119	0.493839	0.493024	0.491940	0.492187	0.493608	0.494518	0.495951	0.496258
Pakistani Rupee	76.498200	76.698300	76.945600	76.941400	77.210500	77.082600	76.913600	76.952100	77.174200	77.316800	77.540400	77.654800
Nuevo Sol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Philippine Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Polish Zloty	5.222670	5.257650	5.245050	5.225780	5.259860	5.247440	5.240290	5.213980	5.205030	5.213360	NA	5.202780
Qatar Riyal	4.631970	4.644100	4.659070	4.658790	4.675100	4.667360	4.657120	4.659460	4.672920	4.681540	4.695080	4.697990
Russian Ruble	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Saudi Arabian Riyal	4.771950	4.784440	4.799870	4.799590	4.816380	4.808410	4.797870	4.800260	4.814130	4.823000	4.836970	4.839970
Singapore Dollar	2.295120	2.290790	2.290500	2.296120	2.299020	2.306110	2.302330	NA	2.303590	2.307330	2.308840	2.304470
South African Rand	12.896300	12.773200	12.897600	12.896800	13.006200	12.993600	12.821800	12.779600	12.762600	12.651100	12.494200	12.637500
Sri Lanka Rupee	122.296000	122.714000	123.099000	123.091000	123.548000	123.174000	123.037000	NA	123.554000	123.714000	123.982000	124.161000
Swedish Krona	12.890600	12.847800	NA	12.795700	12.773000	12.678200	12.679100	12.720700	12.709300	12.671600	NA	12.716200
Swiss Franc	2.036920	2.031670	NA	2.021590	2.015300	2.018120	2.029690	2.032110	2.027070	2.023730	2.020560	2.013560
Thai Baht	54.532500	54.541400	54.514900	54.640900	54.881100	54.940200	54.833900	NA	54.795100	54.726200	54.758200	54.727900
Trinidad And Tobago Dollar	7.871660	7.902890	7.935820	7.924940	7.942240	7.911710	7.897400	7.914020	7.909640	7.911520	NA	NA
Tunisian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
U.A.E. Dirham	4.673330	4.685570	4.700680	4.700400	4.716850	4.709030	4.698700	4.701060	4.714620	4.723330	4.737000	4.739940
Peso Uruguayo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
