Currency units per SDR for July 2002
Currency	July 01, 2002	July 02, 2002	July 03, 2002	July 04, 2002	July 05, 2002	July 08, 2002	July 09, 2002	July 10, 2002	July 11, 2002	July 12, 2002	July 15, 2002
Chinese Yuan	10.961300	10.927500	10.917800	NA	10.884600	10.958100	10.994300	11.022600	10.989300	11.004300	11.061400
Euro	1.335940	1.341980	1.348760	1.346140	1.352300	1.347140	1.337720	1.345500	1.349860	1.346650	1.333240
Japanese Yen	158.255000	158.429000	158.489000	158.474000	158.339000	157.817000	157.742000	157.389000	156.273000	155.425000	155.428000
U.K. Pound Sterling	0.865059	0.863976	0.864917	0.863953	0.866514	0.864431	0.860504	0.858045	0.860148	0.858553	0.857684
U.S. Dollar	1.324310	1.320240	1.319090	1.317870	1.315110	1.323960	1.328350	1.331770	1.327720	1.329550	1.336440
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	2.361470	2.355470	2.350060	2.364320	2.365310	2.353300	2.352740	2.339730	2.354120	2.382710	2.383520
Bahrain Dinar	0.497941	0.496411	0.495978	0.495518	0.494482	0.497810	0.499461	0.500746	0.499224	0.499910	0.502500
Botswana Pula	8.182370	8.084790	8.092580	NA	8.053350	8.117480	8.080020	8.076240	8.115700	8.082380	8.119320
Brazilian Real	3.765830	NA	NA	3.770300	3.744520	3.804810	3.812780	3.801280	3.788400	3.752530	3.760600
Brunei Dollar	2.338080	2.334190	2.334130	2.331580	2.327090	2.336400	2.338040	2.329540	2.327230	2.328310	2.328080
Canadian Dollar	NA	2.014690	2.016890	2.019110	2.004100	2.013490	2.011660	2.024160	2.020790	2.034480	2.053570
Chilean Peso	911.195000	911.361000	921.608000	NA	909.397000	919.625000	926.209000	932.123000	927.868000	926.312000	927.111000
Colombian Peso	3,176.790000	3,167.020000	3,179.720000	3,196.390000	3,190.980000	3,222.960000	3,264.280000	3,279.060000	3,295.690000	3,332.970000	3,359.800000
Czech Koruna	39.085900	39.330000	39.617500	NA	39.495400	NA	38.960700	39.001000	39.470600	39.518200	39.149700
Danish Krone	9.923100	9.968600	NA	9.998900	10.044600	10.006900	9.936410	9.994300	10.026600	10.003300	9.904520
Hungarian Forint	326.112000	327.684000	330.313000	332.986000	337.852000	336.473000	339.050000	337.658000	335.742000	332.361000	330.501000
Icelandic Krona	115.030000	114.782000	NA	114.180000	114.309000	114.377000	114.451000	114.253000	115.153000	115.538000	113.998000
Indian Rupee	64.679300	64.467500	64.384900	64.298800	64.203800	64.635800	64.850400	64.963800	64.806300	64.842000	65.258400
Indonesian Rupiah	11,514.900000	11,578.500000	11,766.300000	11,779.100000	11,638.700000	11,796.500000	11,846.300000	11,866.100000	11,883.100000	12,149.400000	12,078.700000
Iranian Rial	10,543.000000	10,495.200000	10,462.900000	10,453.800000	10,453.800000	10,422.200000	10,493.700000	10,528.500000	10,555.600000	10,555.600000	10,538.000000
Israeli New Sheqel	6.306360	6.292280	6.288080	6.292830	6.321750	6.339140	6.313690	6.293940	6.260210	6.286110	6.241180
Kazakhstani Tenge	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Korean Won	NA	1,586.670000	1,587.260000	1,588.820000	1,579.580000	1,591.010000	1,588.450000	1,579.880000	1,567.910000	1,566.210000	1,581.410000
Kuwaiti Dinar	0.399439	0.398462	0.398115	0.398194	NA	0.399401	0.400498	0.401289	0.400069	NA	0.402147
Libyan Dinar	1.644740	1.644740	1.644740	1.644740	1.644740	1.644740	1.644740	1.644740	1.644740	1.644740	1.644740
Malaysian Ringgit	5.032380	5.016910	5.012530	5.007910	4.997430	5.031070	5.047750	5.060730	5.045360	5.052290	5.078460
Mauritian Rupee	39.828600	NA	NA	NA	NA	NA	39.610700	39.782300	NA	NA	39.823800
Mexican Peso	13.148200	13.151200	NA	13.113100	13.024100	13.136800	13.091200	13.096400	13.008900	12.906200	13.033200
Nepalese Rupee	103.694000	NA	103.285000	103.189000	102.973000	103.666000	NA	NA	103.961000	104.104000	104.643000
New Zealand Dollar	2.723800	2.714870	2.697530	2.712220	2.721110	2.713600	2.708160	NA	2.731660	2.760120	2.746200
Norwegian Krone	9.904720	9.868260	NA	9.857170	9.881230	9.840780	9.778040	9.816720	9.833810	9.869620	9.808630
Rial Omani	0.509199	0.507632	0.507189	0.506722	0.505661	0.509064	0.510751	0.512067	0.510509	0.511211	0.513861
Pakistani Rupee	79.535500	79.290800	79.221700	79.148400	78.982700	79.514600	79.777900	79.983400	79.740400	79.849900	80.263300
Nuevo Sol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Philippine Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Polish Zloty	5.367310	5.284270	5.426080	5.419080	5.467320	5.480560	5.613370	5.560280	5.536330	5.550990	5.572550
Qatar Riyal	4.820510	4.805680	4.801480	4.797040	4.787000	4.819230	4.835220	4.847660	4.832900	4.839570	4.864640
Russian Ruble	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Saudi Arabian Riyal	4.966180	4.950910	4.946580	4.942010	4.931670	4.964870	4.981320	4.994160	4.978960	4.985820	5.011650
Singapore Dollar	2.338080	2.334190	2.334130	2.331580	2.327090	2.336400	2.338040	2.329540	2.327230	2.328310	2.328080
South African Rand	13.221300	13.310000	NA	13.417900	13.237200	13.427000	13.313400	13.302400	13.427900	13.248300	13.342300
Sri Lanka Rupee	127.318000	126.943000	126.896000	126.730000	126.448000	127.311000	127.720000	128.048000	127.654000	127.819000	128.434000
Swedish Krona	12.087700	12.208900	12.211500	12.295700	12.332400	12.289700	12.330500	12.398800	12.550300	12.454600	12.372100
Swiss Franc	1.967000	1.971520	1.969400	1.976410	1.981210	1.974820	1.974330	1.972220	1.977910	1.975980	1.968040
Thai Baht	NA	54.808600	54.885900	54.802300	NA	54.923300	54.959200	54.811600	54.627800	54.768100	54.581600
Trinidad And Tobago Dollar	8.116620	8.087020	NA	8.043890	8.033740	8.081980	8.123280	8.148430	8.107600	8.111750	8.170740
Tunisian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
U.A.E. Dirham	4.863550	4.848580	4.844350	4.839870	4.829750	4.862250	4.878380	4.890930	4.876070	4.882760	4.908070
Peso Uruguayo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bolivar Fuerte	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA

Currency units per SDR for July 2002 Continued

Currency	July 16, 2002	July 17, 2002	July 18, 2002	July 19, 2002	July 22, 2002	July 23, 2002	July 24, 2002	July 25, 2002	July 26, 2002	July 29, 2002	July 30, 2002	July 31, 2002
Chinese Yuan	11.131000	11.093900	11.082100	11.134600	11.111100	11.020600	11.027500	11.072100	11.075200	10.962700	10.970700	10.945800
Euro	1.327980	1.331830	1.331210	1.325910	1.330960	1.343570	1.343740	1.335840	1.337030	1.348670	1.347750	1.351820
Japanese Yen	156.338000	155.413000	156.093000	155.916000	155.921000	155.716000	156.548000	155.643000	157.093000	157.857000	159.220000	158.500000
U.K. Pound Sterling	0.854686	0.856729	0.855820	0.853053	0.852813	0.850890	0.850347	0.851288	0.846790	0.847371	0.848270	0.844823
U.S. Dollar	1.344840	1.340350	1.338930	1.345270	1.342410	1.331480	1.332320	1.337710	1.338100	1.324530	1.325510	1.322480
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	2.389130	2.412000	2.426920	2.413900	2.418750	2.455240	2.465430	2.466290	2.482560	2.466070	2.438830	2.414170
Bahrain Dinar	0.505661	0.503971	0.503438	0.505819	0.504747	0.500636	0.500952	0.502980	0.503127	0.498023	0.498390	0.497253
Botswana Pula	8.170400	8.177820	8.114710	8.094280	8.130870	8.126180	8.203920	8.201760	8.169130	8.145910	8.121960	8.133390
Brazilian Real	3.825670	3.841840	3.852780	3.869520	3.847750	3.835720	3.880260	3.942380	3.989420	3.995970	4.167530	4.322400
Brunei Dollar	2.334920	2.327780	2.325990	2.332020	2.324920	2.317570	2.319300	2.326550	2.345290	2.339250	2.337530	2.332460
Canadian Dollar	2.064060	2.062930	2.067440	2.069690	2.088790	2.101740	2.099740	2.103690	2.122890	2.082420	2.085160	2.095210
Chilean Peso	937.365000	934.335000	929.083000	932.549000	929.619000	921.914000	927.360000	938.606000	940.159000	930.233000	926.930000	927.033000
Colombian Peso	3,371.810000	3,350.770000	3,380.480000	3,414.920000	3,395.720000	3,351.880000	3,382.770000	3,441.160000	3,452.500000	3,438.810000	3,445.750000	3,471.600000
Czech Koruna	39.159200	39.564500	39.588100	39.760600	40.403900	40.543400	40.653100	40.509900	41.043500	41.026000	40.754100	41.020800
Danish Krone	9.865240	9.895310	9.893740	9.853580	9.891980	9.986920	9.989910	9.930190	9.939370	10.024400	10.015800	10.042800
Hungarian Forint	328.841000	326.589000	326.632000	325.689000	325.776000	329.154000	331.495000	327.178000	327.995000	328.800000	329.998000	330.859000
Icelandic Krona	112.510000	111.906000	NA	112.182000	113.353000	114.081000	113.980000	114.401000	114.100000	113.644000	113.053000	113.191000
Indian Rupee	65.655100	65.382100	65.312900	65.568200	65.375300	64.842900	64.844100	65.119900	65.125400	64.504500	64.592000	64.378600
Indonesian Rupiah	12,197.700000	12,090.000000	11,943.300000	11,862.600000	NA	11,898.100000	12,017.500000	12,063.500000	12,056.300000	12,996.300000	12,201.300000	12,045.200000
Iranian Rial	10,592.600000	10,659.200000	10,623.600000	10,623.600000	10,662.600000	10,639.900000	10,639.900000	10,561.300000	NA	10,607.100000	10,499.500000	10,507.300000
Israeli New Sheqel	NA	6.247380	NA	6.279710	6.224750	6.211330	6.253910	6.316680	6.343930	6.266330	6.243130	6.201130
Kazakhstani Tenge	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Korean Won	1,583.960000	NA	1,570.840000	1,578.400000	1,572.360000	1,552.500000	1,560.280000	1,568.870000	1,563.840000	1,562.940000	1,594.320000	1,583.010000
Kuwaiti Dinar	0.403910	0.402560	0.402135	NA	0.403166	0.400482	0.400975	0.402063	NA	0.399081	0.399866	0.398729
Libyan Dinar	1.644740	1.644740	1.644740	1.644740	1.644740	1.644740	1.644740	1.644740	1.644740	1.644740	1.644740	1.644740
Malaysian Ringgit	5.110410	5.093340	5.087950	5.112000	5.101160	5.059600	5.062830	5.083320	5.084790	5.033190	5.036920	5.025430
Mauritian Rupee	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mexican Peso	13.091400	12.930100	12.915600	13.056200	12.925400	12.799500	12.925900	12.996900	NA	12.840500	12.911800	12.942000
Nepalese Rupee	105.301000	104.949000	NA	105.334000	105.111000	NA	NA	104.743000	104.773000	103.711000	103.787000	103.550000
New Zealand Dollar	2.753010	2.763040	2.781900	2.773750	2.772430	2.807250	2.820920	2.855310	2.873310	2.847230	2.821430	2.816790
Norwegian Krone	9.790480	9.825600	9.825600	9.862130	9.958270	10.141200	10.143200	10.081500	10.112000	10.121800	10.114800	10.039900
Rial Omani	0.517092	0.515366	0.514819	0.517256	0.516156	0.511952	0.512277	0.514350	0.514499	0.509282	0.509658	0.508494
Pakistani Rupee	80.768300	80.498400	80.413000	80.793700	80.622400	79.965500	80.016000	80.340000	79.668600	78.860600	78.919100	78.738900
Nuevo Sol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Philippine Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Polish Zloty	5.603680	5.510580	5.467650	5.439040	5.397440	5.437470	5.483300	5.446240	5.476180	5.454140	5.494630	5.512770
Qatar Riyal	4.895240	4.878880	4.873720	4.896780	4.886370	4.846580	4.849640	4.869260	4.870680	4.821280	4.824860	4.813850
Russian Ruble	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Saudi Arabian Riyal	5.043170	5.026310	5.020990	5.044750	5.034030	4.993030	4.996200	5.016430	5.017890	4.966970	4.970650	4.959310
Singapore Dollar	2.334920	2.327780	2.325990	2.332020	2.324920	2.317570	2.319300	2.326550	2.345290	2.339250	2.337530	2.332460
South African Rand	13.586300	13.575700	13.347100	13.340300	13.412700	13.429900	13.780900	13.626600	13.617200	13.423400	13.438700	13.467500
Sri Lanka Rupee	129.227000	128.763000	128.545000	129.176000	129.748000	NA	127.961000	128.477000	128.630000	127.410000	127.489000	127.337000
Swedish Krona	12.389400	12.404900	12.328200	12.434000	12.554900	12.701800	12.800300	12.648100	12.633100	12.457200	12.476300	12.467700
Swiss Franc	1.947740	1.949670	1.949890	1.940950	1.934680	1.955010	1.953050	1.937680	1.932490	1.960970	1.965730	1.966530
Thai Baht	54.475400	54.138000	54.258800	54.434800	54.205200	54.241700	NA	NA	55.491100	56.052600	55.631600	55.494200
Trinidad And Tobago Dollar	8.224360	8.185380	8.187590	8.210450	8.191280	8.130940	8.127830	8.142660	8.155880	8.087410	8.093430	8.067960
Tunisian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
U.A.E. Dirham	4.938930	4.922420	4.917220	4.940490	4.929990	4.889860	4.892940	4.912750	4.914170	4.864330	4.867930	4.856820
Peso Uruguayo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
