Currency units per SDR for October 2002
Currency	October 01, 2002	October 02, 2002	October 03, 2002	October 04, 2002	October 07, 2002	October 08, 2002	October 09, 2002	October 10, 2002	October 11, 2002	October 14, 2002	October 15, 2002
Chinese Yuan	10.958400	10.928600	10.955200	10.945900	10.898200	10.907100	10.895500	10.945300	10.923800	NA	10.900800
Euro	1.342590	1.342470	1.338260	1.340510	1.342430	1.344620	1.341290	1.339120	1.338940	NA	1.342550
Japanese Yen	161.652000	162.334000	162.597000	162.459000	162.976000	163.727000	163.095000	163.287000	163.655000	NA	163.775000
U.K. Pound Sterling	0.841715	0.843391	0.843021	0.843327	0.842446	0.842105	0.847997	0.845351	0.844937	0.845730	0.847522
U.S. Dollar	1.323930	1.320320	1.323540	1.322420	1.316650	1.317720	1.316340	1.322380	1.319800	1.320600	1.317050
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	2.444930	2.435120	2.432530	2.420680	NA	2.400230	2.407790	2.417070	2.411030	2.416470	2.412170
Bahrain Dinar	0.497797	0.496441	0.497651	0.497228	0.495062	0.495464	0.494944	0.497216	0.496243	0.496547	0.495209
Botswana Pula	8.342370	8.241710	8.261800	8.275470	8.249740	8.266790	8.273690	8.264870	8.259070	NA	8.252190
Brazilian Real	5.155520	4.945790	NA	4.885530	4.816980	4.869920	4.871630	5.092760	5.176250	5.180330	5.084450
Brunei Dollar	2.361630	2.364040	2.367290	2.358130	2.355620	2.362020	2.355860	2.370360	2.366530	2.376430	2.376480
Canadian Dollar	2.099760	2.093370	2.104700	2.108200	2.096120	2.099000	2.097060	2.104570	2.095830	NA	2.088180
Chilean Peso	991.267000	985.426000	983.139000	983.826000	979.231000	979.777000	980.556000	992.487000	998.502000	NA	982.019000
Colombian Peso	3,774.070000	3,809.770000	3,822.690000	3,810.920000	3,787.220000	3,781.520000	3,752.870000	3,774.130000	3,788.640000	3,778.460000	3,768.280000
Czech Koruna	40.790400	40.780900	40.673700	40.648400	40.720100	40.790200	41.123800	40.984600	41.136700	NA	41.332900
Danish Krone	9.971980	9.971180	NA	9.958080	9.970590	9.987120	9.962440	9.947580	9.947480	9.937000	NA
Hungarian Forint	326.455000	327.493000	326.491000	326.954000	328.071000	329.484000	330.415000	326.866000	327.310000	327.469000	328.089000
Icelandic Krona	114.096000	114.023000	NA	NA	114.628000	115.182000	NA	115.298000	115.245000	115.196000	NA
Indian Rupee	64.025400	NA	64.006600	63.952100	63.673600	63.738500	63.631900	63.923900	63.785700	63.824800	NA
Indonesian Rupiah	11,926.000000	11,912.000000	11,930.400000	NA	11,867.000000	11,881.900000	11,856.300000	11,912.000000	11,891.400000	NA	12,282.800000
Iranian Rial	10,520.700000	10,531.900000	10,503.200000	10,503.200000	10,521.200000	10,475.300000	10,483.800000	10,475.400000	10,475.400000	10,505.600000	10,505.600000
Israeli New Sheqel	6.436950	6.374540	6.407260	6.403160	6.397630	6.393620	6.369750	6.383130	6.362740	6.374540	6.357400
Kazakhstani Tenge	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Korean Won	1,627.640000	1,622.150000	NA	1,627.230000	1,621.060000	1,630.550000	1,636.740000	1,646.500000	1,654.100000	1,665.410000	1,659.350000
Kuwaiti Dinar	0.399576	0.398791	NA	NA	0.397905	0.398032	0.397996	0.399227	NA	0.398691	0.397841
Libyan Dinar	1.644740	1.644740	1.644740	1.644740	1.644740	1.644740	1.644740	1.644740	1.644740	1.644740	1.644740
Malaysian Ringgit	5.030940	5.017230	5.029470	5.025180	5.003280	5.007360	5.002100	5.025050	5.015220	5.018290	5.004780
Mauritian Rupee	39.204300	39.085200	39.194000	39.202000	39.022300	39.012200	39.001400	39.202300	39.161200	39.168800	39.021800
Mexican Peso	13.447600	13.368000	13.420500	13.467500	13.450200	13.384800	13.433000	13.514100	13.408100	13.349200	13.260400
Nepalese Rupee	103.657000	103.375000	103.627000	NA	NA	103.171000	103.063000	103.536000	103.333000	NA	NA
New Zealand Dollar	2.821680	2.791390	2.787580	2.771200	2.745310	2.722010	2.741240	2.757830	2.757040	2.757000	2.764000
Norwegian Krone	NA	9.802770	9.785980	9.791150	9.784350	9.783490	9.740420	9.782340	9.751530	9.739750	9.797200
Rial Omani	0.509051	0.507666	0.508903	0.508469	0.506252	0.506665	0.506132	0.508456	0.507462	0.507771	0.506403
Pakistani Rupee	78.357600	78.144500	78.334900	78.268100	77.927100	77.990300	77.908300	78.266200	78.112800	78.161000	77.950200
Nuevo Sol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Philippine Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Polish Zloty	5.485040	5.470640	5.486610	5.482100	5.480560	5.488840	5.489920	5.470430	5.439930	5.437440	5.431360
Qatar Riyal	4.819110	4.805980	4.817700	4.813590	4.792620	4.796510	4.791480	4.813450	4.804070	4.807000	4.794050
Russian Ruble	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Saudi Arabian Riyal	4.964750	4.951210	4.963300	4.959060	4.937440	4.941470	4.936270	4.958920	4.949250	4.952260	4.938930
Singapore Dollar	2.361630	2.364040	2.367290	2.358130	2.355620	2.362020	2.355860	2.370360	2.366530	2.376430	2.376480
South African Rand	13.886100	13.763700	NA	13.796100	13.763600	13.781400	13.817000	13.741500	13.764800	13.771900	13.761200
Sri Lanka Rupee	127.406000	127.058000	127.407000	NA	126.741000	126.857000	126.718000	127.315000	127.109000	127.125000	126.745000
Swedish Krona	12.246400	12.150300	12.186500	12.159600	12.235000	12.205400	12.311100	12.291500	12.214700	12.182600	12.130000
Swiss Franc	1.955450	1.963980	NA	1.960620	1.967080	1.972110	1.967670	1.955140	1.959110	1.955810	1.965560
Thai Baht	57.475900	57.501300	57.642900	57.521200	57.505000	57.692800	57.553000	57.893800	57.924700	58.102700	58.143600
Trinidad And Tobago Dollar	8.267060	8.243070	NA	8.258250	8.232010	8.254910	8.225440	8.271500	8.240150	8.265150	8.220240
Tunisian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
U.A.E. Dirham	4.862130	4.848880	4.860720	4.856590	4.835400	4.839330	4.834260	4.856440	4.846960	4.849920	NA
Peso Uruguayo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bolivar Fuerte	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA

Currency units per SDR for October 2002 Continued

Currency	October 16, 2002	October 17, 2002	October 18, 2002	October 21, 2002	October 22, 2002	October 23, 2002	October 24, 2002	October 25, 2002	October 28, 2002	October 29, 2002	October 30, 2002	October 31, 2002
Chinese Yuan	10.900600	10.879600	10.852700	10.866900	10.859800	10.877400	10.866100	10.887900	10.869700	10.927900	10.925700	10.939300
Euro	1.340750	1.346370	1.346930	1.346880	1.343240	1.344450	1.348130	1.347360	1.347590	1.344450	1.343510	1.339860
Japanese Yen	164.298000	163.454000	164.167000	164.052000	164.272000	163.355000	162.854000	163.113000	163.891000	163.116000	162.201000	161.834000
U.K. Pound Sterling	0.847178	0.845802	0.847328	0.848371	0.848961	0.849849	0.849329	0.847077	0.848558	0.846855	0.847838	0.847199
U.S. Dollar	1.317020	1.314460	1.311240	1.312940	1.312070	1.314200	1.312810	1.315420	1.313230	1.320250	1.320000	1.321630
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	NA	2.394290	2.382330	2.370790	2.367510	2.377360	2.372690	2.370130	2.363620	2.361800	2.377520	2.388210
Bahrain Dinar	0.495199	0.494240	0.493024	0.493666	0.493340	0.494140	0.493618	0.494599	0.493774	0.496413	0.496317	0.496934
Botswana Pula	8.226250	8.174540	8.179890	8.129680	8.124270	8.107340	8.083810	8.075070	8.041820	8.045380	8.078330	8.024520
Brazilian Real	5.078280	5.091700	5.144910	5.087760	5.132440	5.196880	5.080060	5.078720	4.991190	4.937440	5.042790	4.947530
Brunei Dollar	2.372740	2.348550	2.344360	2.340450	2.337850	2.348080	2.331550	2.334220	2.336750	2.340530	2.338110	2.333740
Canadian Dollar	2.086160	2.066730	2.061400	2.057910	2.057200	2.061590	2.049300	2.061660	2.049290	2.063680	2.069220	2.062140
Chilean Peso	980.681000	980.825000	978.435000	978.301000	971.232000	968.176000	963.920000	967.932000	965.922000	966.352000	968.504000	969.077000
Colombian Peso	NA	3,755.600000	NA	3,723.950000	3,662.600000	3,625.570000	3,602.770000	3,613.570000	3,618.850000	3,658.050000	NA	3,665.850000
Czech Koruna	41.525700	41.518800	41.189900	41.154100	41.067900	41.442000	41.617400	41.622600	NA	41.574500	41.533800	41.254800
Danish Krone	9.960260	10.005000	10.007400	10.006200	9.982230	9.991910	10.017700	10.012900	10.014800	9.992010	9.985420	9.957680
Hungarian Forint	328.728000	330.469000	330.943000	327.080000	325.434000	NA	325.748000	324.647000	325.443000	324.266000	323.834000	323.364000
Icelandic Krona	NA	116.448000	116.346000	NA	116.250000	NA	116.578000	116.915000	116.273000	NA	NA	115.603000
Indian Rupee	63.664700	63.606800	63.477200	63.493700	63.451800	NA	NA	NA	63.546900	63.966000	63.874500	63.980300
Indonesian Rupiah	12,183.700000	12,116.700000	12,083.000000	12,089.600000	12,037.000000	12,090.700000	12,100.200000	NA	12,117.100000	12,170.000000	12,161.100000	12,202.700000
Iranian Rial	10,486.300000	10,486.100000	10,486.100000	10,442.700000	NA	NA	10,471.600000	10,471.600000	10,481.300000	10,470.400000	10,529.000000	10,529.600000
Israeli New Sheqel	6.346710	6.256840	6.244110	6.229910	6.257270	NA	6.220100	6.243020	6.258840	6.309470	6.264680	6.297590
Kazakhstani Tenge	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Korean Won	1,663.130000	1,653.600000	1,633.800000	1,630.940000	1,632.350000	1,632.630000	1,624.470000	1,615.340000	1,616.060000	1,627.070000	1,619.770000	1,630.100000
Kuwaiti Dinar	0.398175	0.397403	NA	0.397519	0.397257	NA	0.397243	NA	0.397369	0.398912	0.398837	0.399001
Libyan Dinar	1.644740	1.644740	1.644740	1.644740	1.644740	1.644740	1.644740	1.644740	1.644740	1.644740	1.644740	1.644740
Malaysian Ringgit	5.004680	4.994960	4.982710	4.989170	4.985890	NA	4.988680	4.998600	4.990270	5.016930	5.015980	5.022200
Mauritian Rupee	39.059400	38.944000	38.864400	38.913500	38.885200	38.886900	38.871300	38.944800	38.894200	39.112300	39.089400	NA
Mexican Peso	13.269900	13.143100	13.091600	13.048400	13.084400	13.152400	13.058300	NA	13.132700	13.412800	13.498700	13.421500
Nepalese Rupee	103.116000	102.916000	102.663000	102.797000	102.729000	NA	102.787000	102.991000	102.819000	103.369000	103.349000	103.477000
New Zealand Dollar	2.747220	2.740750	2.720410	2.717180	2.711460	2.720920	2.709620	2.704960	NA	2.697130	2.722760	2.735170
Norwegian Krone	9.800170	9.979240	9.969290	9.964130	NA	NA	NA	9.913850	9.933150	NA	9.928510	9.867970
Rial Omani	0.506393	0.505410	0.504169	0.504826	0.504493	0.505311	0.504775	0.505781	0.504936	0.507635	0.507539	0.508169
Pakistani Rupee	77.948400	77.797400	77.606600	77.707300	77.656000	77.781700	77.699500	77.856800	77.726700	78.142100	78.127400	78.224000
Nuevo Sol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Philippine Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Polish Zloty	5.449950	5.473150	5.468250	5.437150	5.416500	5.404910	5.374000	5.360610	5.327910	5.346850	5.346510	5.329350
Qatar Riyal	4.793960	4.784640	4.772910	4.779110	4.775960	4.783700	4.778630	4.788150	4.780140	4.805680	4.804780	4.810750
Russian Ruble	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Saudi Arabian Riyal	4.938810	4.929240	4.917150	4.923540	4.920270	4.928270	4.923050	4.932840	4.924600	4.950910	4.949980	4.956140
Singapore Dollar	2.372740	2.348550	2.344360	2.340450	2.337850	2.348080	2.331550	2.334220	2.336750	2.340530	2.338110	2.333740
South African Rand	13.701600	13.593500	13.569300	13.416300	13.441500	13.376600	13.353300	NA	13.226200	13.279700	13.310200	NA
Sri Lanka Rupee	126.740000	126.517000	126.262000	126.473000	126.304000	NA	NA	126.772000	126.556000	127.212000	127.157000	127.372000
Swedish Krona	12.149500	12.227800	12.315800	12.223500	12.267900	12.297600	12.294500	12.299200	12.255700	12.212300	12.203400	12.155700
Swiss Franc	1.971840	1.978000	1.979840	1.979260	1.978220	1.974590	1.978270	1.976290	1.977720	1.962940	1.966530	1.960910
Thai Baht	57.957900	57.535400	57.391400	57.363800	57.203700	NA	57.179500	57.186600	57.126500	NA	NA	NA
Trinidad And Tobago Dollar	8.252730	8.241850	8.226590	8.226390	8.228420	8.217200	8.224230	8.239270	8.236010	8.273080	8.263170	8.266440
Tunisian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
U.A.E. Dirham	4.836760	4.827370	4.815520	4.821760	4.818600	4.826420	4.821300	4.830890	4.822830	4.848600	4.847690	4.853710
Peso Uruguayo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
