Currency units per SDR for July 2003
Currency	July 01, 2003	July 02, 2003	July 03, 2003	July 04, 2003	July 07, 2003	July 08, 2003	July 09, 2003	July 10, 2003	July 11, 2003	July 14, 2003	July 15, 2003
Chinese Yuan	11.651900	11.660000	11.638700	NA	11.603600	11.551800	11.582900	11.582500	11.575000	11.554100	11.565200
Euro	1.219500	1.221190	1.227260	1.227620	1.234030	1.232210	1.232370	1.233750	1.235900	1.235430	1.234440
Japanese Yen	168.428000	167.910000	166.267000	166.658000	165.559000	164.933000	165.614000	164.839000	164.874000	164.340000	164.527000
U.K. Pound Sterling	0.849019	0.846690	0.845752	0.843626	0.848169	0.852958	0.856663	0.854540	0.854781	0.859129	0.866837
U.S. Dollar	1.407670	1.408640	1.406070	1.407590	1.401850	1.395610	1.399360	1.399310	1.398420	1.395910	1.397260
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	2.091010	2.076720	2.065620	2.066330	2.048000	2.067560	2.113830	2.144220	2.123000	2.125640	2.128670
Bahrain Dinar	0.529285	0.529650	0.528681	0.529252	0.527098	0.524747	0.526158	0.526141	0.525807	0.524863	0.525367
Botswana Pula	6.936060	6.839710	6.948690	NA	6.910800	6.997260	6.977590	6.901690	6.976420	6.953470	7.005550
Brazilian Real	4.041710	4.005460	3.966650	3.986840	3.965990	4.000930	4.032240	4.010850	4.043390	4.051080	4.016420
Brunei Dollar	2.475950	2.475550	2.464550	2.465110	2.449740	2.450680	2.451670	2.457330	2.453950	2.451910	2.453580
Canadian Dollar	NA	1.882370	1.879210	1.887430	1.890260	1.910720	1.923980	1.933990	1.924360	1.917840	1.946240
Chilean Peso	984.136000	983.981000	978.368000	981.239000	978.368000	973.435000	985.795000	984.378000	985.872000	983.516000	981.528000
Colombian Peso	3,965.860000	3,969.030000	3,954.410000	3,962.550000	3,946.410000	3,936.790000	3,972.600000	3,983.700000	3,993.070000	3,988.050000	4,012.760000
Czech Koruna	38.509700	38.577000	38.890400	38.836800	39.037500	38.945800	38.935700	39.012800	39.134800	39.294900	39.311900
Danish Krone	9.061340	9.074330	9.123010	NA	9.175150	9.162540	9.162880	9.173300	9.188900	9.182310	9.173390
Hungarian Forint	322.596000	320.945000	324.309000	324.575000	323.338000	324.478000	324.007000	324.277000	323.245000	323.670000	322.724000
Icelandic Krona	107.293000	107.282000	107.845000	107.624000	107.690000	108.662000	108.660000	108.181000	107.483000	107.890000	107.966000
Indian Rupee	65.428800	65.445500	65.255400	65.213300	64.877800	64.602400	64.776100	64.662100	64.523200	64.295500	64.441300
Indonesian Rupiah	11,606.200000	11,600.200000	11,541.000000	11,546.400000	11,447.500000	11,437.000000	11,487.300000	11,499.600000	11,492.200000	11,481.300000	11,485.400000
Iranian Rial	11,475.900000	NA	11,532.500000	NA	11,527.000000	11,502.200000	11,460.800000	11,492.900000	11,492.900000	11,490.800000	11,478.600000
Israeli New Sheqel	6.072680	6.062770	6.037660	6.052610	6.004130	6.048550	6.083020	6.047850	6.101320	6.114080	6.125570
Kazakhstani Tenge	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Korean Won	1,682.030000	1,677.690000	1,670.550000	1,668.130000	1,657.410000	1,646.810000	1,650.120000	1,650.630000	1,648.040000	1,646.060000	1,644.570000
Kuwaiti Dinar	0.422681	0.422367	0.421594	NA	0.420332	0.419254	0.420380	0.420089	NA	0.419066	0.419470
Libyan Dinar	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370
Malaysian Ringgit	5.349140	5.352830	5.343050	5.348820	5.327050	5.303300	5.317560	5.317400	5.314000	5.304450	5.309570
Mauritian Rupee	40.730000	40.871700	40.807200	40.897800	40.753800	40.583900	40.791500	40.803700	40.837000	40.684500	40.771700
Mexican Peso	14.709500	14.759600	14.689200	14.651100	14.571700	14.713900	14.664600	14.620300	14.573400	14.492500	14.574500
Nepalese Rupee	106.737000	106.416000	106.221000	106.336000	NA	105.110000	105.393000	105.389000	104.944000	104.756000	104.857000
New Zealand Dollar	2.396040	2.375050	2.365920	2.364500	2.339930	2.334570	2.367780	2.414690	2.377860	2.371570	2.395640
Norwegian Krone	10.131000	10.065000	10.150700	10.148700	10.226400	10.210100	10.183100	10.264800	10.281500	10.281300	10.316800
Rial Omani	0.541249	0.541624	0.540631	0.541216	0.539014	0.536610	0.538054	0.538036	0.537692	0.536728	0.537244
Pakistani Rupee	81.380900	81.437200	81.288300	81.312100	80.980800	80.620500	80.836800	80.834200	80.776100	80.630900	80.708900
Nuevo Sol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Philippine Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Polish Zloty	5.423050	5.404270	5.445560	5.476210	5.454200	5.484590	5.500190	5.500850	5.492150	5.505060	5.504210
Qatar Riyal	5.123920	5.127440	5.118070	5.123610	5.102740	5.080010	5.093650	5.093490	5.090250	5.081120	5.086000
Russian Ruble	42.690000	42.653700	42.575700	NA	42.478200	42.367000	42.565300	42.489000	42.485000	42.569000	42.665000
Saudi Arabian Riyal	5.278770	5.282400	5.272760	5.278440	5.256960	5.233520	5.247580	5.247420	5.244090	5.234670	5.239720
Singapore Dollar	2.475950	2.475550	2.464550	2.465110	2.449740	2.450680	2.451670	2.457330	2.453950	2.451910	2.453580
South African Rand	10.473100	10.395800	10.503300	10.606200	NA	10.746200	10.600100	10.494900	10.662900	10.615900	10.744900
Sri Lanka Rupee	136.755000	136.802000	136.585000	136.781000	136.232000	135.549000	135.920000	135.928000	135.839000	135.599000	135.726000
Swedish Krona	11.257900	11.265600	11.199300	11.260700	11.341000	11.290400	11.282300	11.275000	11.264300	11.355700	11.317800
Swiss Franc	1.898110	1.894060	1.903530	1.901650	1.917170	1.920490	NA	1.912860	1.912760	1.916860	1.912430
Thai Baht	NA	59.091200	NA	58.651400	58.322600	58.128400	58.330800	58.299500	58.273700	NA	58.057500
Trinidad And Tobago Dollar	NA	NA	NA	NA	NA	NA	8.762630	NA	8.767700	8.713230	8.730350
Tunisian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
U.A.E. Dirham	5.169670	5.173230	5.163770	5.169350	5.148300	5.125370	5.139140	5.138980	5.135680	5.126470	5.131420
Peso Uruguayo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bolivar Fuerte	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA

Currency units per SDR for July 2003 Continued

Currency	July 16, 2003	July 17, 2003	July 18, 2003	July 21, 2003	July 22, 2003	July 23, 2003	July 24, 2003	July 25, 2003	July 28, 2003	July 29, 2003	July 30, 2003	July 31, 2003
Chinese Yuan	11.467800	11.503600	11.478500	11.521100	11.547300	11.562900	11.607500	11.603700	11.593100	11.602300	11.582200	11.521600
Euro	1.243940	1.237500	1.237660	1.233580	1.229930	1.225330	1.222950	1.221470	1.219040	1.222880	1.225280	1.229850
Japanese Yen	163.835000	164.208000	164.932000	NA	166.297000	166.312000	166.599000	167.034000	166.807000	167.219000	167.744000	167.173000
U.K. Pound Sterling	0.870724	0.870982	0.870777	0.874960	0.870693	0.871164	0.868810	0.866807	0.863319	0.862299	0.861779	0.864244
U.S. Dollar	1.385500	1.389830	1.386800	1.391970	1.395110	1.397000	1.402350	1.401880	1.400560	1.401670	1.399270	1.391950
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	2.128260	2.123820	2.142100	2.149760	2.136790	2.144280	2.117400	2.114460	2.115650	2.109040	2.118820	2.131950
Bahrain Dinar	0.520947	0.522575	0.521436	0.523382	0.524560	0.525271	0.527284	0.527109	0.526610	0.527029	0.526125	0.523371
Botswana Pula	7.034770	6.985830	6.984610	7.010660	7.026470	6.931260	6.913240	6.890560	6.830320	6.824080	6.834060	6.848470
Brazilian Real	3.955040	3.984100	3.960000	4.004150	4.020700	4.025860	4.048580	4.058870	4.044390	4.058820	4.078450	4.101370
Brunei Dollar	2.441250	2.443320	2.443260	2.446810	2.456090	2.454800	NA	2.450490	2.446080	2.455860	2.457260	2.449550
Canadian Dollar	1.920440	1.941730	1.957330	1.956000	1.969340	1.954540	1.957960	1.936280	1.935430	1.942010	1.958560	1.958890
Chilean Peso	969.255000	970.864000	968.410000	976.248000	979.173000	981.701000	988.445000	986.417000	982.646000	981.123000	982.598000	982.212000
Colombian Peso	3,989.360000	4,014.630000	3,999.390000	4,009.830000	4,015.580000	4,021.330000	4,042.560000	4,047.670000	4,045.260000	4,041.220000	4,020.340000	4,009.370000
Czech Koruna	39.653000	39.536500	39.708200	39.786700	39.608500	39.662100	39.289600	39.200900	39.016800	39.088300	39.173900	39.637100
Danish Krone	9.247790	9.201660	9.200560	9.171280	9.143530	9.108300	9.089340	9.077620	9.058550	9.087600	9.105310	9.139100
Hungarian Forint	326.686000	327.027000	329.350000	328.825000	326.874000	330.096000	326.187000	322.756000	322.101000	320.156000	321.608000	324.783000
Icelandic Krona	108.207000	107.920000	108.170000	108.323000	108.442000	108.002000	107.897000	107.665000	107.241000	107.102000	107.296000	108.029000
Indian Rupee	64.009800	64.293400	64.111600	64.392700	64.537800	64.513200	64.718600	64.711100	64.607800	64.645000	NA	64.224400
Indonesian Rupiah	11,416.500000	11,461.900000	11,468.800000	11,554.700000	11,711.900000	11,990.400000	12,151.400000	11,951.100000	11,897.700000	12,005.300000	12,019.700000	11,838.500000
Iranian Rial	11,492.500000	11,402.700000	11,402.700000	11,416.100000	11,464.300000	11,488.700000	11,502.900000	11,502.900000	11,536.100000	11,540.600000	11,549.800000	11,538.400000
Israeli New Sheqel	6.130830	6.177800	6.156010	6.160860	6.127300	6.113250	6.152100	6.169680	6.133050	6.149120	6.186170	6.164920
Kazakhstani Tenge	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Korean Won	1,628.930000	NA	1,634.760000	1,646.000000	1,645.390000	1,651.250000	1,656.740000	1,654.640000	1,654.340000	1,652.990000	1,650.440000	1,642.500000
Kuwaiti Dinar	0.416356	0.417240	NA	0.417884	0.418533	0.419099	0.419710	NA	0.419173	0.419071	0.418562	0.416847
Libyan Dinar	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370
Malaysian Ringgit	5.264900	5.281360	5.269840	5.289490	5.301410	5.308590	5.328930	5.327170	5.322120	5.326350	5.317230	5.289410
Mauritian Rupee	40.565600	40.633100	40.558900	40.781500	NA	NA	40.966500	40.946000	40.873900	40.870200	40.758300	40.456500
Mexican Peso	14.420100	14.383400	14.367200	14.491100	14.559600	14.690800	14.753200	14.733100	14.656100	14.700400	14.674100	14.649300
Nepalese Rupee	103.975000	104.300000	104.072000	104.460000	104.696000	104.838000	105.239000	105.204000	105.105000	105.188000	105.008000	104.459000
New Zealand Dollar	2.383860	2.383110	2.414340	2.431810	2.430080	2.428290	2.400260	2.397200	2.391260	2.384810	2.377690	2.390630
Norwegian Krone	10.398000	10.331900	10.346200	10.310200	10.261300	10.196000	10.113800	10.050900	10.005900	10.086400	10.055300	10.036800
Rial Omani	0.532725	0.534391	0.533222	0.535212	0.536420	0.537143	0.539203	0.539025	0.538515	0.538941	0.538019	0.535203
Pakistani Rupee	80.029500	80.280000	80.104500	80.385900	80.567200	80.675700	80.985400	80.901600	80.825100	80.889100	NA	80.328400
Nuevo Sol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Philippine Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Polish Zloty	5.515110	5.557660	5.537470	5.516390	5.463380	5.474830	5.395400	5.393740	5.383900	5.369930	5.351920	5.389760
Qatar Riyal	5.043220	5.058990	5.047930	5.066780	5.078200	5.085070	5.104570	5.102850	5.098040	5.102070	5.093340	5.066680
Russian Ruble	42.281900	42.374700	42.202500	42.266900	42.268500	42.394400	42.569300	42.508000	42.362300	42.393500	42.341300	42.147000
Saudi Arabian Riyal	5.195610	5.211860	5.200480	5.219890	5.231660	5.238730	5.258810	5.257070	5.252100	5.256270	5.247250	5.219810
Singapore Dollar	2.441250	2.443320	2.443260	2.446810	2.456090	2.454800	NA	2.450490	2.446080	2.455860	2.457260	2.449550
South African Rand	10.806900	10.708600	10.699100	10.676400	10.581900	NA	10.559700	10.486100	10.287100	10.316300	10.361600	10.363000
Sri Lanka Rupee	134.563000	135.000000	134.700000	135.214000	135.509000	135.695000	136.215000	136.179000	136.065000	136.200000	135.908000	135.202000
Swedish Krona	11.347200	11.382700	NA	11.483800	11.429400	11.364600	11.225800	11.243100	11.201000	11.164300	11.239600	11.278300
Swiss Franc	1.925570	1.901850	1.903940	NA	1.894420	1.892930	1.889390	1.889320	1.892850	1.891130	1.894330	1.905570
Thai Baht	57.699100	57.844600	57.871000	58.024200	58.354600	58.523000	58.724700	58.772700	58.719900	58.893900	58.730300	58.438200
Trinidad And Tobago Dollar	NA	8.702840	8.655840	NA	NA	NA	NA	8.787810	NA	NA	8.763090	8.727070
Tunisian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
U.A.E. Dirham	5.088230	5.104150	5.093020	5.112000	5.123530	5.130470	5.150130	5.148430	5.143560	5.147630	5.138830	5.111930
Peso Uruguayo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
