Currency units per SDR for October 2003
Currency	October 01, 2003	October 02, 2003	October 03, 2003	October 06, 2003	October 07, 2003	October 08, 2003	October 09, 2003	October 10, 2003	October 13, 2003	October 14, 2003	October 15, 2003
Chinese Yuan	11.811300	11.814000	11.833800	11.779400	11.862700	11.870800	11.888800	11.892900	NA	11.815900	11.847500
Euro	1.222690	1.220770	1.223440	1.229080	1.217890	1.217360	1.218480	1.218910	1.224630	1.227100	1.226690
Japanese Yen	158.682000	158.433000	158.598000	158.112000	159.087000	157.257000	156.634000	156.833000	NA	155.895000	156.168000
U.K. Pound Sterling	0.860622	0.857714	0.856172	0.854745	0.856157	0.863595	0.863088	0.863342	0.862932	0.859690	0.856626
U.S. Dollar	1.427000	1.427330	1.429720	1.423150	1.433210	1.434170	1.436350	1.436860	1.431350	1.427610	1.431420
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	2.088700	2.080950	2.088390	NA	2.089230	2.077310	2.070860	2.083910	2.072910	2.085920	2.072720
Bahrain Dinar	0.536553	0.536674	0.537574	0.535106	0.538889	0.539249	0.540065	0.540257	0.538187	0.536780	0.538216
Botswana Pula	NA	6.592740	6.588570	6.667380	6.574360	6.606070	6.632880	6.642890	NA	6.675750	6.659340
Brazilian Real	4.170540	4.142950	4.143460	4.108210	4.119770	4.122540	4.084400	4.082680	4.064020	4.049120	4.067670
Brunei Dollar	2.466710	2.461140	2.466970	2.461340	2.473440	2.468640	2.475250	2.478140	2.459200	2.469900	2.492970
Canadian Dollar	1.923590	1.910050	1.918390	1.908590	1.905310	1.912610	1.924560	1.897370	NA	1.889150	1.895490
Chilean Peso	943.200000	938.870000	945.940000	939.064000	945.716000	939.258000	928.600000	926.655000	NA	920.124000	918.560000
Colombian Peso	4,121.470000	4,149.830000	4,153.500000	4,101.350000	4,117.190000	4,114.520000	4,147.570000	4,135.840000	NA	4,095.590000	4,101.490000
Czech Koruna	38.991400	39.033100	39.102700	39.131000	38.880200	38.876200	39.137600	39.124100	39.271900	39.400500	39.276800
Danish Krone	9.080840	9.067830	9.088600	9.130500	9.048050	9.043470	9.051740	9.055510	9.099350	9.116270	9.112030
Hungarian Forint	310.359000	308.174000	309.891000	311.371000	308.642000	308.462000	307.392000	310.821000	NA	313.645000	313.811000
Icelandic Krona	108.438000	108.534000	109.073000	109.184000	109.282000	108.925000	109.047000	108.741000	NA	108.998000	108.960000
Indian Rupee	65.185200	NA	64.995000	64.639600	65.010600	64.953600	65.109700	65.204400	64.911500	65.084700	65.430500
Indonesian Rupiah	11,965.400000	NA	11,973.900000	11,940.300000	12,021.800000	12,005.500000	12,032.300000	12,049.500000	NA	11,981.900000	12,079.800000
Iranian Rial	11,777.100000	11,888.300000	11,888.300000	11,915.300000	11,867.600000	NA	11,827.400000	11,956.700000	11,978.700000	11,983.400000	11,913.400000
Israeli New Sheqel	6.327310	6.313050	6.310780	NA	6.349130	6.356270	6.338580	6.352350	6.312250	6.300050	6.312570
Kazakhstani Tenge	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Korean Won	1,641.480000	1,644.710000	NA	1,637.340000	1,650.920000	1,651.310000	1,650.220000	1,651.670000	1,643.760000	1,636.890000	1,658.310000
Kuwaiti Dinar	0.420223	0.420318	NA	0.419090	0.421679	0.421461	0.422099	NA	0.420629	0.419530	0.420652
Libyan Dinar	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	NA	1.932370	1.932370
Malaysian Ringgit	5.422610	5.423850	5.432920	5.407980	5.446210	5.449860	5.458130	5.460070	5.439130	5.424910	5.439420
Mauritian Rupee	40.561700	NA	40.581300	40.380900	40.657000	40.726200	40.723100	40.713600	40.616600	40.545900	40.689600
Mexican Peso	15.641900	15.929400	16.080400	15.966800	16.184300	16.133000	16.138200	16.085000	16.010000	16.038700	16.001200
Nepalese Rupee	106.347000	106.379000	106.557000	NA	NA	106.889000	106.692000	106.730000	NA	105.343000	105.625000
New Zealand Dollar	2.391090	2.375310	2.388030	2.400330	2.405530	2.396280	2.396710	2.402770	2.396360	2.401760	2.406970
Norwegian Krone	10.065800	9.999300	9.980840	10.034200	9.990310	9.998200	10.014600	10.028000	10.072500	10.108200	10.139200
Rial Omani	0.548682	0.548805	0.549725	0.547202	0.551070	0.551438	0.552276	0.552471	0.550352	0.548914	0.550382
Pakistani Rupee	82.633000	82.651500	82.789700	82.410300	82.992400	NA	83.173900	82.590700	NA	NA	82.278100
Nuevo Sol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Philippine Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Polish Zloty	5.585720	5.562730	5.554440	5.574350	5.549390	5.527030	5.471900	5.558180	5.524860	5.556940	5.584410
Qatar Riyal	5.194270	5.195450	5.204160	5.180270	5.216890	5.220380	5.228290	5.230150	5.210100	5.196480	5.210400
Russian Ruble	43.622400	43.487100	43.518000	43.349900	43.543800	43.566300	43.427800	43.443300	43.019400	43.163400	43.119400
Saudi Arabian Riyal	5.351260	5.352460	5.361440	5.336830	5.374550	5.378140	5.386310	5.388220	5.367540	5.353520	5.367830
Singapore Dollar	2.466710	2.461140	2.466970	2.461340	2.473440	2.468640	2.475250	2.478140	2.459200	2.469900	2.492970
South African Rand	9.931970	9.834290	9.850760	9.912280	9.831870	NA	9.953910	9.943030	9.983630	10.028900	9.984220
Sri Lanka Rupee	134.717000	134.990000	135.144000	134.652000	135.531000	135.578000	NA	135.749000	135.196000	134.912000	135.281000
Swedish Krona	11.073500	10.983300	10.980200	11.033000	10.910300	10.906900	10.891100	10.995500	10.992700	11.017600	10.950400
Swiss Franc	1.881500	1.883790	1.887940	1.902040	1.886540	1.882640	1.887070	1.888460	1.896820	1.896000	1.892910
Thai Baht	56.891600	56.617800	56.525300	56.386600	56.713800	56.232500	56.396800	56.426700	56.121800	56.667500	57.216700
Trinidad And Tobago Dollar	8.969250	NA	NA	8.928970	8.999850	NA	8.978600	NA	8.981260	NA	NA
Tunisian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
U.A.E. Dirham	5.240650	5.241860	5.250640	5.226520	5.263460	5.267010	5.274980	5.276850	5.256630	NA	5.256900
Peso Uruguayo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bolivar Fuerte	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA

Currency units per SDR for October 2003 Continued

Currency	October 16, 2003	October 17, 2003	October 20, 2003	October 21, 2003	October 22, 2003	October 23, 2003	October 24, 2003	October 27, 2003	October 28, 2003	October 29, 2003	October 30, 2003	October 31, 2003
Chinese Yuan	11.817500	11.813200	11.833100	11.814900	11.845100	11.892400	11.889700	11.904900	11.874200	11.901600	11.900800	11.850300
Euro	1.229290	1.232670	1.229430	1.228190	1.223840	1.219130	1.219350	1.224350	1.229050	1.230730	1.225170	1.231950
Japanese Yen	156.504000	156.789000	156.839000	156.742000	156.783000	156.661000	157.442000	156.638000	155.375000	155.259000	155.721000	155.720000
U.K. Pound Sterling	0.853760	0.853293	0.852791	0.854037	0.851578	0.849712	0.847946	0.848745	0.848615	0.843690	0.843818	0.846403
U.S. Dollar	1.427820	1.427300	1.429700	1.427530	1.431160	1.436870	1.436510	1.438360	1.434670	1.437980	1.437860	1.431780
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	2.074120	2.069160	2.063960	2.056060	2.044800	2.042160	2.048060	2.050700	2.039050	2.036810	2.039520	2.032050
Bahrain Dinar	0.536861	0.536665	0.537568	0.536748	0.538115	0.540263	0.540129	0.540824	0.539438	0.540681	0.540637	0.538349
Botswana Pula	6.665870	6.811290	6.811340	6.744730	6.736460	6.687760	6.648980	6.663730	6.654330	6.677440	6.618480	6.616340
Brazilian Real	4.035040	4.053690	4.092810	4.115700	4.097970	4.108580	4.121350	4.126230	4.120380	4.122270	4.102080	4.070830
Brunei Dollar	2.483420	2.481650	2.488690	2.489610	2.494790	2.490810	NA	2.507060	2.503650	2.501380	2.493260	2.486280
Canadian Dollar	1.878020	1.874330	1.886780	1.878050	1.865940	1.880280	1.877380	1.884540	1.880430	1.883330	1.879580	1.889520
Chilean Peso	924.172000	921.226000	927.231000	922.926000	923.327000	922.773000	912.542000	913.776000	912.467000	914.386000	912.875000	899.297000
Colombian Peso	4,103.140000	4,093.140000	4,096.160000	4,088.930000	4,099.200000	4,123.810000	4,126.450000	4,110.680000	4,135.840000	4,140.440000	4,126.830000	4,129.500000
Czech Koruna	39.372200	39.232300	39.075300	39.051400	39.017700	38.904600	39.198000	39.303200	NA	39.574800	39.275300	39.455500
Danish Krone	9.131670	9.157260	9.136930	9.127750	9.096040	9.059450	9.060680	9.098520	9.133670	9.146620	9.106970	9.158100
Hungarian Forint	315.935000	316.376000	314.035000	313.785000	313.538000	NA	NA	315.289000	313.763000	314.243000	315.439000	318.857000
Icelandic Krona	109.671000	109.774000	109.458000	109.249000	108.983000	109.216000	109.304000	109.833000	109.523000	109.431000	108.990000	109.259000
Indian Rupee	64.666300	64.728300	64.837000	64.681000	64.931700	65.133000	65.116900	65.215400	65.134300	65.155100	65.164000	64.888300
Indonesian Rupiah	12,058.000000	12,053.600000	12,062.400000	12,048.300000	12,104.700000	12,154.400000	12,207.500000	12,280.700000	12,313.800000	12,333.600000	12,250.600000	12,163.000000
Iranian Rial	11,943.800000	11,943.800000	11,909.400000	11,936.600000	11,925.400000	11,945.900000	11,945.900000	11,983.400000	NA	11,976.600000	12,004.300000	12,004.300000
Israeli New Sheqel	6.322390	6.327230	6.349330	NA	6.390100	6.432850	6.445620	6.439560	6.427350	6.483860	6.476140	6.431530
Kazakhstani Tenge	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Korean Won	1,669.840000	1,680.790000	1,679.190000	1,676.490000	1,688.770000	1,698.230000	1,694.220000	1,705.610000	1,698.940000	1,701.710000	1,698.980000	1,685.630000
Kuwaiti Dinar	0.419595	NA	0.420147	0.419507	0.420575	0.422253	NA	0.422692	0.421606	0.422581	0.422545	NA
Libyan Dinar	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370
Malaysian Ringgit	5.425730	5.423760	5.432890	5.424580	5.438390	5.460090	5.458750	5.465770	5.451760	5.464330	5.463880	5.440760
Mauritian Rupee	40.533100	40.406700	40.438500	40.429200	40.533900	40.688100	40.655000	40.596300	40.514200	40.616200	40.612100	40.377900
Mexican Peso	16.059000	16.100300	15.976700	15.902200	16.054400	16.065600	16.057900	15.975600	15.880800	15.972800	15.968600	15.824700
Nepalese Rupee	105.359000	105.321000	NA	105.337000	105.605000	106.026000	106.000000	NA	105.864000	106.109000	106.100000	105.651000
New Zealand Dollar	2.404560	2.400850	2.410160	2.392970	2.377530	2.357260	2.357060	NA	2.351150	2.342570	2.350990	2.345250
Norwegian Krone	NA	10.162700	10.171100	10.162000	10.100400	10.039500	10.047400	10.100900	10.122500	10.106700	10.078300	10.115500
Rial Omani	0.548998	0.548799	0.549722	0.548884	0.550279	0.552474	0.552340	0.553051	0.551633	0.552905	0.552859	0.550518
Pakistani Rupee	NA	82.113900	82.251700	82.126800	82.335700	82.663800	82.643300	82.749900	82.537500	82.728000	82.721200	82.203700
Nuevo Sol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Philippine Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Polish Zloty	5.665750	5.664120	5.648060	5.628890	5.647200	5.657230	5.667040	5.698230	5.702100	5.714970	5.735490	5.760630
Qatar Riyal	5.197290	5.195370	5.204130	5.196180	5.209420	5.230180	5.228890	5.235630	5.222200	5.234260	5.233820	5.211670
Russian Ruble	43.013700	42.924900	42.916800	42.728500	42.821100	42.983900	42.974200	43.272600	42.944800	42.879100	42.932300	42.874800
Saudi Arabian Riyal	5.354350	5.352370	5.361380	5.353230	5.366850	5.388250	5.386920	5.393860	5.380020	5.392430	5.392000	5.369160
Singapore Dollar	2.483420	2.481650	2.488690	2.489610	2.494790	2.490810	NA	2.507060	2.503650	2.501380	2.493260	2.486280
South African Rand	9.966210	NA	NA	10.192500	10.082500	10.036500	NA	9.960660	NA	9.994000	9.921230	9.886410
Sri Lanka Rupee	134.946000	134.931000	135.046000	134.840000	135.117000	135.596000	NA	135.850000	135.569000	135.969000	136.005000	135.686000
Swedish Krona	10.965700	11.043800	11.048100	11.102600	11.048500	10.963300	11.021600	11.118500	11.090000	11.130000	11.093100	11.132100
Swiss Franc	1.902150	1.906880	1.902940	NA	1.904870	1.885890	NA	1.891160	1.904960	1.904750	1.904020	1.907700
Thai Baht	56.967400	56.982300	57.071100	57.009600	57.202000	NA	57.219000	57.428000	57.309500	57.447500	57.396700	57.151000
Trinidad And Tobago Dollar	NA	8.917660	8.957120	NA	NA	8.996770	NA	9.022420	8.982950	NA	8.977470	NA
Tunisian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
U.A.E. Dirham	5.243670	5.241780	5.250580	5.242570	5.255940	5.276880	5.275600	5.282400	5.268840	5.281000	5.280560	5.258200
Peso Uruguayo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
