Currency units per SDR for August 2004
Currency	August 02, 2004	August 03, 2004	August 04, 2004	August 05, 2004	August 06, 2004	August 09, 2004	August 10, 2004	August 11, 2004	August 12, 2004	August 13, 2004	August 16, 2004
Chinese Yuan	12.091700	12.059200	12.051300	12.075600	12.065800	12.167600	12.171500	12.140800	12.160500	12.114900	12.194400
Euro	1.211850	1.211910	1.215060	1.211550	1.208370	1.200350	1.197590	1.199070	1.198770	1.197900	1.194230
Japanese Yen	162.523000	161.110000	161.981000	162.235000	162.731000	162.061000	162.566000	163.228000	162.524000	163.498000	162.994000
U.K. Pound Sterling	0.798429	0.801276	0.800532	0.799776	0.800269	0.798518	0.800807	0.802684	0.802188	0.804505	0.799546
U.S. Dollar	1.460880	1.456960	1.456000	1.458950	1.457770	1.470070	1.470520	1.466820	1.469210	1.463720	1.473320
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	NA	2.077510	2.072600	2.070020	2.071290	2.052890	2.056670	2.057830	2.057430	2.070320	2.056280
Bahrain Dinar	0.549291	0.547816	0.547456	0.548567	0.548122	0.552746	0.552917	0.551526	0.552422	0.550358	0.553971
Botswana Pula	6.797960	6.843410	6.830880	6.801660	6.710100	6.724950	6.747050	6.762700	6.801890	7.005110	7.030870
Brazilian Real	4.420630	NA	4.446930	4.460160	NA	NA	NA	NA	NA	NA	NA
Brunei Dollar	2.506440	2.502470	2.506660	2.511000	2.512030	NA	2.518270	2.517800	2.515280	2.514670	2.527630
Canadian Dollar	NA	1.921870	1.915370	1.922610	NA	1.935350	1.932120	1.941930	1.957870	NA	1.926520
Chilean Peso	937.014000	937.928000	934.169000	939.285000	935.690000	940.141000	939.311000	934.894000	939.929000	938.042000	943.298000
Colombian Peso	3,816.470000	3,807.870000	3,794.130000	3,806.970000	3,804.220000	3,826.460000	3,819.990000	3,812.240000	3,830.130000	3,827.580000	NA
Czech Koruna	38.320300	38.463600	38.617600	38.442000	38.200900	37.810200	37.573200	37.740000	37.752800	37.725900	37.568300
Danish Krone	9.011440	9.011690	9.034240	9.008440	8.983680	8.924350	8.903530	8.917270	8.916310	8.910270	8.882490
Hungarian Forint	NA	NA	304.028000	301.507000	NA	296.969000	295.266000	297.354000	296.589000	299.726000	295.725000
Icelandic Krona	104.599000	104.566000	104.818000	104.461000	104.654000	104.346000	104.804000	104.863000	104.461000	103.983000	103.678000
Indian Rupee	67.726400	67.457300	67.515100	67.593100	67.684200	68.182100	68.320500	68.001800	67.965700	67.711700	68.244500
Indonesian Rupiah	13,315.900000	13,309.300000	13,363.200000	13,422.400000	13,398.400000	13,457.000000	13,536.100000	13,553.500000	13,568.100000	13,561.400000	13,625.300000
Iranian Rial	12,695.600000	12,722.800000	12,693.000000	12,684.700000	NA	12,697.200000	12,807.200000	12,812.600000	12,784.800000	12,784.800000	NA
Israeli New Sheqel	6.600270	6.594170	6.591350	6.636760	6.640150	6.660890	6.651150	6.652030	6.661380	6.652610	6.684450
Kazakhstani Tenge	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
