Currency units per SDR for December 2004
Currency	December 01, 2004	December 02, 2004	December 03, 2004	December 06, 2004	December 07, 2004	December 08, 2004	December 09, 2004	December 10, 2004	December 13, 2004	December 14, 2004	December 15, 2004
Chinese Yuan	12.725600	12.746600	12.709200	12.789100	12.799400	12.711700	12.683600	12.615000	12.663800	12.698700	12.729500
Euro	1.156580	1.156750	1.154570	1.150160	1.149280	1.154790	1.151810	1.155480	1.153220	1.152150	1.149240
Japanese Yen	158.061000	157.398000	158.932000	157.923000	159.364000	158.349000	159.378000	160.467000	160.430000	160.719000	161.878000
U.K. Pound Sterling	0.798569	0.795957	0.798282	0.796185	0.793796	0.795912	0.798792	0.799725	0.799003	0.796178	0.794603
U.S. Dollar	1.537560	1.540100	1.535580	1.545240	1.546470	1.535880	1.532480	1.524190	1.530090	1.534310	1.538030
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	1.979610	2.025120	1.982420	1.976770	1.989800	2.005060	2.021210	2.029010	2.031460	2.019630	2.032280
Bahrain Dinar	0.578122	0.579079	0.577377	0.581010	0.581473	0.577491	0.576213	0.573095	0.575314	0.576901	0.578299
Botswana Pula	5.817470	6.716550	6.717320	6.669110	6.675880	6.736320	6.755480	6.704170	6.643900	6.650660	6.655260
Brazilian Real	4.197380	4.179380	4.181530	4.185590	NA	4.195090	4.238240	NA	4.262680	4.248360	NA
Brunei Dollar	2.513910	2.514060	2.524650	2.523840	2.527700	2.522060	2.522010	2.526190	2.526330	2.527470	2.537590
Canadian Dollar	1.823240	1.832570	NA	1.856450	1.868910	1.881600	1.878210	1.869110	1.880330	1.898860	1.881010
Chilean Peso	905.084000	902.592000	896.009000	899.888000	899.022000	NA	891.353000	902.902000	913.876000	905.321000	890.686000
Colombian Peso	3,811.890000	3,807.320000	3,811.190000	3,824.820000	NA	NA	3,762.440000	NA	3,734.520000	3,707.340000	3,668.350000
Czech Koruna	35.835900	35.736500	35.551800	35.429200	35.304400	35.664600	35.457100	35.669100	35.300800	35.263000	35.196300
Danish Krone	8.593720	8.594830	8.578540	8.544230	8.538180	8.581110	8.559370	8.586340	8.568830	8.563920	8.543430
Hungarian Forint	NA	281.685000	283.069000	280.971000	282.586000	283.308000	284.199000	287.661000	284.612000	284.599000	283.997000
Icelandic Krona	99.741700	98.566800	97.340700	96.716500	96.205600	95.209100	96.684700	96.755800	96.457100	96.983800	97.434500
Indian Rupee	68.375100	68.103200	67.933900	67.727700	67.580800	67.455900	67.781900	67.993900	67.859600	67.648000	67.873500
Indonesian Rupiah	13,845.700000	13,891.700000	13,878.600000	13,953.500000	14,026.500000	14,014.900000	14,069.700000	14,007.300000	14,127.300000	14,223.100000	14,380.600000
Iranian Rial	13,510.500000	13,531.300000	NA	13,565.600000	13,579.600000	NA	NA	NA	NA	13,497.300000	13,530.100000
Israeli New Sheqel	6.714520	6.719480	NA	6.723320	6.685390	6.664180	6.657120	6.645490	6.671200	6.634380	6.659650
Kazakhstani Tenge	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Korean Won	1,611.520000	1,612.640000	NA	1,614.620000	1,605.700000	NA	1,612.480000	1,610.770000	1,626.180000	1,628.060000	1,624.320000
Kuwaiti Dinar	0.453118	0.453869	NA	0.455382	0.455745	0.452622	0.451624	NA	0.450918	NA	0.453258
Libyan Dinar	1.932370	1.932370	NA	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370
Malaysian Ringgit	5.842730	5.852370	5.835190	5.871890	5.876580	5.836310	5.823430	5.791930	5.814360	5.830390	5.844500
Mauritian Rupee	43.752400	43.730900	43.476400	43.720600	43.711300	43.473900	43.317600	43.147200	43.321400	43.502700	43.619600
Mexican Peso	17.176600	17.164900	NA	17.207000	17.274700	NA	17.303300	17.275600	17.296900	17.322800	17.230200
Nepalese Rupee	111.927000	NA	110.216000	110.871000	110.573000	109.431000	NA	109.048000	110.235000	110.539000	110.431000
New Zealand Dollar	2.153450	2.144090	2.145560	2.141700	2.148470	2.140590	2.137950	2.149470	2.180550	2.160090	2.166240
Norwegian Krone	9.402470	9.446710	9.438590	9.365660	9.349990	9.481460	9.492080	9.495680	9.461010	9.447510	9.453670
Rial Omani	0.591191	0.592168	0.590430	0.594145	0.594619	0.590545	0.589240	0.586050	0.588318	0.589943	0.591373
Pakistani Rupee	NA	NA	NA	92.209200	92.282400	NA	NA	NA	91.305000	91.556600	91.779300
Nuevo Sol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Philippine Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Polish Zloty	4.839940	4.804500	4.831850	4.795500	4.808430	4.821580	4.807250	4.880000	4.834020	4.828470	4.808660
Qatar Riyal	5.596720	5.605980	5.589500	5.624680	5.629140	5.590590	5.578240	5.548070	5.569540	5.584910	5.598450
Russian Ruble	43.076500	43.115300	42.884200	43.019600	43.106400	42.969500	42.954400	42.866800	NA	42.953900	42.926900
Saudi Arabian Riyal	5.765850	5.775370	5.758410	5.794650	5.799250	5.759540	5.746830	5.715720	5.737830	5.753670	5.767610
Singapore Dollar	2.513910	2.514060	2.524650	2.523840	2.527700	2.522060	2.522010	2.526190	2.526330	2.527470	2.537590
South African Rand	8.902500	8.917190	NA	8.831040	8.845800	8.992560	NA	8.992720	NA	NA	NA
Sri Lanka Rupee	161.163000	161.001000	160.006000	161.316000	161.884000	160.912000	160.643000	159.802000	160.571000	161.235000	162.003000
Swedish Krona	10.332400	10.353300	10.384400	10.225600	10.249200	NA	10.317500	10.406400	10.331900	10.283700	10.362500
Swiss Franc	1.753430	1.762650	1.763770	1.757240	1.758800	1.768260	1.770790	1.776750	1.772150	1.769370	1.759050
Thai Baht	NA	60.341300	60.523200	NA	60.584400	60.372300	60.448900	NA	60.599100	60.450400	60.795400
Trinidad And Tobago Dollar	9.654470	9.688140	NA	9.689730	9.726870	9.611780	9.612700	9.551650	9.607260	9.635030	9.652420
Tunisian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
U.A.E. Dirham	5.646690	5.656010	5.639430	5.674890	5.679400	5.640510	5.628060	5.597600	5.619270	5.634760	5.648410
Peso Uruguayo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bolivar Fuerte	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA

Currency units per SDR for December 2004 Continued

Currency	December 16, 2004	December 17, 2004	December 20, 2004	December 21, 2004	December 22, 2004	December 23, 2004	December 24, 2004	December 27, 2004	December 28, 2004	December 29, 2004	December 30, 2004	December 31, 2004
Chinese Yuan	12.757800	12.692100	12.738200	12.742700	12.706800	12.755500	NA	12.844200	12.836000	12.820200	12.810700	NA
Euro	1.150250	1.156150	1.150450	1.149480	1.147110	1.145340	1.141600	1.147250	1.137600	1.138290	1.137780	1.140160
Japanese Yen	160.773000	160.221000	160.603000	159.905000	160.208000	NA	160.269000	161.241000	160.052000	160.088000	161.161000	NA
U.K. Pound Sterling	0.790002	0.793166	0.791139	0.795342	0.802723	0.802530	0.802510	NA	NA	0.805886	0.806250	0.804085
U.S. Dollar	1.541450	1.533510	1.539080	1.539620	1.535290	1.541170	1.545950	1.551890	1.550890	1.548990	1.547840	1.553010
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	2.013650	2.013800	2.016080	2.008900	2.011650	2.012240	2.013750	NA	NA	1.987930	1.996430	1.993590
Bahrain Dinar	0.579582	0.576602	0.578694	0.578898	0.577271	0.579482	0.581277	0.583509	0.583135	0.582421	0.581987	0.583931
Botswana Pula	6.655660	6.684890	6.654020	6.622030	6.603410	6.600310	NA	6.637680	6.610780	6.619620	6.631700	NA
Brazilian Real	4.238980	4.184190	NA	4.144510	NA	NA	NA	4.175190	4.183540	4.164780	4.152530	4.121060
Brunei Dollar	2.529980	NA	2.531780	NA	2.519260	2.527830	2.537380	2.549440	2.537410	2.534920	2.533650	2.537300
Canadian Dollar	1.904460	NA	NA	1.889270	NA	NA	1.900750	NA	NA	NA	1.867000	1.869200
Chilean Peso	891.663000	885.645000	888.107000	870.345000	869.097000	873.797000	859.535000	870.686000	870.254000	866.904000	866.529000	NA
Colombian Peso	3,663.040000	3,627.910000	NA	3,586.990000	NA	NA	3,717.090000	3,687.260000	3,699.370000	3,741.380000	3,733.530000	NA
Czech Koruna	35.215900	35.195700	35.037100	35.054000	35.059900	35.044800	NA	35.038500	34.777200	34.705100	34.584800	NA
Danish Krone	8.548250	8.592250	8.551250	NA	8.528860	8.518540	NA	8.536790	8.464750	8.464460	8.462960	NA
Hungarian Forint	282.377000	284.083000	282.251000	281.889000	281.956000	282.081000	NA	281.947000	279.455000	279.159000	279.168000	279.992000
Icelandic Krona	97.588600	97.300900	96.731400	96.657600	96.140000	96.015400	NA	96.092900	95.379800	95.603200	94.789400	95.028100
Indian Rupee	67.654000	67.520600	67.580800	67.435400	67.368600	67.488200	67.728200	68.034600	67.897900	67.753000	67.655800	67.680100
Indonesian Rupiah	14,239.900000	14,277.000000	14,325.700000	14,326.200000	14,308.900000	14,340.600000	14,354.200000	14,432.600000	14,415.500000	14,418.000000	14,480.000000	NA
Iranian Rial	13,555.500000	NA	13,548.500000	13,550.200000	13,515.200000	NA	NA	13,653.500000	13,640.100000	13,623.400000	13,610.100000	NA
Israeli New Sheqel	6.660580	6.655440	6.667290	6.671160	6.664710	6.682530	6.695550	6.733640	6.730880	6.775300	6.716050	6.690350
Kazakhstani Tenge	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Korean Won	1,635.010000	1,618.780000	1,629.570000	1,625.990000	1,620.350000	1,628.250000	1,624.800000	1,623.580000	1,624.870000	1,614.670000	1,614.700000	1,608.290000
Kuwaiti Dinar	0.454265	NA	0.453566	0.453727	NA	0.454184	NA	0.457341	0.457049	0.456488	NA	NA
Libyan Dinar	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370
Malaysian Ringgit	5.857510	5.827340	5.848500	5.850550	5.834100	5.856450	5.874610	5.897170	5.893380	5.886160	5.881760	5.901410
Mauritian Rupee	43.695600	43.459200	43.551200	43.587800	43.474900	NA	43.732500	43.918000	43.986000	43.852300	NA	NA
Mexican Peso	17.312900	NA	NA	17.224200	NA	NA	17.237400	17.280000	17.376500	NA	17.364100	17.315300
Nepalese Rupee	110.668000	109.332000	109.729000	109.767000	109.459000	109.878000	110.219000	110.293000	110.222000	110.040000	109.966000	110.326000
New Zealand Dollar	2.147760	2.160490	2.152860	2.159360	2.161470	2.166700	2.168240	NA	NA	2.148090	2.169360	2.161760
Norwegian Krone	9.415310	9.500100	9.467010	9.491900	9.501460	9.486230	NA	9.482000	9.410170	9.419390	9.379280	9.377960
Rial Omani	0.592687	0.589637	0.591776	0.591982	0.590319	0.592582	0.594421	0.596701	0.596317	0.595586	0.595142	0.597133
Pakistani Rupee	91.982800	91.508900	NA	NA	91.615400	91.966700	92.003100	91.754100	91.695200	91.582600	NA	91.819800
Nuevo Sol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Philippine Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Polish Zloty	4.784960	4.790990	4.746990	4.726640	4.701830	4.677920	4.659510	4.683140	4.608630	4.613500	4.636240	4.644120
Qatar Riyal	5.610850	5.581980	5.602240	5.604220	5.588470	5.609880	5.627270	5.648860	5.645250	5.638310	5.634120	5.652940
Russian Ruble	42.909600	42.757500	42.927500	42.938000	42.740900	42.897300	43.016300	43.110700	43.076000	42.982500	42.950500	43.094000
Saudi Arabian Riyal	5.780410	5.750660	5.771540	5.773570	5.757350	5.779410	5.797340	5.819570	5.815850	5.808720	5.804400	5.823770
Singapore Dollar	2.529980	2.523390	2.531780	NA	2.519260	2.527830	2.537380	2.549440	2.537410	2.534920	2.533650	2.537300
South African Rand	NA	NA	NA	8.737360	8.705110	8.684550	8.719160	NA	8.723800	8.728590	8.760790	8.743400
Sri Lanka Rupee	162.421000	161.745000	162.308000	161.998000	161.221000	161.496000	161.744000	162.113000	161.835000	161.610000	161.600000	162.452000
Swedish Krona	10.316100	NA	10.327200	10.330800	10.344000	10.329700	NA	10.351100	10.274700	10.196700	10.235100	NA
Swiss Franc	NA	1.775810	1.767940	1.769490	1.774030	1.768810	1.765170	1.776910	1.758870	NA	1.758190	1.757380
Thai Baht	60.427700	60.219600	60.251900	60.111300	59.945600	60.153600	60.298400	60.686600	60.522100	60.508100	60.467900	NA
Trinidad And Tobago Dollar	9.683350	9.635210	9.667250	9.662020	9.617700	NA	NA	NA	NA	9.724600	9.726300	9.742980
Tunisian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
U.A.E. Dirham	5.660980	5.631840	5.652270	5.654250	5.638350	5.659950	5.677530	5.699300	5.695670	5.688670	5.684430	5.703430
Peso Uruguayo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bolivar Fuerte	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA

Notes:


