Currency units per SDR for March 2005
Currency	March 01, 2005	March 02, 2005	March 03, 2005	March 04, 2005	March 07, 2005	March 08, 2005	March 09, 2005	March 10, 2005	March 11, 2005	March 14, 2005	March 15, 2005
Chinese Yuan	12.663400	12.611300	12.620000	12.600700	12.647000	12.671500	12.737600	12.746400	12.737300	12.723300	12.721800
Euro	1.157720	1.163080	1.160070	1.160860	1.157890	1.155830	1.153160	1.148540	1.147110	1.149630	1.148550
Japanese Yen	159.889000	159.430000	159.951000	160.544000	159.988000	160.879000	161.135000	160.322000	160.268000	160.492000	161.119000
U.K. Pound Sterling	0.796191	0.797862	0.798448	0.798441	0.798027	0.796121	0.798575	0.798378	0.801629	0.800628	0.800032
U.S. Dollar	1.530040	1.523750	1.524790	1.522460	1.528070	1.531020	1.539010	1.540070	1.538970	1.537280	1.537100
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	1.944390	1.946040	1.950360	1.945390	1.935000	1.931150	1.930770	1.934760	1.948310	1.938810	1.947180
Bahrain Dinar	0.575298	0.572931	0.573322	0.572446	0.574554	0.575662	0.578670	0.579069	0.578653	0.578018	0.577951
Botswana Pula	6.713660	6.745230	6.752830	6.783110	6.740500	6.720880	6.755980	6.781450	6.741000	6.772180	6.849830
Brazilian Real	3.969250	4.002900	4.019360	4.063450	4.065720	4.074960	4.143940	NA	4.203080	4.152650	4.229350
Brunei Dollar	2.485860	2.474730	2.481610	2.481920	2.485240	2.485760	2.495970	2.491370	2.496980	2.489930	2.494870
Canadian Dollar	1.901690	1.889610	1.900200	1.876590	1.878450	1.863100	NA	NA	NA	1.858110	1.856510
Chilean Peso	877.555000	881.640000	895.175000	892.937000	898.118000	896.563000	901.413000	908.150000	905.207000	898.190000	NA
Colombian Peso	3,561.910000	3,549.840000	3,558.340000	3,552.980000	3,574.050000	3,559.450000	NA	3,594.700000	3,601.710000	3,586.040000	3,607.140000
Czech Koruna	34.305100	34.474900	34.311000	34.406100	34.214900	34.117200	33.827600	NA	NA	34.035400	34.020800
Danish Krone	8.615860	8.657180	8.635060	8.641180	8.618610	8.604960	8.586640	8.551910	8.541610	8.560980	8.553660
Hungarian Forint	280.304000	281.620000	280.806000	NA	279.453000	279.380000	277.915000	279.893000	279.138000	NA	NA
Icelandic Krona	93.057000	92.903100	NA	92.535200	92.494100	91.968400	91.679200	90.957100	91.306700	90.438000	90.412600
Indian Rupee	66.893700	66.588100	66.557100	66.546900	66.761000	NA	67.208800	67.116300	67.068200	66.902600	66.940700
Indonesian Rupiah	14,152.900000	14,117.600000	14,148.600000	14,200.000000	14,249.200000	14,292.100000	14,412.900000	14,392.000000	14,381.700000	14,412.000000	14,387.300000
Iranian Rial	13,553.100000	13,498.900000	NA	NA	13,535.600000	13,563.300000	NA	NA	NA	13,618.800000	13,620.300000
Israeli New Sheqel	6.635790	6.603930	6.610000	6.610520	6.618050	6.589480	6.616210	6.642310	6.620630	6.622600	6.629540
Kazakhstani Tenge	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Korean Won	NA	1,531.070000	1,535.160000	1,532.660000	1,539.980000	1,538.210000	1,545.630000	NA	1,536.510000	1,538.360000	1,536.950000
Kuwaiti Dinar	0.446774	0.444935	0.445240	NA	0.446196	0.447057	0.449392	0.449701	NA	0.448885	0.448835
Libyan Dinar	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370
Malaysian Ringgit	5.814160	5.790250	5.794210	5.785360	5.806660	5.817880	5.848260	5.852270	5.848090	5.841670	5.840990
Mauritian Rupee	44.123800	43.927100	43.884100	43.802000	NA	NA	44.392800	44.341400	44.295400	44.257600	44.265800
Mexican Peso	16.989600	16.924800	16.900400	16.816800	16.862000	16.809000	NA	NA	NA	17.117600	17.221400
Nepalese Rupee	108.541000	108.095000	108.169000	108.004000	108.401000	NA	109.185000	109.260000	109.174000	109.062000	NA
New Zealand Dollar	2.104600	2.097100	2.097960	2.094460	2.085240	2.082730	2.080030	2.082020	2.085890	2.078530	2.082800
Norwegian Krone	9.507240	9.544170	9.536980	9.551010	9.513300	9.479030	9.427110	NA	9.379980	9.399380	9.402030
Rial Omani	0.588301	0.585881	0.586283	0.585388	0.587541	0.588675	0.591751	NA	0.591733	0.591086	0.591017
Pakistani Rupee	90.462500	90.090100	90.151800	NA	NA	NA	NA	NA	NA	90.890100	90.879300
Nuevo Sol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Philippine Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Polish Zloty	4.522820	4.547650	4.549530	4.558860	4.487020	4.494160	4.473290	4.547380	4.538730	4.564190	4.606550
Qatar Riyal	5.569360	5.546470	5.550250	5.541760	5.562170	5.572890	5.602020	5.605850	5.601830	5.595690	5.595060
Russian Ruble	42.396100	42.206400	42.274200	42.251100	NA	NA	42.409400	42.296200	42.264500	42.239900	NA
Saudi Arabian Riyal	5.737660	5.714060	5.717980	5.709230	5.730230	5.741320	5.771310	5.775270	5.771140	5.764820	5.764150
Singapore Dollar	2.485860	2.474730	2.481610	2.481920	2.485240	2.485760	2.495970	2.491370	2.496980	2.489930	2.494870
South African Rand	8.927770	8.990140	9.003900	NA	8.969740	8.956480	8.833920	NA	8.979890	9.108380	NA
Sri Lanka Rupee	152.253000	151.685000	151.889000	151.699000	152.358000	NA	153.389000	153.381000	153.080000	152.800000	152.140000
Swedish Krona	10.503700	10.487200	NA	10.497400	10.444300	10.441500	10.396000	10.380100	10.403400	10.384300	10.467700
Swiss Franc	1.780660	1.790870	1.793620	1.798940	1.793340	1.790370	1.783870	1.778010	1.779360	1.778940	1.781350
Thai Baht	58.602200	58.435800	58.617700	58.625600	58.674800	58.688500	58.944200	58.967800	58.967100	58.899400	59.023200
Trinidad And Tobago Dollar	9.599230	NA	9.574970	NA	NA	NA	9.655310	NA	NA	NA	9.615200
Tunisian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
U.A.E. Dirham	5.619080	5.595970	5.599790	5.591250	5.611830	5.622650	5.652020	5.655920	5.651860	5.645670	5.645030
Peso Uruguayo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bolivar Fuerte	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA

Currency units per SDR for March 2005 Continued

Currency	March 16, 2005	March 17, 2005	March 18, 2005	March 21, 2005	March 22, 2005	March 23, 2005	March 24, 2005	March 25, 2005	March 28, 2005	March 29, 2005	March 30, 2005	March 31, 2005
Chinese Yuan	12.727900	NA	12.686300	12.623800	12.628000	12.550900	12.506400	12.498300	12.455500	12.481200	12.486800	12.504300
Euro	1.149960	1.149610	1.154310	1.155590	1.158080	1.162030	1.163970	NA	NA	1.166670	1.165660	1.165400
Japanese Yen	160.704000	160.454000	160.485000	NA	160.358000	159.864000	160.476000	160.705000	161.011000	161.661000	161.809000	162.187000
U.K. Pound Sterling	0.799501	0.798518	0.799962	0.802433	0.803245	0.806660	0.808447	NA	NA	0.804583	0.802336	0.802523
U.S. Dollar	1.537830	1.537950	1.532810	1.525260	1.525770	1.516450	1.511070	1.510100	1.504920	1.508030	1.508710	1.510830
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	1.946380	1.940380	1.933170	1.927050	1.945140	1.943660	1.953800	NA	NA	1.956710	1.951000	1.957280
Bahrain Dinar	0.578225	0.578269	0.576336	0.573496	0.573687	0.570184	0.568162	0.567798	0.565848	0.567022	0.567276	0.568069
Botswana Pula	NA	NA	6.904550	6.936160	6.872800	6.933900	6.925160	NA	NA	7.025530	6.979930	6.952700
Brazilian Real	4.246430	4.238890	4.217360	4.141850	4.162300	4.102290	4.139570	NA	4.107670	4.128550	4.076990	4.049010
Brunei Dollar	2.495910	2.496850	2.489590	2.484340	2.492950	2.485000	2.485400	NA	2.481760	2.487050	2.492090	2.492560
Canadian Dollar	1.850940	1.848920	NA	1.848160	1.833820	NA	1.836400	NA	1.841420	NA	1.835340	1.827500
Chilean Peso	907.565000	909.984000	905.690000	892.355000	895.415000	885.347000	888.115000	NA	883.884000	889.276000	886.054000	886.022000
Colombian Peso	3,632.920000	3,670.260000	NA	NA	3,618.250000	NA	NA	NA	3,585.170000	3,615.130000	3,610.830000	3,590.450000
Czech Koruna	34.326000	NA	34.334900	34.844500	34.630400	34.996500	35.022100	35.078100	NA	35.217100	35.050300	34.900100
Danish Krone	8.563920	8.561570	8.597050	8.606300	8.625300	8.655990	NA	NA	NA	8.690820	8.683340	8.681690
Hungarian Forint	283.776000	NA	NA	284.018000	285.532000	288.731000	NA	NA	NA	289.693000	287.998000	288.281000
Icelandic Krona	90.378300	89.893300	89.960400	89.883600	90.798500	92.852200	92.523200	92.463300	92.146400	92.910000	92.650100	91.737200
Indian Rupee	67.080300	67.100600	66.968500	66.608100	66.782900	66.329300	66.230000	NA	65.930400	66.036700	66.111800	66.098700
Indonesian Rupiah	14,386.400000	NA	14,360.900000	14,299.300000	14,357.500000	14,254.600000	14,211.600000	NA	14,183.900000	14,282.600000	14,362.900000	14,322.600000
Iranian Rial	13,631.400000	13,632.400000	NA	NA	NA	NA	NA	NA	NA	13,383.800000	13,392.800000	NA
Israeli New Sheqel	6.634200	6.634690	6.607940	6.586050	6.582150	6.572290	6.567110	NA	6.555440	6.594650	NA	6.588700
Kazakhstani Tenge	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Korean Won	1,542.760000	1,543.640000	1,536.790000	1,529.680000	1,537.060000	1,534.950000	1,528.450000	1,528.830000	1,524.630000	1,532.610000	1,537.380000	1,547.540000
Kuwaiti Dinar	0.449049	0.449081	NA	0.445377	0.445524	NA	0.441232	NA	0.439437	0.440346	0.440544	0.441160
Libyan Dinar	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370
Malaysian Ringgit	5.843780	5.844190	5.824650	5.795990	5.797910	5.762490	5.742080	5.738390	5.718700	5.730530	5.733090	5.741120
Mauritian Rupee	44.286800	44.215700	44.043600	NA	44.026900	43.819500	NA	NA	43.541500	43.706700	43.783800	NA
Mexican Peso	17.266200	17.254700	NA	NA	17.073000	NA	NA	NA	17.039900	NA	16.941700	16.888500
Nepalese Rupee	108.871000	108.879000	108.515000	107.981000	108.017000	107.531000	107.203000	NA	106.766000	106.987000	107.035000	107.186000
New Zealand Dollar	2.077030	2.066580	2.063550	2.053390	2.074460	2.087620	2.110140	NA	NA	2.136930	2.122850	2.131830
Norwegian Krone	9.430760	NA	NA	9.406450	9.465570	NA	NA	NA	NA	9.588830	9.542170	9.563250
Rial Omani	0.591296	0.591342	0.589365	0.586462	0.586658	0.583073	0.581007	0.580632	0.578640	0.579838	0.580100	0.580912
Pakistani Rupee	90.923100	90.929800	NA	90.179500	90.209600	89.658000	NA	89.283300	NA	NA	NA	89.326400
Nuevo Sol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Philippine Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Polish Zloty	4.684080	4.734270	4.674450	4.703910	4.739490	4.800470	4.798860	4.800450	NA	4.858430	4.796650	4.761810
Qatar Riyal	5.597730	5.598130	5.579420	5.551950	5.553800	5.519860	5.500280	5.496770	5.477890	5.489260	5.491700	5.499400
Russian Ruble	42.273500	NA	NA	NA	42.075100	41.911700	NA	NA	NA	41.970600	41.980800	42.083600
Saudi Arabian Riyal	5.766880	5.767310	5.748020	5.719710	5.721640	5.686660	5.666530	5.662870	5.643440	5.655120	5.657680	5.665590
Singapore Dollar	2.495910	2.496850	2.489590	2.484340	2.492950	2.485000	2.485400	NA	2.481760	2.487050	2.492090	2.492560
South African Rand	9.342300	9.381480	NA	NA	9.261400	NA	9.376200	NA	NA	NA	NA	9.420010
Sri Lanka Rupee	152.531000	152.780000	152.248000	151.491000	151.673000	150.803000	150.278000	NA	149.644000	149.952000	150.001000	150.193000
Swedish Krona	10.465000	10.442700	10.457600	10.528100	10.562100	10.565800	10.581300	NA	NA	10.631600	10.632600	10.666400
Swiss Franc	1.777890	1.775560	1.784800	1.794470	1.795980	1.808820	1.809200	NA	NA	1.810850	1.809240	1.805740
Thai Baht	59.162100	NA	59.034700	58.811100	58.958800	58.630400	58.616000	NA	58.863300	59.194700	59.394800	59.154800
Trinidad And Tobago Dollar	9.646830	9.638740	9.610580	NA	9.584140	9.525260	9.498570	NA	NA	NA	NA	9.484970
Tunisian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
U.A.E. Dirham	5.647710	5.648090	5.629240	5.601520	5.603370	5.569140	5.549390	5.545850	5.526820	5.538260	5.540750	5.548500
Peso Uruguayo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bolivar Fuerte	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA

Notes:


The value of the U.S. dollar in terms of the SDR is the reciprocal of the sum of the dollar values, based on market exchange rates, of specified quantities of the SDR basket currencies. See SDR Valuation.

