Currency units per SDR for August 2005
Currency	August 01, 2005	August 02, 2005	August 03, 2005	August 04, 2005	August 05, 2005	August 08, 2005	August 09, 2005	August 10, 2005	August 11, 2005	August 12, 2005	August 15, 2005
Chinese Yuan	11.830800	11.834000	11.873600	11.876500	11.885200	11.904200	11.887300	11.918600	11.936300	11.973500	11.931700
Euro	1.194670	1.195400	1.190240	1.189830	1.184110	1.186760	1.185650	1.187940	1.187890	1.186940	1.190860
Japanese Yen	163.785000	163.274000	163.854000	162.698000	163.897000	165.005000	163.961000	163.499000	162.536000	162.422000	161.460000
U.K. Pound Sterling	0.825096	0.824117	0.823282	0.824151	0.824742	0.821180	0.822558	0.819571	0.817474	0.814372	0.814445
U.S. Dollar	1.459760	1.460410	1.464950	1.465750	1.466630	1.468020	1.466300	1.470310	1.473580	1.478570	1.473580
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	NA	1.912290	1.918980	1.899130	NA	1.920230	1.915970	1.928020	1.914730	1.913270	1.909770
Bahrain Dinar	NA	0.549116	0.550822	0.551122	0.551453	0.551974	0.551326	0.552837	0.554066	0.555945	0.554066
Botswana Pula	7.985560	7.954310	7.925060	7.940100	7.944960	7.952410	7.947420	7.902760	7.920350	7.925880	7.941680
Brazilian Real	3.488390	NA	NA	NA	NA	3.373220	3.385970	3.402740	3.353710	NA	3.499750
Brunei Dollar	2.425390	2.422250	2.426830	2.416580	2.426250	2.430750	NA	2.426160	2.424040	2.436250	2.436120
Canadian Dollar	NA	NA	NA	1.776490	1.787390	1.781000	1.780380	1.781280	1.772130	1.766450	1.763870
Chilean Peso	820.049000	818.927000	820.459000	819.968000	812.196000	801.481000	799.763000	803.394000	799.431000	798.091000	NA
Colombian Peso	3,369.850000	3,371.250000	NA	3,380.770000	3,384.120000	3,387.730000	3,384.640000	3,389.990000	3,388.870000	3,420.710000	3,401.580000
Czech Koruna	35.927700	NA	35.548500	35.566300	35.234500	35.028400	34.931600	34.874300	34.875200	34.965300	35.028400
Danish Krone	8.912890	8.917580	8.880360	8.877130	8.835330	8.854960	8.847050	8.864230	8.862970	NA	8.886120
Hungarian Forint	292.755000	292.448000	292.564000	290.760000	289.073000	289.112000	288.963000	289.122000	NA	289.150000	290.294000
Icelandic Krona	94.592200	93.656600	92.892800	92.796200	93.234000	93.174900	94.297800	94.364500	94.235600	93.815700	93.940800
Indian Rupee	63.426800	63.469500	63.739700	63.774700	63.798700	63.932100	63.857000	64.002500	64.218700	64.465800	NA
Indonesian Rupiah	14,299.800000	14,279.900000	14,290.600000	14,286.600000	14,277.700000	14,320.500000	14,333.000000	14,387.000000	NA	14,504.800000	14,500.000000
Iranian Rial	13,130.600000	13,136.400000	13,181.600000	13,185.900000	NA	13,207.800000	13,192.300000	13,229.900000	13,259.300000	NA	NA
Israeli New Sheqel	6.593740	6.574790	6.568830	6.570950	6.563190	6.569400	6.623260	6.638480	6.654690	6.692010	6.678240
Kazakhstani Tenge	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Korean Won	1,497.280000	1,499.410000	1,496.440000	1,492.280000	1,484.090000	1,488.430000	1,492.390000	1,491.780000	1,495.540000	1,499.870000	NA
Kuwaiti Dinar	0.426250	0.426441	0.427765	0.427998	NA	0.428662	0.428157	0.429330	0.430285	NA	0.430285
Libyan Dinar	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370
Malaysian Ringgit	5.473810	5.470700	5.488410	NA	5.503550	5.505060	5.496410	5.508970	NA	NA	NA
Mauritian Rupee	43.321700	43.313300	43.355400	43.489600	43.479200	43.635700	43.601700	43.716400	43.682000	43.857900	43.756800
Mexican Peso	15.472600	NA	NA	15.512100	15.534800	15.563600	15.598900	15.566800	15.592700	NA	15.625800
Nepalese Rupee	103.001000	103.025000	103.345000	103.401000	103.464000	103.561000	103.440000	103.723000	103.954000	104.306000	103.953000
New Zealand Dollar	2.150190	2.136360	2.133010	2.121200	2.122480	2.128490	2.116170	2.124420	2.115390	2.092520	2.074870
Norwegian Krone	9.387120	9.379630	9.334540	9.374620	9.349030	9.411060	9.355410	9.380600	9.381390	9.363210	9.468620
Rial Omani	0.561277	0.561530	0.563272	0.563580	0.563920	0.564452	0.563790	0.565336	0.566591	0.568511	0.566591
Pakistani Rupee	87.061000	87.099700	NA	NA	87.498300	NA	NA	NA	NA	88.242600	87.944600
Nuevo Sol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Philippine Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Polish Zloty	4.856630	4.845360	4.882810	4.848390	4.828170	4.822600	4.788630	4.786750	4.789570	4.783640	NA
Qatar Riyal	5.313520	5.315900	5.332420	5.335330	5.338540	5.343590	5.337320	5.351940	5.363830	5.382020	5.363830
Russian Ruble	41.742000	41.742500	41.903400	41.752400	41.677400	41.743900	41.612100	41.746700	NA	41.861700	41.822300
Saudi Arabian Riyal	5.474110	5.476540	5.493570	5.496560	5.499880	5.505060	5.498610	5.513680	5.525930	5.544650	5.525900
Singapore Dollar	2.425390	2.422250	2.426830	2.416580	2.426250	2.430750	NA	2.426160	2.424040	2.436250	2.436120
South African Rand	NA	NA	NA	9.483350	9.437790	9.498120	NA	9.373210	9.408840	9.381570	9.467720
Sri Lanka Rupee	146.896000	146.990000	147.274000	147.303000	147.494000	147.749000	147.679000	148.157000	148.411000	148.959000	148.570000
Swedish Krona	11.262100	11.237900	11.250800	11.158000	11.062100	11.087200	11.049000	11.104500	11.077600	11.022800	11.055500
Swiss Franc	NA	1.860860	1.855500	1.850210	1.850010	NA	1.845920	1.848620	1.844920	1.842300	NA
Thai Baht	60.772900	60.458400	60.582900	60.334400	60.463500	60.503000	60.380600	60.325300	NA	NA	60.377000
Trinidad And Tobago Dollar	NA	NA	9.166910	9.189490	9.174990	9.192700	9.180210	9.225430	9.214890	9.254290	9.241380
Tunisian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
U.A.E. Dirham	5.360980	NA	5.380020	5.382940	5.386220	5.391300	5.384970	5.399710	5.411720	5.430060	5.411720
Peso Uruguayo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bolivar Fuerte	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA

Currency units per SDR for August 2005 Continued

Currency	August 16, 2005	August 17, 2005	August 18, 2005	August 19, 2005	August 22, 2005	August 23, 2005	August 24, 2005	August 25, 2005	August 26, 2005	August 29, 2005	August 30, 2005	August 31, 2005
Chinese Yuan	11.921000	11.910900	11.870000	11.854400	11.887600	11.873400	11.857000	11.901000	11.902000	11.867000	11.822600	11.824400
Euro	1.195230	1.195940	1.199790	1.200570	1.199070	1.198100	1.198700	1.197220	1.194460	1.192850	1.198640	1.196780
Japanese Yen	160.900000	161.023000	161.404000	161.565000	161.618000	161.220000	161.890000	161.394000	162.026000	161.689000	161.994000	162.480000
U.K. Pound Sterling	0.814034	0.812400	0.812433	0.814399	0.814273	0.815328	0.815907	0.815102	0.814870	NA	0.818237	0.818800
U.S. Dollar	1.471690	1.470530	1.465310	1.462660	1.466590	1.465630	1.463740	1.469220	1.470020	1.465900	1.460070	1.459840
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	1.918260	1.922770	1.927530	1.945020	1.947140	1.939440	1.945940	1.938290	1.938320	1.912960	1.950400	1.954010
Bahrain Dinar	0.553357	0.552920	0.550955	0.549958	0.551435	0.551077	0.550367	0.552428	0.552727	0.551177	0.548986	0.548899
Botswana Pula	7.965840	7.974670	NA	7.999230	7.968380	7.993610	7.968060	7.993610	7.976260	7.960330	7.978490	7.988180
Brazilian Real	3.445820	3.446040	3.462380	NA	3.564970	3.520440	NA	NA	NA	3.535890	3.502260	3.482150
Brunei Dollar	2.440950	2.440640	2.432700	2.439270	2.445680	2.444230	2.451030	2.456250	2.460960	2.455380	2.457580	2.458510
Canadian Dollar	1.763090	1.775810	1.785040	1.775520	1.765910	1.756410	1.750340	1.747200	NA	1.754680	1.740980	1.735600
Chilean Peso	791.490000	784.899000	781.977000	789.571000	800.859000	794.256000	796.775000	807.663000	801.533000	798.078000	799.763000	795.640000
Colombian Peso	3,397.220000	3,384.780000	3,374.890000	3,375.000000	3,377.840000	3,377.200000	3,370.390000	3,386.640000	NA	3,381.410000	3,365.680000	3,363.900000
Czech Koruna	35.080700	35.204600	35.284600	35.305600	35.312500	35.534300	35.552800	35.552300	35.381900	35.328200	35.437200	35.385000
Danish Krone	NA	8.920210	8.945580	8.950390	8.940310	8.935510	8.941420	8.928010	8.908450	8.899490	8.939990	8.925860
Hungarian Forint	291.072000	292.151000	291.142000	293.101000	293.361000	293.405000	295.178000	293.860000	293.461000	292.725000	292.802000	292.537000
Icelandic Krona	93.953200	93.864100	93.501600	93.639100	93.817400	93.258400	93.605800	93.266200	NA	92.586600	92.656100	92.305400
Indian Rupee	64.077500	64.027000	63.828800	63.742600	63.928400	64.004100	63.994700	64.293400	64.283900	64.177000	64.272300	64.291300
Indonesian Rupiah	14,562.400000	NA	14,565.200000	14,582.700000	14,651.200000	14,744.300000	14,878.900000	15,162.400000	15,280.900000	15,252.700000	15,768.700000	14,948.700000
Iranian Rial	13,248.200000	13,237.700000	13,193.600000	NA	13,206.600000	13,198.000000	NA	13,227.400000	NA	13,200.400000	13,153.700000	13,151.700000
Israeli New Sheqel	6.657920	NA	6.560170	6.565860	6.602580	6.585100	6.573670	6.618880	6.648890	6.653710	6.656460	6.634950
Kazakhstani Tenge	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Korean Won	1,492.590000	1,494.650000	1,493.440000	1,489.860000	NA	1,502.860000	1,501.940000	1,509.920000	NA	1,507.530000	1,503.870000	1,505.090000
Kuwaiti Dinar	NA	0.429395	0.427870	NA	0.428244	0.427965	0.427413	0.429013	NA	0.428042	0.426339	0.426272
Libyan Dinar	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370
Malaysian Ringgit	NA	5.539490	5.521990	NA	5.523150	5.525140	5.517580	5.538230	NA	5.523950	5.504150	NA
Mauritian Rupee	43.717200	43.735200	43.531800	43.368500	43.660100	NA	NA	43.773800	NA	43.631300	43.413700	43.526700
Mexican Peso	15.571800	15.600600	15.620300	15.760500	15.744700	15.791000	15.928700	15.890100	NA	15.968900	15.823800	15.765500
Nepalese Rupee	103.820000	103.739000	103.370000	NA	103.460000	103.393000	103.625000	104.014000	NA	104.101000	103.730000	104.291000
New Zealand Dollar	2.087210	2.087640	2.092400	2.101220	2.114460	2.100960	2.097650	2.114300	2.105440	2.107090	2.102930	2.124330
Norwegian Krone	9.503900	9.473640	9.531070	9.581110	9.572860	9.594900	9.546540	9.488570	9.467280	9.420010	9.511940	9.413890
Rial Omani	0.565867	0.565419	0.563409	0.562392	0.563901	0.563536	0.562806	0.564917	0.565224	0.563637	0.561397	0.561306
Pakistani Rupee	87.831800	87.762400	87.450800	87.292800	NA	NA	NA	NA	NA	NA	NA	NA
Nuevo Sol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Philippine Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Polish Zloty	NA	4.821140	4.789360	4.837580	4.855850	4.813570	4.820230	4.839330	4.844020	4.842170	4.840550	4.837910
Qatar Riyal	5.356960	5.352750	5.333700	5.324080	5.338370	5.334900	5.328020	5.347970	5.350880	5.335870	5.314650	5.313810
Russian Ruble	41.819800	41.870400	41.751900	41.832400	41.922600	41.842900	41.840100	41.810000	41.822800	41.685400	41.677600	41.688000
Saudi Arabian Riyal	5.518860	5.514500	5.494900	5.484950	5.499700	5.496140	5.489020	5.509580	5.512590	5.497130	5.475250	5.474380
Singapore Dollar	2.440950	2.440640	2.432700	2.439270	2.445680	2.444230	2.451030	2.456250	2.460960	2.455380	2.457580	2.458510
South African Rand	9.492440	9.492260	9.546450	9.529160	9.474180	9.497310	9.470410	9.513210	NA	9.469700	9.490460	9.496230
Sri Lanka Rupee	148.474000	148.364000	147.862000	NA	147.972000	147.862000	147.588000	148.044000	148.207000	147.820000	147.401000	147.686000
Swedish Krona	11.063400	11.176000	11.143700	11.251500	11.270700	11.223100	11.223200	11.140400	NA	11.093200	11.136700	11.186000
Swiss Franc	NA	1.851400	1.853900	1.860210	1.863740	1.861360	1.864660	1.848580	1.848990	1.842780	1.859400	1.854290
Thai Baht	60.452500	60.688800	60.385400	60.387200	60.327800	60.036600	60.185900	60.446700	60.422200	60.375900	60.392700	60.345300
Trinidad And Tobago Dollar	9.243080	9.208440	9.170440	9.123590	9.169260	9.169260	9.160780	9.206320	NA	9.157930	9.115600	NA
Tunisian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
U.A.E. Dirham	5.404790	5.400530	5.381350	5.371610	5.386040	5.382540	5.375590	5.395720	5.398660	5.383520	5.362100	5.361240
Peso Uruguayo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
