Currency units per SDR for September 2005
Currency	September 01, 2005	September 02, 2005	September 05, 2005	September 06, 2005	September 07, 2005	September 08, 2005	September 09, 2005	September 12, 2005	September 13, 2005	September 14, 2005	September 15, 2005
Chinese Yuan	11.925100	12.012100	NA	11.986400	11.975600	11.946600	11.942400	11.910000	11.886900	11.894600	11.858700
Euro	1.189190	1.183450	1.185290	1.186730	1.188530	1.188510	1.188220	1.195280	1.196320	1.193820	1.199450
Japanese Yen	163.227000	163.110000	162.210000	161.991000	162.752000	162.762000	163.080000	161.274000	162.090000	162.663000	162.076000
U.K. Pound Sterling	0.813676	0.807624	0.803871	0.803271	0.804654	0.803865	0.804913	0.805730	0.805380	0.806309	0.810438
U.S. Dollar	1.473160	1.484170	1.486120	1.481400	1.479840	1.475890	1.475170	1.471750	1.468610	1.470070	1.466090
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	1.950690	1.944160	1.932030	1.931670	1.927870	1.917740	1.912330	1.903940	1.905550	1.909420	1.906240
Bahrain Dinar	0.553909	0.558048	0.558781	0.557004	0.556418	0.554936	0.554665	NA	0.552196	0.552746	0.551250
Botswana Pula	7.901140	7.879850	NA	7.907080	7.936890	7.898830	7.873890	7.948940	7.929840	7.912080	7.937640
Brazilian Real	NA	3.504860	3.480650	3.449730	NA	3.432050	NA	NA	3.405550	3.419530	3.414810
Brunei Dollar	2.479480	2.485240	2.484790	2.481040	2.480950	2.475080	2.475630	2.464590	2.464760	2.466770	2.462730
Canadian Dollar	1.745550	1.763490	NA	1.758420	1.755530	1.745100	1.734950	1.744460	1.733250	1.737910	1.738340
Chilean Peso	797.760000	801.526000	NA	792.443000	792.632000	794.799000	787.960000	787.929000	787.656000	791.070000	786.497000
Colombian Peso	3,392.370000	3,411.870000	3,411.110000	3,400.260000	3,383.810000	3,364.960000	3,377.110000	3,392.510000	3,387.650000	3,373.830000	3,357.370000
Czech Koruna	34.883100	34.670200	34.443800	34.575800	34.754000	34.658400	34.647300	34.898000	35.064500	34.906700	35.130400
Danish Krone	8.869490	8.824570	8.837510	8.848380	8.863360	8.862030	8.857400	8.910990	8.920050	8.901550	8.943100
Hungarian Forint	290.139000	287.646000	288.159000	290.117000	289.027000	289.851000	290.786000	291.950000	293.236000	293.984000	294.215000
Icelandic Krona	91.277500	90.578900	91.054800	91.683400	91.705300	92.051400	92.891000	92.058100	91.582600	91.659000	91.117000
Indian Rupee	64.995800	65.229000	65.003000	64.973900	NA	64.732900	64.627000	64.492000	64.442500	64.565300	64.419700
Indonesian Rupiah	15,394.600000	NA	NA	15,332.400000	15,308.900000	15,290.300000	15,209.000000	14,879.400000	14,840.300000	14,706.600000	14,682.900000
Iranian Rial	13,270.300000	NA	13,385.500000	13,345.900000	13,334.800000	13,302.200000	NA	13,273.700000	13,248.300000	13,263.000000	13,230.000000
Israeli New Sheqel	6.626290	6.660940	6.654870	6.652960	6.651860	6.650400	6.648580	6.640550	6.642490	6.655000	NA
Kazakhstani Tenge	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Korean Won	1,528.550000	1,537.150000	1,529.810000	1,517.540000	1,515.800000	1,511.910000	1,513.080000	1,511.930000	1,504.440000	1,509.320000	1,502.150000
Kuwaiti Dinar	NA	NA	0.433947	0.432567	0.432113	0.430962	NA	0.429751	0.428833	0.429260	0.428097
Libyan Dinar	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370
Malaysian Ringgit	5.555740	5.586400	5.587530	5.576720	5.577490	5.563380	5.560650	5.547450	5.535900	NA	5.525690
Mauritian Rupee	43.924000	44.187600	44.420400	44.355300	44.379200	NA	44.112500	44.096800	NA	NA	NA
Mexican Peso	15.797300	15.856900	15.855300	15.831400	15.836500	15.810700	15.796100	15.746800	15.781100	15.928900	15.844000
Nepalese Rupee	105.250000	106.036000	NA	105.335000	NA	104.855000	104.803000	104.560000	104.337000	104.441000	104.378000
New Zealand Dollar	2.118440	2.103410	2.104690	2.089710	2.086340	2.095550	2.092740	2.079330	2.086380	2.084910	2.069870
Norwegian Krone	9.328530	9.210140	9.274890	9.288500	9.278250	9.257890	9.265690	9.324970	9.356460	9.328450	9.345530
Rial Omani	0.566431	0.570662	0.571412	0.569596	0.568997	0.567482	0.567202	NA	0.564678	0.565240	0.563711
Pakistani Rupee	NA	88.616300	NA	NA	NA	NA	NA	NA	NA	NA	NA
Nuevo Sol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Philippine Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Polish Zloty	4.739310	4.691310	4.659720	4.695870	4.639600	4.669430	4.698120	4.696490	4.702920	4.709520	4.668600
Qatar Riyal	5.362300	5.402370	5.409470	5.392290	5.386600	5.372270	5.369620	5.357160	5.345740	5.351060	5.336550
Russian Ruble	41.931700	42.007500	41.905200	41.791300	41.733600	41.703200	41.676000	41.733800	41.687300	41.626400	41.513800
Saudi Arabian Riyal	5.524370	5.565640	5.572960	5.555250	5.549390	5.534620	5.531890	5.519070	5.507280	5.512740	5.497830
Singapore Dollar	2.479480	2.485240	2.484790	2.481040	2.480950	2.475080	2.475630	NA	2.464760	2.466770	2.462730
South African Rand	9.376730	9.276090	9.265950	9.340210	9.396990	9.312890	9.278850	9.382360	9.377080	9.327580	9.346320
Sri Lanka Rupee	149.163000	150.391000	150.642000	150.153000	150.008000	149.600000	149.598000	149.321000	148.952000	148.936000	148.556000
