Currency units per SDR for March 2006
Currency	March 01, 2006	March 02, 2006	March 03, 2006	March 06, 2006	March 07, 2006	March 08, 2006	March 09, 2006	March 10, 2006	March 13, 2006	March 14, 2006	March 15, 2006
Chinese Yuan	11.562600	11.556500	11.585500	11.582800	11.523200	11.534500	11.547900	11.535300	11.524600	11.541100	11.570200
Euro	1.203200	1.205840	1.199120	1.199110	1.202720	1.203040	1.203760	1.202370	1.200790	1.200300	1.196820
Japanese Yen	166.585000	167.078000	167.772000	168.594000	168.468000	168.699000	168.957000	169.607000	170.157000	169.986000	169.117000
U.K. Pound Sterling	0.819128	0.822971	0.821092	0.820742	0.825198	0.824633	0.825450	0.825232	0.829277	0.826631	0.824477
U.S. Dollar	1.438310	1.437480	1.441340	1.440970	1.432790	1.433300	1.434880	1.433100	1.431580	1.434120	1.439290
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	1.935810	1.928470	1.935470	1.935230	1.941450	1.952190	1.949830	1.951120	1.952240	1.955170	1.947360
Bahrain Dinar	NA	0.540491	0.541944	0.541806	0.538729	0.538921	0.539514	0.538845	0.538274	0.539229	0.541172
Botswana Pula	7.838220	7.816650	7.829140	7.900080	7.946730	7.945150	7.914400	7.913330	7.896210	7.932040	7.890850
Brazilian Real	3.070360	3.043570	3.044970	3.047220	NA	3.106540	3.123730	NA	3.069160	3.060550	3.060080
Brunei Dollar	2.329630	2.327280	2.334400	2.339130	2.330440	2.338280	2.341290	2.335810	2.330180	2.330730	2.334820
Canadian Dollar	1.635210	NA	NA	1.643000	NA	NA	1.663740	1.663110	1.663210	1.656410	1.662810
Chilean Peso	744.081000	742.815000	747.032000	752.593000	752.547000	758.662000	766.055000	760.329000	760.584000	763.068000	763.685000
Colombian Peso	NA	NA	NA	3,251.080000	NA	NA	NA	NA	NA	3,246.070000	NA
Czech Koruna	33.997300	34.155900	34.187200	34.224500	34.604800	34.650000	34.536100	34.599300	34.631300	34.563700	34.412000
Danish Krone	8.976340	8.995880	8.947590	8.947990	8.971990	8.973040	8.979640	8.969740	8.957840	8.955360	8.930330
Hungarian Forint	305.094000	304.961000	305.132000	304.175000	306.517000	306.956000	308.886000	310.811000	311.096000	318.704000	NA
Icelandic Krona	93.072600	94.355600	94.970400	95.147500	95.553000	98.868900	98.906100	100.905000	102.601000	101.636000	100.865000
Indian Rupee	63.788900	63.737700	63.937800	63.863900	63.515900	63.667100	63.923900	63.773100	63.748300	63.775100	NA
Indonesian Rupiah	13,189.300000	13,224.800000	13,253.100000	13,252.600000	13,174.500000	13,301.000000	13,444.800000	13,335.000000	13,234.900000	13,208.200000	13,159.400000
Iranian Rial	NA	13,125.600000	NA	13,159.000000	13,087.100000	13,096.100000	13,110.500000	NA	13,083.200000	13,106.400000	13,153.700000
Israeli New Sheqel	6.764340	6.759040	6.767090	6.766820	6.747050	6.753700	6.759730	6.752790	6.752740	NA	NA
Kazakhstani Tenge	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Korean Won	NA	1,395.220000	1,397.810000	1,396.300000	1,394.540000	1,399.900000	1,409.770000	1,406.160000	1,406.670000	1,407.730000	1,406.910000
Kuwaiti Dinar	0.419986	0.419743	NA	0.420764	0.418375	0.418524	0.418985	NA	0.418020	0.418762	0.420272
Libyan Dinar	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370
Malaysian Ringgit	5.338290	5.332030	NA	5.340680	5.314650	5.327850	5.344940	5.336860	5.323310	5.333480	5.336180
Mauritian Rupee	44.265600	44.254400	44.324500	44.283800	NA	44.027100	44.067000	44.087800	NA	43.962200	NA
Mexican Peso	15.055200	NA	NA	15.291300	NA	NA	15.366700	15.352100	15.335900	15.336700	15.352500
Nepalese Rupee	103.127000	102.708000	102.984000	102.950000	102.366000	102.402000	102.515000	102.746000	102.637000	NA	103.190000
New Zealand Dollar	2.173980	2.160970	2.157700	2.165570	2.180480	2.209150	2.199720	2.219800	2.226750	2.242210	2.241890
Norwegian Krone	9.660530	9.658100	NA	9.567730	9.606700	9.633350	9.658290	9.586990	9.576800	9.554380	9.536160
Rial Omani	0.553030	0.552709	0.554195	0.554053	0.550910	0.551104	0.551712	0.551028	0.550443	0.551417	0.553406
Pakistani Rupee	86.206900	86.157100	86.384900	86.362500	85.872300	85.903300	85.997800	85.934300	85.842800	85.995600	86.305900
Nuevo Sol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Philippine Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Polish Zloty	4.548950	4.539550	4.564730	4.562130	4.634650	4.651490	4.660200	4.678080	4.674380	4.718250	4.645590
Qatar Riyal	5.235440	5.232420	5.246480	5.245130	5.215370	5.217220	5.222970	5.216480	5.210940	5.220190	5.239000
Russian Ruble	40.308000	40.289400	40.257300	40.175800	40.110400	NA	40.176600	40.156000	40.095400	40.145200	40.074400
Saudi Arabian Riyal	5.393660	5.390540	5.405030	5.403650	5.372960	5.374870	5.380800	5.374120	5.368410	5.377930	5.397320
Singapore Dollar	2.329630	2.327280	2.334400	2.339130	2.330440	2.338280	2.341290	2.335810	2.330180	2.330730	2.334820
South African Rand	NA	8.811740	8.828230	8.955680	NA	NA	8.975130	NA	NA	8.999120	8.945180
Sri Lanka Rupee	147.652000	147.428000	147.693000	147.764000	146.975000	147.110000	147.342000	147.166000	146.983000	NA	147.843000
Swedish Krona	11.373400	11.392000	11.325300	11.264800	11.340600	11.387600	11.349900	11.307200	11.245000	11.239900	11.204900
Swiss Franc	1.881590	1.884250	1.874030	1.869230	1.879400	1.878200	1.881840	1.883810	1.884390	1.880840	1.873810
Thai Baht	NA	NA	NA	NA	55.761600	54.657400	NA	56.047200	56.040600	56.168700	56.402900
Trinidad And Tobago Dollar	9.020960	9.070950	NA	9.058790	NA	9.035550	8.998390	9.003330	NA	8.998070	9.066270
Tunisian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
U.A.E. Dirham	5.282200	5.279130	5.293330	5.291960	5.261940	5.263800	5.269590	5.263050	5.257460	5.266790	5.285800
Peso Uruguayo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bolivar Fuerte	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA

Currency units per SDR for March 2006 Continued

Currency	March 16, 2006	March 17, 2006	March 20, 2006	March 21, 2006	March 22, 2006	March 23, 2006	March 24, 2006	March 27, 2006	March 28, 2006	March 29, 2006	March 30, 2006	March 31, 2006
Chinese Yuan	11.578700	11.627300	11.616800	11.602700	11.580900	11.567500	11.525400	11.558200	11.564300	11.542900	11.563900	11.551300
Euro	1.193990	1.188540	1.189070	1.190240	1.194880	1.195020	1.198610	1.197810	1.193080	1.197000	1.190990	1.190390
Japanese Yen	169.566000	169.009000	168.150000	NA	169.158000	168.334000	169.256000	168.019000	168.478000	169.405000	169.633000	169.155000
U.K. Pound Sterling	0.825096	0.824974	0.825771	0.826289	0.825471	0.827363	0.828253	0.824906	0.824872	0.827671	0.828610	0.830510
U.S. Dollar	1.441030	1.448240	1.447570	1.445430	1.442100	1.440600	1.434620	1.440370	1.441710	1.437830	1.440620	1.440850
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	1.953410	1.967980	1.996100	2.006700	2.009890	2.006970	2.017460	2.034700	2.029720	2.047900	2.028190	2.012640
Bahrain Dinar	0.541826	0.544538	0.544289	0.543481	0.542229	0.541668	0.539415	0.541580	0.542085	0.540625	0.541674	0.541759
Botswana Pula	7.917720	7.909520	7.980020	8.003460	8.042920	7.967940	7.987860	7.949060	7.965270	8.014680	7.937330	7.908010
Brazilian Real	3.055990	NA	3.065960	3.090030	3.112480	3.103780	3.084140	3.114070	NA	3.196310	3.201070	3.161800
Brunei Dollar	2.332010	2.343250	2.340730	2.335800	2.335190	2.330030	2.325080	2.328070	2.334420	2.330870	2.334670	2.331720
Canadian Dollar	1.662510	1.678220	1.683240	1.683490	1.680480	1.679600	1.674770	1.683360	1.686510	1.685720	1.675010	1.681610
Chilean Peso	759.682000	762.596000	762.439000	765.755000	769.373000	766.471000	761.998000	768.480000	771.313000	770.909000	770.458000	760.335000
Colombian Peso	3,256.050000	3,270.130000	NA	3,262.330000	NA	3,260.530000	3,250.110000	3,265.240000	NA	NA	3,294.310000	3,299.500000
Czech Koruna	34.323800	33.920600	33.994900	34.005000	34.258500	34.280600	34.396300	34.339800	34.273800	34.374300	34.079300	34.037100
Danish Krone	8.909160	8.868390	8.872880	8.882570	8.915760	8.916630	8.942780	8.937750	8.902260	8.931680	8.886910	8.883120
Hungarian Forint	312.054000	308.373000	311.503000	314.235000	318.632000	314.152000	317.136000	315.786000	318.359000	320.191000	317.340000	315.833000
Icelandic Krona	100.454000	99.174900	100.577000	100.949000	103.788000	102.629000	105.401000	104.744000	103.659000	102.776000	101.319000	102.113000
Indian Rupee	63.995900	64.330600	64.330200	64.147800	64.130100	64.178700	64.070100	64.326900	64.386900	64.256600	NA	NA
Indonesian Rupiah	13,175.300000	13,280.300000	13,216.300000	13,196.700000	13,151.900000	13,095.100000	13,069.300000	13,100.200000	13,018.700000	13,048.300000	NA	NA
Iranian Rial	13,169.600000	NA	NA	NA	NA	NA	NA	13,169.300000	NA	NA	NA	NA
Israeli New Sheqel	6.764210	6.757490	6.742820	6.734230	6.734600	6.729070	6.715420	6.748140	NA	6.762150	6.732010	6.721560
Kazakhstani Tenge	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	185.077000
Korean Won	1,404.570000	1,411.160000	1,406.900000	1,400.760000	1,394.940000	1,399.540000	1,396.880000	1,412.710000	1,407.540000	1,403.040000	1,409.070000	1,406.120000
Kuwaiti Dinar	0.420780	NA	0.422692	0.422064	0.421093	0.420656	NA	0.420587	0.420980	0.419847	0.420661	NA
Libyan Dinar	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370
Malaysian Ringgit	5.336830	5.364260	NA	NA	5.324220	5.315810	5.303040	5.318550	5.326400	5.314230	5.322380	5.310960
Mauritian Rupee	44.240000	44.471500	44.548000	44.467400	44.425500	NA	44.083000	44.275000	44.366200	44.285400	NA	44.363000
Mexican Peso	15.305500	15.479500	15.571300	NA	NA	15.646700	15.575300	15.747400	15.805900	15.745700	NA	15.695900
Nepalese Rupee	103.264000	103.614000	103.480000	103.413000	103.175000	103.068000	102.998000	103.627000	103.724000	NA	NA	103.662000
New Zealand Dollar	2.227250	2.263220	2.283600	2.318240	2.309200	2.303860	2.325900	2.363190	2.378670	2.378160	2.380800	2.349720
Norwegian Krone	9.551280	9.480470	9.457250	9.465930	9.491450	9.520820	9.551650	9.542990	9.471220	9.510130	9.500470	9.484340
Rial Omani	0.554075	0.556846	0.556591	0.555766	0.554487	0.553912	0.551608	0.553820	0.554339	0.552847	0.553918	0.554004
Pakistani Rupee	86.409500	87.146000	87.105700	NA	NA	NA	86.168300	86.513400	86.594300	86.361000	86.528400	86.417700
Nuevo Sol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Philippine Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Polish Zloty	4.628300	4.554710	4.619070	4.641250	4.680770	4.648680	4.679280	4.657420	4.711510	4.745990	4.698010	4.681450
Qatar Riyal	5.245350	5.271590	5.269180	5.261360	5.249230	5.243780	5.221990	5.242930	5.247830	5.233710	NA	5.244660
Russian Ruble	40.085300	40.120200	40.042100	40.042100	40.001300	40.002700	39.949700	40.003400	40.082200	39.977900	39.995400	39.910900
Saudi Arabian Riyal	5.403860	5.430890	5.428410	5.420350	5.407860	5.402250	5.379810	5.401380	5.406430	5.391880	5.402340	5.403160
Singapore Dollar	2.332010	2.343250	2.340730	2.335800	2.335190	2.330030	2.325080	2.328070	2.334420	2.330870	2.334670	2.331720
South African Rand	8.970380	8.950070	NA	NA	NA	NA	9.088270	8.987880	NA	9.108710	8.975050	8.940470
Sri Lanka Rupee	148.082000	148.842000	148.770000	148.558000	148.088000	147.759000	147.166000	147.892000	148.134000	147.765000	148.101000	148.120000
Swedish Krona	11.186000	11.126100	11.095700	11.176700	11.205100	11.168300	11.211500	11.202500	11.227300	11.276200	11.269300	11.159300
Swiss Franc	1.868730	1.868950	1.869690	1.874430	1.879340	1.885170	1.891830	1.883710	1.880570	1.882550	1.880300	1.881310
Thai Baht	56.354200	NA	56.087800	56.068000	56.158300	NA	56.007300	56.376100	56.127400	55.897100	56.174100	56.007000
Trinidad And Tobago Dollar	9.088840	9.106970	9.112610	9.060680	9.052070	9.061420	NA	NA	9.097030	9.091240	NA	NA
Tunisian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
U.A.E. Dirham	5.292180	5.318640	5.316210	5.308330	5.296110	5.290610	5.268620	5.289750	5.294680	5.280440	5.290670	5.291510
Peso Uruguayo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
