Currency units per SDR for May 2006
Currency	May 01, 2006	May 02, 2006	May 03, 2006	May 04, 2006	May 05, 2006	May 08, 2006	May 09, 2006	May 10, 2006	May 11, 2006	May 12, 2006	May 15, 2006
Chinese Yuan	NA	NA	NA	NA	NA	11.925400	11.887400	11.935700	11.906400	12.020400	11.945200
Euro	NA	1.168840	1.171130	1.172270	1.166900	1.167300	1.169350	1.166810	1.169510	1.162310	1.164420
Japanese Yen	167.013000	167.948000	NA	NA	NA	166.217000	165.354000	165.776000	165.222000	165.336000	163.760000
U.K. Pound Sterling	NA	0.805581	0.804376	0.801462	0.800519	0.799079	0.800090	0.800916	0.797658	0.791590	0.794534
U.S. Dollar	1.476680	1.477760	1.478200	1.476130	1.480560	1.489000	1.484720	1.491060	1.487150	1.501010	1.493480
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	1.939430	1.954450	1.926240	1.923300	1.927560	NA	1.930970	1.931430	1.928100	1.932050	1.938580
Bahrain Dinar	0.555232	0.555639	0.555803	0.555025	0.556691	0.559863	0.558257	0.560639	0.559168	0.564379	0.561552
Botswana Pula	NA	7.944960	7.951590	7.983390	7.951460	7.996800	8.003910	8.007880	8.012630	8.153220	8.320230
Brazilian Real	NA	NA	3.061340	NA	3.058680	3.064210	NA	3.076660	NA	3.133060	3.180980
Brunei Dollar	NA	2.334860	2.325940	2.326230	2.336320	2.329990	2.333390	2.335600	2.334230	NA	2.344170
Canadian Dollar	1.643990	1.635730	1.636660	1.633780	1.639270	1.655320	1.636310	1.641210	1.634380	1.663870	1.663740
Chilean Peso	NA	761.000000	762.555000	763.219000	761.690000	764.421000	762.404000	768.805000	762.550000	770.766000	771.159000
Colombian Peso	NA	NA	3,518.560000	3,509.620000	3,525.740000	3,529.880000	3,490.670000	3,487.240000	3,464.090000	3,521.450000	3,548.310000
Czech Koruna	NA	33.212700	33.098300	33.206900	33.007500	NA	33.076700	32.992700	33.016200	32.848100	33.089700
Danish Krone	8.716420	8.715960	8.733170	8.741790	8.701550	8.704890	8.720370	8.701860	8.721060	NA	8.679950
Hungarian Forint	NA	308.705000	306.741000	306.016000	303.721000	302.237000	303.344000	303.893000	304.776000	307.676000	312.064000
Icelandic Krona	NA	108.837000	109.860000	106.621000	106.408000	106.508000	105.029000	104.837000	104.680000	106.482000	106.351000
Indian Rupee	NA	66.351700	66.312100	66.381700	66.447400	66.826600	66.753000	66.993600	67.025900	67.620600	67.789300
Indonesian Rupiah	12,972.600000	12,960.000000	12,959.300000	12,953.000000	13,006.700000	13,006.400000	13,006.200000	13,009.500000	12,997.700000	13,088.800000	13,284.600000
Iranian Rial	13,507.200000	13,520.000000	13,524.000000	13,506.600000	NA	13,624.400000	NA	13,644.700000	13,610.400000	NA	13,669.900000
Israeli New Sheqel	6.621420	6.636620	NA	6.636670	6.619580	6.600750	6.604060	6.602400	6.610390	6.649470	6.660940
Kazakhstani Tenge	NA	183.863000	183.829000	183.630000	183.604000	183.564000	183.037000	183.818000	182.726000	183.904000	181.832000
Korean Won	NA	1,395.160000	1,392.310000	1,381.360000	NA	1,398.320000	1,381.830000	1,391.310000	1,385.580000	1,402.690000	1,394.470000
Kuwaiti Dinar	0.431191	0.431507	0.431634	0.431029	0.432322	0.434788	0.433539	0.435390	0.429995	0.433941	0.431766
Libyan Dinar	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370
Malaysian Ringgit	NA	5.341820	5.334810	5.334730	5.339630	5.354900	5.339510	5.343960	5.327710	NA	5.380280
Mauritian Rupee	NA	45.557000	45.499200	45.413300	45.532600	45.784400	45.723900	45.914900	45.907100	46.329100	46.124400
Mexican Peso	NA	16.303100	16.202200	16.192200	16.225000	16.286900	16.221800	16.166800	16.117900	16.559900	16.657100
Nepalese Rupee	107.133000	107.212000	107.110000	106.754000	107.148000	NA	107.271000	107.863000	107.580000	108.793000	108.278000
New Zealand Dollar	2.317450	2.330120	2.307880	2.306090	2.313010	2.317510	2.345170	2.365640	2.380580	2.379150	2.381950
Norwegian Krone	NA	9.087600	9.089750	9.082730	9.063230	9.089170	9.120340	9.062490	9.076550	9.024780	9.069060
Rial Omani	0.567785	0.568198	0.568366	0.567572	0.569275	0.572521	0.570877	0.573312	0.571808	0.577137	0.574244
Pakistani Rupee	88.676100	88.740600	88.766600	88.643100	88.932400	89.439800	89.183000	89.563200	89.328000	90.138800	89.686900
Nuevo Sol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Philippine Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Polish Zloty	NA	NA	NA	4.488310	4.460780	4.456430	4.477480	4.488690	4.470370	4.504830	4.571260
Qatar Riyal	5.375130	5.379060	5.380630	5.373110	5.389240	5.419970	5.404380	5.427470	5.413220	5.463670	5.436290
Russian Ruble	NA	40.257800	40.146300	40.163200	40.161300	NA	NA	40.312200	40.265300	40.441800	40.202600
Saudi Arabian Riyal	5.537560	5.541610	5.543240	5.535470	5.552100	5.583750	5.567710	5.591500	5.576810	5.628790	5.600580
Singapore Dollar	NA	2.334860	2.325940	2.326230	2.336320	2.329990	2.333390	2.335600	2.334230	NA	2.344170
South African Rand	NA	8.933040	8.950470	8.967480	8.949990	8.993530	9.027140	NA	9.049280	9.268700	9.573230
Sri Lanka Rupee	NA	151.911000	151.993000	151.794000	152.286000	153.163000	152.739000	153.373000	152.920000	NA	153.573000
Swedish Krona	NA	10.931700	10.901700	10.919700	10.896900	10.873400	10.920100	10.862400	10.919400	10.897300	10.872600
Swiss Franc	NA	1.827100	1.828380	1.829960	1.822860	1.818970	1.825470	1.817600	1.823540	1.801960	1.808610
Thai Baht	NA	55.451400	55.624500	55.443400	NA	NA	55.732000	56.166800	55.955300	NA	56.434400
Trinidad And Tobago Dollar	9.320790	9.260720	9.226620	NA	9.334190	9.361630	9.347540	9.399820	9.336020	NA	9.367860
Tunisian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
U.A.E. Dirham	5.423110	5.427080	5.428680	5.421080	5.437350	5.468370	5.452650	5.475910	5.461560	5.512470	5.484830
Peso Uruguayo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bolivar Fuerte	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA

Currency units per SDR for May 2006 Continued

Currency	May 16, 2006	May 17, 2006	May 18, 2006	May 19, 2006	May 22, 2006	May 23, 2006	May 24, 2006	May 25, 2006	May 26, 2006	May 29, 2006	May 30, 2006	May 31, 2006
Chinese Yuan	11.974800	12.011600	11.962100	11.936900	11.943600	11.976300	11.990200	11.946600	11.957800	NA	11.991400	11.981500
Euro	1.165680	1.164660	1.168290	1.166540	1.167360	1.163270	1.162920	1.166860	1.164880	1.165560	1.163350	1.161160
Japanese Yen	164.345000	164.285000	165.154000	164.942000	166.888000	166.076000	167.934000	167.810000	166.497000	167.067000	168.256000	167.707000
U.K. Pound Sterling	0.794243	0.790851	0.790708	0.793966	0.793317	0.793367	0.792908	0.795134	0.796445	0.799003	0.795241	0.794818
U.S. Dollar	1.494050	1.500320	1.491910	1.489320	1.488740	1.493750	1.494470	1.488330	1.490700	1.487030	1.493620	1.494180
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	1.958640	1.950500	1.963040	1.951160	1.983130	1.981630	1.988920	1.979170	1.964030	1.962550	1.960900	1.956760
Bahrain Dinar	0.561763	0.564121	0.560956	0.559983	0.559766	0.561653	0.561921	0.559613	0.560504	0.559122	0.561599	0.561814
Botswana Pula	8.300270	8.298200	8.367430	8.338820	8.482840	8.410780	8.530090	NA	8.450660	NA	8.476800	8.523550
Brazilian Real	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.470540
Brunei Dollar	2.362690	2.358060	2.355570	2.354760	2.368730	2.364170	2.375310	2.360650	2.353520	2.347720	2.357380	2.355420
Canadian Dollar	1.660190	1.669110	1.672880	1.672950	NA	1.669420	1.678150	1.648030	1.650660	NA	1.642380	1.647780
Chilean Peso	779.478000	778.319000	777.732000	778.495000	779.818000	790.808000	789.578000	793.166000	788.047000	NA	785.318000	793.575000
Colombian Peso	3,621.980000	3,617.210000	3,633.580000	3,649.770000	NA	NA	NA	3,748.130000	NA	NA	3,697.830000	3,709.170000
Czech Koruna	33.002100	32.836000	33.151700	32.998800	33.026200	32.834300	32.811200	32.944300	32.811800	32.875200	NA	32.742000
Danish Krone	8.691040	8.683120	8.707080	8.696860	8.703600	8.672730	8.671070	NA	8.687640	8.692250	8.675360	8.659660
Hungarian Forint	309.178000	304.550000	309.616000	306.696000	308.898000	306.205000	305.545000	305.331000	303.611000	NA	303.832000	305.052000
Icelandic Krona	106.287000	104.692000	105.821000	106.680000	106.713000	108.506000	108.439000	NA	108.195000	107.958000	107.526000	107.163000
Indian Rupee	68.143600	68.024400	67.851800	67.704300	68.005500	67.995800	68.342400	68.240300	68.348500	68.358800	68.990300	69.374600
Indonesian Rupiah	13,707.900000	13,592.900000	13,770.300000	NA	13,808.000000	13,921.800000	13,913.500000	NA	NA	NA	NA	13,776.300000
Iranian Rial	13,678.000000	13,733.900000	13,659.900000	NA	13,635.300000	13,678.300000	13,687.900000	13,633.100000	NA	13,622.600000	13,681.500000	13,685.200000
Israeli New Sheqel	6.651500	6.650930	6.659870	6.640860	6.678470	6.709920	6.744540	6.730250	6.727530	NA	6.746680	6.750690
Kazakhstani Tenge	180.780000	182.664000	182.445000	181.771000	180.763000	181.671000	183.372000	182.455000	182.387000	NA	182.147000	181.513000
Korean Won	1,404.710000	1,420.350000	1,398.810000	1,406.660000	1,406.560000	1,419.220000	1,415.560000	1,413.020000	1,414.970000	NA	1,415.050000	NA
Kuwaiti Dinar	0.431930	0.433744	0.431310	0.430561	0.430394	0.431844	0.432053	0.430278	0.430962	NA	NA	0.431967
Libyan Dinar	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370
Malaysian Ringgit	5.403210	5.380160	5.393250	5.380910	5.410080	5.421580	5.443630	5.432420	5.434340	5.405350	5.409150	5.422380
Mauritian Rupee	46.127200	46.189800	45.946200	45.810600	45.897500	46.005100	46.111600	45.812300	NA	45.873900	46.064500	46.019300
Mexican Peso	16.511900	16.703100	16.710800	16.667700	16.792800	16.720300	16.865700	16.683800	16.602400	NA	NA	16.879200
Nepalese Rupee	109.230000	110.003000	108.760000	NA	108.961000	109.582000	109.635000	109.169000	NA	109.445000	110.214000	110.794000
New Zealand Dollar	2.411310	2.395920	2.395480	2.395560	2.400800	2.401150	2.394610	2.341250	2.326310	2.341400	2.351040	2.337580
Norwegian Krone	9.134340	NA	9.158180	9.104810	9.112450	9.100260	9.098020	NA	9.112950	9.114110	9.103160	9.075070
Rial Omani	0.574462	0.576874	0.573638	0.572643	0.572420	0.574350	0.574623	0.572266	0.573174	0.571762	0.574297	0.574511
Pakistani Rupee	89.720700	90.097400	89.592100	89.312800	NA	NA	NA	NA	89.718300	NA	NA	89.928100
Nuevo Sol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Philippine Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Polish Zloty	4.577770	4.506820	4.606260	4.591260	4.618510	4.606890	4.609250	4.591520	4.567820	4.572160	4.574650	4.582800
Qatar Riyal	5.438330	5.461170	5.430530	5.421110	5.419000	5.437260	5.439900	5.417530	5.426140	5.412780	5.436760	5.438830
Russian Ruble	40.370600	40.444100	40.380400	40.209700	40.339700	40.312800	40.375800	40.241800	40.301000	NA	40.303700	40.246500
Saudi Arabian Riyal	5.602680	5.626200	5.594660	5.584940	5.582760	5.601580	5.604280	5.581260	5.590120	5.576340	5.601080	5.603180
Singapore Dollar	2.362690	2.358060	2.355570	2.354760	2.368730	2.364170	2.375310	2.360650	2.353520	2.347720	2.357380	2.355420
South African Rand	9.547000	9.422050	9.622790	9.554020	NA	9.716850	9.908350	9.822990	NA	9.628530	9.798160	9.921320
Sri Lanka Rupee	153.718000	154.406000	153.544000	153.314000	153.288000	153.821000	153.861000	153.188000	153.498000	153.104000	153.766000	153.871000
Swedish Krona	10.981300	10.922300	10.980400	10.898100	10.957100	10.844700	10.872300	NA	10.852300	10.855300	10.798900	10.743200
Swiss Franc	1.810790	1.806390	1.811170	1.816370	1.808520	1.805650	1.800840	NA	1.814180	1.818930	1.809070	1.808710
Thai Baht	56.751400	57.384200	56.497200	56.883100	56.698700	57.296100	57.217400	57.298100	57.160800	56.846000	NA	57.074700
Trinidad And Tobago Dollar	9.388170	9.414070	9.343960	9.337770	9.348240	9.397700	9.408310	9.390020	NA	9.396200	9.420280	NA
Tunisian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
U.A.E. Dirham	5.486910	5.509920	5.479030	5.469530	5.467380	5.485820	5.488440	5.465910	5.474590	5.461110	5.485310	5.487390
Peso Uruguayo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
