Currency units per SDR for August 2006
Currency	August 01, 2006	August 02, 2006	August 03, 2006	August 04, 2006	August 07, 2006	August 08, 2006	August 09, 2006	August 10, 2006	August 11, 2006	August 14, 2006	August 15, 2006
Chinese Yuan	11.834900	11.851400	11.837500	11.856800	11.893400	11.888300	11.914000	11.881100	11.841900	11.846900	11.847700
Euro	1.163390	1.161610	1.161180	1.161920	1.161310	1.161210	1.159600	1.159640	1.162690	1.165430	1.164540
Japanese Yen	170.184000	170.129000	170.301000	171.151000	170.942000	171.601000	172.747000	172.011000	171.334000	172.350000	172.713000
U.K. Pound Sterling	0.794932	0.792827	0.792111	0.786250	0.781592	0.782246	0.782197	0.784129	0.783736	0.784855	0.785312
U.S. Dollar	1.484370	1.486620	1.484100	1.486330	1.492290	1.490880	1.493450	1.490950	1.485340	1.482200	1.481880
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	1.945440	1.937730	1.942540	1.951080	NA	1.956540	1.970770	1.936040	1.932780	1.931200	1.951130
Bahrain Dinar	0.558123	0.558971	0.558020	0.558862	0.561101	0.560573	0.561536	0.560598	0.558488	0.557305	0.557187
Botswana Pula	8.856610	8.807000	8.771310	8.727760	8.737060	8.746760	8.698000	8.698680	8.696410	8.760020	8.773700
Brazilian Real	3.229110	NA	3.237270	3.244210	NA	3.247890	3.260350	3.232230	3.211300	3.202740	3.200420
Brunei Dollar	2.341890	2.347230	2.344580	2.343950	2.345430	2.345750	NA	2.341980	2.339860	2.340240	2.343160
Canadian Dollar	1.679570	1.673790	1.671540	1.675100	NA	1.670390	1.672510	1.679260	1.664180	1.665990	1.662820
Chilean Peso	801.590000	806.419000	803.271000	807.213000	808.492000	809.999000	814.246000	810.655000	810.045000	803.174000	802.987000
Colombian Peso	3,601.860000	3,622.060000	3,605.240000	3,590.250000	NA	NA	3,566.550000	3,524.330000	3,510.690000	3,515.430000	3,516.430000
Czech Koruna	33.134200	33.071400	33.021200	32.950600	32.830400	32.802500	32.579600	32.535500	32.555700	32.761000	32.724400
Danish Krone	8.681230	8.666860	8.663560	8.669640	8.664990	8.664230	8.651270	8.651640	8.674530	8.695050	8.688400
Hungarian Forint	317.077000	318.048000	316.396000	316.767000	313.366000	313.891000	312.788000	312.786000	313.363000	316.494000	320.976000
Icelandic Krona	107.647000	106.249000	105.267000	105.084000	NA	105.555000	106.035000	105.395000	105.370000	105.710000	105.317000
Indian Rupee	69.245800	69.217100	69.337100	69.174000	69.376500	69.460400	69.490300	69.224800	69.098000	69.011200	NA
Indonesian Rupiah	13,485.500000	13,528.300000	13,549.800000	13,510.800000	13,520.100000	13,537.200000	13,582.900000	13,530.400000	13,449.800000	13,473.200000	13,485.100000
Iranian Rial	13,632.500000	13,653.200000	13,632.900000	NA	13,703.700000	NA	13,717.300000	13,692.900000	NA	13,616.900000	13,614.100000
Israeli New Sheqel	6.531250	6.553040	NA	6.547290	6.560090	6.506220	6.515930	6.543770	6.517670	6.487570	6.477310
Kazakhstani Tenge	175.765000	176.432000	176.727000	177.528000	179.612000	181.217000	182.723000	182.731000	182.014000	181.688000	181.649000
Korean Won	1,416.830000	1,421.810000	1,423.850000	1,436.240000	1,439.160000	1,433.480000	1,439.530000	1,436.830000	1,422.960000	1,421.720000	NA
Kuwaiti Dinar	0.429192	0.429843	0.429113	NA	0.431481	0.431074	0.431816	0.431092	NA	0.428563	0.428471
Libyan Dinar	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370
Malaysian Ringgit	5.440220	5.455180	5.460750	5.468960	5.459530	5.466330	5.492150	5.462840	5.459380	5.461170	5.455570
Mauritian Rupee	46.619600	46.769000	46.496900	46.662700	46.946200	46.980800	47.125400	47.063000	47.089600	47.116200	NA
Mexican Peso	16.358200	16.284000	16.295700	16.187400	16.241800	16.267500	16.186900	16.222700	16.063500	16.011900	16.041400
Nepalese Rupee	110.586000	111.051000	110.729000	111.326000	111.325000	NA	NA	NA	110.881000	110.424000	110.623000
New Zealand Dollar	2.397240	2.396620	2.383720	2.404290	2.382330	2.388850	2.397190	2.357980	2.342070	2.336380	2.350700
Norwegian Krone	9.161120	9.147040	9.139100	9.159940	9.149380	9.184590	9.213110	9.219140	9.251040	9.321050	NA
Rial Omani	0.570740	0.571608	0.570636	0.571494	0.573786	0.573243	0.574231	0.573270	0.571115	0.569904	0.569784
Pakistani Rupee	89.591300	89.727100	89.574400	89.629800	89.989600	89.904600	90.059300	89.908700	89.588900	89.399900	89.380700
Nuevo Sol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Philippine Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Polish Zloty	4.583900	4.571070	4.555890	4.543720	4.489700	4.495170	4.488270	4.478060	4.493150	4.499660	NA
Qatar Riyal	5.403130	5.411310	5.402130	5.410260	5.431950	5.426820	5.436140	5.427050	5.406630	5.395200	5.394060
Russian Ruble	39.843000	39.782800	39.779800	39.790500	39.838400	39.858400	39.933600	39.769300	39.796700	39.750800	39.764400
Saudi Arabian Riyal	5.566410	5.574850	5.565390	5.573730	5.596100	5.590810	5.600420	5.591060	5.570040	5.558240	5.557070
Singapore Dollar	2.341890	2.347230	2.344580	2.343950	2.345430	2.345750	NA	2.341980	2.339860	2.340240	2.343160
South African Rand	10.316400	10.287400	10.218000	NA	10.147600	NA	NA	NA	10.085500	10.167900	10.165700
Sri Lanka Rupee	154.388000	154.620000	154.349000	154.591000	155.195000	155.036000	NA	155.000000	154.367000	154.036000	154.023000
Swedish Krona	10.735700	10.670200	10.681800	10.712700	10.658700	10.663600	10.667000	10.630500	10.694500	10.720000	10.721400
Swiss Franc	NA	1.827210	1.831820	1.834140	1.823130	1.825890	1.824250	1.828950	1.836920	1.840740	1.842280
Thai Baht	56.182000	NA	56.217700	56.351400	56.518900	56.248000	56.340300	NA	55.700400	NA	55.386900
Trinidad And Tobago Dollar	9.335240	NA	9.295670	9.288070	9.242910	9.303710	9.316890	9.316370	9.308040	9.238560	9.253950
Tunisian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
U.A.E. Dirham	5.451370	5.459620	5.450360	5.458550	5.480440	5.475280	5.484680	5.475520	5.454910	5.443360	5.442210
Peso Uruguayo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bolivar Fuerte	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA

Currency units per SDR for August 2006 Continued

Currency	August 16, 2006	August 17, 2006	August 18, 2006	August 21, 2006	August 22, 2006	August 23, 2006	August 24, 2006	August 25, 2006	August 28, 2006	August 29, 2006	August 30, 2006	August 31, 2006
Chinese Yuan	11.853400	11.886300	11.854500	11.881100	11.852100	11.847800	11.854700	11.822800	11.834000	11.840400	11.831500	11.846400
Euro	1.160700	1.157300	1.161320	1.153930	1.161110	1.160230	1.159120	1.162150	1.159740	1.160370	1.159630	1.158290
Japanese Yen	172.351000	172.300000	172.489000	172.616000	172.787000	172.879000	173.148000	173.067000	173.979000	173.856000	173.687000	174.634000
U.K. Pound Sterling	0.785904	0.786034	0.789129	0.786726	0.786349	0.785793	0.785379	0.784979	NA	0.782338	0.781910	0.780311
U.S. Dollar	1.484890	1.490480	1.486720	1.490770	1.487620	1.486490	1.487270	1.483140	1.484470	1.486200	1.486410	1.488520
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	1.943310	1.942250	1.953900	1.962310	NA	1.948220	1.952820	1.950470	1.956850	1.949630	1.949900	1.951650
Bahrain Dinar	0.558316	0.560422	0.559006	0.560529	0.559344	0.558922	0.559212	0.557659	0.558160	0.558812	0.558890	0.559685
Botswana Pula	8.775930	8.711180	8.823240	8.942780	9.021360	8.965550	9.013720	9.016080	9.035060	9.001870	8.981340	9.010470
Brazilian Real	3.188350	3.177850	3.175190	3.197400	3.176510	NA	3.174720	3.190970	3.200950	3.190140	3.182550	3.173840
Brunei Dollar	2.342850	2.347210	2.341440	2.343490	2.340760	2.340480	2.346320	2.339200	2.343380	2.340030	2.337830	2.341300
Canadian Dollar	1.657280	1.664120	1.670030	1.667280	1.659290	1.650150	1.652500	1.643320	1.650730	1.650430	1.649910	1.647200
Chilean Peso	804.615000	799.150000	788.986000	793.103000	789.808000	789.596000	791.553000	792.720000	797.200000	798.193000	799.866000	800.487000
Colombian Peso	3,507.710000	NA	NA	NA	3,526.380000	NA	3,531.660000	3,556.570000	3,600.800000	3,581.070000	3,570.460000	3,567.440000
Czech Koruna	32.599200	32.431400	32.618700	32.474900	32.697800	32.612100	32.673900	32.743200	32.667100	32.735200	32.750100	32.680600
Danish Krone	8.659730	8.635280	8.665060	8.609780	8.662960	8.657030	8.647900	8.670550	8.652240	8.657410	8.650440	8.640130
Hungarian Forint	320.201000	317.010000	321.593000	323.557000	322.293000	319.030000	321.801000	322.671000	321.149000	319.415000	319.444000	318.381000
Icelandic Krona	103.779000	103.126000	103.535000	103.892000	104.565000	104.233000	104.555000	103.938000	103.734000	103.856000	103.291000	102.708000
Indian Rupee	69.121400	69.247800	69.102800	69.246300	69.204200	69.210900	69.158200	69.129000	69.116600	69.138100	69.132900	69.290900
Indonesian Rupiah	13,505.000000	NA	NA	NA	13,500.100000	13,497.300000	13,571.300000	13,526.200000	13,568.000000	13,539.300000	13,496.600000	13,545.600000
Iranian Rial	NA	13,691.600000	NA	13,692.700000	NA	13,651.900000	13,660.600000	NA	13,636.300000	NA	13,652.700000	13,672.100000
Israeli New Sheqel	6.485970	6.497010	6.491020	6.501230	6.481550	6.490010	6.506820	6.513940	6.531640	6.533340	6.510460	6.495910
Kazakhstani Tenge	182.136000	183.881000	184.116000	184.691000	184.822000	185.306000	185.552000	185.155000	185.692000	186.117000	186.158000	186.423000
Korean Won	1,433.210000	1,438.020000	1,429.780000	1,433.670000	1,423.950000	1,422.420000	1,422.720000	1,421.140000	1,426.130000	1,433.000000	1,429.480000	1,428.390000
Kuwaiti Dinar	0.429339	0.430958	NA	NA	0.430130	0.429804	NA	NA	0.429218	0.429721	0.429780	0.430393
Libyan Dinar	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370
Malaysian Ringgit	5.466600	5.481250	5.465200	5.470370	5.467740	5.461350	5.471660	5.450540	5.467290	5.468490	5.465530	NA
Mauritian Rupee	47.288300	47.577100	47.745900	47.923200	47.939600	47.980300	48.032400	48.038600	NA	48.261600	NA	NA
Mexican Peso	15.962500	16.019700	16.088900	16.106000	16.072200	16.117700	16.244000	16.244500	16.232200	16.206600	16.149800	16.230400
Nepalese Rupee	NA	111.264000	110.939000	111.137000	110.768000	NA	110.876000	NA	110.801000	110.945000	110.738000	110.895000
New Zealand Dollar	2.338040	2.322350	2.328090	2.332240	2.324400	2.331750	2.335900	2.338970	2.334070	2.328740	2.304510	2.289690
Norwegian Krone	NA	9.348590	9.374270	9.286860	9.320790	9.331750	9.360400	NA	9.318010	9.332360	9.352960	9.358480
Rial Omani	0.570939	0.573089	0.571644	0.573201	0.571987	0.571556	0.571857	0.570265	0.570776	0.571445	0.571523	0.572338
Pakistani Rupee	89.561600	89.899000	89.694100	NA	NA	89.679700	89.727100	89.503900	89.584100	89.688500	89.701400	NA
Nuevo Sol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Philippine Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Polish Zloty	4.504100	4.475920	4.502400	4.527920	4.516100	4.521310	4.544500	4.566440	4.555970	4.580620	4.575760	4.562480
Qatar Riyal	5.405000	5.425350	5.411670	5.426410	5.414920	5.410820	5.413660	5.398640	5.403450	5.409790	5.410520	5.418230
Russian Ruble	39.765900	39.829400	39.749600	39.811000	39.714100	39.780600	39.838400	39.747800	39.735000	39.748000	39.743400	39.787500
Saudi Arabian Riyal	5.568330	5.589310	5.575190	5.590370	5.578550	5.574320	5.577280	5.561770	5.566750	5.573270	5.574040	5.581980
Singapore Dollar	2.342850	2.347210	2.341440	2.343490	2.340760	2.340480	2.346320	2.339200	2.343380	2.340030	2.337830	2.341300
South African Rand	10.134400	10.075700	10.265800	10.435400	NA	10.539200	10.626500	10.582200	10.628800	10.581800	NA	10.598300
Sri Lanka Rupee	154.440000	154.998000	154.627000	155.056000	154.722000	154.518000	154.332000	153.541000	153.506000	153.442000	152.976000	152.723000
Swedish Krona	10.687500	10.649500	10.644900	10.644100	10.632700	10.658100	10.697200	10.704600	10.729000	10.723000	10.702100	10.706200
Swiss Franc	NA	1.827930	1.834170	1.824700	1.827980	1.832840	1.832320	1.836420	1.831090	1.830260	1.828580	1.823740
Thai Baht	55.542300	55.735100	55.842800	NA	55.745400	55.860900	NA	55.871200	55.921200	56.059800	55.891800	55.898700
Trinidad And Tobago Dollar	9.301200	9.318190	9.304320	9.335500	9.260290	9.298430	9.281350	9.280910	9.288410	9.292900	9.315500	NA
Tunisian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
U.A.E. Dirham	5.453250	5.473780	5.459980	5.474830	5.463290	5.459140	5.462000	5.446830	5.451700	5.458100	5.458840	5.466600
Peso Uruguayo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
