Currency units per SDR for January 2007
Currency	January 02, 2007	January 03, 2007	January 04, 2007	January 05, 2007	January 08, 2007	January 09, 2007	January 10, 2007	January 11, 2007	January 12, 2007	January 15, 2007	January 16, 2007
Chinese Yuan	NA	NA	11.703500	11.710500	11.683000	11.678700	11.667600	11.628200	11.622000	NA	11.641000
Euro	1.136980	1.137650	1.143780	1.146050	1.149640	1.149000	1.150520	1.148510	1.155490	1.153920	1.153750
Japanese Yen	NA	NA	178.925000	177.494000	NA	177.847000	178.388000	178.396000	179.667000	179.553000	180.156000
U.K. Pound Sterling	0.765838	0.768090	0.770754	0.772929	0.773323	0.770024	0.770766	0.769349	0.763989	0.759826	0.759682
U.S. Dollar	1.508780	1.505220	1.499040	1.499490	1.495230	1.495770	1.494290	1.491230	1.489770	1.493280	1.494450
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	1.900460	1.887660	1.895360	1.917010	1.917200	1.910310	1.916250	1.905720	1.909960	1.900820	1.908620
Bahrain Dinar	0.567299	0.565963	0.563641	0.563806	0.562205	0.562411	0.561855	0.560702	0.560155	0.561476	0.561915
Botswana Pula	NA	9.040370	9.112700	9.199290	9.252660	9.244540	9.386230	9.279620	9.259000	NA	9.259260
Brazilian Real	3.224560	3.211240	3.202550	3.212050	3.209650	3.215450	3.212430	3.213300	3.196600	3.197560	3.197970
Brunei Dollar	NA	2.303440	2.297880	2.303810	2.301750	2.297500	2.297020	2.294700	2.305120	2.303690	2.301310
Canadian Dollar	1.757570	1.760960	1.763920	1.762650	1.760930	1.762610	1.759080	1.753980	1.743330	1.744310	1.755380
Chilean Peso	NA	804.421000	806.816000	810.760000	NA	812.427000	810.307000	810.169000	801.899000	NA	807.572000
Colombian Peso	3,377.830000	3,358.780000	3,325.040000	3,325.940000	NA	3,333.140000	3,345.000000	3,356.160000	3,324.400000	NA	3,319.700000
Czech Koruna	NA	31.207800	31.575800	31.669100	31.782600	31.713300	31.903100	31.900400	32.074800	32.041400	32.032100
Danish Krone	8.477950	8.481330	8.524710	8.541680	8.567950	8.564500	8.575890	8.561130	8.611780	8.598900	8.598160
Hungarian Forint	NA	285.179000	288.116000	291.740000	292.107000	290.718000	293.120000	293.533000	293.262000	290.817000	291.089000
Icelandic Krona	108.375000	105.110000	105.023000	105.654000	105.742000	105.945000	107.843000	107.935000	106.146000	105.919000	105.299000
Indian Rupee	66.688000	66.726300	66.587200	66.427100	66.417800	66.516800	66.540700	66.449200	66.458900	66.167300	66.233900
Indonesian Rupiah	NA	13,494.300000	13,461.400000	13,502.900000	13,501.900000	13,484.400000	13,538.300000	13,507.500000	13,609.100000	NA	13,607.000000
Iranian Rial	13,912.400000	13,879.700000	13,824.200000	NA	NA	13,797.000000	13,786.300000	13,758.100000	NA	13,780.000000	NA
Israeli New Sheqel	NA	6.302350	6.301950	6.347310	6.336770	6.333080	6.349250	6.319830	6.294300	6.304650	6.305090
Kazakhstani Tenge	NA	191.163000	190.063000	189.760000	NA	188.108000	187.459000	186.702000	187.026000	NA	187.255000
Korean Won	1,402.560000	1,393.840000	1,388.260000	1,396.320000	1,394.450000	1,401.990000	1,400.150000	1,401.460000	1,398.750000	1,404.430000	1,401.940000
Kuwaiti Dinar	NA	0.435220	0.433433	NA	0.432330	0.432487	0.432059	0.431174	NA	0.431768	0.432105
Libyan Dinar	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370
Malaysian Ringgit	NA	5.287840	5.271370	5.270700	5.263190	5.244910	5.253920	5.241670	5.241780	5.236640	5.237300
Mauritian Rupee	NA	51.404600	50.401700	50.420000	50.682700	50.699900	51.021400	50.799600	50.061800	50.008300	49.933800
Mexican Peso	16.266900	16.212400	16.287100	16.397600	16.403400	16.467100	16.486500	16.351300	16.352500	16.339400	16.418000
Nepalese Rupee	106.957000	106.630000	106.357000	106.688000	106.206000	106.349000	106.379000	106.325000	NA	106.247000	NA
New Zealand Dollar	NA	2.127520	2.121180	2.147340	2.172980	2.169980	2.158440	2.169690	2.159720	2.156370	2.145040
Norwegian Krone	9.332360	9.372600	9.462530	9.492620	9.500650	9.485600	9.547630	9.592970	9.640780	9.610950	9.592330
Rial Omani	0.580124	0.578757	0.576382	0.576552	0.574914	0.575123	0.574554	0.573378	0.572816	0.574168	0.574617
Pakistani Rupee	91.911800	91.695200	91.319200	91.392600	NA	91.166000	91.076300	90.889300	90.816600	91.030700	91.102100
Nuevo Sol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Philippine Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Polish Zloty	4.349790	4.345580	4.395930	4.458410	4.453990	4.434510	4.474350	4.457140	4.476020	4.467620	4.467660
Qatar Riyal	5.491940	5.479000	5.456520	5.458130	5.442620	5.444610	5.439220	5.428090	5.422790	5.435550	5.439810
Russian Ruble	NA	NA	NA	NA	NA	39.557900	39.583400	39.565300	39.593800	39.668400	39.674800
Saudi Arabian Riyal	5.657900	5.644580	5.621420	5.623060	5.607110	5.609120	5.603590	5.592120	5.586650	5.599830	5.604190
Singapore Dollar	NA	2.303440	2.297880	2.303810	2.301750	2.297500	2.297020	2.294700	2.305120	2.303690	2.301310
South African Rand	10.455800	NA	10.545800	10.706300	10.800000	10.769500	11.035300	10.833800	10.823200	10.759100	10.782500
Sri Lanka Rupee	NA	NA	161.293000	162.161000	162.563000	162.696000	162.473000	161.643000	161.658000	NA	162.007000
Swedish Krona	10.244600	10.220500	10.320900	10.413900	10.418000	10.448000	10.475000	10.528100	10.543900	10.467900	10.468600
Swiss Franc	NA	1.839080	1.846070	1.843620	1.850190	1.853560	1.855610	1.858670	1.862220	NA	1.858800
Thai Baht	NA	NA	54.098800	NA	53.808900	53.792400	53.683800	53.776700	53.666200	53.847700	NA
Trinidad And Tobago Dollar	NA	9.472840	9.437790	9.467720	9.395140	9.373130	9.371280	9.391790	9.402300	9.413360	9.393110
