Currency units per SDR for May 2007
Currency	May 01, 2007	May 02, 2007	May 03, 2007	May 04, 2007	May 07, 2007	May 08, 2007	May 09, 2007	May 10, 2007	May 11, 2007	May 14, 2007	May 15, 2007
Chinese Yuan	NA	NA	NA	11.715600	NA	11.705500	11.699100	11.694400	11.657300	11.660600	11.680800
Euro	NA	1.119250	1.118780	1.121170	1.119150	1.121970	1.122960	1.123260	1.125010	1.121500	1.121300
Japanese Yen	182.459000	182.318000	NA	NA	182.740000	182.312000	182.058000	182.409000	181.911000	182.646000	182.677000
U.K. Pound Sterling	0.761545	0.764351	0.764485	0.765222	0.764000	0.763487	0.763248	0.764111	0.766607	0.766736	0.768303
U.S. Dollar	1.526210	1.520830	1.523000	1.520420	1.523720	1.521170	1.519930	1.519440	1.517190	1.519510	1.518010
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	1.840590	1.844110	1.847180	1.856430	1.847610	1.831190	1.832790	1.825590	1.827720	1.823270	1.823000
Bahrain Dinar	0.573855	0.571834	0.572649	0.571677	0.572918	0.571958	0.571494	0.571311	0.570464	0.571337	0.570773
Botswana Pula	NA	9.318800	9.269640	9.214640	9.212340	9.224750	9.194980	9.247960	9.279450	9.231560	9.233610
Brazilian Real	NA	3.092010	3.085600	NA	NA	NA	NA	NA	NA	NA	NA
Brunei Dollar	NA	2.316380	2.320750	2.316500	2.307520	2.303650	2.306190	2.302860	2.304770	2.300090	2.300700
Canadian Dollar	1.692420	1.686150	1.685960	1.682950	1.679750	1.680580	1.681650	1.682480	NA	1.681950	1.666320
Chilean Peso	NA	799.898000	799.821000	796.001000	793.430000	787.705000	789.347000	788.787000	786.603000	787.612000	787.284000
Colombian Peso	NA	3,200.080000	3,175.730000	NA	3,152.600000	NA	NA	NA	NA	NA	NA
Czech Koruna	NA	31.495000	31.483500	31.528800	31.519700	NA	31.702800	31.742600	31.804900	31.727500	31.699100
Danish Krone	8.331880	8.340980	8.336950	8.322720	8.339450	8.361060	8.368900	8.370300	8.383420	8.356590	8.355890
Hungarian Forint	NA	276.670000	276.090000	276.320000	276.068000	275.392000	277.707000	277.206000	280.544000	277.707000	278.524000
Icelandic Krona	NA	97.440200	96.923600	96.911400	96.665100	97.339700	97.655300	96.757700	96.994200	96.762300	96.378100
Indian Rupee	NA	NA	62.717200	62.184800	61.817300	62.033200	62.180500	62.297100	62.720700	62.193700	62.040900
Indonesian Rupiah	13,862.600000	13,809.200000	13,819.700000	13,700.500000	13,523.000000	13,529.300000	13,553.200000	13,316.400000	13,390.700000	13,338.300000	13,363.100000
Iranian Rial	14,117.500000	14,069.200000	14,089.300000	NA	14,095.900000	14,075.400000	14,065.400000	14,062.400000	NA	NA	14,050.700000
Israeli New Sheqel	6.158280	6.182190	6.159000	6.145530	6.091840	6.069470	6.040220	6.007880	6.033870	6.017280	6.031070
Kazakhstani Tenge	NA	182.652000	183.126000	182.252000	181.749000	180.699000	181.358000	181.300000	182.033000	182.949000	182.313000
Korean Won	NA	1,415.740000	1,417.460000	1,412.770000	1,413.560000	1,405.710000	1,403.050000	1,404.720000	1,403.100000	1,408.130000	1,404.010000
Kuwaiti Dinar	0.441289	0.439734	0.440360	0.439613	0.440569	0.439831	0.439474	0.439331	NA	0.439352	0.438918
Libyan Dinar	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370
Malaysian Ringgit	NA	NA	5.212160	5.199830	5.209610	5.193270	5.181450	5.168840	5.170280	5.168630	5.164440
Mauritian Rupee	NA	NA	47.928500	47.646300	47.524900	47.292700	47.181400	47.135300	47.109400	47.149600	47.142500
Mexican Peso	NA	16.616900	16.603800	16.550000	16.541200	16.506600	16.456200	16.437000	NA	16.408800	16.399400
Nepalese Rupee	NA	NA	100.518000	100.195000	NA	NA	NA	NA	NA	100.288000	99.581800
New Zealand Dollar	2.059390	2.054900	2.065090	2.065220	2.071960	2.065400	2.067650	2.072340	2.084910	2.060920	2.058600
Norwegian Krone	NA	9.095540	9.086860	9.112950	9.089750	9.128340	9.134170	9.164640	9.199210	9.194560	9.187290
Rial Omani	0.586830	0.584761	0.585593	0.584600	0.585871	0.584888	0.584413	0.584225	0.583359	0.584252	0.583676
Pakistani Rupee	92.574600	92.248400	92.379600	92.176100	92.377000	92.222000	92.147200	92.117500	91.871200	92.011600	91.921100
Nuevo Sol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Philippine Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Polish Zloty	NA	4.221070	NA	4.198630	4.197690	4.202070	4.223440	4.204300	4.260290	4.220140	4.234940
Qatar Riyal	5.555430	5.535840	5.543730	5.534310	5.546340	5.537040	5.532560	5.530760	5.522570	5.531030	5.525560
Russian Ruble	NA	39.171100	39.185000	39.179700	39.213100	39.144800	NA	39.166800	39.233700	39.213700	39.153700
Saudi Arabian Riyal	5.723310	5.703140	5.711250	5.701550	5.713960	5.704380	5.699760	5.697910	5.689480	5.698170	5.692520
Singapore Dollar	NA	2.316380	2.320750	2.316500	2.307520	2.303650	2.306190	2.302860	2.304770	2.300090	2.300700
South African Rand	NA	10.714300	10.615300	10.604900	10.528900	10.511300	10.525500	10.560100	10.658300	NA	10.535000
Sri Lanka Rupee	NA	NA	168.702000	168.418000	168.775000	168.758000	168.576000	168.378000	168.235000	168.523000	168.367000
Swedish Krona	NA	10.242800	10.230800	10.262800	10.273700	10.264100	10.327900	10.313200	10.392800	NA	NA
Swiss Franc	NA	1.853900	1.843900	1.847310	1.844920	1.851870	1.852490	1.850980	1.849760	NA	1.851520
Thai Baht	NA	NA	52.953200	52.855800	NA	NA	NA	NA	52.453800	52.503900	52.336600
Trinidad And Tobago Dollar	9.608460	9.602730	9.594260	9.569840	9.596380	9.523270	9.537890	9.558040	9.522180	NA	9.565720
Tunisian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
U.A.E. Dirham	5.605040	5.585250	5.593220	5.583720	5.595880	5.586500	5.581950	5.580140	5.571900	5.580420	5.574880
Peso Uruguayo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bolivar Fuerte	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA

Currency units per SDR for May 2007 Continued

Currency	May 16, 2007	May 17, 2007	May 18, 2007	May 21, 2007	May 22, 2007	May 23, 2007	May 24, 2007	May 25, 2007	May 28, 2007	May 29, 2007	May 30, 2007	May 31, 2007
Chinese Yuan	11.690800	11.646400	11.633700	11.595000	11.581000	11.586000	11.585300	11.579700	NA	11.602200	11.564900	11.574300
Euro	1.120860	1.122190	1.123940	1.125170	1.124460	1.122100	1.125760	1.125830	1.125260	1.122120	1.126670	1.124550
Japanese Yen	182.924000	183.255000	183.736000	183.427000	183.781000	184.219000	184.094000	183.282000	184.186000	184.179000	183.768000	183.994000
U.K. Pound Sterling	0.766859	0.767277	0.768622	0.767972	0.767201	0.763884	0.762416	0.762410	0.763510	0.763009	0.765644	0.765111
U.S. Dollar	1.521450	1.516760	1.514730	1.512680	1.512850	1.513720	1.513930	1.513230	1.513810	1.515870	1.511990	1.512860
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	1.827130	1.836710	1.845200	1.838000	1.841120	1.841950	1.839970	1.845620	NA	1.854510	1.846600	1.835100
Bahrain Dinar	0.572066	0.570301	0.569538	0.568767	0.568831	0.569158	0.569236	0.568974	0.569194	0.569969	0.568511	0.568835
Botswana Pula	9.215320	NA	9.309950	9.280230	9.298350	9.303710	9.379980	9.381480	NA	9.386230	9.461810	9.367510
Brazilian Real	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brunei Dollar	2.308650	2.306380	2.313140	2.305620	2.316620	2.315080	2.310100	2.310400	NA	2.315650	2.310180	NA
Canadian Dollar	1.678010	1.664940	1.648630	NA	1.642190	1.637540	1.641250	1.633680	NA	1.624860	1.626000	1.618600
Chilean Peso	788.382000	785.133000	789.796000	789.528000	789.615000	790.177000	795.026000	795.368000	NA	797.817000	795.615000	798.065000
Colombian Peso	3,035.550000	3,015.330000	3,014.950000	3,003.170000	3,003.500000	2,963.160000	2,972.690000	NA	NA	2,932.530000	2,895.410000	2,920.780000
Czech Koruna	31.643100	31.550000	31.689600	31.690600	31.694100	31.698700	31.803100	31.867000	NA	31.745400	31.933400	31.848700
Danish Krone	8.354150	NA	8.376610	8.386310	8.380890	8.362390	8.388490	8.389470	NA	8.359880	8.393060	8.376540
Hungarian Forint	277.543000	279.144000	281.452000	279.951000	278.424000	280.295000	281.121000	281.748000	NA	281.574000	282.425000	281.739000
Icelandic Krona	95.821200	NA	95.594100	96.009800	94.825400	94.001700	94.287100	94.183200	NA	93.575100	94.030900	93.328000
Indian Rupee	62.136100	61.944400	61.952500	61.414500	61.482100	61.381300	61.420200	61.437100	NA	61.317000	61.447300	61.618900
Indonesian Rupiah	13,422.200000	NA	NA	13,297.900000	13,149.700000	13,126.900000	13,216.600000	13,327.000000	NA	13,285.100000	13,328.200000	13,355.500000
Iranian Rial	14,082.500000	NA	NA	14,005.900000	14,007.400000	14,017.000000	14,019.000000	NA	NA	14,041.500000	14,005.600000	14,013.600000
Israeli New Sheqel	5.982330	5.994230	6.052870	6.047670	6.037770	NA	6.054180	6.101320	NA	6.098340	6.126590	6.101360
Kazakhstani Tenge	181.950000	181.359000	182.464000	182.399000	181.753000	181.858000	NA	182.132000	NA	184.406000	184.509000	183.994000
Korean Won	1,406.430000	1,401.480000	1,402.490000	1,410.720000	1,408.910000	1,407.600000	NA	1,409.570000	NA	1,409.760000	1,403.890000	1,406.810000
Kuwaiti Dinar	0.439912	0.438554	0.437968	0.435741	0.435791	0.436041	0.436102	NA	NA	0.436662	0.435546	0.435794
Libyan Dinar	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370
Malaysian Ringgit	5.174910	5.158180	5.152360	5.130990	5.131570	5.128470	5.125390	5.130600	NA	5.133940	5.139270	5.150520
Mauritian Rupee	47.257200	46.959200	46.956700	46.919300	46.932300	47.035600	47.103400	47.178300	NA	47.388200	47.334100	47.273500
Mexican Peso	16.417200	16.386000	16.392800	16.331300	16.277900	16.300900	16.404000	16.313100	NA	16.352200	16.356800	16.254900
Nepalese Rupee	99.655200	99.195500	99.062900	98.551300	98.349700	98.391300	98.404900	98.359400	NA	98.531900	97.976800	98.487200
New Zealand Dollar	2.063260	2.068400	2.076110	2.070740	2.071260	2.083000	2.076150	2.088940	NA	2.085680	2.080920	2.070990
Norwegian Krone	9.160190	NA	9.188220	9.189230	9.144700	9.112530	9.124920	9.112950	NA	9.088100	9.145780	9.130840
Rial Omani	0.584997	0.583192	0.582411	0.581625	0.581690	0.582025	0.582106	0.581835	0.582062	0.582852	0.581362	0.581693
Pakistani Rupee	92.129400	91.845100	92.070000	91.944700	NA	92.008200	NA	91.978600	NA	92.098800	91.862800	91.915100
Nuevo Sol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Philippine Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Polish Zloty	4.230390	4.246300	4.253510	4.228240	4.238990	4.279280	4.279120	4.292880	NA	4.297950	4.304200	4.298780
Qatar Riyal	5.538080	5.520990	5.513590	5.506150	5.506760	5.509920	5.510700	5.508150	5.510280	5.517790	5.503670	5.506790
Russian Ruble	39.158400	39.143500	39.154400	39.085700	39.157200	39.199900	39.211100	39.215500	NA	39.265400	39.165300	NA
Saudi Arabian Riyal	5.705450	5.687830	5.680240	5.672540	5.673180	5.676430	5.677240	5.674600	5.676820	5.684530	5.669990	5.673210
Singapore Dollar	2.308650	2.306380	2.313140	2.305620	2.316620	2.315080	2.310100	2.310400	NA	2.315650	2.310180	NA
South African Rand	10.505600	10.549000	10.694000	10.588700	10.620200	10.656600	NA	10.774200	NA	10.770300	10.863700	NA
Sri Lanka Rupee	168.752000	168.160000	168.080000	167.745000	167.713000	167.762000	167.722000	167.775000	NA	167.816000	167.551000	NA
Swedish Krona	NA	NA	NA	10.331600	10.359200	10.342500	10.355300	NA	NA	10.406500	10.444100	10.472800
Swiss Franc	1.849020	NA	1.859170	1.864520	1.864430	1.860050	1.860160	1.858240	NA	1.854210	1.855220	1.855670
Thai Baht	52.479400	52.422200	52.423300	52.365900	52.330800	52.398800	NA	52.342600	NA	52.455200	52.327000	52.417500
Trinidad And Tobago Dollar	9.598400	9.550820	9.552010	9.522720	9.451530	9.497940	9.531250	9.501100	NA	9.542530	9.509410	NA
Tunisian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
U.A.E. Dirham	5.587530	5.570290	5.562850	5.555310	5.555930	5.559110	5.559910	5.557320	5.559480	5.567030	5.552810	5.555960
Peso Uruguayo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
