Currency units per SDR for August 2007
Currency	August 01, 2007	August 02, 2007	August 03, 2007	August 06, 2007	August 07, 2007	August 08, 2007	August 09, 2007	August 10, 2007	August 13, 2007	August 14, 2007	August 15, 2007
Chinese Yuan	11.578100	11.590400	11.592000	11.618100	11.621500	11.622400	11.599700	11.585400	11.591400	11.564700	11.554500
Euro	1.120010	1.120190	1.118490	1.112190	1.113100	1.112170	1.116890	1.121220	1.120410	1.121910	1.129350
Japanese Yen	181.338000	181.839000	182.650000	180.730000	182.223000	182.484000	183.515000	180.443000	180.814000	179.818000	178.672000
U.K. Pound Sterling	0.755915	0.753597	0.752434	0.757392	0.757593	0.755801	0.756029	0.758783	0.759948	0.762201	0.764853
U.S. Dollar	1.530280	1.530630	1.531650	1.536820	1.535410	1.534120	1.533380	1.530470	1.529470	1.524790	1.521910
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	1.810120	1.791260	1.785560	NA	1.788280	1.791150	1.770650	1.819820	1.802550	1.818030	1.836500
Bahrain Dinar	0.575384	0.575520	0.575901	0.577844	0.577314	0.576831	0.576552	0.575457	0.575080	0.573319	0.572236
Botswana Pula	9.493070	9.465930	9.454660	9.498300	9.454480	9.423380	9.529980	9.577440	9.541260	9.571760	9.693680
Brazilian Real	2.872020	2.884940	NA	NA	NA	2.925420	2.891640	NA	2.988880	2.958540	3.013530
Brunei Dollar	2.324950	2.329930	2.325970	2.333660	2.325230	2.322360	NA	2.327080	2.321580	2.319660	2.331250
Canadian Dollar	1.617350	1.611300	1.612530	NA	1.620320	1.610680	1.620020	1.612500	1.607320	1.621760	1.635440
Chilean Peso	797.531000	802.233000	798.142000	801.147000	803.329000	800.230000	794.584000	796.381000	799.571000	791.835000	NA
Colombian Peso	2,997.040000	3,017.180000	NA	NA	NA	NA	NA	NA	3,069.320000	NA	3,068.610000
Czech Koruna	31.343100	31.376500	31.363700	31.209700	31.334700	31.340600	31.397500	31.454300	31.412200	31.384700	31.535400
Danish Krone	8.333750	8.335830	8.323900	8.277600	8.284800	8.278900	8.313380	8.345230	8.338820	8.349410	8.404280
Hungarian Forint	284.172000	282.096000	280.155000	280.162000	279.138000	278.136000	278.231000	281.851000	282.875000	284.129000	291.110000
Icelandic Krona	96.131700	96.108600	95.590400	NA	96.992300	97.078900	98.243400	100.797000	100.562000	100.072000	102.485000
Indian Rupee	62.052800	61.883500	61.817700	62.164300	61.984800	62.254900	61.948700	62.244400	62.035100	62.043600	NA
Indonesian Rupiah	14,138.200000	14,239.500000	14,209.100000	14,341.600000	14,291.600000	14,324.100000	14,216.000000	14,302.200000	14,297.400000	14,256.800000	14,302.900000
Iranian Rial	14,222.400000	14,225.700000	NA	NA	14,273.200000	14,264.300000	NA	NA	NA	14,180.500000	14,156.800000
Israeli New Sheqel	6.636800	6.638340	6.604500	6.602190	6.596130	6.562970	6.550590	6.568790	6.481890	6.437660	6.454400
Kazakhstani Tenge	189.111000	188.743000	188.822000	190.474000	191.051000	191.382000	190.952000	190.941000	191.183000	190.858000	190.999000
Korean Won	1,408.310000	1,412.010000	1,415.100000	1,418.490000	1,419.340000	1,415.380000	1,416.540000	1,411.710000	1,421.950000	NA	NA
Kuwaiti Dinar	0.431539	0.431639	0.431926	0.432539	0.432296	0.432163	NA	0.431133	0.431003	0.430065	0.429406
Libyan Dinar	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370
Malaysian Ringgit	5.312340	5.318190	5.305660	5.337830	5.319430	5.312680	5.296300	5.320680	5.314880	5.300150	5.314480
Mauritian Rupee	47.261900	47.173100	47.163400	47.136200	46.962000	46.898400	46.819500	46.722600	46.637700	46.524600	46.355500
Mexican Peso	16.781500	16.745500	16.798700	16.887500	16.830100	16.754000	16.841400	16.861600	16.811100	16.856400	16.915700
Nepalese Rupee	99.773500	99.797400	99.864200	NA	100.109000	100.025000	99.976000	99.786500	99.720800	99.416400	99.228000
New Zealand Dollar	2.009030	1.998480	1.994080	2.028000	2.008390	2.013020	1.991400	2.036010	2.051050	2.072840	2.096870
Norwegian Krone	8.952230	8.920690	8.870120	8.833450	8.878710	8.855590	8.870280	8.968130	8.945820	8.947260	9.024620
Rial Omani	0.588391	0.588530	0.588921	0.590908	0.590368	0.589870	0.589584	0.588467	0.588080	0.586280	0.585172
Pakistani Rupee	92.432500	NA	92.492400	92.804000	92.718800	92.641500	92.596000	92.500100	92.439400	92.156600	91.981900
Nuevo Sol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Philippine Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Polish Zloty	4.275440	4.253020	4.230280	4.213970	4.214710	4.211320	4.198700	4.224100	4.227600	4.250040	NA
Qatar Riyal	5.570190	5.571500	5.575220	5.594030	5.588900	5.584220	5.581510	5.570910	5.567250	5.550220	5.539740
Russian Ruble	39.176400	39.175700	39.142000	39.115200	39.107300	39.095200	38.862600	39.037600	38.949600	38.930700	39.016600
Saudi Arabian Riyal	5.738520	5.739870	5.743690	5.763090	5.757780	5.752980	5.750170	5.739280	5.735490	5.717950	5.707140
Singapore Dollar	2.324950	2.329930	2.325970	2.333660	2.325230	2.322360	NA	2.327080	2.321580	2.319660	2.331250
South African Rand	10.933800	10.836900	NA	10.926800	10.824700	10.777200	NA	11.034700	10.958600	11.039400	11.277300
Sri Lanka Rupee	171.078000	171.110000	171.248000	171.807000	171.815000	171.699000	171.621000	171.295000	171.209000	170.729000	170.410000
Swedish Krona	10.356100	10.339400	10.296500	NA	NA	NA	NA	NA	10.404200	10.475300	10.539200
Swiss Franc	NA	1.843800	1.846560	1.826050	1.830670	1.834200	1.833160	1.831520	1.834750	1.843460	1.848510
Thai Baht	51.734100	51.740000	51.799000	52.027500	52.004500	51.983700	52.062700	52.017500	52.105900	NA	51.901700
Trinidad And Tobago Dollar	9.681480	NA	9.683450	9.678110	9.609660	9.658380	9.630200	9.660060	NA	NA	9.637900
Tunisian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
U.A.E. Dirham	5.619940	5.621260	5.624990	5.643980	5.638790	5.634060	5.631330	5.620660	5.616970	5.599760	5.589180
Peso Uruguayo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bolivar Fuerte	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA

Currency units per SDR for August 2007 Continued

Currency	August 16, 2007	August 17, 2007	August 20, 2007	August 21, 2007	August 22, 2007	August 23, 2007	August 24, 2007	August 27, 2007	August 28, 2007	August 29, 2007	August 30, 2007	August 31, 2007
Chinese Yuan	11.557400	11.584800	11.580700	11.590600	11.585000	11.585200	11.576200	11.584400	11.583100	11.571900	11.567000	11.587700
Euro	1.134720	1.132940	1.131140	1.129470	1.129930	1.125270	1.123320	1.121500	1.122120	1.124350	1.124680	1.118300
Japanese Yen	176.446000	171.326000	174.383000	175.042000	174.385000	177.031000	177.640000	178.050000	177.169000	174.794000	177.178000	178.092000
U.K. Pound Sterling	0.767760	0.770915	0.767265	0.768687	0.766483	0.761359	0.763557	0.760815	0.762404	0.760937	0.762829	0.758766
U.S. Dollar	1.521090	1.524250	1.524320	1.525690	1.524610	1.527450	1.529410	1.531740	1.533270	1.532610	1.530690	1.532630
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	1.887910	1.951670	1.915220	1.896910	1.903150	1.874160	1.862630	1.839930	1.862570	1.897490	1.877690	1.865870
Bahrain Dinar	0.571929	0.573118	0.573145	0.573658	0.573253	0.574320	0.575056	0.575934	0.576508	0.576259	0.575540	0.576269
Botswana Pula	9.725640	9.659410	9.665940	9.711570	9.600800	9.588460	9.588740	9.561420	9.612980	9.608820	9.560870	9.513480
Brazilian Real	3.047500	NA	NA	3.092870	NA	3.080090	3.048260	NA	2.986960	NA	3.039350	3.029850
Brunei Dollar	2.341260	2.345980	2.327800	2.327430	2.331430	2.326760	2.330810	2.326870	2.334100	2.339370	2.330480	2.333270
Canadian Dollar	1.635930	1.639330	1.613040	1.617380	1.619290	1.614210	1.609700	1.610780	1.627560	1.623340	1.617480	1.619070
Chilean Peso	792.820000	805.367000	799.539000	797.429000	797.658000	797.569000	801.558000	803.445000	803.878000	806.075000	804.428000	804.065000
Colombian Peso	3,115.860000	NA	3,221.720000	3,224.600000	3,285.440000	3,258.100000	3,270.070000	3,259.810000	3,241.560000	3,291.030000	3,307.290000	3,330.660000
Czech Koruna	31.217300	31.343100	31.327900	31.255200	31.350500	31.201200	31.111200	31.181700	31.096300	31.059900	31.048600	31.002000
Danish Krone	8.444450	8.430000	8.417010	8.405130	8.408380	8.373740	8.359740	8.346480	8.353240	8.372330	8.375770	8.330280
Hungarian Forint	293.905000	295.735000	NA	295.708000	293.807000	290.886000	291.413000	288.121000	289.512000	290.966000	286.775000	285.054000
Icelandic Krona	105.716000	105.539000	103.029000	102.770000	100.060000	98.000800	99.472800	97.878000	98.267500	98.669000	97.597200	96.846700
Indian Rupee	62.501600	63.362900	NA	62.644500	62.524200	62.411500	62.981000	62.770700	63.048100	63.204700	62.819600	62.776600
Indonesian Rupiah	14,418.400000	NA	14,369.800000	14,391.800000	14,392.300000	14,293.800000	14,384.100000	14,360.100000	14,420.400000	14,441.700000	14,394.600000	14,422.000000
Iranian Rial	14,149.200000	NA	NA	14,195.000000	14,188.000000	14,214.400000	NA	14,257.500000	14,274.700000	NA	NA	NA
Israeli New Sheqel	6.466130	6.459780	6.405210	6.410910	6.357600	6.349610	6.386800	6.364400	6.324750	6.326590	6.295720	6.320550
Kazakhstani Tenge	190.471000	191.141000	190.556000	190.741000	190.637000	191.099000	191.619000	192.326000	193.100000	193.185000	NA	193.188000
Korean Won	1,416.890000	1,437.220000	1,447.650000	1,441.160000	1,440.150000	1,443.430000	1,437.790000	1,442.900000	1,438.360000	1,441.110000	1,443.750000	1,440.520000
Kuwaiti Dinar	0.429175	0.430067	0.429553	0.429937	0.429634	0.430281	0.430834	0.431185	0.431770	0.431581	0.431044	0.431589
Libyan Dinar	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370
Malaysian Ringgit	5.335980	5.363540	5.336350	5.333020	5.333850	5.297650	5.336860	5.327850	5.361070	5.370710	5.362790	5.369560
Mauritian Rupee	46.147400	46.405400	46.607900	46.831200	46.894000	46.892700	47.188300	47.274800	47.482300	47.655100	47.931700	47.917000
Mexican Peso	17.139000	16.958700	16.928100	16.967600	16.882900	16.876600	16.886600	16.907700	17.007000	17.021500	16.967400	16.916800
Nepalese Rupee	99.403600	100.860000	101.672000	100.695000	100.624000	100.811000	100.941000	101.095000	101.196000	NA	101.026000	101.153000
New Zealand Dollar	2.151770	2.210660	2.196430	2.184230	2.197790	2.158930	2.151970	2.110420	2.143540	2.200120	2.173040	2.181060
Norwegian Krone	9.117430	9.106060	9.038890	9.034080	9.030410	8.962260	8.934950	8.917660	8.918140	8.945980	8.951350	8.883760
Rial Omani	0.584857	0.586074	0.586101	0.586627	0.586211	0.587303	0.588055	0.588956	0.589543	0.589289	0.588550	0.589296
Pakistani Rupee	91.932900	92.205800	92.210900	92.292600	92.228000	92.399200	92.741200	92.883300	92.975700	92.935100	92.819500	92.961000
Nuevo Sol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Philippine Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Polish Zloty	4.336170	4.349150	4.321450	4.355840	4.336910	4.321000	4.317210	4.297300	4.306040	4.338810	4.296950	4.289820
Qatar Riyal	5.536760	5.548280	5.548530	5.553490	5.549570	5.559910	5.567030	5.575530	5.581100	5.578680	5.571710	5.578770
Russian Ruble	39.149700	39.298000	39.237200	39.428100	39.396600	39.271400	39.398800	39.296000	39.367100	39.484500	39.261400	39.275400
Saudi Arabian Riyal	5.704080	5.715950	5.716210	5.721310	5.717290	5.727930	5.735260	5.744020	5.749770	5.747290	5.740100	5.747360
Singapore Dollar	2.341260	2.345980	2.327800	2.327430	2.331430	2.326760	2.330810	2.326870	2.334100	2.339370	2.330480	2.333270
South African Rand	11.362500	11.188000	11.211400	11.282400	11.137300	11.051100	11.088200	11.005600	11.100900	11.119100	NA	10.935300
Sri Lanka Rupee	170.301000	170.660000	170.706000	170.954000	170.848000	171.216000	171.697000	172.357000	NA	172.685000	173.088000	173.274000
Swedish Krona	10.643800	10.704000	10.555900	10.618800	10.592200	10.558500	10.591100	10.469500	10.537400	10.582600	10.531200	10.494700
Swiss Franc	1.849950	NA	1.840770	1.834790	1.841880	1.845310	1.838500	1.842990	1.836400	1.840970	1.844790	1.848040
Thai Baht	51.948300	52.370300	52.790200	52.453000	52.524300	52.730400	52.619100	52.655100	52.687900	52.698700	52.553300	52.593700
Trinidad And Tobago Dollar	9.618900	9.597480	9.607810	9.624640	9.607350	9.630110	9.647760	9.639580	9.689920	9.676230	9.629550	9.682040
Tunisian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
U.A.E. Dirham	5.586190	5.597820	5.598070	5.603090	5.599140	5.609530	5.616750	5.625340	5.630950	5.628510	5.621480	5.628570
