Currency units per SDR for October 2007
Currency	October 01, 2007	October 02, 2007	October 03, 2007	October 04, 2007	October 05, 2007	October 08, 2007	October 09, 2007	October 10, 2007	October 11, 2007	October 12, 2007	October 15, 2007
Chinese Yuan	NA	NA	NA	NA	NA	NA	11.641700	11.677400	11.685600	11.667400	11.697900
Euro	1.095230	1.097880	1.096200	1.099680	1.098850	1.100290	1.102400	1.098080	1.095230	1.095950	1.094160
Japanese Yen	179.098000	179.464000	180.503000	180.971000	180.886000	NA	181.283000	182.052000	182.166000	182.357000	183.175000
U.K. Pound Sterling	0.764082	0.763003	0.762777	0.764000	0.761516	0.760798	0.762515	0.759694	0.762718	0.766454	0.761818
U.S. Dollar	1.558730	1.555150	1.556060	1.551530	1.553340	1.550200	1.547440	1.553340	1.555110	1.553290	1.556550
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	NA	1.755250	1.752320	NA	1.750840	1.716720	1.733440	1.728430	1.728670	1.728950	1.718620
Bahrain Dinar	0.586081	0.584737	0.585079	0.583376	0.584058	0.582873	0.581838	0.584058	0.584720	0.584037	0.585264
Botswana Pula	NA	NA	9.424980	9.443320	9.414160	NA	9.395490	9.397080	9.390730	9.312290	9.309510
Brazilian Real	2.865100	2.833010	2.836240	2.834030	2.838880	2.803370	2.804740	2.811550	2.805420	NA	2.788090
Brunei Dollar	2.306600	2.299290	2.304060	2.303720	2.296770	2.278640	2.282320	2.278280	2.280100	2.274170	2.281280
Canadian Dollar	1.547970	1.555770	1.549990	1.548890	1.524140	NA	1.523610	1.524450	1.515140	1.512750	1.518880
Chilean Peso	796.870000	791.929000	789.902000	784.468000	787.451000	781.128000	775.020000	774.275000	772.410000	766.924000	NA
Colombian Peso	3,153.600000	3,134.800000	3,132.960000	3,130.510000	3,135.340000	3,100.310000	3,094.810000	3,057.180000	3,067.940000	3,049.160000	3,080.360000
Czech Koruna	30.166100	30.190100	30.253000	30.273500	30.257600	30.270700	30.299000	30.173600	30.088300	30.118300	30.116100
Danish Krone	8.164800	8.184310	8.171470	8.195510	8.188470	8.199010	8.215240	8.182500	8.160600	8.165800	8.152750
Hungarian Forint	274.804000	274.842000	276.046000	278.003000	277.085000	275.361000	276.219000	274.024000	273.108000	273.131000	273.346000
Icelandic Krona	96.048600	96.030100	95.790900	95.310700	94.738200	94.437600	94.099900	93.821800	93.260100	93.492900	93.346300
Indian Rupee	61.928300	NA	61.915700	61.378700	61.341400	61.124300	61.201400	61.108300	61.131400	61.091100	61.187900
Indonesian Rupiah	14,186.000000	14,108.300000	14,178.800000	14,171.700000	14,149.400000	14,021.500000	14,075.500000	14,077.900000	14,106.400000	NA	NA
Iranian Rial	14,533.600000	14,500.200000	NA	14,468.000000	NA	14,454.000000	14,428.400000	14,484.900000	14,501.400000	NA	14,513.300000
Israeli New Sheqel	6.203740	6.223700	6.239820	NA	6.233560	6.199240	6.259430	6.247540	6.284210	6.255120	6.282240
Kazakhstani Tenge	188.544000	NA	188.252000	187.704000	187.923000	187.481000	187.086000	187.861000	188.106000	187.840000	188.063000
Korean Won	1,429.820000	1,421.870000	NA	1,417.640000	1,423.790000	1,419.980000	1,416.370000	1,424.880000	1,424.950000	1,427.320000	1,425.640000
Kuwaiti Dinar	0.435275	0.434509	0.435464	0.434662	0.435169	0.434288	0.433672	0.435324	0.435819	0.435311	NA
Libyan Dinar	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370
Malaysian Ringgit	5.291870	5.285190	5.303830	5.308560	5.289910	5.252540	5.263630	5.260390	5.252380	5.237710	NA
Mauritian Rupee	46.892900	46.682500	46.682100	46.491500	46.504700	46.269100	46.180400	46.478800	46.767000	46.975000	47.176000
Mexican Peso	17.025000	16.983800	16.912100	16.906000	16.862600	16.833400	16.771000	16.835600	16.810900	16.814700	16.831400
Nepalese Rupee	99.758600	99.529200	99.587700	99.298000	99.103100	98.902200	98.417400	98.792800	98.749800	NA	NA
New Zealand Dollar	2.051500	2.028630	2.057740	2.057190	2.054680	2.028260	2.029970	2.029720	2.040830	NA	2.013650
Norwegian Krone	8.419630	8.449870	8.439600	8.459740	8.409440	8.439250	8.494520	8.451870	8.412980	8.382930	8.382370
Rial Omani	0.599330	0.597954	0.598304	0.596563	0.597261	0.596051	0.594994	0.597261	0.597940	0.597240	0.598494
Pakistani Rupee	94.631600	94.413600	94.468800	94.193900	94.318300	94.127400	93.960200	94.318300	94.425100	94.165500	94.363700
Nuevo Sol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Philippine Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Polish Zloty	4.127980	NA	NA	4.149570	4.144460	4.128960	4.139420	4.117120	4.101600	4.082830	4.068050
Qatar Riyal	5.673760	5.660750	5.664050	5.647580	5.654160	5.642700	5.632690	5.654160	5.660590	5.654000	5.665850
Russian Ruble	38.778600	38.737600	38.792200	38.805600	38.804700	38.724000	38.778500	38.809000	38.753200	38.710500	38.794000
Saudi Arabian Riyal	5.845220	5.831820	5.835220	5.818250	5.825030	5.813240	5.802920	5.825030	5.831650	5.824860	5.837060
Singapore Dollar	2.306600	2.299290	2.304060	2.303720	2.296770	2.278640	2.282320	2.278280	2.280100	2.274170	2.281280
South African Rand	10.716300	10.722800	10.729000	10.728800	10.671400	10.595600	10.615500	10.624800	NA	10.492500	10.467800
Sri Lanka Rupee	176.877000	NA	176.589000	176.081000	176.261000	175.932000	175.614000	176.261000	176.456000	176.148000	176.600000
Swedish Krona	10.057700	10.085100	10.114400	10.123800	10.123900	10.064700	10.097100	10.073400	10.022700	9.983830	9.989210
Swiss Franc	1.819810	1.829170	1.826350	1.829260	NA	1.834350	1.838360	1.836820	1.832850	1.838010	1.834550
Thai Baht	53.411400	53.270000	53.304300	NA	53.189500	53.072600	52.938100	53.149100	53.181600	53.099400	53.198300
Trinidad And Tobago Dollar	9.846010	9.794320	9.799890	9.800270	NA	9.773260	9.794890	9.810460	9.788660	9.806420	9.811910
Tunisian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
U.A.E. Dirham	5.724430	5.711280	5.714640	5.698010	5.704640	5.693110	5.682980	5.704640	5.711150	5.704470	5.716440
Peso Uruguayo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bolivar Fuerte	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA

Currency units per SDR for October 2007 Continued

Currency	October 16, 2007	October 17, 2007	October 18, 2007	October 19, 2007	October 22, 2007	October 23, 2007	October 24, 2007	October 25, 2007	October 26, 2007	October 29, 2007	October 30, 2007	October 31, 2007
Chinese Yuan	11.670400	11.679800	11.717800	11.726000	11.712100	11.698300	11.698500	11.715000	11.724300	11.726000	11.722400	11.740700
Euro	1.097690	1.094420	1.091000	1.093180	1.101560	1.094130	1.097050	1.093560	1.089550	1.090520	1.088950	1.088040
Japanese Yen	182.319000	180.895000	181.773000	179.778000	177.581000	178.695000	179.214000	178.431000	179.132000	179.174000	179.664000	180.374000
U.K. Pound Sterling	0.764918	0.764053	0.762881	0.762364	0.766436	0.764117	0.761806	0.763003	0.764123	0.761458	0.759734	0.758047
U.S. Dollar	1.553240	1.554080	1.560020	1.561930	1.560460	1.559570	1.561100	1.564770	1.567210	1.569360	1.568850	1.571880
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	1.726200	1.758010	1.746160	1.747910	1.756880	1.749370	1.739580	1.734580	1.718620	1.698080	1.711780	1.705600
Bahrain Dinar	0.584017	0.584334	0.586565	0.587285	0.586734	0.586397	0.586972	0.588353	0.589272	0.590082	0.589887	0.591027
Botswana Pula	9.402210	9.339420	9.386410	9.347280	NA	9.310810	9.259170	9.209970	9.164980	9.193710	9.239410	9.235490
Brazilian Real	NA	2.833700	2.828310	2.821310	2.801970	2.838100	2.809820	2.810480	NA	2.784680	2.759140	2.757720
Brunei Dollar	2.277670	2.281080	2.282770	2.287600	2.284680	2.286010	2.282640	2.284720	2.279510	2.279970	2.277810	2.277980
Canadian Dollar	1.518910	1.513210	1.518520	1.505390	1.530970	1.508720	1.516140	1.513760	1.507500	1.498430	1.495900	1.493130
Chilean Peso	770.731000	776.355000	780.884000	785.960000	781.464000	786.411000	785.855000	789.659000	784.548000	776.476000	776.343000	777.514000
Colombian Peso	3,073.810000	3,115.270000	3,110.770000	3,152.830000	3,132.220000	3,154.620000	3,132.610000	NA	NA	3,147.010000	NA	3,142.880000
Czech Koruna	30.215100	30.051200	29.953800	29.776600	29.981200	29.748700	NA	29.666500	29.374300	29.414600	29.262200	29.345500
Danish Krone	8.180900	8.157670	8.132200	8.148900	8.211930	8.156540	8.177680	8.151950	8.122550	8.129290	8.117670	8.110890
Hungarian Forint	274.892000	274.715000	274.033000	274.134000	NA	NA	275.753000	275.071000	273.777000	273.273000	273.513000	273.524000
Icelandic Krona	94.592200	94.130900	93.460600	93.450100	95.843300	94.525100	94.946000	95.059700	94.863200	94.648600	94.805600	94.187700
Indian Rupee	61.057900	61.666000	61.573700	62.149200	62.091000	61.899200	61.772600	61.870900	61.920700	61.801600	61.812700	61.806600
Indonesian Rupiah	NA	NA	NA	NA	14,226.800000	14,248.200000	14,257.500000	14,350.500000	14,330.600000	14,279.600000	14,298.500000	14,308.900000
Iranian Rial	14,480.900000	14,491.800000	14,547.100000	NA	14,549.800000	14,544.500000	14,558.800000	14,593.000000	NA	14,634.300000	14,632.700000	14,659.400000
Israeli New Sheqel	6.285950	6.261390	6.260330	6.275850	6.294930	6.277270	6.291210	6.268450	6.256330	6.264920	6.240870	6.234100
Kazakhstani Tenge	187.414000	187.639000	188.419000	188.603000	188.114000	188.255000	188.518000	188.977000	189.272000	189.548000	189.485000	189.947000
Korean Won	1,424.790000	1,426.950000	1,432.870000	1,433.540000	1,428.450000	1,431.060000	1,432.620000	1,435.520000	1,438.080000	1,433.610000	1,425.930000	1,426.330000
Kuwaiti Dinar	0.432966	0.433199	0.434854	0.435388	0.433574	0.433871	0.433360	0.434380	NA	0.435028	0.434728	0.435569
Libyan Dinar	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370
Malaysian Ringgit	5.256930	5.262880	5.261160	5.251220	5.270480	5.268200	5.260890	5.259970	5.249370	5.243700	5.250940	5.252930
Mauritian Rupee	47.156700	47.226200	47.404600	47.490800	47.414900	47.323400	47.288900	47.422600	47.548400	47.503900	47.447600	47.645400
Mexican Peso	16.839900	16.812200	16.868900	16.865100	16.916100	16.880700	16.914200	NA	16.851200	16.809800	16.817700	16.822800
Nepalese Rupee	98.631000	98.683600	NA	NA	NA	NA	NA	NA	99.988000	99.811400	99.778500	99.972000
New Zealand Dollar	2.034630	2.077650	2.074220	2.072350	NA	2.086380	2.063850	2.070900	2.058060	2.040780	2.038000	2.055290
Norwegian Krone	8.414960	8.396380	8.368550	8.386310	8.518900	8.413830	8.497190	8.453230	8.399970	8.421050	8.407740	8.476880
Rial Omani	0.597222	0.597543	0.599826	0.600561	0.599999	0.599653	0.600244	0.601652	0.602595	0.603420	0.603224	0.604390
Pakistani Rupee	94.162800	94.213400	94.573400	94.720300	94.631600	94.577000	94.670100	94.892900	95.204500	95.335200	95.304400	95.488200
Nuevo Sol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Philippine Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Polish Zloty	4.073050	4.065470	4.058540	4.023690	4.018660	4.012760	4.012330	3.993610	3.953620	3.946160	3.959460	3.954070
Qatar Riyal	5.653770	5.656840	5.678460	5.685440	5.680080	5.676820	5.682400	5.695770	5.704670	5.712490	5.710600	5.721670
Russian Ruble	38.677500	38.739300	38.805300	38.812900	38.709900	38.868300	38.857600	38.885700	38.823300	38.760600	38.788000	38.782200
Saudi Arabian Riyal	5.824650	5.827810	5.850070	5.857240	5.851750	5.848360	5.854120	5.867890	5.877060	5.885120	5.883180	5.894560
Singapore Dollar	2.277670	2.281080	2.282770	2.287600	2.284680	2.286010	2.282640	2.284720	2.279510	2.279970	2.277810	2.277980
South African Rand	10.678500	10.567700	10.647100	10.589900	10.712600	10.511500	10.365700	10.327500	10.186900	10.240100	10.330900	10.280100
Sri Lanka Rupee	176.252000	176.362000	176.853000	176.683000	175.975000	175.919000	175.573000	NA	176.293000	176.064000	174.971000	175.137000
Swedish Krona	10.045600	10.035500	10.030900	10.031500	10.022100	10.113800	10.115900	10.116200	10.045800	9.989010	NA	10.005000
Swiss Franc	1.839810	1.838630	1.827720	1.829640	1.828710	1.831710	1.834290	1.826710	1.823450	1.826110	1.827080	1.823070
Thai Baht	53.044800	53.096600	53.310300	53.366300	53.313100	NA	53.333300	53.441600	53.514000	53.556100	53.458500	53.470800
Trinidad And Tobago Dollar	9.796240	9.778130	9.864270	9.855910	9.846490	9.855320	9.879370	9.851630	NA	NA	9.876640	NA
Tunisian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
U.A.E. Dirham	5.704280	5.707340	5.729150	5.736180	5.730790	5.727510	5.733120	5.746600	5.755590	5.763490	5.761600	5.772740
Peso Uruguayo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
