Currency units per SDR for November 2007
Currency	November 01, 2007	November 02, 2007	November 05, 2007	November 06, 2007	November 07, 2007	November 08, 2007	November 09, 2007	November 12, 2007	November 13, 2007	November 14, 2007	November 15, 2007
Chinese Yuan	11.706100	11.752100	11.738900	11.762400	11.813100	11.775300	11.785400	11.744200	11.772600	11.790900	11.758900
Euro	1.088670	1.087670	1.086670	1.084220	1.077410	1.081330	1.082300	1.086540	1.084600	1.079240	1.081000
Japanese Yen	181.090000	180.556000	180.423000	180.512000	180.822000	178.807000	178.858000	174.405000	174.350000	176.496000	176.288000
U.K. Pound Sterling	0.754102	0.755139	0.756327	0.755550	0.755025	0.754461	0.756916	0.764877	0.765796	0.767754	0.773826
U.S. Dollar	1.570190	1.574840	1.574370	1.577210	1.586160	1.585870	1.589140	1.584060	1.584280	1.586480	1.582470
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	1.687470	1.717760	1.710530	1.709900	1.691720	1.715570	1.711510	1.775060	1.781890	1.757680	1.758110
Bahrain Dinar	0.590392	0.592140	0.591965	0.593032	0.596395	0.596289	0.597518	0.595607	0.595688	0.596516	0.595011
Botswana Pula	9.241890	9.252920	9.261060	9.207260	9.227220	9.220160	9.309510	9.428980	9.447060	9.398580	9.380420
Brazilian Real	2.737160	NA	2.868040	2.767690	2.746750	2.758150	2.756520	2.769260	2.809240	2.803950	NA
Brunei Dollar	2.272380	2.285720	2.281110	2.287590	2.289460	NA	2.289000	2.292140	2.303220	2.290730	2.288100
Canadian Dollar	1.491520	NA	1.470310	1.458130	1.454510	1.475810	1.492360	NA	1.527720	1.524130	1.552090
Chilean Peso	NA	776.621000	781.317000	790.545000	794.508000	NA	801.199000	801.218000	803.846000	804.027000	799.086000
Colombian Peso	3,121.050000	NA	3,170.980000	3,176.690000	3,192.760000	3,209.790000	3,232.220000	3,240.350000	3,240.780000	NA	3,215.650000
Czech Koruna	29.422200	29.298400	29.308600	29.221000	29.009200	29.081700	28.933500	28.955100	28.943100	28.810600	28.772500
Danish Krone	8.114580	8.107470	8.100450	8.081920	8.031030	8.061010	8.067250	8.097430	8.082960	8.042210	8.056390
Hungarian Forint	NA	NA	274.996000	273.646000	273.009000	274.324000	273.030000	275.817000	275.965000	273.684000	274.844000
Icelandic Krona	92.311400	92.899700	93.187100	92.724000	92.790200	95.263500	95.220900	96.009800	96.038400	94.459000	95.881900
Indian Rupee	61.739800	62.001700	61.904600	61.968600	62.288200	62.388100	NA	62.301000	62.404800	62.396300	62.159700
Indonesian Rupiah	14,254.200000	14,387.800000	14,392.900000	14,475.600000	14,449.900000	14,526.600000	14,493.000000	14,521.100000	14,540.500000	14,552.800000	14,658.500000
Iranian Rial	14,643.600000	NA	14,684.200000	NA	14,792.500000	14,789.800000	NA	14,773.000000	14,775.000000	14,795.500000	14,759.700000
Israeli New Sheqel	6.224250	6.250550	6.231380	6.215770	6.222500	6.227740	6.240560	6.276050	6.267390	6.236470	6.225450
Kazakhstani Tenge	189.820000	190.446000	190.499000	190.842000	191.798000	191.430000	191.730000	191.244000	191.175000	191.362000	190.910000
Korean Won	1,416.780000	1,420.820000	1,428.110000	1,429.110000	1,440.390000	1,434.260000	1,442.620000	1,435.320000	1,442.170000	1,453.220000	1,445.430000
Kuwaiti Dinar	0.434707	0.435996	0.435551	0.436334	0.438571	0.438335	0.439238	0.437201	0.437736	0.438187	0.437080
Libyan Dinar	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370
Malaysian Ringgit	5.229520	5.266260	5.271010	5.287590	5.285080	NA	5.279130	5.289970	5.311290	5.301240	5.319490
Mauritian Rupee	NA	NA	47.724700	47.735400	47.735400	47.590300	NA	47.442600	47.502100	NA	47.312400
Mexican Peso	16.744400	NA	16.894300	16.886400	17.040900	17.144500	17.291100	17.326200	17.259300	17.242700	17.271900
Nepalese Rupee	99.471800	99.766500	99.736700	99.916100	100.483000	100.465000	NA	100.350000	100.364000	100.504000	100.250000
New Zealand Dollar	2.030510	2.074340	NA	2.048590	2.033790	2.048660	2.048390	2.088420	2.128260	2.090500	2.075370
Norwegian Krone	8.523770	8.530600	8.492930	8.435260	8.367150	8.370580	8.454370	8.555340	8.578090	8.555710	8.640950
Rial Omani	0.603737	0.605528	0.605345	0.606435	0.609879	0.609767	0.611023	0.609073	0.609154	0.610002	0.608461
Pakistani Rupee	95.385300	95.668100	95.621500	95.793700	96.336300	96.319600	96.517600	96.209400	96.222300	96.356800	96.113200
Nuevo Sol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Philippine Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Polish Zloty	NA	3.966080	3.964430	NA	3.913360	3.937570	3.912470	3.949870	3.961640	3.926540	3.960620
Qatar Riyal	5.715490	5.732430	5.730720	5.741060	5.773610	5.772570	5.784460	5.765980	5.766780	5.774810	5.760200
Russian Ruble	38.759700	38.847300	NA	38.836000	38.880400	38.827000	38.847800	38.801000	38.860200	38.855600	38.710500
Saudi Arabian Riyal	5.888210	5.905660	5.903920	5.914530	5.948100	5.947040	5.959260	5.940250	5.941030	5.949300	5.934260
Singapore Dollar	2.272380	2.285720	2.281110	2.287590	2.289460	NA	2.289000	2.292140	2.303220	2.290730	2.288100
South African Rand	10.316200	10.362500	NA	10.267600	10.310000	10.260600	10.432700	10.716200	10.709700	10.605600	10.555100
Sri Lanka Rupee	174.589000	174.726000	174.239000	174.205000	174.834000	NA	175.418000	175.035000	174.859000	175.301000	174.833000
Swedish Krona	10.010000	10.082900	10.079900	10.066500	10.008600	10.026700	10.011600	10.019200	10.056200	10.010700	9.926050
Swiss Franc	1.823780	1.815320	1.816040	1.805590	1.795530	1.795360	1.784130	1.785240	1.784530	1.776540	1.780440
Thai Baht	53.380300	53.442200	53.524000	53.634500	53.979900	NA	53.957800	53.728200	53.621300	53.674000	53.551000
Trinidad And Tobago Dollar	9.895310	NA	9.920730	NA	9.988510	NA	9.993100	NA	9.976950	10.016400	9.995700
Tunisian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
U.A.E. Dirham	5.766510	5.783620	5.781880	5.792300	5.825160	5.824110	5.836110	5.817470	5.818250	5.826350	5.811620
Peso Uruguayo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bolivar Fuerte	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA

Currency units per SDR for November 2007 Continued

Currency	November 16, 2007	November 19, 2007	November 20, 2007	November 21, 2007	November 22, 2007	November 23, 2007	November 26, 2007	November 27, 2007	November 28, 2007	November 29, 2007	November 30, 2007
Chinese Yuan	11.753300	11.774300	11.812500	11.816600	11.825900	11.809200	11.808200	11.805700	11.750400	11.761400	11.766900
Euro	1.079180	1.081360	1.075950	1.075740	1.075950	1.077730	1.075750	1.074450	1.078230	1.078670	1.077280
Japanese Yen	174.000000	175.894000	174.590000	173.703000	173.833000	NA	173.270000	172.998000	172.522000	174.840000	175.397000
U.K. Pound Sterling	0.775621	0.771861	0.771260	0.773934	0.772881	0.774954	0.771772	0.772231	0.770458	0.770713	0.769539
U.S. Dollar	1.581110	1.584630	1.590800	1.593600	1.595530	1.596010	1.596950	1.598130	1.590070	1.589750	1.590180
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	1.785350	1.774100	1.800360	1.797230	1.822840	1.826940	1.806710	1.818960	1.815560	1.800390	1.793770
