Currency units per SDR for July 2008
Currency	July 01, 2008	July 02, 2008	July 03, 2008	July 04, 2008	July 07, 2008	July 08, 2008	July 09, 2008	July 10, 2008	July 11, 2008	July 14, 2008	July 15, 2008
Chinese Yuan	11.220300	11.190400	11.213900	11.162200	11.130100	11.149900	11.157800	11.137400	11.152200	11.154000	11.230500
Euro	1.036710	1.031730	1.030140	1.037730	1.037150	1.036400	1.034520	1.035240	1.029690	1.031050	1.029380
Japanese Yen	173.714000	172.860000	173.455000	173.600000	174.175000	174.058000	174.719000	173.837000	174.497000	174.338000	174.226000
U.K. Pound Sterling	0.818116	0.821328	0.823167	0.820661	0.824865	0.824069	0.823744	0.823371	0.824362	0.822795	0.818197
U.S. Dollar	1.635420	1.630750	1.636370	1.626230	1.623250	1.625800	1.625750	1.626160	1.630510	1.633910	1.645970
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	1.711940	1.698880	1.700300	1.690460	1.689830	1.703660	1.708610	1.693390	1.698090	1.687580	1.688180
Bahrain Dinar	0.614915	0.613162	0.615275	0.611460	0.610340	0.611303	0.611281	0.611438	0.613072	0.614349	0.618885
Botswana Pula	10.668100	10.637700	10.646500	10.546200	10.540600	10.577800	10.495500	10.539000	10.563700	10.500700	10.578200
Brazilian Real	2.602110	2.617850	2.615740	2.615130	2.612130	2.606650	2.604280	2.615520	2.631480	2.618180	2.622690
Brunei Dollar	2.224820	2.222060	2.222190	2.213130	2.211030	2.216130	2.215890	2.213530	2.217820	2.215740	2.219100
Canadian Dollar	NA	1.651790	1.670080	1.651430	1.651330	1.659460	1.643300	1.642750	1.645510	1.643880	1.649260
Chilean Peso	860.311000	863.073000	846.446000	831.262000	828.748000	824.933000	822.220000	817.261000	820.796000	823.438000	820.156000
Colombian Peso	3,144.940000	3,123.600000	2,975.910000	2,843.340000	2,838.140000	2,795.540000	2,823.100000	2,811.210000	2,882.880000	2,906.400000	2,886.230000
Czech Koruna	24.698100	24.586900	24.532500	24.585200	24.425000	24.458500	24.304900	24.291600	24.213000	24.026600	24.059200
Danish Krone	7.731260	7.694560	7.682260	7.738380	7.734310	7.729050	7.717240	7.722960	7.682320	7.692430	7.678780
Hungarian Forint	244.495000	243.961000	243.410000	242.063000	242.303000	240.391000	239.407000	238.965000	238.820000	237.080000	238.485000
Icelandic Krona	130.048000	128.177000	128.537000	125.675000	124.763000	125.236000	123.101000	122.808000	123.690000	125.353000	128.024000
Indian Rupee	70.764400	70.676900	70.855200	70.269100	69.994700	70.510900	70.118400	70.185300	69.655300	69.963800	71.056500
Indonesian Rupiah	15,070.400000	15,051.800000	15,082.400000	14,992.200000	14,948.500000	14,962.300000	14,943.900000	14,915.200000	14,940.300000	14,958.400000	15,009.600000
Iranian Rial	15,008.200000	14,944.200000	14,940.100000	NA	14,981.000000	14,944.400000	14,987.800000	14,980.200000	NA	14,953.500000	NA
Israeli New Sheqel	5.459020	5.355380	5.323110	5.322630	5.269060	5.309860	5.251160	5.389090	5.511130	5.439280	5.434990
Kazakhstani Tenge	197.477000	196.750000	197.314000	196.058000	195.666000	195.974000	195.870000	195.757000	195.987000	196.412000	197.846000
Korean Won	1,707.210000	1,705.280000	1,713.440000	1,687.370000	1,700.520000	1,692.460000	1,677.280000	1,650.070000	1,630.830000	1,637.180000	1,652.060000
Kuwaiti Dinar	0.433221	0.431986	0.433311	0.430624	0.430485	0.431001	0.431311	0.431258	0.432410	0.433313	0.436348
Libyan Dinar	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370
Malaysian Ringgit	5.341280	5.339090	5.344390	5.313690	5.301520	5.299300	5.287730	5.272820	5.293440	5.287340	5.290980
Mauritian Rupee	44.457300	44.239600	44.359100	43.896400	43.674600	43.772700	43.674400	43.610000	43.705500	43.695400	43.843900
Mexican Peso	16.993300	16.914500	16.967900	16.817000	16.762200	16.804800	16.744100	16.761800	16.813800	16.817000	16.991200
Nepalese Rupee	112.664000	113.256000	113.237000	112.697000	112.329000	112.668000	112.908000	112.368000	112.668000	112.005000	113.243000
New Zealand Dollar	2.146500	2.153090	2.152560	2.151380	2.139800	2.158530	2.161610	2.148740	2.149360	2.151300	2.155820
Norwegian Krone	8.297930	8.295180	8.290020	8.287270	8.282120	8.305230	8.325770	8.344670	8.299790	8.302540	8.273150
Rial Omani	0.628816	0.627026	0.629184	0.625285	0.624138	0.625121	0.625098	0.625258	0.626932	0.628239	0.632875
Pakistani Rupee	NA	112.253000	113.987000	113.011000	114.429000	118.342000	116.450000	115.892000	114.868000	114.288000	115.214000
Nuevo Sol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Philippine Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Polish Zloty	3.482290	3.460780	3.459290	3.447430	3.440150	3.416620	3.406910	3.389410	3.376780	3.354250	3.358600
Qatar Riyal	5.952910	5.935950	5.956390	5.919470	5.908630	5.917930	5.917720	5.919230	5.935040	5.947420	5.991320
Russian Ruble	38.381400	38.183500	38.251600	38.236700	38.241900	38.210200	38.066400	38.111200	38.109300	37.955700	38.063900
Saudi Arabian Riyal	6.132820	6.115310	6.136400	6.098340	6.087210	6.096740	6.096560	6.098120	6.114410	6.127150	6.172380
Singapore Dollar	2.224820	2.222060	2.222190	2.213130	2.211030	2.216130	2.215890	2.213530	2.217820	2.215740	2.219100
South African Rand	12.903400	12.760600	12.780100	12.538200	12.547700	12.624300	12.428800	12.488900	12.636400	12.450400	12.616400
Sri Lanka Rupee	176.172000	175.606000	176.304000	175.185000	174.752000	175.066000	175.018000	175.024000	175.566000	175.899000	177.206000
Swedish Krona	9.841160	9.756000	9.752770	9.741080	NA	9.766960	9.778900	9.765150	9.778990	9.742220	9.801710
Swiss Franc	1.658640	1.668420	1.656660	1.669480	1.672760	1.668720	1.678090	1.679170	1.674530	1.673120	1.651240
Thai Baht	54.825800	NA	54.873600	54.473600	54.299400	54.716300	54.766600	54.782200	54.900700	55.030000	55.382000
Trinidad And Tobago Dollar	10.130700	10.103500	10.140900	10.088800	10.076700	10.189200	10.093100	10.101200	10.126900	10.169800	10.259000
Tunisian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
U.A.E. Dirham	6.006080	5.988920	6.009580	5.972320	5.961390	5.970760	5.970540	5.972070	5.988020	6.000530	6.044820
Peso Uruguayo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bolivar Fuerte	NA	NA	NA	NA	3.481230	NA	NA	NA	NA	NA	NA

Currency units per SDR for July 2008 Continued

Currency	July 16, 2008	July 17, 2008	July 18, 2008	July 21, 2008	July 22, 2008	July 23, 2008	July 24, 2008	July 25, 2008	July 28, 2008	July 29, 2008	July 30, 2008	July 31, 2008
Chinese Yuan	11.197600	11.162100	11.154200	11.170200	11.175900	11.117700	11.097500	11.123000	11.120300	11.100400	11.075900	11.084900
Euro	1.034500	1.032830	1.033510	1.031750	1.029110	1.034410	1.036480	1.035730	1.034360	1.036300	1.039480	1.038290
Japanese Yen	172.234000	171.715000	174.004000	NA	174.440000	174.762000	175.244000	174.891000	175.867000	174.794000	175.170000	175.039000
U.K. Pound Sterling	0.820042	0.817655	0.819101	0.819101	0.817408	0.814704	0.818250	0.816200	0.819182	0.817882	0.818491	0.818418
U.S. Dollar	1.643610	1.636940	1.634600	1.636160	1.638250	1.628270	1.624880	1.629620	1.628700	1.627500	1.620450	1.620880
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	1.679560	1.674960	1.681000	1.677420	1.679560	1.680880	1.694880	1.700350	1.707050	1.698320	1.709690	1.718130
Bahrain Dinar	0.617997	0.615491	0.614609	0.615195	0.615980	0.612227	0.610956	0.612738	0.612392	0.611943	0.609288	0.609451
Botswana Pula	10.563100	10.479800	10.444800	NA	NA	10.410900	10.422600	10.473100	10.400400	10.333400	10.256000	10.219900
Brazilian Real	2.613680	2.611250	2.599840	2.606390	2.590070	2.573150	2.571540	2.570400	2.563080	2.562670	2.547670	2.533920
Brunei Dollar	2.215270	2.210520	2.211450	2.211100	2.215890	2.210700	2.213090	2.218080	2.221220	2.217800	2.215150	2.216720
Canadian Dollar	1.646410	1.639560	1.643270	1.639590	1.652170	1.642600	1.643410	1.656340	1.664850	1.669980	1.659660	1.662540
Chilean Peso	NA	807.096000	799.143000	810.156000	811.096000	798.257000	804.072000	804.835000	800.910000	803.323000	801.083000	814.949000
Colombian Peso	2,920.990000	2,894.980000	2,873.290000	2,925.840000	2,952.130000	2,926.700000	2,879.690000	2,896.000000	2,907.500000	2,871.700000	2,900.080000	2,905.010000
Czech Koruna	24.019800	23.896100	23.844000	23.696500	23.679200	24.577100	24.444700	24.439400	24.508700	24.580200	24.890000	24.869200
Danish Krone	7.715930	7.703740	7.709920	7.698290	7.678310	7.718670	7.733770	7.728450	7.718070	7.732580	7.756450	7.747010
Hungarian Forint	240.362000	238.486000	236.102000	236.228000	236.087000	240.560000	241.246000	239.538000	239.614000	239.259000	239.340000	240.004000
Icelandic Krona	128.087000	125.717000	129.444000	128.242000	129.454000	129.399000	130.608000	132.244000	134.009000	130.819000	129.636000	128.552000
Indian Rupee	70.954700	70.290400	69.928100	69.880200	69.969700	68.924600	68.180300	68.818900	68.893800	69.233900	68.820300	68.871500
Indonesian Rupiah	15,009.500000	14,956.700000	14,955.000000	14,965.900000	15,021.100000	14,874.200000	14,840.100000	14,888.200000	14,842.300000	14,864.000000	NA	14,779.200000
Iranian Rial	NA	14,987.800000	NA	14,964.300000	14,965.400000	15,022.400000	15,013.900000	NA	15,002.000000	14,997.500000	NA	15,040.200000
Israeli New Sheqel	5.496260	5.521380	5.531490	5.607110	5.676530	5.654990	5.669220	5.680850	5.663000	5.637680	5.621330	5.624460
Kazakhstani Tenge	197.332000	196.515000	196.381000	196.649000	196.917000	195.686000	195.246000	195.864000	195.721000	195.593000	194.745000	194.814000
Korean Won	1,653.970000	1,649.380000	1,650.790000	1,656.770000	1,664.130000	1,656.760000	1,646.660000	1,644.120000	1,641.400000	1,637.590000	1,636.650000	1,634.660000
Kuwaiti Dinar	0.435722	0.434116	0.433497	0.434235	0.434626	0.432305	0.431730	0.432990	0.432582	0.432102	0.430715	NA
Libyan Dinar	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370
Malaysian Ringgit	5.298180	5.284850	5.300200	5.295400	5.310360	5.278050	5.270310	5.298720	5.316580	5.304030	5.286700	5.288930
Mauritian Rupee	43.597900	43.353300	43.279000	43.427500	43.432200	43.109400	42.915300	43.196000	43.206600	43.264200	43.161500	43.291200
Mexican Peso	16.864800	16.747700	16.680700	16.641000	16.575400	16.372600	16.291700	16.327200	16.402000	16.374300	16.259600	16.266000
Nepalese Rupee	113.738000	113.113000	112.379000	112.077000	112.220000	111.211000	109.923000	110.244000	110.344000	110.605000	110.595000	110.301000
New Zealand Dollar	2.129590	2.123960	2.140930	2.153970	2.152470	2.145000	2.181930	2.190940	2.192940	2.185450	2.192760	2.207080
Norwegian Krone	8.344320	8.328750	8.329100	8.314420	8.290020	8.368340	8.395460	8.370230	8.352470	8.365540	8.360500	8.327570
Rial Omani	0.631971	0.629402	0.628504	0.629101	0.629905	0.626068	0.624766	0.626590	0.626233	0.625774	0.623061	0.623228
Pakistani Rupee	116.451000	117.888000	116.756000	116.066000	116.101000	115.399000	115.058000	115.524000	116.149000	115.820000	115.861000	115.878000
Nuevo Sol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Philippine Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Polish Zloty	3.332590	3.328060	3.319720	3.308300	3.314990	3.373770	3.356200	3.327690	3.322550	3.335400	3.328230	3.324270
Qatar Riyal	5.982760	5.958450	5.949970	5.955610	5.963210	5.926910	5.914570	5.931830	5.928460	5.924100	5.898420	5.900020
Russian Ruble	38.072300	38.017900	37.912500	37.978500	38.000700	37.974400	37.986800	38.063300	38.048000	37.966100	37.992300	37.958700
Saudi Arabian Riyal	6.163560	6.138510	6.129780	6.135570	6.143410	6.106010	6.093330	6.111090	6.107620	6.103140	6.076660	6.078330
Singapore Dollar	2.215270	2.210520	2.211450	2.211100	2.215890	2.210700	2.213090	2.218080	2.221220	2.217800	2.215150	2.216720
South African Rand	12.557200	12.358900	12.316700	12.385700	NA	12.236400	12.284100	12.360700	12.231500	12.190000	11.975100	11.881100
Sri Lanka Rupee	176.951000	NA	175.867000	175.925000	176.116000	175.254000	175.132000	175.447000	175.401000	175.138000	174.274000	174.296000
Swedish Krona	9.820580	9.797100	9.778990	9.735110	9.743450	9.769630	9.810270	9.822510	9.821060	9.769060	9.823950	9.814410
Swiss Franc	1.651010	1.667550	1.670240	1.669700	1.666910	1.685260	1.686790	1.681770	1.682940	1.684950	1.697090	1.698200
Thai Baht	55.043000	54.844100	54.765700	54.632900	54.579800	54.327200	54.219100	54.523800	54.476600	54.451400	54.275300	54.356400
Trinidad And Tobago Dollar	10.253700	10.165100	10.159600	10.164100	10.172500	10.132100	10.099800	10.135900	10.133800	10.104400	10.087900	10.100000
Tunisian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
U.A.E. Dirham	6.036170	6.011670	6.003090	6.008780	6.016450	5.979820	5.967370	5.984760	5.981400	5.977000	5.951110	5.952700
Peso Uruguayo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
