Currency units per SDR for October 2008
Currency	October 01, 2008	October 02, 2008	October 03, 2008	October 06, 2008	October 07, 2008	October 08, 2008	October 09, 2008	October 10, 2008	October 13, 2008	October 14, 2008	October 15, 2008
Chinese Yuan	NA	NA	NA	10.424200	10.431800	10.468200	10.470400	10.427200	10.434600	10.467700	10.462400
Euro	1.098180	1.103920	1.109950	1.119100	1.119680	1.115900	1.120290	1.123850	1.120360	1.114820	1.124740
Japanese Yen	163.759000	162.380000	161.289000	158.223000	157.138000	153.072000	154.044000	151.082000	NA	157.603000	155.391000
U.K. Pound Sterling	0.867905	0.871293	0.867513	0.868297	0.876255	0.878634	0.885740	0.900552	0.885159	0.872022	0.872494
U.S. Dollar	1.546350	1.534780	1.535500	1.525770	1.526350	1.532250	1.532780	1.526080	1.528050	1.533100	1.532450
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	1.942170	1.940790	1.967580	NA	NA	2.173090	NA	2.329540	2.314530	2.164480	2.194550
Bahrain Dinar	0.581429	0.577077	0.577347	0.573691	0.573908	0.576126	0.576322	0.573806	0.574548	0.576445	NA
Botswana Pula	NA	10.815900	10.890100	11.008500	11.100700	11.529300	11.237400	11.482900	NA	11.141700	11.565700
Brazilian Real	2.958950	2.947550	3.082220	3.132720	3.321500	3.351790	3.665780	3.328370	3.494960	3.304440	3.184590
Brunei Dollar	NA	2.207930	2.224020	2.224730	2.229850	2.247810	2.251190	2.262110	2.254640	2.238170	2.251020
Canadian Dollar	1.640520	1.652810	1.660180	1.682470	1.687840	1.723630	1.760550	1.817100	NA	1.778700	1.808600
Chilean Peso	852.522000	852.660000	877.570000	867.175000	900.179000	901.526000	930.674000	932.218000	972.129000	945.492000	925.292000
Colombian Peso	3,378.410000	3,324.410000	3,366.880000	3,295.790000	3,435.410000	3,465.880000	3,565.860000	NA	NA	3,554.700000	3,408.080000
Czech Koruna	26.922000	27.322200	27.517700	27.608900	27.404100	27.387400	27.645200	28.021900	27.625700	27.439400	27.838600
Danish Krone	8.192890	8.235200	8.281570	8.348290	8.355410	8.318290	8.349960	8.371280	8.349620	8.309100	8.383780
Hungarian Forint	264.132000	268.157000	272.091000	279.293000	281.077000	284.202000	277.448000	296.166000	283.836000	284.451000	300.207000
Icelandic Krona	167.253000	170.806000	172.944000	174.335000	153.200000	194.289000	161.585000	169.273000	169.033000	167.951000	168.080000
Indian Rupee	72.616900	NA	71.984400	72.413400	73.279900	74.681500	NA	74.350500	73.560800	73.144300	74.217000
Indonesian Rupiah	NA	NA	NA	14,578.800000	14,740.000000	14,698.900000	14,753.000000	14,728.200000	15,074.200000	14,883.300000	14,975.100000
Iranian Rial	NA	15,048.500000	NA	15,103.600000	15,109.300000	15,140.100000	14,987.500000	NA	14,883.300000	14,904.800000	15,010.400000
Israeli New Sheqel	NA	5.362530	5.320510	5.286810	5.346820	NA	NA	5.486250	5.511710	NA	5.561270
Kazakhstani Tenge	185.315000	184.127000	184.260000	183.047000	183.132000	183.931000	183.857000	182.901000	NA	183.742000	183.695000
Korean Won	1,878.510000	1,828.230000	NA	1,846.640000	1,926.100000	2,045.090000	2,104.040000	2,167.490000	2,097.710000	1,919.750000	1,846.610000
Kuwaiti Dinar	NA	0.408712	0.408904	0.408297	0.408757	0.409569	0.409251	NA	0.407686	0.408724	0.408859
Libyan Dinar	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370
Malaysian Ringgit	NA	NA	5.337400	5.314260	5.315530	5.360580	5.368550	5.358830	5.363910	5.351290	5.378140
Mauritian Rupee	NA	43.084700	43.614400	43.896800	44.428800	44.974500	45.177700	45.260700	45.553300	46.064100	46.268200
Mexican Peso	16.980700	17.081500	17.072900	17.953300	18.498800	19.983100	19.072800	19.971300	18.908600	18.926100	19.491600
Nepalese Rupee	116.518000	114.878000	114.932000	NA	NA	NA	NA	NA	118.577000	118.202000	118.152000
New Zealand Dollar	2.305920	2.280850	2.341770	2.317400	2.422780	2.449640	2.532260	2.528710	2.498450	2.498130	2.461770
Norwegian Krone	9.071040	9.152650	9.203610	9.342130	9.384030	9.370750	9.370050	9.460020	9.442960	9.406360	9.676700
Rial Omani	0.594573	0.590124	0.590399	0.586662	0.586882	0.589150	0.589352	0.586779	0.587537	0.589477	0.589230
Pakistani Rupee	120.670000	119.767000	119.824000	119.669000	119.523000	122.039000	121.542000	120.757000	121.118000	122.129000	123.558000
Nuevo Sol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Philippine Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Polish Zloty	3.695010	3.755610	3.789000	3.858830	3.884720	3.929910	3.806650	3.985350	3.977380	3.932700	3.984080
Qatar Riyal	5.628730	5.586590	5.589220	5.553830	5.555930	5.577370	5.579300	5.554940	5.562110	5.580480	5.578150
Russian Ruble	39.590200	39.630000	39.768400	39.942300	39.958400	40.088000	39.958800	39.995500	39.899100	39.994100	40.050300
Saudi Arabian Riyal	5.798820	5.755430	5.758150	5.721640	5.723800	5.745940	5.747920	5.722790	5.730200	5.749140	5.746700
Singapore Dollar	NA	2.207930	2.224020	2.224730	2.229850	2.247810	2.278780	2.262110	2.254640	2.238170	2.251020
South African Rand	12.788300	12.938200	13.082500	13.259000	13.615100	14.158000	13.856300	14.253600	14.081000	13.598600	14.297800
Sri Lanka Rupee	NA	165.855000	165.860000	164.780000	164.840000	165.483000	165.545000	164.838000	165.032000	NA	165.502000
Swedish Krona	10.638900	10.797200	10.790700	10.962700	10.848500	10.901900	10.802200	10.907600	10.784200	10.877300	11.037500
Swiss Franc	1.726660	1.737530	1.736190	1.743200	1.746150	1.741860	1.730960	1.702030	1.730680	1.731640	1.737500
Thai Baht	52.613000	52.101200	52.283800	52.161600	52.454600	52.842700	52.938900	52.489600	NA	52.533100	52.241400
Trinidad And Tobago Dollar	9.668750	NA	9.593980	NA	9.521720	9.556210	9.559320	9.529710	9.491630	9.571300	NA
Tunisian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
U.A.E. Dirham	5.678980	5.636470	5.639140	5.603400	5.605540	5.627180	5.629110	5.604530	5.611770	5.630310	5.627940
Peso Uruguayo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bolivar Fuerte	3.316310	3.291490	3.293040	3.272180	3.273420	3.286060	3.287190	NA	NA	NA	NA

Currency units per SDR for October 2008 Continued

Currency	October 16, 2008	October 17, 2008	October 20, 2008	October 21, 2008	October 22, 2008	October 23, 2008	October 24, 2008	October 27, 2008	October 28, 2008	October 29, 2008	October 30, 2008	October 31, 2008
Chinese Yuan	10.401000	10.383900	10.386300	10.310300	10.204500	10.203900	10.171300	10.104000	10.132900	10.179700	10.263900	10.158800
Euro	1.127530	1.134060	1.132860	1.144840	1.162670	1.165110	1.181300	1.186240	1.183210	1.166830	1.153380	1.166650
Japanese Yen	152.600000	154.442000	155.421000	153.653000	148.800000	145.519000	142.101000	138.937000	138.724000	145.279000	148.088000	146.300000
U.K. Pound Sterling	0.884924	0.878874	0.873294	0.887028	0.912167	0.919540	0.957203	0.960273	0.941433	0.927506	0.911835	0.920175
U.S. Dollar	1.522950	1.520090	1.520760	1.509360	1.493220	1.492500	1.487970	1.478060	1.482090	1.490040	1.503430	1.488300
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	2.279520	2.203360	NA	2.172060	2.241400	2.239990	2.284260	2.386270	2.420930	2.336960	2.195110	2.227990
Bahrain Dinar	0.572629	NA	0.571804	0.567521	0.561451	0.561183	0.559475	0.555750	0.557268	0.560255	0.565288	0.559600
Botswana Pula	11.963500	12.045100	11.955600	12.221600	12.433200	12.595000	12.472500	12.462500	12.138400	11.891800	11.791600	11.840100
Brazilian Real	3.280890	3.320800	3.195410	3.194710	NA	NA	NA	3.414900	3.337080	3.232200	3.204100	3.146700
Brunei Dollar	2.255950	2.247760	2.247980	2.228580	2.232970	2.243080	2.237160	NA	2.241070	2.233420	2.203580	2.203720
Canadian Dollar	1.820230	1.797210	1.821260	1.841730	1.866380	1.876520	1.894480	1.911130	1.918270	1.833940	1.837340	1.810510
Chilean Peso	961.483000	958.920000	937.717000	924.377000	942.907000	973.094000	969.236000	985.523000	1,003.010000	999.151000	999.720000	NA
Colombian Peso	3,527.970000	3,503.330000	3,455.130000	NA	3,428.920000	3,502.110000	NA	3,527.350000	3,526.250000	3,549.740000	3,569.290000	3,511.670000
Czech Koruna	27.982700	28.606700	28.321000	28.976800	29.625500	30.057600	29.539100	29.268500	NA	27.860800	28.235800	28.264200
Danish Krone	8.403220	8.451440	8.444160	8.533950	8.665890	8.688930	8.808320	8.840400	8.820680	8.693380	8.590110	8.687640
Hungarian Forint	296.458000	302.195000	300.167000	309.993000	318.639000	NA	NA	323.340000	313.492000	298.247000	293.514000	304.878000
Icelandic Krona	170.373000	171.299000	170.066000	171.901000	174.796000	175.742000	179.970000	178.387000	181.112000	177.002000	175.029000	179.102000
Indian Rupee	74.411400	73.998400	74.258300	NA	73.600800	74.311900	74.324000	74.035700	NA	74.159200	NA	73.298700
Indonesian Rupiah	14,956.900000	14,874.100000	14,911.000000	14,797.800000	14,753.000000	14,820.600000	14,824.600000	15,246.200000	17,404.200000	16,241.500000	15,936.300000	16,363.800000
Iranian Rial	14,996.500000	NA	14,987.000000	NA	14,791.800000	14,840.000000	NA	14,997.800000	14,872.800000	14,797.600000	15,047.800000	NA
Israeli New Sheqel	5.642540	5.683630	5.701320	NA	5.725020	5.732700	5.771840	5.652080	5.597880	5.613000	5.582230	5.630220
Kazakhstani Tenge	182.434000	182.016000	182.126000	180.761000	178.828000	178.787000	178.259000	177.042000	177.525000	178.537000	180.126000	178.313000
Korean Won	1,882.820000	2,018.380000	2,033.550000	1,970.020000	1,976.870000	2,037.860000	2,104.430000	2,113.030000	2,122.510000	2,203.030000	2,126.900000	1,921.990000
Kuwaiti Dinar	0.406780	0.406017	0.406042	0.403603	0.400034	0.399842	0.398627	0.397746	0.398535	0.400002	0.402167	0.398119
Libyan Dinar	1.932370	NA	NA	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370
Malaysian Ringgit	5.367630	5.358340	5.357620	5.321270	5.285240	5.330490	5.319490	NA	5.324420	5.323910	5.340940	5.302060
Mauritian Rupee	46.356400	46.539600	46.581400	46.545800	46.357200	46.723100	47.015000	47.127400	NA	47.902400	48.445200	48.059100
Mexican Peso	19.894800	19.529400	19.407400	19.807800	20.246900	20.152500	19.938800	19.670400	19.814400	19.242700	19.295300	18.920000
Nepalese Rupee	118.333000	118.643000	119.075000	118.108000	117.427000	117.908000	118.591000	118.318000	119.309000	119.948000	121.026000	118.468000
New Zealand Dollar	2.561730	2.464880	2.488140	2.436810	2.447500	2.511360	2.493240	NA	2.737020	2.606790	2.562510	2.527250
Norwegian Krone	10.035000	10.087500	9.954410	10.182300	10.479700	10.666600	10.395400	10.456700	10.116500	9.981040	9.826660	9.951540
Rial Omani	0.585576	NA	0.584730	0.580349	0.574145	0.573868	0.572125	0.568314	0.569866	0.572921	0.578068	0.572249
Pakistani Rupee	123.871000	126.874000	123.666000	122.731000	121.457000	121.456000	121.083000	120.466000	120.811000	121.452000	122.765000	121.480000
Nuevo Sol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Philippine Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Polish Zloty	4.018310	4.029610	4.007790	4.105310	4.302280	4.445870	4.657790	4.555810	4.403890	4.239770	4.104350	4.237490
Qatar Riyal	5.543540	NA	5.535540	5.494080	5.435310	5.432720	5.416210	5.380130	5.394820	5.423760	5.472470	5.417410
Russian Ruble	40.158900	39.903300	39.625000	39.910100	40.199700	40.266700	40.263800	40.425900	40.463900	40.377000	39.905500	40.330100
Saudi Arabian Riyal	5.711050	NA	5.702850	5.660110	5.599570	5.596880	5.579890	5.542710	5.557840	5.587650	5.637840	5.581100
Singapore Dollar	2.255950	2.247760	2.247980	2.228580	2.232970	2.243080	2.237160	NA	2.241070	2.233420	2.203580	2.203720
South African Rand	15.290400	15.482200	15.268400	15.712500	16.261200	17.447400	16.501600	16.554200	15.606400	15.198400	14.853900	15.046700
Sri Lanka Rupee	164.479000	164.172000	164.244000	163.014000	161.271000	161.183000	160.710000	NA	160.079000	160.925000	162.372000	162.751000
Swedish Krona	11.425900	11.233500	11.112900	11.339100	11.747900	11.716200	11.777300	11.950100	11.841900	11.600000	11.170500	11.586400
Swiss Franc	1.725500	1.727280	1.731080	1.740750	1.739750	1.742200	1.719790	1.714100	1.716560	1.712210	1.701730	1.716450
Thai Baht	51.934000	52.107200	52.096600	51.718300	51.280200	51.459900	NA	51.269400	51.496800	52.008300	52.426000	51.777800
Trinidad And Tobago Dollar	9.507780	9.468800	9.473110	9.393200	9.326180	9.295320	9.264580	9.225860	9.256260	NA	9.399110	9.303620
Tunisian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
U.A.E. Dirham	5.593030	NA	5.584970	5.543150	5.483870	5.481220	5.464570	5.428170	5.442980	5.472170	5.521320	5.465770
Peso Uruguayo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
