Currency units per SDR for July 2009
Currency	July 01, 2009	July 02, 2009	July 03, 2009	July 06, 2009	July 07, 2009	July 08, 2009	July 09, 2009	July 10, 2009	July 13, 2009	July 14, 2009	July 15, 2009
Chinese Yuan	10.568600	10.566800	10.554500	10.523600	10.564000	10.544000	10.581000	10.565100	10.591100	10.590900	10.618300
Euro	1.097340	1.101080	1.102560	1.108230	1.102870	1.109970	1.106960	1.112560	1.109280	1.107790	1.103000
Japanese Yen	149.732000	149.400000	147.970000	147.003000	147.375000	145.965000	144.410000	143.954000	143.551000	144.220000	145.394000
U.K. Pound Sterling	0.941176	0.944965	0.946898	0.955639	0.953625	0.960753	0.957130	0.954964	0.963233	0.950516	0.948092
U.S. Dollar	1.546820	1.546910	1.544570	1.540110	1.546110	1.542970	1.548630	1.546570	1.550220	1.549910	1.554020
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	1.924620	1.924010	1.937740	1.937240	1.940890	1.960820	1.987720	1.978970	2.001580	1.973160	1.955720
Bahrain Dinar	0.581602	0.581639	0.580761	0.579082	0.581338	0.580154	0.582286	0.581510	0.582883	0.582768	0.584310
Botswana Pula	NA	10.573500	NA	10.687800	10.684900	10.827800	10.799400	10.899000	10.955700	10.930300	10.874900
Brazilian Real	3.017530	2.990790	NA	2.997210	3.046300	3.029310	3.093240	3.079680	3.122000	3.082310	3.060790
Brunei Dollar	2.240560	2.237910	2.241800	2.240550	2.250680	2.255970	2.263790	2.256130	2.267820	2.261020	2.262030
Canadian Dollar	NA	1.795030	1.794950	1.788380	1.798280	1.798330	1.799820	1.801750	NA	1.761940	1.739570
Chilean Peso	822.538000	827.582000	839.616000	833.771000	835.443000	833.848000	845.630000	846.977000	855.256000	850.405000	852.144000
Colombian Peso	3,318.250000	3,266.620000	3,237.780000	3,213.220000	3,260.880000	3,225.340000	3,264.830000	3,256.080000	3,281.810000	3,232.720000	3,192.250000
Czech Koruna	28.299000	28.379600	28.497400	NA	28.539600	28.899800	28.710100	28.945500	28.868300	28.802100	28.555100
Danish Krone	8.170270	8.198600	8.209570	8.252050	8.212470	8.265830	8.243340	8.284800	8.258660	8.248310	8.212200
Hungarian Forint	297.469000	295.537000	299.416000	303.294000	302.342000	308.532000	305.886000	307.797000	309.843000	305.364000	301.775000
Icelandic Krona	196.275000	196.086000	195.651000	196.333000	196.820000	200.277000	199.681000	200.110000	198.320000	198.141000	198.542000
Indian Rupee	74.386500	NA	74.124000	74.263900	75.017100	75.482000	75.759300	75.302300	76.580800	75.697900	75.711700
Indonesian Rupiah	15,862.600000	15,724.300000	15,839.600000	15,755.300000	15,832.200000	15,800.000000	15,796.000000	15,693.000000	15,796.800000	15,840.100000	15,788.800000
Iranian Rial	15,397.000000	15,353.100000	NA	NA	15,382.200000	15,409.600000	15,470.800000	NA	15,460.400000	15,215.500000	15,459.400000
Israeli New Sheqel	6.017100	5.980360	5.999120	6.031070	6.045290	6.116320	6.126400	6.132150	6.180740	6.137640	6.090210
Kazakhstani Tenge	232.687000	232.670000	NA	231.525000	232.427000	232.402000	233.255000	232.804000	NA	233.169000	234.113000
Korean Won	1,976.680000	1,963.180000	1,951.570000	1,959.330000	1,958.920000	1,957.410000	1,980.390000	1,977.900000	1,980.720000	2,001.560000	2,013.540000
Kuwaiti Dinar	0.444786	0.444350	0.443679	0.443475	0.444816	0.444298	0.445541	0.444947	0.445845	0.445601	0.446470
Libyan Dinar	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370
Malaysian Ringgit	5.447130	5.438920	5.444610	5.446590	5.473240	5.498370	5.536360	5.522790	5.562200	5.560310	5.549390
Mauritian Rupee	49.699300	49.634200	49.553800	49.361800	49.620200	49.620200	50.011500	49.858900	49.932300	49.983800	50.050800
Mexican Peso	20.258900	20.372000	20.454500	20.413700	20.520600	20.727100	21.023900	21.196000	21.409400	21.333800	21.216400
Nepalese Rupee	118.795000	118.725000	118.438000	118.019000	119.947000	119.781000	121.026000	120.632000	121.522000	121.994000	121.757000
New Zealand Dollar	2.395570	2.414400	2.461870	2.450450	2.432520	2.456560	2.472270	2.445550	2.465760	2.445050	2.428530
Norwegian Krone	9.854160	9.840970	9.885620	10.034000	9.988210	10.075100	10.044600	10.106500	10.061300	10.009500	9.947870
Rial Omani	0.594750	0.594785	0.593888	0.592171	0.594481	0.593271	0.595451	0.594654	0.596061	0.595940	0.597521
Pakistani Rupee	NA	125.984000	125.935000	125.704000	126.092000	125.926000	126.686000	126.727000	127.664000	127.885000	128.094000
Nuevo Sol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Philippine Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Polish Zloty	4.853140	4.797430	4.824620	4.848720	4.839030	4.914660	4.835150	4.860080	4.898720	4.829210	4.748610
Qatar Riyal	5.630410	5.630760	5.622240	5.606010	5.627840	5.616400	5.637010	5.629490	5.642830	5.641690	5.656620
Russian Ruble	48.245800	48.147800	48.264900	48.381400	48.655400	49.038400	49.382500	49.544700	51.250000	50.383400	49.801500
Saudi Arabian Riyal	5.800560	5.800900	5.792170	5.775410	5.797910	5.786130	5.807370	5.799620	5.813350	5.812160	5.827570
Singapore Dollar	2.240560	2.237910	2.241800	2.240550	2.250680	2.255970	2.263790	2.256130	2.267820	2.261020	2.262030
South African Rand	NA	11.957600	12.209800	12.320900	12.291600	12.596000	12.536200	12.712800	12.804900	12.717000	12.665200
Sri Lanka Rupee	177.783000	177.797000	177.495000	NA	177.648000	177.290000	177.942000	177.698000	178.120000	178.086000	178.559000
Swedish Krona	11.798300	11.806800	12.047700	12.055200	12.152400	12.289700	12.284500	12.217900	12.332000	12.197800	12.156300
Swiss Franc	1.677210	1.676080	1.680960	1.685810	1.674440	1.681680	1.677170	1.687460	1.676880	1.680880	1.676320
Thai Baht	52.628800	NA	52.611400	NA	NA	NA	52.824000	52.710100	52.836200	52.906400	53.055700
Trinidad And Tobago Dollar	9.736720	9.747250	9.721860	9.672490	9.695940	9.667910	9.722140	9.722140	9.771640	9.808340	9.848140
Tunisian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
U.A.E. Dirham	5.680690	5.681010	5.672440	5.656040	5.678110	5.666560	5.687340	5.679750	5.693200	5.692070	5.707140
Peso Uruguayo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bolivar Fuerte	3.317300	3.317500	3.312490	3.302920	3.315790	3.309040	3.321200	3.316760	3.324610	3.323950	3.332740

Currency units per SDR for July 2009 Continued

Currency	July 16, 2009	July 17, 2009	July 20, 2009	July 21, 2009	July 22, 2009	July 23, 2009	July 24, 2009	July 27, 2009	July 28, 2009	July 29, 2009	July 30, 2009	July 31, 2009
Chinese Yuan	10.624600	10.606900	10.648500	10.642000	10.648200	10.644900	10.647600	10.652900	10.657800	10.611400	10.599200	10.612800
Euro	1.100660	1.102030	1.096290	1.095320	1.098460	1.095220	1.095480	1.092830	1.096500	1.101330	1.103720	1.098690
Japanese Yen	146.689000	145.416000	NA	146.441000	145.750000	146.801000	147.594000	147.905000	148.329000	146.323000	147.351000	148.079000
U.K. Pound Sterling	0.946638	0.953780	0.943574	0.949695	0.950616	0.945287	0.946405	0.947302	0.945296	0.948245	0.940663	0.937664
U.S. Dollar	1.555230	1.552760	1.558600	1.557880	1.558820	1.558390	1.558540	1.559360	1.560200	1.553320	1.551060	1.553330
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	1.948420	1.938770	1.931350	1.915500	1.911730	1.905360	1.910910	1.898880	1.878860	1.884410	1.891310	1.875770
Bahrain Dinar	0.584765	0.583836	0.586033	0.585761	0.586118	0.585957	0.586012	0.586318	0.586638	0.584051	0.583199	0.584051
Botswana Pula	10.830300	10.828200	NA	NA	10.589800	10.529700	10.602300	10.586300	10.642600	10.675800	10.587400	10.632000
Brazilian Real	NA	NA	3.005300	NA	2.967220	2.964220	2.947820	2.955290	2.937700	2.921960	2.942990	2.920730
Brunei Dollar	2.260990	2.256470	2.253890	2.247400	2.250940	2.246270	2.249440	2.246880	2.248570	2.238800	2.243610	2.238040
Canadian Dollar	1.737350	1.734120	1.724910	1.725820	1.711740	1.693510	1.689770	1.689560	1.697500	1.691410	1.677470	1.676040
Chilean Peso	NA	840.506000	829.442000	827.746000	830.213000	831.573000	832.445000	839.278000	843.839000	846.124000	843.049000	841.751000
Colombian Peso	3,139.890000	3,145.440000	3,127.830000	3,126.390000	3,096.370000	3,077.910000	3,044.010000	3,072.100000	3,093.000000	3,128.110000	NA	3,174.030000
Czech Koruna	28.460700	28.581600	28.322900	28.277100	28.359600	28.063600	27.904000	27.875000	27.957300	28.124500	28.234000	28.090400
Danish Krone	8.195110	8.204930	8.163200	8.156270	8.178820	8.154150	8.155540	8.135970	8.163800	8.199540	8.217530	8.180900
Hungarian Forint	302.632000	301.142000	300.155000	298.880000	298.608000	296.937000	293.847000	292.083000	291.072000	296.187000	295.911000	293.704000
Icelandic Krona	197.809000	197.992000	197.475000	196.511000	196.349000	197.230000	196.173000	195.746000	196.149000	198.685000	200.537000	198.904000
Indian Rupee	75.801800	75.604100	75.483100	75.198700	75.400000	75.488800	75.402300	75.176700	75.217400	75.289300	75.211200	74.808300
Indonesian Rupiah	15,692.300000	15,807.100000	NA	15,656.700000	15,689.500000	15,682.100000	15,577.600000	15,559.300000	15,555.200000	15,494.400000	15,495.100000	15,409.000000
Iranian Rial	15,457.400000	NA	NA	15,435.500000	15,457.300000	15,445.300000	NA	15,471.900000	15,472.500000	15,444.700000	15,453.200000	NA
Israeli New Sheqel	6.068510	6.061970	6.081650	6.057050	6.057600	6.048140	6.026860	5.942720	5.899110	5.907300	NA	5.887130
Kazakhstani Tenge	234.404000	234.079000	234.928000	234.897000	235.164000	234.928000	234.918000	235.026000	235.232000	234.179000	233.714000	234.103000
Korean Won	1,994.740000	1,966.880000	1,965.710000	1,951.250000	1,948.530000	1,949.550000	1,949.110000	1,945.300000	1,944.640000	1,929.070000	1,922.540000	1,926.900000
Kuwaiti Dinar	0.446662	NA	0.447319	0.446722	0.447225	NA	0.447145	0.447379	0.447467	0.445804	0.446008	0.446660
Libyan Dinar	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370
Malaysian Ringgit	NA	5.553430	5.541610	5.514900	5.535380	5.519070	5.513320	5.496740	5.493480	5.470040	5.490760	5.467740
Mauritian Rupee	50.073600	49.792600	49.812700	49.557900	49.554500	49.497800	49.505200	49.465500	49.420500	49.307700	49.402700	49.485400
Mexican Peso	21.130900	20.790700	20.754000	20.700900	20.625100	20.557600	20.611200	20.609500	20.723400	20.603700	20.508600	20.523400
Nepalese Rupee	121.168000	121.100000	121.493000	120.299000	120.513000	120.479000	120.802000	120.304000	120.354000	119.761000	120.099000	120.399000
New Zealand Dollar	2.398560	2.398820	2.412700	2.370120	2.375890	2.365860	2.377270	2.379610	2.378720	2.368960	2.389190	2.382410
Norwegian Krone	9.907560	9.913950	9.875960	9.804790	9.798250	9.774880	9.705910	9.617970	9.611960	9.679700	9.656420	9.575060
Rial Omani	0.597986	0.597036	0.599283	0.599003	0.599366	0.599204	0.599258	0.599574	0.599898	0.597254	0.596381	0.597254
Pakistani Rupee	128.087000	127.703000	128.070000	127.973000	127.975000	128.102000	128.334000	128.843000	129.624000	129.107000	129.119000	129.303000
Nuevo Sol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Philippine Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Polish Zloty	4.747640	4.756110	4.712580	4.677220	4.690650	4.648700	4.623100	4.558010	4.561570	4.602800	4.612400	4.586210
Qatar Riyal	5.661040	5.652050	5.673310	5.670670	5.674110	5.672570	5.673080	5.676050	5.679140	5.654090	5.645860	5.654130
Russian Ruble	49.291900	49.352500	48.898600	48.573400	48.445900	48.428700	48.528600	47.943500	47.809400	48.799500	49.254800	48.391500
Saudi Arabian Riyal	5.832090	5.822860	5.844740	5.842040	5.845590	5.843990	5.844500	5.847580	5.850760	5.824960	5.816490	5.824990
Singapore Dollar	2.260990	2.256470	2.253890	2.247400	2.250940	2.246270	2.249440	2.246880	2.248570	2.238800	2.243610	2.238040
South African Rand	12.597400	12.569600	12.398700	12.198200	12.104300	11.960700	12.078700	12.077200	12.169600	12.286800	12.129300	12.123700
Sri Lanka Rupee	178.696000	178.417000	179.083000	179.016000	179.099000	179.061000	179.076000	179.174000	179.281000	178.480000	178.218000	178.483000
Swedish Krona	12.161900	12.193000	12.090800	12.015100	11.886000	11.769800	11.654000	11.578200	11.471400	11.665500	11.543800	11.448000
Swiss Franc	1.670630	1.674960	1.665520	1.664910	1.666380	1.668110	1.665450	1.663520	1.664890	1.674480	1.687550	1.683810
Thai Baht	53.019500	52.890200	53.095200	53.019500	53.017200	53.002600	52.943700	53.002600	53.009300	52.738400	52.735900	52.897200
Trinidad And Tobago Dollar	9.825600	9.831490	9.857070	9.814310	9.816720	9.830230	9.839230	9.833330	9.863880	9.841840	9.760950	9.797970
Tunisian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
U.A.E. Dirham	5.711580	5.702520	5.723970	5.721310	5.724790	5.723210	5.723740	5.726750	5.729840	5.704570	5.696290	5.704600
Peso Uruguayo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
