Currency units per SDR for April 2010
Currency	April 01, 2010	April 02, 2010	April 05, 2010	April 06, 2010	April 07, 2010	April 08, 2010	April 09, 2010	April 12, 2010	April 13, 2010	April 14, 2010	April 15, 2010
Chinese Yuan	10.374000	10.354100	NA	10.340100	10.321700	10.330500	10.352400	10.411000	10.417600	10.415700	10.401000
Euro	1.128420	NA	NA	1.130790	1.133530	1.138260	1.133150	1.122730	1.123590	1.120720	1.125030
Japanese Yen	141.945000	142.206000	143.306000	142.483000	141.762000	141.309000	141.879000	142.075000	141.583000	142.271000	142.317000
U.K. Pound Sterling	0.997735	NA	NA	0.998094	0.997775	0.994243	0.987440	0.988924	0.989609	0.989531	0.988670
U.S. Dollar	1.519760	1.516860	1.518070	1.514810	1.512130	1.513430	1.516610	1.525220	1.526170	1.525860	1.523740
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	1.658400	NA	NA	1.642070	1.631920	1.631730	1.635150	1.635980	1.650630	1.636480	1.631240
Bahrain Dinar	0.571429	0.570340	0.570796	0.569567	0.568563	0.569052	0.570242	0.573483	0.573839	0.573723	0.572925
Botswana Pula	10.220300	NA	NA	10.221400	10.203300	10.246700	10.219700	10.243300	10.263400	10.302900	10.330400
Brazilian Real	2.705470	2.683790	2.685930	2.660760	2.660900	2.671810	2.699250	2.703000	2.686820	2.681850	2.657090
Brunei Dollar	2.125990	NA	2.122570	2.117250	2.110940	2.114110	2.115210	2.117770	2.126720	2.102330	2.092240
Canadian Dollar	1.531150	NA	NA	1.514960	1.516670	1.516460	1.524950	1.527510	1.530440	1.519910	1.525870
Chilean Peso	797.054000	NA	792.362000	786.962000	786.293000	783.141000	784.191000	785.355000	786.133000	786.349000	786.770000
Colombian Peso	2,920.790000	2,915.230000	2,917.560000	2,895.980000	2,889.790000	NA	2,929.950000	2,930.450000	2,939.650000	2,954.390000	2,953.370000
Czech Koruna	28.636800	28.377500	NA	28.601100	28.609500	28.670500	28.582000	28.234900	28.267800	28.063600	28.216500
Danish Krone	NA	NA	NA	8.417790	8.437390	8.472920	8.433980	8.356380	8.363440	8.341540	8.373390
Hungarian Forint	298.404000	296.880000	NA	299.932000	299.750000	305.229000	301.395000	296.839000	297.756000	294.521000	296.047000
Icelandic Krona	NA	NA	NA	194.032000	194.143000	194.718000	193.777000	192.133000	192.206000	191.785000	192.235000
Indian Rupee	NA	NA	67.903400	67.333300	67.169100	67.635200	67.261300	67.643900	68.097600	NA	67.623300
Indonesian Rupiah	13,791.800000	NA	13,746.200000	13,701.400000	13,665.100000	13,717.700000	13,723.800000	13,731.600000	13,766.000000	13,746.500000	13,719.700000
Iranian Rial	NA	NA	NA	15,175.400000	15,175.800000	15,208.500000	NA	15,182.100000	15,238.800000	15,222.000000	15,205.400000
Israeli New Sheqel	5.618550	NA	NA	5.604780	5.605480	5.598200	5.599320	5.615860	5.622400	5.653290	5.639360
Kazakhstani Tenge	223.374000	223.085000	223.157000	222.541000	222.117000	222.323000	222.714000	223.888000	223.843000	223.798000	223.487000
Korean Won	1,721.130000	1,711.480000	1,706.770000	1,704.310000	1,698.270000	1,700.040000	1,695.870000	1,706.420000	1,698.630000	1,709.110000	1,700.030000
Kuwaiti Dinar	0.438147	0.437311	0.437662	0.437099	0.436628	0.437155	NA	0.438045	0.438622	0.438226	0.437618
Libyan Dinar	1.932400	1.932400	1.932400	1.932400	1.932400	1.932400	1.932400	1.932400	1.932400	1.932400	1.932400
Malaysian Ringgit	4.949860	4.926010	4.906410	4.865560	4.832010	4.857810	4.840250	4.862420	4.925720	4.885790	4.855380
Mauritian Rupee	46.740500	46.638300	46.625000	46.472500	46.413400	46.477300	46.664000	46.906100	46.872900	46.715200	46.553000
Mexican Peso	NA	NA	18.620400	18.549400	18.481000	18.537700	18.502100	18.578500	18.637900	18.589100	18.579600
Nepalese Rupee	109.271000	108.911000	109.013000	108.021000	107.603000	107.802000	107.982000	108.062000	108.450000	108.687000	108.536000
New Zealand Dollar	2.138390	NA	NA	2.151720	2.140620	2.141550	2.143920	2.120140	2.141090	2.150310	2.129310
Norwegian Krone	NA	NA	NA	9.060350	9.028610	9.049690	8.993210	8.991350	8.981980	8.960730	8.946140
Rial Omani	0.584348	0.583233	0.583700	0.582445	0.581416	0.581913	0.583135	0.586448	0.586813	0.586693	0.585878
Pakistani Rupee	127.894000	128.031000	127.936000	127.172000	126.734000	126.525000	126.989000	128.452000	127.990000	127.893000	127.788000
Nuevo Sol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Philippine Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Polish Zloty	4.332210	4.311830	NA	4.335080	4.336040	4.385180	4.342650	4.327520	4.364240	4.321990	4.341280
Qatar Riyal	5.531920	5.521380	5.525780	5.513900	5.504150	5.508880	5.520440	5.551820	5.555250	5.554140	5.546400
Russian Ruble	44.740700	44.321900	44.342600	44.295400	44.296400	44.495300	44.471700	44.144300	44.303900	44.317600	44.083200
Saudi Arabian Riyal	5.699080	5.688250	5.692780	5.680530	5.670510	5.675370	5.687280	5.719580	5.723150	5.721970	5.714020
Singapore Dollar	2.125990	NA	2.122570	2.117250	2.110940	2.114110	2.115210	2.117770	2.126720	2.102330	2.092240
South African Rand	11.041000	NA	NA	10.997500	10.985600	11.101000	11.056100	11.035000	11.102900	11.161600	11.222300
Sri Lanka Rupee	173.312000	NA	NA	172.386000	172.071000	172.165000	NA	173.607000	NA	NA	173.523000
Swedish Krona	10.968800	NA	NA	10.902800	10.898700	11.036700	10.946100	10.928200	10.965500	10.917500	10.875700
Swiss Franc	1.599240	NA	NA	1.618120	1.622520	1.628300	1.623680	1.616580	1.613620	1.610090	1.616080
Thai Baht	49.197600	49.056900	NA	NA	NA	48.953400	49.059300	49.228100	NA	NA	NA
Trinidad And Tobago Dollar	9.674170	NA	NA	NA	9.554380	9.594720	9.632240	9.645530	9.686450	9.729140	NA
Tunisian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
U.A.E. Dirham	5.581290	5.570690	5.575130	5.563130	5.553300	5.558090	5.569730	5.601390	5.604850	5.603720	5.595940
Peso Uruguayo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bolivar Fuerte	3.941490	3.933990	3.937130	3.928660	3.921710	3.925080	3.933320	3.955660	3.273020	3.957310	3.951820

Currency units per SDR for April 2010 Continued

Currency	April 16, 2010	April 19, 2010	April 20, 2010	April 21, 2010	April 22, 2010	April 23, 2010	April 26, 2010	April 27, 2010	April 28, 2010	April 29, 2010	April 30, 2010
Chinese Yuan	10.405800	10.378500	10.396500	10.358700	10.346300	10.327600	10.327900	10.325200	10.284100	10.296800	10.315300
Euro	1.126280	1.131910	1.129330	1.134710	1.136250	1.136570	1.135770	1.138140	1.137420	1.137860	1.134900
Japanese Yen	141.328000	140.012000	141.031000	141.396000	140.728000	141.303000	142.566000	141.896000	140.332000	NA	142.136000
U.K. Pound Sterling	0.986106	0.998283	0.988523	0.986446	0.984126	0.984562	0.979893	0.985853	0.991906	0.990119	0.985853
U.S. Dollar	1.524410	1.520390	1.523010	1.517450	1.515650	1.512880	1.512960	1.512590	1.506510	1.508350	1.511120
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	1.638450	1.653490	1.642950	1.626600	1.634650	1.642300	NA	1.635230	1.635380	1.630480	1.624860
