Currency units per SDR for March 2011
Currency	March 01, 2011	March 02, 2011	March 03, 2011	March 04, 2011	March 07, 2011	March 08, 2011	March 09, 2011	March 10, 2011	March 11, 2011	March 14, 2011	March 15, 2011
Chinese Yuan	10.334900	10.343900	10.349100	10.364300	10.386700	10.348500	10.359600	10.321200	10.306000	10.361500	10.337200
Euro	1.137720	1.139520	1.137420	1.130770	1.127820	1.133570	1.131280	1.136760	1.138060	1.130680	1.133610
Japanese Yen	128.868000	128.921000	128.925000	129.950000	130.318000	129.579000	130.543000	130.082000	129.816000	129.635000	128.824000
U.K. Pound Sterling	0.966333	0.964422	0.967829	0.968823	0.969434	0.973331	0.971308	0.971223	0.980017	0.979240	0.982646
U.S. Dollar	1.572900	1.573560	1.575330	1.578210	1.582110	1.575430	1.575650	1.570660	1.567450	1.577070	1.573900
Algerian Dinar	114.021000	114.013000	113.897000	114.049000	114.248000	114.098000	114.037000	113.969000	NA	NA	NA
Australian Dollar	1.548740	1.559210	1.551590	1.556580	1.562270	1.556290	1.565010	1.562840	1.562450	1.565170	1.579590
Bahrain Dinar	0.591412	0.591656	0.592322	0.593408	0.594873	0.592361	0.592445	0.590566	0.589359	0.592979	0.591786
Botswana Pula	10.409700	10.400200	10.364000	10.403500	10.374500	10.398900	10.352500	10.346900	10.387300	NA	NA
Brazilian Real	2.611640	2.615100	2.615360	2.609890	2.603200	2.592210	2.592570	2.599590	2.602590	2.624400	2.616300
Brunei Dollar	1.999160	2.003920	1.998940	2.000540	NA	1.995910	1.999970	1.996150	1.993320	2.003670	2.006880
Canadian Dollar	1.532480	1.531700	1.535470	1.533070	1.540660	1.530210	1.526170	1.528400	1.525750	1.539060	1.547150
Chilean Peso	747.457000	749.642000	753.069000	748.133000	747.926000	745.618000	749.429000	747.032000	756.498000	760.306000	756.275000
Colombian Peso	3,000.100000	3,010.540000	3,018.410000	3,006.060000	2,990.560000	2,982.560000	2,977.740000	2,952.030000	2,934.210000	NA	2,953.100000
Czech Koruna	27.698800	27.675700	27.533600	27.487700	27.318300	27.466000	27.463500	27.695400	27.693600	27.521400	27.653500
Danish Krone	8.482840	8.496100	8.481120	8.432060	8.410360	8.453730	8.437110	8.478100	8.487880	8.433050	8.455300
Hungarian Forint	307.926000	310.856000	308.229000	308.540000	306.075000	306.594000	309.930000	309.529000	311.076000	NA	NA
Icelandic Krona	182.142000	182.108000	182.124000	181.794000	181.848000	182.734000	183.169000	183.044000	183.438000	182.167000	182.762000
Indian Rupee	70.969300	NA	70.826500	71.003600	71.400500	70.941600	70.935600	70.852100	70.864200	71.204800	71.250400
Indonesian Rupiah	13,860.400000	13,885.100000	13,877.100000	13,877.200000	13,905.200000	13,846.500000	13,840.500000	13,780.900000	13,768.500000	NA	NA
Iranian Rial	16,202.400000	16,218.700000	16,216.400000	NA	16,272.000000	16,211.200000	16,244.900000	16,198.200000	NA	16,297.400000	16,282.000000
Israeli New Sheqel	5.698620	5.719870	5.688510	5.698910	5.692430	5.644770	5.617190	5.602520	5.609910	5.603310	5.603090
Kazakhstani Tenge	229.675000	229.582000	229.730000	230.087000	230.323000	229.351000	229.383000	228.844000	228.142000	229.716000	229.554000
Korean Won	NA	1,776.230000	1,777.600000	1,771.700000	1,765.950000	1,761.170000	1,760.630000	1,751.600000	1,753.030000	1,773.410000	1,778.200000
Kuwaiti Dinar	0.437503	0.437920	0.437784	0.438585	0.439194	0.437340	0.438187	0.436799	NA	0.438347	NA
Libyan Dinar	1.932400	1.932400	1.932400	1.932400	1.932400	1.932400	1.932400	1.932400	1.932400	1.932400	1.932400
Malaysian Ringgit	4.787920	4.784390	4.777970	4.781190	4.797750	4.777490	4.778950	4.770080	4.764260	4.793500	4.806700
Mauritian Rupee	NA	NA	NA	NA	NA	NA	NA	45.265000	NA	45.512700	45.385400
Mexican Peso	19.020900	19.037000	18.961900	18.948600	19.012200	18.945200	18.857400	18.809400	18.721800	NA	NA
Nepalese Rupee	113.799000	113.375000	113.471000	113.710000	113.849000	113.510000	113.526000	113.087000	113.170000	NA	NA
New Zealand Dollar	2.088010	2.107630	2.119090	2.131850	2.146690	2.136470	2.130120	2.133170	2.132290	2.128580	2.128330
Norwegian Krone	8.774080	8.776550	8.774550	8.797400	8.751890	8.790750	8.768470	8.846270	8.883050	8.852060	8.971430
Rial Omani	0.604781	0.605034	0.605716	0.606822	0.608321	0.605752	0.605837	0.603916	0.602682	0.606384	0.605166
Pakistani Rupee	134.667000	134.777000	134.887000	135.013000	135.168000	134.256000	133.741000	134.094000	133.745000	NA	NA
Nuevo Sol	4.367940	4.365040	4.363670	4.370060	4.379280	4.363930	NA	4.350720	NA	NA	NA
Philippine Peso	68.710600	68.402700	68.633700	68.453300	68.505400	68.282200	68.351800	68.182100	68.069300	68.679900	68.693100
Polish Zloty	4.505260	4.538610	4.521820	4.520940	4.488770	4.497700	4.513290	4.531180	4.578820	4.545910	4.609020
Qatar Riyal	5.725340	5.727740	5.734210	5.744680	5.758880	5.734570	5.735360	5.717190	5.705520	5.740530	5.729020
Russian Ruble	45.231700	45.047300	44.617800	44.486600	44.570800	44.382500	44.582200	44.662600	44.878700	45.205100	45.212500
Saudi Arabian Riyal	5.898380	5.900850	5.907480	5.918280	5.932920	5.907860	5.908700	5.889940	5.877930	5.914010	5.902140
Singapore Dollar	1.999160	2.003920	1.998940	2.000540	2.004850	1.995910	1.999970	1.996150	1.993320	2.003670	2.006880
South African Rand	10.937200	10.926800	NA	10.906400	10.842400	10.898000	10.827100	10.800600	10.875300	10.879700	11.033700
Sri Lanka Rupee	174.264000	NA	174.424000	174.675000	174.845000	173.744000	173.596000	172.783000	172.427000	173.532000	173.420000
Swedish Krona	9.909230	9.976360	9.948170	9.970390	10.070100	10.031600	10.036900	10.024700	10.004200	10.038000	10.076900
Swiss Franc	1.462960	1.456960	1.458910	1.466630	1.463450	1.468140	1.462830	1.466990	1.464620	1.462260	1.448940
Thai Baht	48.116700	48.072100	48.052200	48.103800	48.184900	47.872500	47.789500	47.575100	47.667600	47.909700	47.878000
Trinidad And Tobago Dollar	10.054100	10.080800	10.076100	10.090900	NA	NA	NA	10.042100	9.999100	10.070800	10.078500
Tunisian Dinar	2.209450	2.212110	2.218220	2.213760	2.210840	2.199300	2.208900	NA	2.205400	NA	NA
U.A.E. Dirham	5.776470	5.778880	5.785400	5.795990	5.810310	5.785760	5.786570	5.768240	5.756460	5.791800	5.780150
Peso Uruguayo	30.589700	30.602600	30.559800	30.609400	NA	NA	NA	30.313700	NA	NA	NA
Bolivar Fuerte	6.746640	6.749460	6.757080	6.769430	NA	6.757490	6.758450	6.737000	6.723230	6.764530	6.750960

Currency units per SDR for March 2011 Continued

Currency	March 16, 2011	March 17, 2011	March 18, 2011	March 21, 2011	March 22, 2011	March 23, 2011	March 24, 2011	March 25, 2011	March 28, 2011	March 29, 2011	March 30, 2011	March 31, 2011
Chinese Yuan	10.373200	10.419400	10.413000	10.427200	10.453500	10.419500	10.415100	10.405700	10.367200	10.373600	10.360600	10.395200
Euro	1.131420	1.132640	1.122220	1.119300	1.121470	1.123600	1.123340	1.124140	1.125950	1.123800	1.121150	1.116000
Japanese Yen	127.586000	125.623000	128.918000	NA	128.932000	128.733000	128.488000	128.524000	129.128000	129.147000	130.262000	131.803000
U.K. Pound Sterling	0.981499	0.983420	0.981191	0.976725	0.973208	0.976229	0.980700	0.985290	0.988875	0.988895	0.984116	0.985280
U.S. Dollar	1.578450	1.586150	1.585700	1.588740	1.593720	1.588320	1.587060	1.586720	1.579930	1.580740	1.579700	1.585500
Algerian Dinar	114.072000	114.573000	114.327000	114.546000	114.983000	114.795000	114.609000	114.517000	114.239000	114.343000	114.323000	114.413000
Australian Dollar	1.592780	1.619510	1.595920	1.585880	NA	1.572440	1.566850	1.554540	1.539890	1.541290	1.529970	1.534260
Bahrain Dinar	0.593496	0.596395	0.596225	0.597364	0.599240	0.597207	0.596733	0.596605	0.594054	0.594361	0.593965	0.596150
Botswana Pula	10.474100	10.595500	10.522300	10.486700	10.491900	10.470100	10.420600	10.418400	10.387500	10.386000	10.345100	10.349200
Brazilian Real	2.633480	2.643480	2.655890	2.655100	2.652590	2.641380	2.633570	2.631570	2.618420	2.624980	2.612500	2.592610
Brunei Dollar	2.018360	2.033930	2.018280	2.017220	2.018290	2.008910	2.006680	2.000850	1.995300	1.997270	1.996100	NA
Canadian Dollar	1.565500	1.567910	NA	1.552830	1.556750	1.559890	1.547070	1.551490	1.541700	NA	1.534520	1.540790
Chilean Peso	764.853000	767.713000	769.651000	766.107000	765.861000	765.222000	766.060000	762.213000	757.846000	759.624000	NA	764.339000
Colombian Peso	2,979.590000	NA	NA	2,978.550000	NA	NA	2,964.220000	NA	2,956.640000	2,968.380000	NA	2,979.910000
Czech Koruna	27.577100	27.637100	27.364500	27.383500	27.412100	27.436600	27.578400	27.566100	27.636100	27.552400	27.496200	27.388000
Danish Krone	8.438820	8.447870	8.368200	8.346760	8.363020	8.379000	8.376960	8.383710	8.396730	8.380610	8.360710	8.321680
Hungarian Forint	309.660000	309.331000	308.403000	304.513000	302.871000	301.876000	301.875000	299.017000	299.713000	299.298000	299.337000	296.458000
Icelandic Krona	182.737000	182.630000	181.864000	181.402000	181.111000	180.941000	181.607000	181.362000	181.834000	181.722000	NA	180.859000
Indian Rupee	71.314500	71.757600	71.499600	71.572700	71.669700	71.410700	71.052500	70.847100	70.749400	70.612000	70.722900	70.793000
Indonesian Rupiah	13,858.800000	13,947.000000	13,911.400000	13,903.100000	13,881.300000	13,851.700000	13,842.300000	13,817.100000	13,773.800000	13,771.400000	13,767.100000	13,808.200000
Iranian Rial	16,327.500000	16,434.100000	NA	NA	NA	NA	NA	NA	16,418.600000	16,430.200000	16,428.800000	16,489.200000
Israeli New Sheqel	5.620850	5.649880	5.635580	NA	5.616270	5.616310	5.627720	5.640790	5.592970	5.572120	5.546310	5.519130
Kazakhstani Tenge	230.454000	231.039000	231.180000	231.670000	232.397000	231.609000	231.425000	231.772000	230.070000	230.109000	NA	231.008000
Korean Won	1,785.700000	1,796.790000	1,803.890000	1,792.570000	1,794.370000	1,781.620000	1,783.380000	1,781.570000	1,760.830000	1,761.260000	1,760.730000	1,755.470000
Kuwaiti Dinar	0.438099	0.439920	NA	0.439684	0.440665	0.439170	0.439616	0.439520	0.438274	0.438260	0.438366	0.439502
Libyan Dinar	1.932400	1.932400	1.932400	1.932400	1.932400	1.932400	1.932400	1.932400	1.932400	1.932400	1.932400	1.932400
Malaysian Ringgit	4.827680	4.859980	4.826880	4.827700	4.836150	4.809590	4.808800	4.801410	4.781670	4.788080	4.781260	4.797590
Mauritian Rupee	45.448800	45.646100	45.611500	45.812500	NA	NA	NA	NA	44.889500	44.974700	44.924600	44.997400
Mexican Peso	19.053400	19.180600	19.125900	NA	19.106300	19.060500	18.974100	NA	18.894400	18.918000	NA	18.880800
Nepalese Rupee	114.359000	114.520000	114.488000	114.691000	114.828000	114.280000	114.030000	113.609000	112.886000	113.497000	113.106000	113.522000
New Zealand Dollar	2.159590	2.210980	2.203900	2.176950	2.167440	2.144640	2.136880	2.116190	2.101530	2.105130	2.087060	2.078800
Norwegian Krone	8.903210	8.946220	8.846500	8.819590	8.866350	8.866350	8.855280	8.862580	8.866270	8.882490	8.820520	8.741720
Rial Omani	0.606914	0.609875	0.609704	0.610870	0.612786	0.610709	0.610225	0.610095	0.607482	0.607796	0.607393	0.609626
Pakistani Rupee	134.760000	135.575000	135.458000	135.881000	136.183000	NA	135.573000	NA	134.813000	134.886000	134.728000	135.261000
Nuevo Sol	4.370720	4.390470	NA	4.416690	4.433740	4.412360	4.407270	4.422180	4.438030	4.446640	4.437360	4.442590
Philippine Peso	69.008400	69.470500	69.688400	69.486900	69.454600	68.891900	68.972200	68.899900	68.461700	68.585200	NA	68.861500
Polish Zloty	4.585700	4.612060	4.574750	4.541880	4.519470	4.518140	4.525670	4.510230	4.491900	4.461960	4.466900	4.475710
Qatar Riyal	5.745540	5.773610	5.771970	5.783020	5.801140	5.781480	5.776910	5.775640	5.750960	5.753910	5.750100	5.771240
Russian Ruble	45.235400	45.589400	45.154900	45.068600	44.873000	44.901800	45.074900	44.783000	44.887300	44.803900	44.909100	45.212700
Saudi Arabian Riyal	5.919190	5.948060	5.946400	5.957770	5.976460	5.956210	5.951460	5.950190	5.924730	5.927790	5.923850	5.945660
Singapore Dollar	2.018360	2.033930	2.018280	2.017220	2.018290	2.008910	2.006680	2.000850	1.995300	1.997270	1.996100	2.000430
South African Rand	11.031500	11.267200	11.140000	NA	11.032400	11.000600	10.939500	10.918800	10.889600	10.850000	10.793300	10.769500
Sri Lanka Rupee	174.237000	175.004000	174.966000	175.339000	175.927000	175.300000	175.194000	175.162000	174.358000	174.502000	174.397000	175.028000
Swedish Krona	10.121800	10.230700	10.108900	9.957380	9.976650	10.006400	10.062000	10.059800	10.127400	10.045600	10.019200	9.992610
Swiss Franc	1.446960	1.430230	1.429350	1.439240	1.438970	1.430920	1.443910	1.448830	1.451480	1.453650	1.457110	1.450420
Thai Baht	48.052700	48.128800	48.067400	48.116500	48.192500	48.065800	48.095900	47.980700	47.845100	47.937700	47.932700	48.032800
Trinidad And Tobago Dollar	10.103600	10.116200	10.125800	10.208400	10.208100	10.167200	10.142400	10.167000	10.087900	10.129900	10.149100	10.183900
Tunisian Dinar	NA	NA	NA	2.206280	NA	2.196960	2.192680	2.200460	2.181100	2.198500	2.196250	2.204640
U.A.E. Dirham	5.796830	5.825160	5.823500	5.834650	5.852950	5.833110	5.828490	5.827230	5.802280	5.805280	5.801440	5.822760
Peso Uruguayo	30.426100	30.687300	NA	30.878800	NA	NA	NA	30.620500	NA	30.460900	NA	30.430600
