Currency units per SDR for August 2011
Currency	August 01, 2011	August 02, 2011	August 03, 2011	August 04, 2011	August 05, 2011	August 08, 2011	August 09, 2011	August 10, 2011	August 11, 2011	August 12, 2011	August 15, 2011
Chinese Yuan	10.366200	10.290000	NA	10.275000	10.274500	10.299100	10.307300	10.310900	10.229300	10.240200	10.253000
Euro	1.116680	1.127270	1.122250	1.121540	1.126210	1.125910	1.122960	1.118460	1.130280	1.123320	1.120470
Japanese Yen	125.234000	123.715000	123.972000	126.822000	126.416000	125.085000	123.765000	123.810000	122.609000	123.225000	123.453000
U.K. Pound Sterling	0.980142	0.981229	0.978665	0.977011	0.978368	0.975334	0.979058	0.988611	0.988709	0.983197	0.982946
U.S. Dollar	1.609690	1.597350	1.604820	1.595840	1.594150	1.601600	1.602130	1.606890	1.598550	1.600740	1.603280
Algerian Dinar	116.189000	115.366000	NA	115.626000	115.447000	115.975000	115.837000	116.061000	115.670000	115.691000	115.391000
Australian Dollar	NA	1.462240	1.493550	1.497460	1.521720	1.553750	1.574420	1.553300	1.556530	1.555620	1.537330
Bahrain Dinar	0.605243	0.600604	0.603413	0.600038	0.599402	0.602203	0.602402	0.604189	0.601055	0.601877	0.602835
Botswana Pula	10.412000	10.426600	NA	10.533600	10.550300	10.713000	10.966000	10.872000	10.949000	10.845100	10.855000
Brazilian Real	2.505160	2.484030	2.512510	2.497650	2.511110	2.545750	2.563250	2.624690	2.586940	2.610160	2.590430
Brunei Dollar	1.934040	1.922410	1.939740	1.927940	1.947740	1.949150	NA	1.946420	NA	1.941690	1.935160
Canadian Dollar	NA	1.530260	1.546080	1.558660	1.569120	1.583980	1.584990	NA	1.581290	1.581370	1.577310
Chilean Peso	736.290000	732.402000	735.089000	734.457000	736.166000	743.655000	758.420000	761.197000	756.195000	758.910000	NA
Colombian Peso	2,861.740000	2,830.200000	2,833.360000	2,828.660000	2,839.720000	2,871.160000	2,901.750000	2,911.170000	2,878.950000	2,870.870000	2,859.220000
Czech Koruna	26.981600	27.313000	27.240200	27.261800	27.314300	27.241600	27.197800	26.934600	27.328800	27.162900	27.244600
Danish Krone	8.319330	8.397080	8.359530	8.353940	8.389050	8.387290	8.365680	8.333470	8.421190	8.367710	8.346690
Hungarian Forint	299.547000	303.352000	307.274000	304.232000	308.437000	306.867000	309.404000	306.706000	308.393000	308.046000	303.164000
Icelandic Krona	NA	185.420000	184.618000	184.687000	185.033000	184.761000	184.758000	183.860000	184.904000	184.309000	184.089000
Indian Rupee	70.906900	70.650900	71.222000	70.887300	71.417900	72.008200	72.368300	72.647500	72.366200	72.625300	NA
Indonesian Rupiah	13,651.800000	13,513.600000	13,620.100000	13,537.500000	13,610.900000	13,666.500000	13,706.300000	13,706.700000	13,659.600000	13,671.900000	13,693.600000
Iranian Rial	16,975.800000	16,831.200000	16,943.700000	16,860.100000	NA	16,924.100000	16,940.900000	16,963.900000	16,890.300000	NA	16,953.100000
Israeli New Sheqel	5.492270	5.509250	5.559110	5.567900	5.611420	5.688900	NA	5.648190	5.671670	5.679430	5.643560
Kazakhstani Tenge	235.240000	233.037000	234.528000	233.392000	233.480000	234.683000	234.953000	235.955000	235.051000	235.420000	235.971000
Korean Won	1,695.160000	1,676.420000	1,701.750000	1,689.360000	1,687.410000	1,712.750000	1,719.890000	1,755.040000	1,727.080000	1,737.920000	1,740.680000
Kuwaiti Dinar	0.438479	0.435756	0.437794	0.435665	0.435205	0.436036	0.436742	0.437313	0.435605	NA	0.436895
Libyan Dinar	1.932400	1.932400	1.932400	1.932400	1.932400	1.932400	1.932400	1.932400	1.932400	1.932400	1.932400
Malaysian Ringgit	4.731690	4.715380	4.773220	4.746040	4.799200	4.824830	4.864070	4.839120	4.815630	4.796760	4.785010
Mauritian Rupee	NA	NA	44.945200	44.773400	NA	45.044000	45.141800	45.194900	44.947900	44.937000	44.908500
Mexican Peso	18.916100	18.793900	19.012800	19.074000	19.097000	19.514700	19.820000	NA	19.805900	NA	19.628000
Nepalese Rupee	113.805000	112.613000	113.701000	113.225000	113.583000	114.611000	115.354000	116.178000	115.575000	115.813000	116.382000
New Zealand Dollar	1.824630	1.823460	1.861090	1.843630	1.923910	1.910530	1.958840	1.917750	1.972550	1.931390	1.921710
Norwegian Krone	8.591070	8.619130	8.621060	8.681230	8.766390	8.746000	8.792210	8.735680	8.839390	8.791050	8.818730
Rial Omani	0.618927	0.614179	0.617052	0.613602	0.612952	0.615817	0.616021	0.617848	0.614643	0.615483	0.616462
Pakistani Rupee	139.417000	138.348000	139.157000	137.844000	137.443000	138.801000	138.430000	138.751000	138.017000	138.330000	138.949000
Nuevo Sol	4.413760	4.381530	4.400420	4.374200	4.369580	4.407620	4.402670	4.420530	4.386430	4.386020	4.394600
Philippine Peso	67.915900	67.016500	67.510100	67.536100	67.383200	68.245900	68.146800	68.499700	67.895100	68.032800	68.299900
Polish Zloty	4.456110	4.525440	4.533930	4.506190	4.554810	4.530440	4.619110	4.577200	4.666330	4.671910	NA
Qatar Riyal	5.859260	5.814360	5.841530	5.808850	5.802720	5.829820	5.831750	5.849050	5.818720	5.826690	5.835940
Russian Ruble	44.299300	44.430800	44.773800	44.433400	45.175500	45.679200	47.129400	47.092300	47.024500	47.134000	46.267000
Saudi Arabian Riyal	6.036350	5.990070	6.018080	5.984400	5.978070	6.006010	6.007990	6.025800	5.994560	6.002760	6.012330
Singapore Dollar	1.934040	1.922410	1.939740	1.927940	1.947740	1.949150	NA	1.946420	1.941600	1.941690	1.935160
South African Rand	10.729500	10.809500	10.833200	10.932800	10.984500	11.148700	NA	11.466200	11.711500	11.504000	11.533400
Sri Lanka Rupee	176.227000	174.901000	175.858000	175.011000	174.819000	175.719000	175.874000	176.415000	175.424000	175.623000	175.849000
Swedish Krona	10.106400	10.148600	10.261500	10.182900	10.395500	10.314000	10.372000	10.352500	10.425600	10.474600	10.376400
Swiss Franc	NA	1.244490	1.245180	1.237100	1.223190	1.220740	1.187340	1.165470	1.185170	1.230330	1.263710
Thai Baht	47.854400	47.505000	47.830000	47.527400	47.730600	47.718100	48.025400	47.944600	47.814400	NA	47.912500
Trinidad And Tobago Dollar	10.280400	NA	10.258300	10.155300	10.191600	10.248200	10.239700	10.295600	10.211600	10.243000	10.279100
Tunisian Dinar	2.222010	2.190600	2.222360	2.196840	2.206150	2.221420	2.211580	2.214130	2.196730	2.214940	2.213980
U.A.E. Dirham	5.911600	5.866270	5.893690	5.860740	5.854530	5.881870	5.883840	5.901270	5.870680	5.878720	5.888070
Peso Uruguayo	29.621500	29.485400	29.551200	29.583700	29.668800	30.473700	31.063700	31.045000	30.730600	30.261900	29.777800
Bolivar Fuerte	6.904460	6.851520	6.883540	6.845050	6.837790	6.869740	6.872050	6.892420	6.856690	6.866060	6.876960

Currency units per SDR for August 2011 Continued

Currency	August 16, 2011	August 17, 2011	August 18, 2011	August 19, 2011	August 22, 2011	August 23, 2011	August 24, 2011	August 25, 2011	August 26, 2011	August 29, 2011	August 30, 2011	August 31, 2011
Chinese Yuan	10.272200	10.316900	10.288400	10.291000	10.308400	10.323800	10.304300	10.289500	10.289900	10.304100	10.269100	10.278500
Euro	1.119020	1.113570	1.119780	1.117250	1.117580	1.115620	1.117350	1.115740	1.117250	1.113390	1.116750	1.113740
Japanese Yen	123.491000	123.649000	123.331000	123.013000	123.707000	123.894000	123.821000	123.887000	124.573000	123.779000	123.665000	123.261000
U.K. Pound Sterling	0.981200	0.980075	0.975343	0.973454	0.976582	0.976410	0.976667	0.983342	0.986067	NA	0.985319	0.988181
U.S. Dollar	1.606910	1.612120	1.609020	1.607170	1.610770	1.613420	1.612670	1.609340	1.609060	1.612960	1.608340	1.609360
Algerian Dinar	115.709000	115.798000	116.072000	115.733000	115.964000	116.149000	116.061000	115.987000	115.869000	115.841000	115.846000	115.822000
Australian Dollar	1.535210	1.536810	1.531670	1.554620	1.549860	1.542310	1.538660	1.541960	1.534190	1.518370	1.506640	1.505340
Bahrain Dinar	0.604197	0.606156	0.604990	0.604295	0.605649	0.606645	0.606362	0.605111	0.605005	0.606472	0.604738	0.605118
Botswana Pula	10.850200	10.819600	10.901200	10.866600	10.913100	10.923600	10.918500	10.933000	10.908900	10.789000	10.816000	10.750600
Brazilian Real	2.563980	2.566170	2.547080	2.581430	2.570790	2.582920	2.586080	2.581220	2.599270	2.599130	2.569170	2.559530
Brunei Dollar	1.932310	1.942600	1.941440	1.949820	1.949670	1.947230	1.943910	1.945050	1.941810	1.947810	NA	1.938630
Canadian Dollar	1.577500	1.583100	1.593090	1.582900	1.594820	1.593570	1.593320	1.584070	1.585410	1.577480	1.575050	1.574600
Chilean Peso	755.036000	761.128000	752.474000	755.978000	754.597000	754.933000	753.892000	751.157000	751.236000	753.125000	747.446000	749.417000
Colombian Peso	2,865.680000	2,864.190000	2,843.600000	2,854.070000	2,865.640000	2,871.660000	2,873.630000	2,883.310000	2,881.920000	2,893.690000	2,874.940000	2,870.550000
Czech Koruna	27.286900	27.202900	27.346800	27.344400	27.367000	27.234500	27.363700	27.038500	26.996800	26.851000	26.878600	26.855400
Danish Krone	8.336180	8.295930	8.343070	8.322100	8.324110	8.311170	8.324110	8.311720	8.324450	8.295660	8.321060	8.298690
Hungarian Forint	301.826000	303.095000	302.656000	307.339000	304.822000	302.822000	304.262000	302.588000	303.774000	302.802000	302.995000	302.270000
Icelandic Krona	183.348000	182.766000	183.315000	183.812000	182.742000	182.493000	182.748000	183.143000	183.352000	182.716000	183.464000	182.485000
Indian Rupee	72.712500	73.141700	73.387500	NA	74.014900	73.717000	73.811600	74.239000	74.097100	73.986400	74.016000	NA
Indonesian Rupiah	13,700.500000	NA	13,729.800000	13,754.100000	13,775.300000	13,785.000000	13,781.900000	13,803.300000	13,802.500000	NA	NA	NA
Iranian Rial	16,994.700000	17,062.700000	17,029.900000	NA	NA	17,082.800000	17,066.900000	17,039.700000	NA	17,074.800000	17,016.300000	NA
Israeli New Sheqel	5.685240	5.673050	5.723280	5.763290	5.763320	5.772810	5.818520	5.808110	5.834440	5.816350	5.745010	5.726100
Kazakhstani Tenge	236.328000	236.804000	235.351000	NA	236.445000	236.688000	236.111000	235.591000	235.647000	236.154000	235.478000	235.626000
Korean Won	1,733.370000	1,724.970000	1,725.990000	1,723.370000	1,744.300000	1,747.970000	1,743.300000	1,736.480000	1,746.310000	1,749.260000	1,730.580000	1,724.750000
Kuwaiti Dinar	0.437321	0.438737	0.437733	0.437229	0.438372	0.439091	0.438727	0.438062	NA	0.438404	NA	NA
Libyan Dinar	1.932400	1.932400	1.932400	1.932400	1.932400	1.932400	1.932400	1.932400	1.932400	1.932400	1.932400	1.932400
Malaysian Ringgit	4.773630	4.803470	4.789250	4.795800	4.792850	4.795080	4.793660	4.804690	4.811900	4.807110	NA	NA
Mauritian Rupee	44.998800	45.003500	44.826400	44.861200	44.919800	45.135700	44.965000	44.807900	44.829800	45.033700	44.903300	NA
Mexican Peso	19.705700	19.611600	19.901100	19.669500	19.804100	19.902600	19.989400	19.997500	20.105700	20.024600	20.078200	19.872400
Nepalese Rupee	116.581000	116.717000	116.815000	117.484000	117.892000	118.183000	117.805000	118.367000	118.443000	119.101000	118.117000	118.529000
New Zealand Dollar	1.928130	1.932530	1.923280	1.955190	1.965790	1.961360	1.935050	1.940840	1.941200	1.919740	1.895510	1.887590
Norwegian Krone	8.801040	8.684170	8.738280	8.778860	8.757410	8.710800	8.762780	8.689310	8.684930	8.655460	8.679430	8.619870
Rial Omani	0.617856	0.619859	0.618666	0.617955	0.619341	0.620359	0.620070	0.618793	0.618682	0.620186	0.618406	0.618800
Pakistani Rupee	139.185000	139.650000	139.483000	139.624000	140.186000	140.425000	140.052000	139.744000	139.759000	140.582000	140.322000	140.411000
Nuevo Sol	4.402920	4.412360	NA	4.394000	4.399010	4.407850	4.404200	4.395100	NA	NA	NA	4.385500
Philippine Peso	68.217900	68.252400	68.313900	68.290200	68.629900	68.660600	68.325600	68.210000	68.428500	NA	NA	68.409300
Polish Zloty	4.646210	4.640480	4.621410	4.704180	4.662050	4.632610	4.648200	4.630550	4.639880	4.622440	4.624790	4.618060
Qatar Riyal	5.849150	5.868100	5.856820	5.850070	5.863210	5.872820	5.870130	5.857990	5.856960	5.871200	5.854360	5.858060
Russian Ruble	46.123300	46.301200	46.519200	47.043100	47.123800	46.715900	46.612000	46.481800	46.456300	46.309400	46.411700	46.555200
Saudi Arabian Riyal	6.025910	6.045440	6.033800	6.026890	6.040400	6.050300	6.047520	6.035040	6.033980	6.048620	6.031290	6.035110
Singapore Dollar	1.932310	1.942600	1.941440	1.949820	1.949670	1.947230	1.943910	1.945050	1.941810	1.947810	NA	1.938630
South African Rand	11.530900	11.452700	11.526200	11.538800	11.587300	11.580500	11.618300	11.611300	11.578800	11.366100	11.393300	11.325800
Sri Lanka Rupee	176.452000	177.086000	176.831000	176.672000	177.139000	177.429000	177.368000	177.018000	176.987000	177.411000	176.746000	NA
Swedish Krona	10.364900	10.325100	10.219000	10.396300	10.299100	10.209100	10.231700	10.150900	10.156200	10.115500	10.164200	10.224800
Swiss Franc	1.254190	1.271640	1.280130	1.270300	1.266390	1.272180	1.272720	1.278140	1.278560	1.315050	1.321090	1.302780
Thai Baht	47.958200	48.170000	48.087100	48.020600	48.054100	48.144300	48.222100	48.215800	48.270200	48.369500	48.267900	48.308200
Trinidad And Tobago Dollar	10.293900	10.327900	10.273300	10.242500	10.319700	10.349700	10.335800	10.302300	10.291100	10.288800	10.298500	NA
Tunisian Dinar	2.211590	2.211500	2.201140	2.201820	2.215780	2.211830	2.206450	2.201420	2.205380	2.212020	NA	NA
U.A.E. Dirham	5.901380	5.920490	5.909120	5.902320	5.915550	5.925260	5.922520	5.910310	5.909260	5.923610	5.906640	5.910380
Peso Uruguayo	NA	29.721000	NA	30.150500	30.086000	30.116000	30.113400	NA	NA	30.147900	29.995600	29.984000
