Currency units per SDR for May 2012
Currency	May 01, 2012	May 02, 2012	May 03, 2012	May 04, 2012	May 07, 2012	May 08, 2012	May 09, 2012	May 10, 2012	May 11, 2012	May 14, 2012	May 15, 2012
Chinese Yuan	NA	9.688040	9.691430	9.696220	9.700730	9.683350	9.679890	9.681480	9.675860	9.671270	9.675480
Euro	NA	1.177280	1.177900	1.177230	1.184130	1.183760	1.189030	1.186780	1.187450	1.192680	1.193740
Japanese Yen	123.930000	124.057000	NA	NA	123.154000	123.347000	122.983000	122.593000	122.732000	122.777000	122.450000
U.K. Pound Sterling	0.957515	0.955603	0.955238	0.955283	NA	0.955119	0.954791	0.954271	0.954973	0.955137	0.955393
U.S. Dollar	1.552040	1.545880	1.545760	1.545930	1.543280	1.541840	1.539790	1.538190	1.537030	1.534140	1.533120
Algerian Dinar	NA	115.089000	115.113000	115.120000	115.150000	115.186000	115.221000	114.710000	114.667000	114.718000	114.582000
Australian Dollar	1.501150	1.494760	1.500010	1.505730	1.521070	1.512800	1.528480	1.522200	1.528930	1.532150	1.533890
Bahrain Dinar	0.583567	0.581250	0.581206	0.581270	0.580272	0.579734	0.578962	0.578359	0.577921	0.576838	0.576452
Botswana Pula	NA	11.333400	11.291200	11.333800	11.406300	11.429500	11.560000	NA	11.617700	11.675400	11.685400
Brazilian Real	2.936150	2.924500	2.959970	2.980090	2.964640	2.970820	2.981950	3.011300	3.009650	2.993570	3.045700
Brunei Dollar	NA	1.911020	1.919060	1.920200	NA	NA	NA	1.923960	1.923280	1.921970	1.926980
Canadian Dollar	1.527050	1.529030	1.525360	1.539130	1.533250	1.541380	1.542100	1.540800	1.532110	1.537060	1.537570
Chilean Peso	NA	749.552000	749.232000	745.323000	744.048000	745.390000	747.630000	753.972000	747.490000	748.357000	753.404000
Colombian Peso	2,737.800000	2,726.930000	2,720.730000	2,712.940000	2,711.910000	2,712.280000	2,710.950000	2,731.760000	2,712.860000	2,707.280000	2,715.160000
Czech Koruna	NA	29.308300	29.369400	29.454600	29.637100	NA	30.022800	29.857800	29.981300	30.290100	30.455400
Danish Krone	8.703670	8.757100	8.761090	NA	8.805920	8.803280	8.840400	8.822000	8.826670	8.865480	8.873670
Hungarian Forint	NA	333.539000	333.792000	335.405000	340.216000	340.315000	342.126000	344.184000	343.649000	348.650000	348.861000
Icelandic Krona	NA	194.147000	193.096000	191.742000	192.462000	192.376000	192.735000	193.227000	193.189000	194.130000	194.139000
Indian Rupee	NA	81.823700	82.296400	83.047500	82.318800	81.501600	82.317400	82.046600	82.446300	82.398800	82.543000
Indonesian Rupiah	14,267.900000	14,211.300000	14,214.800000	14,250.400000	14,236.700000	14,215.800000	14,204.500000	14,223.600000	14,109.900000	14,144.800000	14,204.300000
Iranian Rial	19,028.000000	NA	NA	NA	18,920.600000	18,903.000000	18,877.800000	18,858.200000	NA	18,808.600000	18,796.000000
Israeli New Sheqel	5.848090	5.852710	5.839890	5.845180	5.870650	5.862080	5.874300	5.878960	5.876060	5.875750	5.867240
Kazakhstani Tenge	NA	228.620000	228.865000	228.597000	228.328000	227.961000	227.796000	227.559000	227.280000	226.854000	226.901000
Korean Won	NA	1,749.320000	1,741.920000	1,746.900000	1,746.220000	1,756.000000	1,748.740000	NA	1,756.060000	1,756.900000	1,761.090000
Kuwaiti Dinar	0.430304	0.428750	0.429258	NA	0.429417	0.428710	0.428522	0.428154	NA	0.427489	0.427434
