Currency units per SDR for August 2012
Currency	August 01, 2012	August 02, 2012	August 03, 2012	August 06, 2012	August 07, 2012	August 08, 2012	August 09, 2012	August 10, 2012	August 13, 2012	August 14, 2012	August 15, 2012
Chinese Yuan	9.552380	9.549090	9.559860	9.564710	9.584700	9.575240	9.564800	9.559220	9.586990	9.585980	9.566910
Euro	1.226980	1.220120	1.231010	1.219600	1.216960	1.224720	1.226690	1.228710	1.224420	1.223250	1.227620
Japanese Yen	117.682000	118.174000	117.876000	118.575000	118.439000	118.675000	118.363000	118.422000	118.236000	118.504000	118.754000
U.K. Pound Sterling	0.965475	0.968720	0.966753	0.970836	0.966725	0.965316	0.964748	0.965242	0.962001	0.962575	0.960993
U.S. Dollar	1.508940	1.506360	1.507370	1.509740	1.513410	1.510820	1.508960	1.506640	1.510820	1.510960	1.507030
Algerian Dinar	123.508000	123.677000	123.518000	123.280000	123.423000	123.547000	123.573000	123.458000	123.443000	123.604000	123.444000
Australian Dollar	1.436130	1.436960	1.438460	1.440730	1.430440	1.431920	1.424480	1.432310	1.432050	1.436820	1.438560
Bahrain Dinar	0.567360	0.566393	0.566768	0.567663	0.569042	0.568069	0.567366	0.566498	0.568066	0.568120	0.566643
Botswana Pula	11.652000	11.750100	11.630900	11.586700	11.570400	11.621700	11.536400	11.545200	11.550600	11.578200	11.592500
Brazilian Real	3.093180	3.077790	3.086330	3.066740	3.069040	3.064090	3.059100	3.040710	3.048070	3.062100	3.052940
Brunei Dollar	1.879540	1.878730	1.881040	1.874200	1.878290	1.878400	NA	1.878330	1.880660	1.881900	1.881830
Canadian Dollar	1.511510	1.515700	1.505260	NA	1.507960	1.502810	1.497490	1.493990	1.500690	1.497960	1.490600
Chilean Peso	727.220000	727.919000	730.471000	725.463000	724.349000	720.721000	719.875000	715.236000	722.095000	728.311000	NA
Colombian Peso	2,702.120000	2,692.630000	2,699.650000	2,696.490000	2,701.870000	2,697.250000	2,698.060000	2,694.000000	2,706.790000	2,708.930000	2,713.870000
Czech Koruna	31.115800	30.823100	31.110500	30.688600	30.566300	30.829800	30.826400	30.958500	30.784400	30.618000	30.646900
Danish Krone	9.130920	9.079770	9.160530	9.076550	9.058630	9.116600	9.129500	9.144860	9.113530	9.105150	9.137840
Hungarian Forint	343.706000	344.520000	343.951000	337.865000	337.792000	339.013000	339.032000	341.119000	342.320000	340.857000	340.935000
Icelandic Krona	181.812000	181.908000	181.743000	NA	180.474000	180.482000	180.516000	180.511000	180.527000	180.560000	180.783000
Indian Rupee	83.715600	84.024400	84.533000	83.745800	83.994100	83.321500	83.249400	83.377800	83.729700	84.069600	NA
Indonesian Rupiah	14,286.600000	14,278.800000	14,297.400000	14,283.700000	14,335.000000	14,315.000000	14,309.400000	14,278.500000	14,322.500000	14,339.000000	14,307.700000
Iranian Rial	18,499.600000	18,468.000000	NA	18,509.500000	18,554.400000	18,522.600000	18,499.800000	18,471.500000	18,522.600000	18,524.400000	18,476.200000
Israeli New Sheqel	5.990500	5.990790	6.040000	6.007270	6.050600	6.038760	6.016200	6.032600	6.105190	6.096710	6.077850
Kazakhstani Tenge	226.356000	226.075000	226.331000	226.673000	227.223000	226.698000	226.268000	225.560000	226.184000	226.100000	225.181000
Korean Won	1,709.930000	1,698.570000	1,703.930000	1,714.470000	1,704.850000	1,703.150000	1,702.100000	1,696.780000	1,704.350000	1,709.190000	NA
Kuwaiti Dinar	0.424841	0.424567	0.424850	0.425069	0.426099	0.425371	0.424847	0.424196	0.425974	0.425787	0.424982
Libyan Dinar	1.932400	1.932400	1.932400	1.932400	1.932400	1.932400	1.932400	1.932400	1.932400	1.932400	1.932400
Malaysian Ringgit	4.704110	4.711890	4.724090	4.688520	4.699140	4.684300	4.673990	4.688520	4.711470	4.718720	4.712490
Mauritian Rupee	46.563400	46.479400	46.609400	46.537000	46.638700	46.462600	46.340500	46.248800	46.362400	46.378700	NA
Mexican Peso	20.048800	20.174200	19.800300	19.733600	19.954100	19.926400	19.795700	19.751200	19.863300	19.840500	19.838400
Nepalese Rupee	133.994000	133.825000	133.899000	134.669000	133.952000	133.828000	133.392000	133.172000	133.632000	133.977000	134.261000
New Zealand Dollar	1.865650	1.862230	1.862550	1.844980	1.845390	1.853310	1.856950	1.856840	1.860610	1.865840	1.872320
Norwegian Krone	9.061170	9.034400	9.072520	9.018270	8.953750	8.945420	8.949350	8.932720	8.946300	8.930960	8.956160
Rial Omani	0.580188	0.579196	0.579582	0.580498	0.581906	0.580909	0.580194	0.579304	0.580909	0.580963	0.579451
Pakistani Rupee	142.782000	142.601000	142.468000	142.363000	142.683000	142.325000	141.947000	141.868000	143.189000	NA	142.171000
Nuevo Sol	3.959460	NA	3.950800	3.952510	3.965120	3.953800	3.947420	3.942890	3.952290	3.951150	3.939380
Philippine Peso	63.123300	62.929500	63.083100	63.302000	NA	63.138500	63.068400	62.914400	63.248700	63.321200	63.204700
Polish Zloty	5.042860	5.040580	5.056920	4.944720	4.934620	4.991740	4.966720	5.001300	5.016200	4.995080	NA
Qatar Riyal	5.492540	5.483150	5.486820	5.495470	5.508790	5.499370	5.492600	5.484170	5.499370	5.499880	5.485580
Russian Ruble	48.596500	48.890900	49.043900	48.229000	47.921200	47.879000	47.503000	48.058000	48.150800	48.009100	48.003800
Saudi Arabian Riyal	5.658510	5.648860	5.652620	5.661550	5.675270	5.665560	5.658570	5.649910	5.665560	5.666080	5.651350
Singapore Dollar	1.879540	1.878730	1.881040	1.874200	1.878290	1.878400	NA	1.878330	1.880660	1.881900	1.881830
South African Rand	12.459000	12.498300	12.423000	12.336000	12.309400	12.422100	NA	12.262500	12.256200	12.278200	12.359900
Sri Lanka Rupee	NA	198.556000	198.751000	199.131000	199.609000	199.251000	198.997000	198.825000	199.330000	199.361000	198.819000
Swedish Krona	10.187800	10.187800	10.233400	10.193500	10.136800	10.175700	10.097500	10.131900	10.090900	10.061600	10.103900
Swiss Franc	NA	1.475780	1.473450	1.467170	1.464830	1.468520	1.471830	1.474100	1.472140	1.468800	1.473720
Thai Baht	47.528500	NA	47.638800	47.559900	47.629900	47.610400	47.491300	47.442600	NA	47.521100	47.492600
Trinidad And Tobago Dollar	9.629460	NA	9.633450	9.662210	9.664920	9.690960	9.669120	9.683640	9.637530	NA	9.638550
Tunisian Dinar	2.448560	NA	2.443290	2.448200	2.440210	2.429700	2.433790	2.435940	2.453270	NA	2.427970
U.A.E. Dirham	5.541580	5.532110	5.535810	5.544530	5.557990	5.548470	5.541640	5.533150	5.548470	5.548990	5.534550
Peso Uruguayo	32.321500	32.266200	31.440600	31.393600	31.450100	31.474800	31.475300	31.570200	31.858600	32.076200	32.360500
Bolivar Fuerte	6.472280	6.461240	6.465550	6.475760	6.491440	6.480340	6.472370	6.462450	6.480340	6.480970	6.464080

Currency units per SDR for August 2012 Continued

Currency	August 16, 2012	August 17, 2012	August 20, 2012	August 21, 2012	August 22, 2012	August 23, 2012	August 24, 2012	August 27, 2012	August 28, 2012	August 29, 2012	August 30, 2012	August 31, 2012
Chinese Yuan	9.563980	9.577720	9.569100	9.592600	9.595180	9.631220	9.620470	9.626120	9.635950	9.640320	9.644130	9.656980
Euro	1.226700	1.223570	1.225590	1.217090	1.216800	1.211860	1.215080	1.211900	1.211030	1.212250	1.211990	1.206890
Japanese Yen	119.145000	119.795000	119.950000	120.070000	120.007000	119.485000	119.373000	119.658000	119.364000	119.532000	119.543000	119.402000
U.K. Pound Sterling	0.959767	0.961659	0.960606	0.959951	0.959380	0.958075	0.959223	0.961086	0.962621	0.961178	0.959555	0.960929
U.S. Dollar	1.506260	1.509520	1.507470	1.512590	1.514670	1.521130	1.519700	1.518510	1.519600	1.520770	1.520320	1.522010
Algerian Dinar	123.255000	122.705000	122.326000	121.993000	121.909000	121.985000	121.911000	121.560000	121.362000	121.564000	121.583000	121.611000
Australian Dollar	1.436860	1.441480	1.443110	1.443180	1.451250	1.446490	1.455930	1.462350	1.464810	1.466080	1.470750	1.477540
Bahrain Dinar	0.566354	0.567579	0.566810	0.568734	0.569515	0.571945	0.571409	0.570959	0.571370	0.571808	0.571641	0.572279
Botswana Pula	11.604500	11.701700	11.694900	11.644300	11.732500	11.737100	11.817300	11.798800	11.825700	11.807200	11.849700	11.826100
Brazilian Real	3.047770	3.051340	3.042380	3.056800	3.055540	3.074210	3.076030	3.075740	3.083720	3.107390	3.118020	3.122110
Brunei Dollar	1.884930	1.890370	NA	1.892560	1.896070	1.892750	1.897350	1.900410	1.907090	1.906590	1.906330	1.906020
Canadian Dollar	1.488330	1.492160	1.490890	1.492020	1.503920	1.510180	1.507550	1.502110	1.498930	1.501760	1.509070	1.501160
Chilean Peso	725.700000	730.108000	729.874000	734.392000	730.695000	733.353000	728.895000	730.903000	731.106000	730.957000	730.652000	732.349000
Colombian Peso	2,737.150000	2,755.660000	2,747.500000	2,756.840000	2,750.340000	2,757.630000	2,748.130000	2,755.840000	2,767.850000	2,781.470000	2,786.960000	2,786.050000
Czech Koruna	30.548400	30.613100	30.515800	30.161100	30.381300	30.177700	30.257300	30.115000	30.063700	30.074700	30.196500	29.983700
Danish Krone	9.132000	9.110540	9.125170	9.062900	9.063230	9.026090	9.049530	9.026660	9.020960	9.031550	9.029350	8.992970
Hungarian Forint	341.605000	339.551000	NA	336.537000	335.788000	335.181000	336.994000	336.577000	337.412000	342.417000	344.717000	343.868000
Icelandic Krona	180.902000	180.417000	180.565000	180.513000	180.079000	180.711000	183.079000	183.648000	184.266000	185.184000	185.920000	185.564000
Indian Rupee	84.335500	84.080200	NA	84.009600	84.079500	83.951100	84.160900	84.413800	84.763000	84.661100	84.605900	84.806900
Indonesian Rupiah	14,306.500000	14,334.400000	NA	NA	NA	14,443.100000	14,443.300000	14,448.600000	14,489.400000	14,527.900000	14,554.000000	14,550.400000
Iranian Rial	18,466.700000	NA	NA	18,544.400000	18,569.900000	18,649.100000	NA	18,616.900000	18,630.300000	18,644.600000	NA	NA
Israeli New Sheqel	6.089800	6.080360	6.081130	6.086690	6.104110	6.089100	6.116810	6.111980	6.098160	6.127190	6.146660	6.130680
Kazakhstani Tenge	224.764000	225.250000	224.885000	225.709000	226.216000	226.816000	226.421000	226.045000	226.207000	226.488000	227.151000	227.404000
Korean Won	1,701.020000	1,710.430000	1,703.940000	1,717.550000	1,715.370000	1,724.200000	1,718.480000	1,721.530000	1,725.660000	1,729.420000	1,724.040000	1,726.880000
Kuwaiti Dinar	0.425367	NA	NA	NA	0.427062	0.428502	0.428101	0.428068	0.428526	0.428629	0.428653	0.429131
Libyan Dinar	1.932400	1.932400	1.932400	1.932400	1.932400	1.932400	1.932400	1.932400	1.932400	1.932400	1.932400	1.932400
Malaysian Ringgit	4.720610	4.730080	NA	NA	4.732590	4.717780	4.707280	4.721030	4.744940	4.746310	4.760880	NA
Mauritian Rupee	46.224600	46.202600	NA	46.271900	46.202200	46.279200	46.154400	46.051500	46.099100	46.197900	46.187700	46.380500
Mexican Peso	19.796800	19.887200	19.787200	19.792900	19.957600	19.970000	20.023600	19.999200	20.035400	20.187600	20.398400	20.177500
Nepalese Rupee	134.132000	134.981000	134.391000	133.335000	134.563000	134.879000	134.175000	134.844000	135.244000	135.653000	135.384000	135.459000
New Zealand Dollar	1.866720	1.860390	1.868920	1.867860	1.869740	1.868250	1.870630	1.872160	1.879530	1.890800	1.897310	1.906330
Norwegian Krone	9.000170	8.968210	8.962660	8.913290	8.945980	8.896320	8.872480	8.840720	8.828390	8.864540	8.820290	8.801340
Rial Omani	0.579156	0.580410	0.579623	0.581591	0.582391	0.584874	0.584327	0.583867	0.584286	0.584737	0.584563	0.585213
Pakistani Rupee	142.102000	142.851000	NA	NA	NA	144.092000	144.048000	144.126000	144.059000	144.190000	143.908000	143.962000
Nuevo Sol	3.935860	3.942860	3.937520	3.949380	3.957840	3.976240	3.970980	3.964820	3.966140	3.967690	NA	NA
Philippine Peso	63.464700	63.879800	NA	NA	64.098000	64.407700	64.076700	NA	64.069300	64.342200	64.388600	64.403900
Polish Zloty	5.008770	4.964210	4.966230	4.959800	4.943740	4.941860	4.966400	4.945770	4.966800	5.030860	5.077410	5.076370
Qatar Riyal	5.482790	5.494660	5.487210	5.505850	5.513410	5.536910	5.531710	5.527370	5.531340	5.535600	5.533970	5.540140
Russian Ruble	48.051300	48.073500	48.263900	48.343500	48.175100	48.193900	48.341600	48.395200	48.654900	48.807900	49.096100	49.567300
Saudi Arabian Riyal	5.648470	5.660690	5.653010	5.672210	5.680010	5.704250	5.698880	5.694400	5.698490	5.702880	5.701190	5.707570
Singapore Dollar	1.884930	1.890370	NA	1.892560	1.896070	1.892750	1.897350	1.900410	1.907090	1.906590	1.906330	1.906020
South African Rand	12.411000	12.578600	12.526600	12.476600	12.595000	12.585500	12.738900	12.738400	12.793600	12.780600	12.843600	12.802900
Sri Lanka Rupee	198.740000	199.139000	199.595000	199.981000	200.234000	201.174000	201.049000	200.835000	201.075000	201.224000	201.259000	NA
Swedish Krona	10.103100	10.140600	10.059500	10.058400	10.100900	10.091900	10.041700	10.040800	10.001400	10.109800	10.141600	10.159900
Swiss Franc	1.473270	1.466800	1.469030	1.462680	1.459390	1.455420	1.457550	1.455790	1.455020	1.454620	1.456010	1.452000
Thai Baht	47.515000	47.586000	47.498900	47.613400	47.590900	47.553600	47.455900	47.444200	47.616600	47.632000	47.732000	47.745700
Trinidad And Tobago Dollar	9.650180	9.631220	NA	NA	9.668940	9.726110	9.732080	9.695090	9.742410	9.739180	9.714110	NA
Tunisian Dinar	2.439840	NA	NA	2.442540	2.439980	2.442780	2.428490	2.430830	2.434090	2.431560	2.433270	2.437510
U.A.E. Dirham	5.531740	5.543700	5.536180	5.555000	5.562630	5.586370	5.581100	5.576720	5.580730	5.585030	5.583380	5.589590
Peso Uruguayo	32.246000	32.314200	32.250900	32.404300	32.609400	32.844300	32.767900	32.786100	32.893200	32.977800	32.829700	NA
