Currency units per SDR for December 2015
Currency	December 01, 2015	December 02, 2015	December 03, 2015	December 04, 2015	December 07, 2015	December 08, 2015	December 09, 2015	December 10, 2015	December 11, 2015	December 14, 2015	December 15, 2015
Chinese Yuan	8.791210	8.787580	8.764090	8.872330	8.858810	8.883520	8.917980	8.955680	8.985450	8.991510	9.005680
Euro	1.296150	1.294150	1.283750	1.271980	1.278930	1.272750	1.268670	1.271450	1.271230	1.267630	1.268270
Japanese Yen	169.198000	168.813000	168.893000	170.012000	170.421000	170.440000	170.703000	169.201000	169.712000	168.350000	168.821000
U.K. Pound Sterling	0.911212	0.913559	0.917355	0.917381	0.917743	0.922739	0.920946	0.916809	0.918805	0.920793	0.919659
U.S. Dollar	1.373920	1.373350	1.369890	1.386720	1.382390	1.384110	1.388050	1.391340	1.391990	1.392240	1.393830
Algerian Dinar	148.741000	148.854000	146.939000	148.732000	148.659000	148.420000	148.384000	148.775000	148.982000	148.845000	149.113000
Australian Dollar	1.891410	1.879760	1.872710	1.893910	1.885420	1.914670	1.922510	1.909870	1.921050	1.934740	1.922530
Bahrain Dinar	0.516596	0.516382	0.515076	0.521406	0.519780	0.520427	0.521907	0.523144	0.523390	0.523483	0.524082
Botswana Pula	14.966500	14.879200	14.825600	15.024000	15.009700	15.110400	15.104000	15.459400	15.782200	15.521100	15.333700
Brazilian Real	5.290420	5.321070	5.280220	5.265370	5.194350	5.187100	5.263630	5.228680	5.245740	5.366820	5.439160
Brunei Dollar	1.936540	1.931900	1.935100	1.937110	1.935760	1.949390	1.950770	1.952890	1.958120	1.965430	1.965440
Canadian Dollar	1.837210	1.834800	1.834830	1.853350	1.867330	1.881430	1.887060	1.892090	1.906480	1.911970	1.913450
Chilean Peso	977.135000	971.166000	963.670000	972.867000	NA	NA	980.440000	980.479000	979.326000	984.465000	991.739000
Colombian Peso	4,317.030000	4,301.280000	4,337.980000	4,366.950000	4,394.930000	4,549.630000	4,562.580000	4,583.120000	4,537.290000	4,593.500000	4,677.710000
Czech Koruna	35.025400	35.009600	34.693700	34.393300	34.555700	34.382800	34.268300	34.352200	34.348800	34.277000	34.246500
Danish Krone	9.669500	9.653350	9.574690	9.489470	9.541710	9.495590	9.465390	9.486140	9.484520	9.457790	9.463160
Hungarian Forint	402.628000	403.587000	402.280000	398.487000	398.902000	399.594000	399.052000	401.666000	403.998000	401.676000	400.851000
Icelandic Krona	182.141000	182.079000	181.962000	180.259000	180.278000	179.865000	179.364000	179.887000	179.790000	179.571000	178.996000
Indian Rupee	91.391000	91.487100	91.432800	92.683600	92.103900	92.456500	92.652600	92.928200	92.965300	93.272300	93.447500
Indonesian Rupiah	18,971.100000	18,893.200000	18,966.100000	19,182.500000	19,128.100000	19,174.100000	NA	19,414.800000	19,400.200000	19,597.200000	19,604.200000
Iranian Rial	41,349.700000	NA	41,226.700000	NA	41,616.900000	41,670.100000	41,787.300000	NA	NA	41,917.600000	41,964.100000
Israeli New Sheqel	5.329440	5.327250	5.324760	5.348570	5.329130	5.367600	5.392580	5.380340	5.373110	5.368490	5.378800
Kazakhstani Tenge	NA	422.663000	421.829000	425.833000	424.450000	426.127000	429.076000	NA	NA	448.956000	470.836000
Korean Won	1,590.590000	1,590.480000	1,588.110000	1,618.850000	1,599.150000	1,614.430000	1,632.350000	1,639.280000	1,639.070000	1,642.430000	1,653.220000
Kuwaiti Dinar	0.418223	0.418050	0.416993	0.422117	0.419762	0.420286	0.421344	0.421717	0.421912	0.422128	0.422401
Libyan Dinar	1.932400	1.932400	1.932400	1.932400	1.932400	1.932400	1.932400	1.932400	1.932400	1.932400	1.932400
Malaysian Ringgit	5.822690	5.803120	5.823400	5.845700	5.815040	5.902560	5.920730	5.925050	5.955640	6.012400	6.032490
Mauritian Rupee	49.839000	49.761900	49.677800	50.180400	49.960000	49.950800	50.156000	50.228800	50.201300	50.169300	50.255300
Mexican Peso	22.684000	22.788500	22.890100	23.124500	23.368500	23.552600	23.619100	23.757200	24.163900	24.193800	23.908200
Nepalese Rupee	146.597000	146.152000	146.002000	147.935000	147.529000	147.574000	148.258000	148.790000	148.679000	148.998000	149.558000
New Zealand Dollar	2.080750	2.059310	2.065260	2.077170	2.058660	2.084510	2.091390	2.053340	2.064660	2.075180	2.055800
Norwegian Krone	11.926600	11.829300	11.777000	11.765200	11.928000	12.177000	12.099400	11.998700	12.125700	12.130600	12.041600
Rial Omani	0.528273	0.528056	0.526721	0.533194	0.531530	0.532192	0.533706	0.534971	0.535223	0.535318	0.535929
Pakistani Rupee	144.994000	144.924000	144.564000	146.263000	145.401000	144.200000	143.799000	144.611000	145.091000	145.083000	146.108000
Nuevo Sol	4.635620	4.626820	4.611040	NA	4.660050	NA	4.674970	NA	4.696580	4.701590	4.694420
Philippine Peso	64.805000	64.757600	64.592800	65.390700	65.084300	65.208200	65.470300	65.606000	65.677100	65.754000	65.982600
Polish Zloty	5.529750	5.535320	5.534340	5.492360	5.509250	5.519430	5.511280	5.509850	5.528710	5.526510	5.508850
Qatar Riyal	5.001080	4.999000	4.986390	5.047650	5.031900	5.038160	5.052520	5.064500	5.066860	5.067760	5.073540
Russian Ruble	91.034100	91.658200	92.835900	93.838600	94.715800	95.922300	96.053200	96.302000	96.291800	97.768900	98.724500
Saudi Arabian Riyal	5.152220	5.150070	5.137080	5.200180	5.183980	5.190440	5.205220	5.217550	5.219970	5.220900	5.226870
Singapore Dollar	1.936540	1.931900	1.935100	1.937110	1.935760	1.949390	1.950770	1.952890	1.958120	1.965430	1.965440
South African Rand	19.835200	19.679300	19.642700	20.023300	20.006000	20.244800	20.191300	21.202000	22.099400	21.267300	20.885000
Sri Lanka Rupee	196.799000	196.709000	196.211000	198.647000	198.032000	198.264000	198.799000	199.210000	199.361000	199.475000	200.006000
Swedish Krona	11.944600	11.939700	11.921400	11.812500	11.766600	11.784900	11.765400	11.726100	11.829000	11.850800	11.766700
Swiss Franc	1.413490	1.409610	1.402760	1.386020	1.384460	1.380520	1.376530	1.372140	1.373900	1.367740	1.372370
Thai Baht	49.217900	49.150900	49.143200	49.643100	NA	49.687000	49.879800	NA	50.157700	50.254300	50.275500
Trinidad And Tobago Dollar	8.745540	8.775470	8.751360	8.845570	8.826130	8.856380	8.901150	8.937830	8.948550	8.934000	8.926500
Tunisian Dinar	2.840550	2.835240	2.824580	2.833950	2.794150	2.810770	2.812580	2.805910	2.805470	2.803990	2.810230
U.A.E. Dirham	5.045740	5.043650	5.030910	5.092710	5.076840	5.083160	5.097620	5.109710	5.112110	5.113000	5.118830
Peso Uruguayo	40.628300	40.614200	40.530800	NA	40.893900	41.016900	41.141900	NA	41.413200	41.474800	41.518100
