Currency units per SDR for August 2016
Currency	August 01, 2016	August 02, 2016	August 03, 2016	August 04, 2016	August 05, 2016	August 08, 2016	August 09, 2016	August 10, 2016	August 11, 2016	August 12, 2016	August 15, 2016
Chinese Yuan	9.272650	9.292900	9.290050	9.278760	9.282120	9.272310	9.269820	9.287640	9.265350	9.263550	9.267330
Euro	1.251280	1.250100	1.251270	1.255170	1.252480	1.255570	1.256000	1.249230	1.250830	1.249530	1.248280
Japanese Yen	143.102000	143.352000	141.894000	141.663000	141.473000	142.128000	142.410000	141.810000	NA	142.267000	141.372000
U.K. Pound Sterling	1.059810	1.057150	1.050070	1.052130	1.061830	1.065400	1.071630	1.069130	1.074770	1.075540	1.080250
U.S. Dollar	1.396930	1.399240	1.401420	1.397760	1.397260	1.392050	1.391400	1.397140	1.395050	1.394230	1.395570
Algerian Dinar	153.558000	153.532000	154.018000	153.718000	153.635000	153.503000	153.317000	153.257000	153.136000	153.175000	153.071000
Australian Dollar	NA	1.854030	1.846650	1.837470	1.824100	1.829230	1.823350	1.815650	1.811510	1.812800	1.822610
Bahrain Dinar	0.525246	0.526114	0.526934	0.525558	0.525370	0.523409	0.523166	0.525326	0.524538	0.524230	0.524736
Botswana Pula	14.782300	14.791100	14.829900	14.697800	14.708000	14.591700	14.539200	14.388700	14.441500	14.433000	14.461900
Brazilian Real	4.523820	4.569340	4.552390	4.574460	4.495960	4.434080	4.419790	4.400580	4.365940	4.372010	4.409460
Brunei Dollar	1.870770	1.878900	1.878050	1.875510	1.874840	1.876200	NA	1.873290	1.874520	1.875650	1.879000
Canadian Dollar	NA	1.831460	1.833060	1.820580	1.841590	1.832490	1.825100	1.824670	1.814540	1.804830	1.803360
Chilean Peso	917.717000	919.955000	917.600000	918.619000	918.501000	914.545000	911.079000	912.417000	905.789000	899.580000	NA
Colombian Peso	4,305.000000	4,324.040000	4,323.130000	4,347.640000	4,303.330000	4,249.640000	4,163.770000	4,155.530000	4,122.220000	4,058.950000	NA
Czech Koruna	33.822500	33.787400	33.834500	33.927900	33.840300	33.938100	33.939000	33.769000	33.793600	33.755600	33.719900
Danish Krone	9.308130	9.299470	9.307870	9.336370	9.314980	9.337420	9.340470	9.292300	9.304400	9.296270	9.287810
Hungarian Forint	390.331000	389.394000	389.399000	390.436000	390.200000	390.386000	389.397000	389.020000	388.423000	387.665000	386.909000
Icelandic Krona	NA	165.824000	165.957000	167.843000	167.084000	167.240000	166.300000	165.841000	165.829000	165.313000	165.069000
Indian Rupee	93.233100	93.415200	93.806900	93.572500	93.356700	92.905700	93.173200	93.251400	93.268800	93.169700	NA
Indonesian Rupiah	18,271.800000	18,300.600000	18,378.300000	18,363.800000	18,339.000000	18,297.100000	18,273.300000	18,334.700000	18,293.200000	18,292.200000	18,311.300000
Iranian Rial	43,247.500000	43,318.900000	43,385.300000	43,316.700000	NA	43,179.900000	43,197.500000	43,374.400000	43,307.900000	NA	43,366.100000
Israeli New Sheqel	5.316720	5.338090	5.356240	5.347820	5.338940	5.330150	5.315160	5.324500	5.316520	5.313380	5.314340
Kazakhstani Tenge	491.860000	494.910000	496.118000	492.095000	487.603000	484.919000	481.271000	483.999000	484.332000	480.254000	479.226000
Korean Won	1,567.910000	1,554.550000	1,554.040000	1,557.110000	1,556.270000	1,546.980000	1,548.210000	1,546.920000	1,529.110000	1,531.700000	NA
Kuwaiti Dinar	0.421244	0.422080	0.422249	0.421495	0.421344	0.420258	0.420203	0.421448	0.420815	0.420567	0.420975
Libyan Dinar	1.932400	1.932400	1.932400	1.932400	1.932400	1.932400	1.932400	1.932400	1.932400	1.932400	1.932400
Malaysian Ringgit	5.633140	5.669710	5.687670	5.657450	5.642130	5.628030	5.610820	5.583690	5.607390	5.591530	5.612300
Mauritian Rupee	49.413200	49.527800	49.507200	49.387600	49.280000	49.155300	49.187700	49.371700	49.284600	49.208200	NA
Mexican Peso	26.332700	26.440800	26.503300	26.363500	26.365100	25.852600	25.579800	25.634600	25.484500	25.438400	25.171000
Nepalese Rupee	149.793000	149.425000	149.602000	149.728000	149.688000	148.726000	148.713000	149.550000	148.935000	149.098000	149.354000
New Zealand Dollar	1.936950	1.949880	1.945880	1.946740	1.944690	1.958970	1.947920	1.939130	1.916270	1.936690	1.939910
Norwegian Krone	11.819000	11.796300	11.791400	11.813500	11.776000	11.810500	11.752500	11.564300	11.544300	11.450100	11.453200
Rial Omani	0.537120	0.538008	0.538848	0.537438	0.537247	0.535243	0.534994	0.537201	0.536394	0.536081	0.536599
Pakistani Rupee	146.463000	146.701000	146.828000	145.998000	146.240000	145.786000	145.704000	146.186000	145.908000	145.968000	146.099000
Nuevo Sol	4.665750	4.677640	4.693360	4.660140	4.658460	4.613250	4.594410	4.617550	4.613420	4.621860	4.616550
Philippine Peso	65.781700	65.701300	65.903500	65.738000	65.690900	65.369300	65.232800	65.510600	65.256300	65.156300	65.172100
Polish Zloty	5.453630	5.431830	5.397730	5.393690	5.385320	5.388050	5.354380	5.344080	5.342620	5.328590	NA
Qatar Riyal	5.084840	5.093230	5.101180	5.087840	5.086030	5.067040	5.064700	5.085590	5.077970	5.074980	5.079880
Russian Ruble	92.135300	93.583000	93.534000	92.803100	91.607800	90.594500	90.141300	90.554300	90.607600	89.699800	89.606500
Saudi Arabian Riyal	5.238480	5.247140	5.255330	5.241610	5.239720	5.220160	5.217760	5.239280	5.231410	5.228350	5.233410
Singapore Dollar	1.870770	1.878900	1.878050	1.875510	1.874840	1.876200	NA	1.873290	1.874520	1.875650	1.879000
South African Rand	19.767800	19.445700	NA	19.222900	19.183200	18.988700	NA	18.509600	18.634700	18.731200	18.621600
Sri Lanka Rupee	203.603000	203.939000	204.250000	203.720000	203.465000	202.682000	202.588000	203.424000	203.119000	202.860000	203.056000
Swedish Krona	11.951600	11.981300	11.938300	11.956900	11.911200	11.940600	11.945300	11.894400	11.800800	11.787500	11.814800
Swiss Franc	1.353490	1.351660	1.357000	1.361140	1.361490	1.366990	1.367750	1.365570	1.360030	1.359790	1.359710
Thai Baht	48.557400	48.676700	48.800500	48.844800	48.693100	48.661800	48.643300	48.601000	48.540600	NA	48.420800
Trinidad And Tobago Dollar	NA	9.374090	9.393910	9.374880	9.343790	9.328790	9.335500	9.384030	9.377610	9.387030	9.348240
Tunisian Dinar	3.106660	3.095850	3.094360	3.083730	3.092280	3.079230	3.087310	3.098570	3.073900	3.082100	3.083810
U.A.E. Dirham	5.130230	5.138690	5.146730	5.133290	5.131440	5.112290	5.109910	5.131020	5.123320	5.120300	5.125240
Peso Uruguayo	41.420400	41.280400	41.457000	41.129100	40.741300	40.451400	40.271300	40.200000	40.019700	40.102200	40.110200
Bolivar Fuerte	13.934400	13.957400	13.979200	13.942700	13.937700	13.885700	13.879200	13.936500	13.915600	13.907400	13.920800

Currency units per SDR for August 2016 Continued

Currency	August 16, 2016	August 17, 2016	August 18, 2016	August 19, 2016	August 22, 2016	August 23, 2016	August 24, 2016	August 25, 2016	August 26, 2016	August 29, 2016	August 30, 2016	August 31, 2016
Chinese Yuan	9.294540	9.291350	9.315410	9.341170	9.344750	9.341430	9.347450	9.347190	9.361100	9.327490	9.323230	9.312550
Euro	1.241350	1.242640	1.241540	1.240880	1.241310	1.240380	1.246760	1.244110	1.244050	1.250410	1.249860	1.252550
Japanese Yen	140.603000	140.821000	140.274000	141.034000	141.409000	140.829000	140.977000	141.092000	141.085000	142.353000	142.292000	143.561000
U.K. Pound Sterling	1.080210	1.077190	1.068530	1.071200	1.072460	1.067040	1.060910	1.064330	1.063960	1.067410	1.066830	1.061310
U.S. Dollar	1.402110	1.401200	1.405550	1.405420	1.403430	1.406470	1.404850	1.404600	1.404530	1.396710	1.395840	1.394340
Algerian Dinar	152.537000	152.670000	152.898000	152.775000	152.701000	152.936000	153.298000	153.019000	153.093000	152.919000	152.878000	152.843000
Australian Dollar	1.821390	1.826620	1.822790	1.838590	1.849290	1.840440	1.847760	1.840650	1.838390	1.849700	1.844150	1.855660
Bahrain Dinar	0.527193	0.526854	0.528488	0.528438	0.527688	0.528832	0.528223	0.528131	0.528103	0.525163	0.524835	0.524274
Botswana Pula	14.425000	14.520300	14.505200	14.594200	14.619000	14.559700	14.897700	14.910900	14.862800	15.083300	15.057600	15.155900
Brazilian Real	4.439910	4.447840	4.531780	4.526710	4.527590	4.522780	4.502130	4.546140	4.538460	4.490000	4.551410	4.534260
Brunei Dollar	1.881490	1.882800	1.882740	1.889310	1.898280	1.898590	1.899360	1.901130	1.899350	1.899380	1.900160	1.900490
Canadian Dollar	1.803390	1.805450	1.795590	1.809900	1.816310	1.814620	1.817880	1.817130	1.818450	1.818370	1.825200	1.829930
Chilean Peso	909.000000	909.397000	924.095000	922.024000	NA	938.553000	939.241000	943.174000	935.331000	925.917000	937.058000	938.632000
Colombian Peso	4,078.270000	4,070.920000	4,101.490000	4,053.260000	4,024.140000	4,056.090000	4,086.850000	4,127.120000	4,095.160000	4,026.280000	4,081.850000	4,090.750000
Czech Koruna	33.535700	33.591100	33.543400	33.520700	33.543300	33.518900	33.694000	33.623400	33.607700	33.789100	33.773700	33.862900
Danish Krone	9.235230	9.246840	9.239240	9.234290	9.237880	9.231310	9.279880	9.261230	9.263460	9.309510	9.304920	9.322970
Hungarian Forint	386.014000	386.382000	385.290000	385.661000	385.380000	385.512000	385.365000	385.508000	384.911000	386.148000	386.132000	387.767000
Icelandic Krona	164.229000	164.473000	164.281000	163.886000	164.032000	163.853000	164.171000	163.875000	163.642000	163.554000	163.244000	162.511000
Indian Rupee	93.799000	NA	93.882600	94.064500	94.301400	94.357400	94.310300	94.231200	94.146000	93.832400	93.644400	93.395100
Indonesian Rupiah	18,364.800000	NA	18,432.400000	18,437.700000	18,521.000000	18,587.800000	18,617.100000	18,634.900000	18,598.800000	18,541.300000	18,508.900000	18,544.800000
Iranian Rial	43,567.700000	43,536.800000	43,670.400000	NA	43,646.600000	43,739.700000	43,740.100000	43,780.200000	NA	43,575.800000	43,592.200000	43,577.400000
Israeli New Sheqel	5.292970	5.311970	5.307350	5.299840	5.306360	5.299560	5.301920	5.292550	5.272620	5.290730	5.279080	5.278970
Kazakhstani Tenge	481.946000	478.091000	478.014000	475.749000	NA	479.605000	476.007000	476.863000	475.758000	473.456000	NA	474.217000
Korean Won	1,543.860000	1,534.320000	1,549.340000	1,554.960000	1,565.100000	1,582.700000	1,569.780000	1,575.400000	1,571.670000	1,555.790000	1,570.600000	1,559.570000
Kuwaiti Dinar	0.422735	0.422112	0.423211	0.423171	0.422783	0.423347	0.423001	0.422926	0.422905	0.421177	0.421056	0.420812
Libyan Dinar	1.932400	1.932400	1.932400	1.932400	1.932400	1.932400	1.932400	1.932400	1.932400	1.932400	1.932400	1.932400
Malaysian Ringgit	5.602120	5.604820	5.614480	5.637140	5.661420	5.667360	5.669990	5.664050	5.646910	5.638500	5.652460	NA
Mauritian Rupee	49.481700	49.364900	49.426200	49.317200	NA	49.299900	49.214800	49.291700	49.246000	49.083400	49.120000	NA
Mexican Peso	25.219600	25.585700	25.416800	25.673300	NA	25.766800	25.985700	25.909300	25.679100	25.947100	26.235200	26.298800
Nepalese Rupee	150.053000	149.817000	150.155000	150.211000	150.588000	151.280000	150.811000	150.826000	150.622000	149.867000	149.983000	149.557000
New Zealand Dollar	1.946560	1.923940	1.924090	1.937170	1.942730	1.923770	1.931070	1.916760	1.921380	1.935040	1.928760	1.924030
Norwegian Krone	11.432900	11.533200	11.470600	11.546100	11.579100	11.520100	11.527500	11.541800	11.507600	11.595200	11.607800	11.619300
Rial Omani	0.539110	0.538764	0.540435	0.540383	0.539616	0.540786	0.540167	0.540071	0.540041	0.537034	0.536700	0.536124
Pakistani Rupee	146.849000	146.727000	147.188000	147.178000	147.017000	147.438000	147.223000	147.202000	147.220000	146.386000	146.325000	146.145000
Nuevo Sol	4.635360	4.644980	4.642530	4.663180	NA	4.720100	4.710470	4.701210	4.692540	4.698520	NA	4.726810
Philippine Peso	65.246900	64.892500	65.179700	65.079600	65.103300	65.544100	65.353500	65.427900	65.295500	NA	64.696000	64.790800
Polish Zloty	5.318050	5.335100	5.316630	5.327250	5.345650	5.353150	5.362880	5.364170	5.383290	5.417710	5.423960	5.449380
Qatar Riyal	5.103680	5.100380	5.116210	5.115720	5.108480	5.119540	5.113650	5.112760	5.112500	5.084010	5.080860	5.075390
Russian Ruble	89.666800	89.669200	89.320800	89.861000	90.111200	91.094600	91.053900	91.223400	90.926400	90.899200	90.600200	90.986000
Saudi Arabian Riyal	5.257900	5.254500	5.270810	5.270310	5.262850	5.274230	5.268200	5.267260	5.266980	5.237660	5.234400	5.228790
Singapore Dollar	1.881490	1.882800	1.882740	1.889310	1.898280	1.898590	1.899360	1.901130	1.899350	1.899380	1.900160	1.900490
South African Rand	18.551700	18.864500	18.798600	19.010800	19.062900	18.939800	19.823400	19.850800	19.743800	20.299700	20.110400	20.266600
Sri Lanka Rupee	204.007000	NA	204.508000	204.489000	204.198000	204.641000	204.406000	204.385000	204.855000	203.361000	203.274000	203.044000
Swedish Krona	11.818200	11.790000	11.774400	11.764300	11.812400	11.742900	11.777400	11.804300	11.797100	11.853300	11.861700	11.910700
Swiss Franc	1.348550	1.349640	1.346940	1.345830	1.352200	1.352880	1.355680	1.355580	1.358600	1.365840	1.367500	1.372450
Thai Baht	48.506000	48.555900	48.603900	48.669600	48.707300	48.681900	48.678100	48.588000	48.546300	48.395900	48.266700	48.294500
Trinidad And Tobago Dollar	9.359530	9.398670	9.432630	9.443760	9.427380	9.458590	9.457160	9.455100	9.457520	9.360840	9.342650	NA
Tunisian Dinar	3.094730	3.072950	3.084790	3.066320	3.070760	3.074150	3.072720	3.082760	3.081010	3.062560	3.078110	3.077180
U.A.E. Dirham	5.149250	5.145910	5.161880	5.161400	5.154080	5.165240	5.159320	5.158410	5.158150	5.129420	5.126230	5.120720
Peso Uruguayo	40.041300	39.948400	39.900700	40.009400	NA	40.113800	40.434400	NA	40.144400	39.852200	NA	40.154200
Bolivar Fuerte	13.986000	13.977000	14.020400	14.019100	13.999200	14.029500	14.013400	14.010900	14.010200	13.932200	13.923500	13.908600

Notes:


The value of the U.S. dollar in terms of the SDR is the reciprocal of the sum of the dollar values, based on market exchange rates, of specified quantities of the SDR basket currencies. See SDR Valuation.

These rates are the official rates used by the Fund to conduct operations with member countries. The rates are derived from the currency's representative exchange rate, as reported by the central bank, normally against the U.S. dollar at spot market rates and rounded to six significant digits. See Representative Exchange Rates for Selected Currencies.

The value in terms of each national currency of the SDR (shown above) is the reciprocal of the value in terms of the SDR of each national currency, rounded to six significant digits.

Exchange rates are published daily except on IMF holidays or whenever the IMF is closed for business.
