Currency units per SDR for August 2017
Currency	August 01, 2017	August 02, 2017	August 03, 2017	August 04, 2017	August 07, 2017	August 08, 2017	August 09, 2017	August 10, 2017	August 11, 2017	August 14, 2017	August 15, 2017
Chinese Yuan	9.486590	9.499380	9.496590	9.497580	9.467550	9.460920	9.406900	9.379280	9.402030	9.402300	9.396550
Euro	1.195330	1.194170	1.190910	1.191370	1.194760	1.194260	1.200570	1.200520	1.198610	1.195850	1.198370
Japanese Yen	155.735000	156.444000	156.383000	155.673000	156.097000	156.257000	154.781000	154.929000	NA	154.293000	155.063000
U.K. Pound Sterling	1.068630	1.067720	1.071030	1.075960	1.079750	1.082560	1.083160	1.083300	1.087670	1.087820	1.093010
U.S. Dollar	1.411920	1.412590	1.412420	1.413920	1.409450	1.410890	1.408380	1.408450	1.410170	1.410750	1.407360
Algerian Dinar	153.306000	153.394000	153.257000	154.248000	154.107000	154.561000	154.671000	154.574000	154.566000	154.513000	154.741000
Australian Dollar	1.762480	1.774160	1.782680	1.772490	NA	1.780760	1.786380	1.788960	1.794330	1.787570	1.792360
Bahrain Dinar	0.530884	0.531132	0.531070	0.531635	0.529956	0.530496	0.529552	0.529577	0.530223	0.530439	0.529168
Botswana Pula	14.436800	14.458400	14.441900	14.516600	14.470800	14.396900	14.519400	14.445600	14.507900	14.454400	14.493900
Brazilian Real	4.419460	4.400790	4.415500	4.409730	4.400030	4.410590	4.410200	4.430700	4.447250	4.470510	4.486940
Brunei Dollar	1.914990	1.921970	1.921740	1.919960	1.917840	1.920370	NA	1.922390	1.922340	1.918760	1.917810
Canadian Dollar	1.766880	1.774210	1.776540	1.786910	NA	1.787890	1.789350	1.790280	1.788800	1.792350	1.795090
Chilean Peso	920.895000	920.912000	921.982000	919.287000	915.977000	917.819000	914.788000	914.788000	912.967000	913.835000	NA
Colombian Peso	4,232.370000	4,199.670000	NA	4,177.480000	NA	4,196.550000	4,217.580000	4,241.040000	4,223.240000	4,211.060000	4,175.000000
Czech Koruna	31.235900	31.216800	30.917800	31.051100	31.198200	31.228700	31.408300	31.404300	31.350800	31.238200	31.327800
Danish Krone	8.889600	8.882810	8.858100	8.862340	8.886990	8.883600	8.931280	8.929610	8.914090	8.893080	8.912420
Hungarian Forint	362.243000	361.623000	361.946000	361.637000	363.428000	363.672000	365.983000	366.831000	366.954000	363.619000	364.380000
Icelandic Krona	145.936000	146.909000	147.683000	147.401000	NA	147.819000	148.443000	149.563000	149.139000	151.077000	151.615000
Indian Rupee	90.459300	90.503500	89.873900	90.079500	89.835200	89.928100	89.783500	90.061700	90.489500	90.323600	NA
Indonesian Rupiah	18,804.000000	18,831.200000	18,827.500000	18,839.100000	18,772.500000	18,791.700000	18,765.300000	18,785.900000	18,853.900000	18,825.000000	18,779.800000
Iranian Rial	46,233.400000	46,275.100000	NA	NA	46,227.200000	46,292.900000	46,225.900000	46,249.200000	NA	46,355.700000	46,279.600000
Israeli New Sheqel	NA	5.055660	5.069170	5.100010	5.103630	5.086290	5.071590	5.070430	5.056860	5.054690	5.051020
Kazakhstani Tenge	466.033000	473.514000	474.163000	471.345000	467.473000	468.685000	468.132000	468.577000	469.825000	468.960000	468.525000
Korean Won	1,584.040000	1,579.270000	1,586.430000	1,594.330000	1,586.200000	1,590.500000	1,584.990000	1,598.170000	1,609.140000	1,617.140000	NA
Kuwaiti Dinar	0.425907	0.426248	0.426198	0.426650	0.425514	0.425807	0.425192	0.425212	0.425729	0.425481	0.424812
Libyan Dinar	1.932400	1.932400	NA	1.932400	1.932400	1.932400	1.932400	1.932400	1.932400	1.932400	1.932400
Malaysian Ringgit	6.039490	6.055760	6.052940	6.047340	6.033180	6.043570	6.039160	6.048580	6.057380	6.054220	6.043210
Mauritian Rupee	47.170700	46.895100	46.665700	46.604400	46.435000	46.500600	46.474000	46.465600	46.543200	46.689900	46.669400
Mexican Peso	25.147500	25.242400	25.244600	25.280600	25.319500	25.277600	25.304500	25.221600	25.167200	25.076700	25.119000
Nepalese Rupee	144.934000	144.819000	144.180000	143.993000	143.398000	144.024000	143.387000	143.859000	144.599000	144.771000	144.381000
New Zealand Dollar	1.878060	1.904010	1.907900	1.901710	1.901840	1.915680	1.926390	1.921490	1.942910	1.928300	1.926040
Norwegian Krone	11.157600	11.166100	11.166900	11.153400	11.206800	11.133500	11.213000	11.207500	11.264000	11.178600	11.209200
Rial Omani	0.542885	0.543142	0.543074	0.543653	0.541935	0.542488	0.541524	0.541550	0.542208	0.542432	0.541131
Pakistani Rupee	148.834000	148.883000	148.878000	149.029000	148.567000	148.719000	148.443000	148.449000	148.630000	NA	148.332000
Nuevo Sol	4.571800	4.575380	4.571990	4.581100	4.565210	4.574130	4.571620	4.573250	NA	4.573640	4.566880
Philippine Peso	71.304800	71.190100	71.217000	71.211900	70.733400	70.981900	70.965800	71.297200	71.478600	71.960600	71.751500
Polish Zloty	5.081660	5.065960	5.073130	5.047980	5.073340	5.083030	5.118340	5.131260	5.139910	5.117890	NA
Qatar Riyal	5.139410	5.141810	5.141200	5.146650	5.130420	5.135660	5.126520	5.126760	5.133000	5.135100	5.122790
Russian Ruble	84.497300	85.577600	85.805200	85.298800	84.652500	84.637500	84.448000	84.408100	84.873800	84.361100	84.338400
Saudi Arabian Riyal	5.294700	5.297200	5.296580	5.302200	5.285440	5.290870	5.281450	5.281700	5.288120	5.290310	5.277600
Singapore Dollar	1.914990	1.921970	1.921740	1.919960	1.917840	1.920370	NA	1.922390	1.922340	1.918760	1.917810
South African Rand	18.737000	18.775900	18.752800	18.914400	18.824800	NA	NA	18.781600	18.956900	18.743500	18.787800
Sri Lanka Rupee	216.887000	216.842000	216.787000	217.029000	NA	216.372000	215.942000	215.812000	216.020000	215.947000	215.495000
Swedish Krona	11.409500	11.453100	11.448600	11.437800	11.472500	11.475900	11.518200	11.519600	11.493700	11.453300	11.406100
Swiss Franc	1.364060	1.368800	1.369910	1.369240	1.370410	1.371670	1.357540	1.360140	1.356160	1.366730	1.367670
Thai Baht	46.992900	47.056200	47.018100	47.002900	46.903900	46.919300	46.866700	46.830900	46.892200	NA	46.815800
Trinidad And Tobago Dollar	9.534160	NA	9.526620	9.568830	9.536070	9.536980	9.512940	9.487310	9.516920	9.490370	9.449030
Tunisian Dinar	3.497620	3.497290	3.492910	3.492670	3.483180	3.484430	3.477000	3.475060	3.477570	3.480310	3.469510
U.A.E. Dirham	5.185300	5.187740	5.187100	5.192620	5.176220	5.181510	5.172290	5.172530	5.178820	5.180970	5.168520
Peso Uruguayo	NA	40.070800	40.070400	40.183600	40.321600	40.368500	40.469900	40.591500	NA	40.539200	40.115400
Bolivar Fuerte	NA	NA	NA	14.103800	14.059300	14.073700	14.048600	14.049300	14.066400	NA	14.038400

Currency units per SDR for August 2017 Continued

Currency	August 16, 2017	August 17, 2017	August 18, 2017	August 21, 2017	August 22, 2017	August 23, 2017	August 24, 2017	August 25, 2017	August 28, 2017	August 29, 2017	August 30, 2017	August 31, 2017
Chinese Yuan	9.405130	9.372950	9.412920	9.402120	9.374710	9.390990	9.394880	9.405570	9.414070	9.393290	9.335150	9.322270
Euro	1.199660	1.201640	1.200200	1.198420	1.196750	1.194690	1.194600	1.195180	1.188770	1.181050	1.190200	1.195260
Japanese Yen	155.456000	154.611000	154.148000	153.998000	153.900000	154.635000	153.981000	154.675000	154.661000	154.814000	155.794000	156.179000
U.K. Pound Sterling	1.091450	1.092630	1.093000	1.092990	1.098740	1.100570	1.099980	1.099420	1.098920	1.098870	1.097280	1.097690
U.S. Dollar	1.404800	1.405560	1.409030	1.409470	1.408700	1.409620	1.410340	1.411270	1.417610	1.422920	1.418240	1.413390
Algerian Dinar	154.587000	154.958000	155.054000	155.046000	154.990000	155.021000	155.087000	155.091000	155.692000	156.550000	157.098000	157.250000
Australian Dollar	1.791390	1.770670	1.784490	1.779400	1.774180	1.785680	1.786150	1.785290	1.784730	1.795260	1.777020	1.789550
Bahrain Dinar	0.528206	0.528491	0.529796	0.529959	0.529669	0.530015	0.530290	0.530639	0.533021	0.535020	0.533257	0.531434
Botswana Pula	14.378700	14.386500	14.392600	14.367600	14.374500	14.413300	14.391300	14.386000	14.362800	14.344000	14.369200	14.334600
Brazilian Real	4.491150	4.450560	4.452120	4.460680	4.428520	4.444940	4.451470	4.431110	4.459230	4.490330	4.494260	4.470830
Brunei Dollar	1.920650	1.916340	1.923330	1.920400	1.916390	1.920740	1.919480	1.920170	1.922560	1.927640	1.921140	1.919950
Canadian Dollar	1.783960	1.777610	1.773410	1.772400	1.768200	1.771040	1.767020	1.762960	1.769460	1.780790	1.787690	1.771820
Chilean Peso	909.736000	907.795000	909.240000	911.319000	905.412000	904.225000	904.691000	901.291000	902.462000	896.909000	888.778000	888.115000
Colombian Peso	4,178.870000	4,170.730000	4,198.960000	4,220.500000	4,218.180000	4,210.280000	4,212.530000	4,195.690000	4,159.200000	4,175.190000	4,170.120000	4,151.260000
Czech Koruna	31.247100	31.259600	31.341200	31.257700	31.216700	31.208900	31.177000	31.186300	31.027200	30.873200	30.987100	31.197700
Danish Krone	8.921480	8.934710	8.925070	8.913050	8.901150	8.885260	8.885330	8.891180	8.843610	8.786110	8.854100	8.890790
Hungarian Forint	364.041000	364.209000	364.461000	364.389000	363.585000	362.751000	362.332000	363.967000	361.349000	359.672000	363.125000	363.708000
Icelandic Krona	153.868000	153.838000	151.626000	149.065000	149.223000	152.408000	151.386000	151.204000	148.197000	148.525000	149.213000	148.632000
Indian Rupee	90.248600	NA	90.326100	90.246200	90.311400	90.394700	90.357100	NA	90.542800	91.092100	90.686500	90.478900
Indonesian Rupiah	18,787.800000	NA	18,836.000000	18,823.400000	18,789.200000	18,807.100000	18,833.700000	18,837.600000	18,908.100000	18,993.200000	18,923.600000	18,870.200000
Iranian Rial	46,233.600000	NA	NA	46,484.200000	46,491.300000	46,573.800000	46,647.000000	NA	46,961.100000	47,184.300000	47,041.600000	46,935.800000
Israeli New Sheqel	5.096630	5.097960	5.106340	5.105090	5.103710	5.099990	5.075830	5.074930	5.076450	5.089810	5.068780	5.082540
Kazakhstani Tenge	467.379000	467.602000	468.927000	468.760000	469.208000	469.854000	467.135000	469.742000	472.686000	476.252000	NA	476.370000
Korean Won	1,598.950000	1,601.770000	1,600.520000	1,609.610000	1,603.520000	1,600.760000	1,594.960000	1,590.930000	1,600.760000	1,594.250000	1,597.220000	1,586.950000
Kuwaiti Dinar	0.424320	0.424268	0.425317	0.425447	0.425004	0.425563	0.425642	0.425922	0.427338	0.428657	0.427387	NA
Libyan Dinar	1.932400	1.932400	1.932400	1.932400	1.932400	1.932400	1.932400	1.932400	1.932400	1.932400	1.932400	1.932400
Malaysian Ringgit	6.038540	6.034060	6.053200	6.044490	6.034170	6.037370	6.034170	6.035290	6.046790	6.073750	6.055170	NA
Mauritian Rupee	46.666800	46.839700	47.016100	47.043500	46.929600	46.872900	46.798100	46.762000	46.796800	46.744500	NA	46.165900
Mexican Peso	24.887500	24.923900	25.163100	24.877200	24.857600	24.966100	24.959800	24.867300	25.240400	25.436200	25.209600	25.178800
Nepalese Rupee	144.119000	144.281000	144.637000	144.653000	144.560000	144.570000	144.673000	144.599000	145.248000	145.494000	145.284000	144.774000
New Zealand Dollar	1.942220	1.920950	1.932300	1.926550	1.923140	1.946450	1.954200	1.958740	1.955590	1.962920	1.954840	1.970430
Norwegian Krone	11.170700	11.204400	11.183800	11.133700	11.132500	11.126100	11.060200	11.028900	11.010400	10.973700	11.050300	11.090700
Rial Omani	0.540146	0.540438	0.541773	0.541941	0.541644	0.541997	0.542276	0.542635	0.545069	0.547115	0.545313	0.543449
Pakistani Rupee	148.078000	148.159000	148.516000	148.565000	148.488000	148.586000	148.661000	148.749000	149.425000	149.984000	149.297000	148.923000
Nuevo Sol	4.554380	4.555410	4.566690	4.562440	4.558550	4.562920	NA	4.566880	4.585960	4.608850	NA	4.577980
Philippine Peso	71.949700	72.299300	72.284600	NA	72.539500	72.421800	72.212600	72.045600	NA	72.704500	72.555800	72.317600
Polish Zloty	5.118410	5.096270	5.137190	5.131570	5.118360	5.113230	5.123630	5.096370	5.065960	5.033170	5.059990	5.063030
Qatar Riyal	5.113490	5.116240	5.128890	5.130440	5.127650	5.130990	5.133650	5.137030	5.160090	5.179440	5.162380	5.144750
Russian Ruble	83.799800	83.277800	83.642100	83.357000	83.169100	83.352100	83.407000	83.473200	82.996500	83.286800	83.293800	82.747200
Saudi Arabian Riyal	5.268010	5.270840	5.283880	5.285500	5.282620	5.286050	5.288790	5.292270	5.316040	5.335980	5.318390	5.300200
Singapore Dollar	1.920650	1.916340	1.923330	1.920400	1.916390	1.920740	1.919480	1.920170	1.922560	1.927640	1.921140	1.919950
South African Rand	18.558400	18.586500	18.622400	18.607600	18.593200	18.688700	18.629000	18.595400	18.497300	18.465600	18.564200	18.482300
Sri Lanka Rupee	215.227000	215.334000	216.026000	216.138000	215.953000	215.883000	215.659000	215.846000	216.842000	217.595000	216.648000	216.015000
Swedish Krona	11.333800	11.355200	11.427300	11.439400	11.382400	11.431900	11.374000	11.407900	11.293100	11.295600	11.277000	11.268300
Swiss Franc	1.368560	1.358750	1.355490	1.363660	1.360520	1.365640	1.360280	1.359340	1.351690	1.344100	1.356540	1.364630
Thai Baht	46.782800	46.733300	46.823700	46.819500	46.836400	46.930300	47.012400	47.051700	47.095800	47.216800	47.102500	46.937300
Trinidad And Tobago Dollar	9.472750	9.503810	9.540260	9.541530	9.547450	9.552380	9.565260	9.566720	9.568460	9.570480	9.548000	9.511850
Tunisian Dinar	3.471370	3.471690	3.478310	3.477540	3.466880	3.460650	3.460300	3.455320	3.468730	3.457950	3.431500	3.429200
U.A.E. Dirham	5.159130	5.161900	5.174670	5.176250	5.173440	5.176810	5.179500	5.182900	5.206160	5.225700	5.208470	5.190680
